Name: Mordenite (Ca,Na2,K2)Al2Si10O24.7H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (ZeoliteGroup)
Particle Size:  Course  (75-250  Micrometers)
Sample No.: morden.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Union Pass, Arizona via W. J. Ehmann #10

Description: The sample consisted of small transparent crystals of 
apparent purity.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  morden1a.txt

25.044    1.6777
24.924    1.6748
24.805    1.6763
24.686    1.7036
24.569    1.7441
24.454    1.7617
24.339    1.7607
24.225    1.7725
24.112    1.7932
24.001    1.8218
23.890    1.8381
23.781    1.8518
23.672    1.8618
23.564    1.9036
23.458    1.9307
23.352    1.9211
23.247    1.9436
23.144    1.9456
23.041    1.9504
22.939    1.9739
22.838    1.9895
22.738    2.0027
22.638    2.0027
22.540    1.9990
22.442    2.0019
22.345    2.0093
22.250    2.0117
22.154    1.9751
22.060    1.9922
21.967    2.0352
21.874    2.0547
21.782    2.0730
21.691    2.0937
21.601    2.1094
21.511    2.1260
21.422    2.1484
21.334    2.1460
21.247    2.1355
21.160    2.1147
21.074    2.0781
20.988    2.0312
20.904    1.9560
20.820    1.8579
20.737    1.7559
20.654    1.6665
20.572    1.5759
20.491    1.4707
20.410    1.3623
20.330    1.2529
20.251    1.1572
20.172    1.0847
20.094    1.0129
20.016    0.9492
19.939    0.8997
19.863    0.8645
19.787    0.8411
19.712    0.8213
19.637    0.8042
19.563    0.7957
19.489    0.7944
19.416    0.7971
19.344    0.8044
19.272    0.8032
19.201    0.8062
19.130    0.8162
19.059    0.8171
18.990    0.8196
18.920    0.8142
18.851    0.8083
18.783    0.8076
18.715    0.8074
18.648    0.7993
18.581    0.7964
18.515    0.7954
18.449    0.7922
18.384    0.7822
18.319    0.7781
18.254    0.7712
18.190    0.7576
18.126    0.7483
18.063    0.7334
18.001    0.7173
17.938    0.7070
17.876    0.6978
17.815    0.6843
17.754    0.6716
17.693    0.6616
17.633    0.6597
17.573    0.6545
17.514    0.6450
17.455    0.6414
17.396    0.6374
17.338    0.6289
17.280    0.6206
17.223    0.6069
17.166    0.5942
17.109    0.5803
17.053    0.5679
16.997    0.5654
16.942    0.5579
16.886    0.5479
16.832    0.5476
16.777    0.5488
16.723    0.5459
16.669    0.5413
16.616    0.5383
16.563    0.5371
16.510    0.5383
16.458    0.5393
16.406    0.5369
16.354    0.5315
16.302    0.5298
16.251    0.5229
16.200    0.5168
16.150    0.5115
16.100    0.5132
16.050    0.5081
16.000    0.4990
15.951    0.4941
15.902    0.4841
15.854    0.4714
15.805    0.4629
15.757    0.4500
15.710    0.4370
15.662    0.4292
15.615    0.4192
15.568    0.4187
15.521    0.4189
15.475    0.4141
15.429    0.4124
15.383    0.4145
15.338    0.4153
15.292    0.4126
15.248    0.4172
15.203    0.4231
15.158    0.4304
15.114    0.4319
15.070    0.4358
15.027    0.4429
14.983    0.4478
14.940    0.4534
14.897    0.4570
14.854    0.4663
14.812    0.4761
14.770    0.4766
14.728    0.4751
14.686    0.4819
14.645    0.4900
14.603    0.4897
14.562    0.4922
14.521    0.4973
14.481    0.5012
14.441    0.5066
14.400    0.5139
14.361    0.5176
14.321    0.5212
14.281    0.5256
14.242    0.5286
14.203    0.5288
14.164    0.5308
14.126    0.5310
14.087    0.5330
14.049    0.5342
14.011    0.5312
13.973    0.5312
13.936    0.5342
13.899    0.5337
13.861    0.5330
13.824    0.5344
13.788    0.5325
13.751    0.5298
13.715    0.5320
13.679    0.5349
13.643    0.5291
13.607    0.5249
13.571    0.5303
13.536    0.5349
13.500    0.5366
13.465    0.5371
13.430    0.5361
13.396    0.5364
13.361    0.5395
13.327    0.5417
13.293    0.5425
13.259    0.5454
13.225    0.5505
13.191    0.5547
13.158    0.5586
13.124    0.5579
13.091    0.5588
13.058    0.5676
13.026    0.5757
12.993    0.5776
12.960    0.5771
12.928    0.5798
12.896    0.5840
12.864    0.5859
12.832    0.5847
12.800    0.5828
12.769    0.5818
12.737    0.5835
12.706    0.5825
12.675    0.5781
12.644    0.5767
12.614    0.5754
12.583    0.5759
12.552    0.5725
12.522    0.5664
12.492    0.5649
12.462    0.5632
12.432    0.5591
12.402    0.5605
12.373    0.5625
12.343    0.5623
12.314    0.5632
12.285    0.5654
12.256    0.5710
12.227    0.5806
12.198    0.5867
12.169    0.5955
12.141    0.6074
12.113    0.6238
12.084    0.6418
12.056    0.6582
12.028    0.6746
12.000    0.6980
11.973    0.7192
11.945    0.7339
11.918    0.7471
11.890    0.7632
11.863    0.7805
11.836    0.7922
11.809    0.8008
11.782    0.8098
11.755    0.8191
11.729    0.8264
11.702    0.8332
11.676    0.8384
11.650    0.8411
11.624    0.8484
11.598    0.8535
11.572    0.8572
11.546    0.8616
11.520    0.8635
11.495    0.8645
11.469    0.8674
11.444    0.8708
11.419    0.8755
11.394    0.8811
11.369    0.8870
11.344    0.8921
11.319    0.9009
11.294    0.9092
11.270    0.9136
11.245    0.9185
11.221    0.9268
11.197    0.9338
11.173    0.9409
11.149    0.9487
11.125    0.9546
11.101    0.9595
11.077    0.9661
11.054    0.9739
11.030    0.9780
11.007    0.9841
10.983    0.9915
10.960    1.0015
10.937    1.0081
10.914    1.0120
10.891    1.0181
10.868    1.0247
10.846    1.0332
10.823    1.0413
10.800    1.0491
10.778    1.0591
10.755    1.0649
10.733    1.0730
10.711    1.0828
10.689    1.0918
10.667    1.1013
10.645    1.1123
10.623    1.1226
10.602    1.1331
10.580    1.1433
10.558    1.1548
10.537    1.1680
10.516    1.1790
10.494    1.1912
10.473    1.2036
10.452    1.2170
10.431    1.2319
10.410    1.2451
10.389    1.2593
10.368    1.2739
10.348    1.2891
10.327    1.3040
10.306    1.3213
10.286    1.3384
10.266    1.3550
10.245    1.3716
10.225    1.3889
10.205    1.4072
10.185    1.4246
10.165    1.4429
10.145    1.4639
10.125    1.4863
10.106    1.5095
10.086    1.5300
10.066    1.5505
10.047    1.5735
10.027    1.5989
10.008    1.6233
 9.989    1.6475
 9.970    1.6709
 9.950    1.6953
 9.931    1.7227
 9.912    1.7495
 9.893    1.7742
 9.875    1.7978
 9.856    1.8232
 9.837    1.8489
 9.818    1.8735
 9.800    1.8982
 9.781    1.9253
 9.763    1.9507
 9.745    1.9756
 9.726    2.0015
 9.708    2.0266
 9.690    2.0525
 9.672    2.0796
 9.654    2.1050
 9.636    2.1321
 9.618    2.1582
 9.600    2.1819
 9.583    2.2053
 9.565    2.2285
 9.547    2.2507
 9.530    2.2737
 9.512    2.2961
 9.495    2.3152
 9.477    2.3359
 9.460    2.3530
 9.443    2.3677
 9.426    2.3806
 9.409    2.3889
 9.392    2.3977
 9.375    2.4072
 9.358    2.4180
 9.341    2.4287
 9.324    2.4421
 9.307    2.4590
 9.291    2.4766
 9.274    2.4936
 9.257    2.5105
 9.241    2.5273
 9.224    2.5422
 9.208    2.5564
 9.192    2.5691
 9.175    2.5776
 9.159    2.5791
 9.143    2.5747
 9.127    2.5652
 9.111    2.5493
 9.095    2.5290
 9.079    2.5034
 9.063    2.4746
 9.047    2.4402
 9.032    2.3999
 9.016    2.3577
 9.000    2.3137
 8.985    2.2681
 8.969    2.2212
 8.954    2.1753
 8.938    2.1291
 8.923    2.0852
 8.907    2.0442
 8.892    2.0059
 8.877    1.9697
 8.862    1.9380
 8.847    1.9121
 8.832    1.8887
 8.817    1.8647
 8.802    1.8447
 8.787    1.8291
 8.772    1.8162
 8.757    1.8035
 8.742    1.7913
 8.728    1.7776
 8.713    1.7651
 8.698    1.7537
 8.684    1.7405
 8.669    1.7285
 8.655    1.7170
 8.640    1.7043
 8.626    1.6926
 8.612    1.6814
 8.597    1.6702
 8.583    1.6597
 8.569    1.6477
 8.555    1.6340
 8.541    1.6223
 8.527    1.6135
 8.513    1.6064
 8.499    1.5977
 8.485    1.5872
 8.471    1.5779
 8.457    1.5686
 8.443    1.5596
 8.430    1.5488
 8.416    1.5381
 8.402    1.5286
 8.389    1.5176
 8.375    1.5044
 8.362    1.4932
 8.348    1.4819
 8.335    1.4714
 8.321    1.4622
 8.308    1.4521
 8.295    1.4438
 8.281    1.4355
 8.268    1.4297
 8.255    1.4268
 8.242    1.4275
 8.229    1.4326
 8.216    1.4419
 8.203    1.4575
 8.190    1.4773
 8.177    1.5010
 8.164    1.5293
 8.151    1.5615
 8.138    1.5962
 8.126    1.6313
 8.113    1.6670
 8.100    1.7007
 8.088    1.7310
 8.075    1.7573
 8.062    1.7783
 8.050    1.7903
 8.037    1.7888
 8.025    1.7734
 8.013    1.7407
 8.000    1.6907
 7.988    1.6274
 7.976    1.5508
 7.963    1.4631
 7.951    1.3721
 7.939    1.2771
 7.927    1.1799
 7.915    1.0830
 7.903    0.9893
 7.891    0.8984
 7.879    0.8118
 7.867    0.7305
 7.855    0.6550
 7.843    0.5852
 7.831    0.5222
 7.819    0.4663
 7.807    0.4160
 7.796    0.3721
 7.784    0.3333
 7.772    0.2996
 7.761    0.2727
 7.749    0.2500
 7.738    0.2310
 7.726    0.2146
 7.715    0.2014
 7.703    0.1907
 7.692    0.1819
 7.680    0.1748
 7.669    0.1689
 7.658    0.1646
 7.646    0.1616
 7.635    0.1594
 7.624    0.1592
 7.613    0.1592
 7.601    0.1594
 7.590    0.1597
 7.579    0.1606
 7.568    0.1641
 7.557    0.1672
 7.546    0.1685
 7.535    0.1711
 7.524    0.1750
 7.513    0.1799
 7.502    0.1836
 7.492    0.1875
 7.481    0.1934
 7.470    0.1990
 7.459    0.2046
 7.448    0.2102
 7.438    0.2153
 7.427    0.2212
 7.417    0.2263
 7.406    0.2319
 7.395    0.2395
 7.385    0.2463
 7.374    0.2527
 7.364    0.2595
 7.353    0.2664
 7.343    0.2729
 7.333    0.2805
 7.322    0.2883
 7.312    0.2947
 7.302    0.3020
 7.291    0.3110
 7.281    0.3181
 7.271    0.3250
 7.261    0.3328
 7.251    0.3411
 7.240    0.3491
 7.230    0.3574
 7.220    0.3657
 7.210    0.3740
 7.200    0.3813
 7.190    0.3882
 7.180    0.3967
 7.170    0.4062
 7.160    0.4141
 7.151    0.4211
 7.141    0.4299
 7.131    0.4387
 7.121    0.4463
 7.111    0.4536
 7.102    0.4612
 7.092    0.4690
 7.082    0.4770
 7.073    0.4834
 7.063    0.4907
 7.053    0.4985
 7.044    0.5054
 7.034    0.5124
 7.025    0.5181
 7.015    0.5244
 7.006    0.5315
 6.996    0.5388
 6.987    0.5452
 6.977    0.5508
 6.968    0.5579
 6.959    0.5645
 6.949    0.5698
 6.940    0.5752
 6.931    0.5820
 6.921    0.5886
 6.912    0.5950
 6.903    0.5996
 6.894    0.6045
 6.885    0.6111
 6.876    0.6172
 6.866    0.6238
 6.857    0.6323
 6.848    0.6384
 6.839    0.6440
 6.830    0.6511
 6.821    0.6584
 6.812    0.6655
 6.803    0.6726
 6.794    0.6804
 6.786    0.6890
 6.777    0.6973
 6.768    0.7048
 6.759    0.7122
 6.750    0.7195
 6.741    0.7268
 6.733    0.7346
 6.724    0.7415
 6.715    0.7483
 6.707    0.7551
 6.698    0.7615
 6.689    0.7681
 6.681    0.7747
 6.672    0.7810
 6.663    0.7886
 6.655    0.7954
 6.646    0.8005
 6.638    0.8049
 6.629    0.8110
 6.621    0.8184
 6.612    0.8240
 6.604    0.8291
 6.596    0.8350
 6.587    0.8406
 6.579    0.8469
 6.571    0.8508
 6.562    0.8547
 6.554    0.8594
 6.546    0.8630
 6.537    0.8662
 6.529    0.8699
 6.521    0.8726
 6.513    0.8743
 6.505    0.8743
 6.496    0.8762
 6.488    0.8765
 6.480    0.8760
 6.472    0.8757
 6.464    0.8738
 6.456    0.8708
 6.448    0.8669
 6.440    0.8618
 6.432    0.8557
 6.424    0.8477
 6.416    0.8403
 6.408    0.8325
 6.400    0.8230
 6.392    0.8125
 6.384    0.8013
 6.377    0.7891
 6.369    0.7759
 6.361    0.7612
 6.353    0.7454
 6.345    0.7283
 6.338    0.7100
 6.330    0.6919
 6.322    0.6733
 6.314    0.6531
 6.307    0.6311
 6.299    0.6099
 6.291    0.5889
 6.284    0.5671
 6.276    0.5459
 6.269    0.5261
 6.261    0.5066
 6.254    0.4863
 6.246    0.4666
 6.238    0.4490
 6.231    0.4321
 6.223    0.4160
 6.216    0.4016
 6.209    0.3892
 6.201    0.3779
 6.194    0.3672
 6.186    0.3591
 6.179    0.3520
 6.172    0.3450
 6.164    0.3381
 6.157    0.3330
 6.150    0.3276
 6.142    0.3228
 6.135    0.3188
 6.128    0.3154
 6.121    0.3123
 6.113    0.3091
 6.106    0.3071
 6.099    0.3062
 6.092    0.3059
 6.085    0.3047
 6.078    0.3052
 6.070    0.3066
 6.063    0.3074
 6.056    0.3098
 6.049    0.3118
 6.042    0.3149
 6.035    0.3191
 6.028    0.3228
 6.021    0.3274
 6.014    0.3340
 6.007    0.3425
 6.000    0.3525
 5.993    0.3625
 5.986    0.3755
 5.979    0.3916
 5.973    0.4084
 5.966    0.4294
 5.959    0.4531
 5.952    0.4797
 5.945    0.5083
 5.938    0.5395
 5.932    0.5735
 5.925    0.6096
 5.918    0.6484
 5.911    0.6880
 5.905    0.7278
 5.898    0.7693
 5.891    0.8127
 5.884    0.8557
 5.878    0.8989
 5.871    0.9412
 5.864    0.9817
 5.858    1.0203
 5.851    1.0579
 5.845    1.0935
 5.838    1.1274
 5.831    1.1589
 5.825    1.1885
 5.818    1.2165
 5.812    1.2432
 5.805    1.2678
 5.799    1.2903
 5.792    1.3105
 5.786    1.3298
 5.779    1.3469
 5.773    1.3625
 5.767    1.3769
 5.760    1.3909
 5.754    1.4023
 5.747    1.4128
 5.741    1.4231
 5.735    1.4311
 5.728    1.4380
 5.722    1.4453
 5.716    1.4517
 5.709    1.4561
 5.703    1.4604
 5.697    1.4631
 5.691    1.4656
 5.684    1.4675
 5.678    1.4687
 5.672    1.4705
 5.666    1.4709
 5.660    1.4707
 5.653    1.4705
 5.647    1.4695
 5.641    1.4685
 5.635    1.4670
 5.629    1.4651
 5.623    1.4629
 5.617    1.4607
 5.611    1.4580
 5.604    1.4529
 5.598    1.4487
 5.592    1.4436
 5.586    1.4365
 5.580    1.4309
 5.574    1.4268
 5.568    1.4224
 5.562    1.4199
 5.556    1.4189
 5.550    1.4194
 5.545    1.4199
 5.539    1.4197
 5.533    1.4189
 5.527    1.4185
 5.521    1.4167
 5.515    1.4153
 5.509    1.4145
 5.503    1.4138
 5.498    1.4131
 5.492    1.4131
 5.486    1.4136
 5.480    1.4148
 5.474    1.4158
 5.469    1.4175
 5.463    1.4204
 5.457    1.4228
 5.451    1.4253
 5.446    1.4282
 5.440    1.4333
 5.434    1.4385
 5.428    1.4424
 5.423    1.4480
 5.417    1.4536
 5.411    1.4595
 5.406    1.4670
 5.400    1.4746
 5.395    1.4819
 5.389    1.4897
 5.383    1.4980
 5.378    1.5068
 5.372    1.5161
 5.367    1.5259
 5.361    1.5373
 5.356    1.5496
 5.350    1.5625
 5.344    1.5771
 5.339    1.5937
 5.333    1.6103
 5.328    1.6289
 5.323    1.6487
 5.317    1.6682
 5.312    1.6897
 5.306    1.7104
 5.301    1.7319
 5.295    1.7549
 5.290    1.7776
 5.285    1.8000
 5.279    1.8223
 5.274    1.8437
 5.268    1.8650
 5.263    1.8857
 5.258    1.9062
 5.252    1.9258
 5.247    1.9438
 5.242    1.9624
 5.237    1.9805
 5.231    1.9971
 5.226    2.0124
 5.221    2.0271
 5.215    2.0410
 5.210    2.0537
 5.205    2.0649
 5.200    2.0749
 5.195    2.0852
 5.189    2.0952
 5.184    2.1052
 5.179    2.1150
 5.174    2.1235
 5.169    2.1328
 5.163    2.1414
 5.158    2.1504
 5.153    2.1594
 5.148    2.1694
 5.143    2.1797
 5.138    2.1902
 5.133    2.2017
 5.128    2.2136
 5.123    2.2256
 5.118    2.2385
 5.113    2.2512
 5.108    2.2656
 5.103    2.2817
 5.097    2.2964
 5.092    2.3127
 5.087    2.3291
 5.083    2.3472
 5.078    2.3657
 5.073    2.3848
 5.068    2.4058
 5.063    2.4272
 5.058    2.4485
 5.053    2.4707
 5.048    2.4936
 5.043    2.5176
 5.038    2.5425
 5.033    2.5684
 5.028    2.5959
 5.023    2.6230
 5.019    2.6499
 5.014    2.6794
 5.009    2.7092
 5.004    2.7388
 4.999    2.7688
 4.994    2.8000
 4.990    2.8320
 4.985    2.8647
 4.980    2.8982
 4.975    2.9321
 4.970    2.9675
 4.966    3.0041
 4.961    3.0410
 4.956    3.0776
 4.951    3.1155
 4.947    3.1562
 4.942    3.1977
 4.937    3.2390
 4.933    3.2808
 4.928    3.3225
 4.923    3.3650
 4.919    3.4082
 4.914    3.4504
 4.909    3.4927
 4.905    3.5349
 4.900    3.5764
 4.895    3.6172
 4.891    3.6575
 4.886    3.6960
 4.882    3.7336
 4.877    3.7695
 4.872    3.8044
 4.868    3.8384
 4.863    3.8706
 4.859    3.9011
 4.854    3.9319
 4.850    3.9607
 4.845    3.9873
 4.840    4.0132
 4.836    4.0371
 4.831    4.0593
 4.827    4.0801
 4.822    4.0986
 4.818    4.1169
 4.814    4.1352
 4.809    4.1521
 4.805    4.1675
 4.800    4.1811
 4.796    4.1933
 4.791    4.2056
 4.787    4.2178
 4.782    4.2290
 4.778    4.2388
 4.774    4.2485
 4.769    4.2571
 4.765    4.2666
 4.760    4.2754
 4.756    4.2839
 4.752    4.2917
 4.747    4.2986
 4.743    4.3049
 4.739    4.3110
 4.734    4.3171
 4.730    4.3230
 4.726    4.3288
 4.721    4.3335
 4.717    4.3379
 4.713    4.3423
 4.709    4.3462
 4.704    4.3506
 4.700    4.3540
 4.696    4.3562
 4.692    4.3601
 4.687    4.3640
 4.683    4.3664
 4.679    4.3699
 4.675    4.3728
 4.670    4.3755
 4.666    4.3779
 4.662    4.3813
 4.658    4.3840
 4.654    4.3874
 4.649    4.3911
 4.645    4.3953
 4.641    4.3977
 4.637    4.4004
 4.633    4.4038
 4.629    4.4084
 4.625    4.4126
 4.620    4.4158
 4.616    4.4197
 4.612    4.4245
 4.608    4.4289
 4.604    4.4341
 4.600    4.4392
 4.596    4.4446
 4.592    4.4512
 4.588    4.4565
 4.584    4.4624
 4.580    4.4692
 4.576    4.4770
 4.572    4.4851
 4.568    4.4929
 4.564    4.5017
 4.560    4.5112
 4.555    4.5207
 4.551    4.5308
 4.548    4.5422
 4.544    4.5530
 4.540    4.5647
 4.536    4.5766
 4.532    4.5896
 4.528    4.6040
 4.524    4.6174
 4.520    4.6304
 4.516    4.6460
 4.512    4.6621
 4.508    4.6787
 4.504    4.6955
 4.500    4.7139
 4.496    4.7319
 4.492    4.7495
 4.488    4.7693
 4.485    4.7891
 4.481    4.8108
 4.477    4.8323
 4.473    4.8535
 4.469    4.8750
 4.465    4.8974
 4.461    4.9204
 4.458    4.9443
 4.454    4.9692
 4.450    4.9944
 4.446    5.0205
 4.442    5.0464
 4.438    5.0727
 4.435    5.1008
 4.431    5.1286
 4.427    5.1560
 4.423    5.1853
 4.420    5.2153
 4.416    5.2458
 4.412    5.2756
 4.408    5.3066
 4.405    5.3393
 4.401    5.3723
 4.397    5.4060
 4.393    5.4409
 4.390    5.4763
 4.386    5.5107
 4.382    5.5473
 4.379    5.5837
 4.375    5.6201
 4.371    5.6570
 4.367    5.6960
 4.364    5.7348
 4.360    5.7727
 4.356    5.8115
 4.353    5.8515
 4.349    5.8918
 4.345    5.9316
 4.342    5.9722
 4.338    6.0124
 4.335    6.0537
 4.331    6.0945
 4.327    6.1357
 4.324    6.1775
 4.320    6.2192
 4.317    6.2610
 4.313    6.3022
 4.309    6.3435
 4.306    6.3830
 4.302    6.4228
 4.299    6.4656
 4.295    6.5100
 4.292    6.5527
 4.288    6.5947
 4.284    6.6377
 4.281    6.6789
 4.277    6.7197
 4.274    6.7600
 4.270    6.7978
 4.267    6.8345
 4.263    6.8762
 4.260    6.9238
 4.256    6.9709
 4.253    7.0151
 4.249    7.0598
 4.246    7.1030
 4.242    7.1452
 4.239    7.1872
 4.235    7.2292
 4.232    7.2717
 4.229    7.3132
 4.225    7.3545
 4.222    7.3960
 4.218    7.4365
 4.215    7.4780
 4.211    7.5185
 4.208    7.5603
 4.205    7.6008
 4.201    7.6413
 4.198    7.6814
 4.194    7.7217
 4.191    7.7612
 4.188    7.8005
 4.184    7.8408
 4.181    7.8804
 4.177    7.9197
 4.174    7.9577
 4.171    7.9944
 4.167    8.0334
 4.164    8.0715
 4.161    8.1098
 4.157    8.1472
 4.154    8.1843
 4.151    8.2217
 4.147    8.2583
 4.144    8.2942
 4.141    8.3301
 4.137    8.3652
 4.134    8.4004
 4.131    8.4358
 4.128    8.4721
 4.124    8.5068
 4.121    8.5417
 4.118    8.5759
 4.114    8.6091
 4.111    8.6426
 4.108    8.6770
 4.105    8.7082
 4.101    8.7422
 4.098    8.7763
 4.095    8.8086
 4.092    8.8408
 4.088    8.8730
 4.085    8.9033
 4.082    8.9353
 4.079    8.9668
 4.076    8.9970
 4.072    9.0281
 4.069    9.0576
 4.066    9.0859
 4.063    9.1140
 4.060    9.1404
 4.056    9.1670
 4.053    9.1928
 4.050    9.2182
 4.047    9.2419
 4.044    9.2644
 4.041    9.2851
 4.038    9.3066
 4.034    9.3259
 4.031    9.3432
 4.028    9.3606
 4.025    9.3774
 4.022    9.3926
 4.019    9.4065
 4.016    9.4179
 4.013    9.4265
 4.009    9.4345
 4.006    9.4409
 4.003    9.4455
 4.000    9.4497
 3.997    9.4548
 3.994    9.4582
 3.991    9.4629
 3.988    9.4690
 3.985    9.4785
 3.982    9.4890
 3.979    9.4985
 3.976    9.5117
 3.973    9.5251
 3.969    9.5373
 3.966    9.5520
 3.963    9.5664
 3.960    9.5818
 3.957    9.5971
 3.954    9.6147
 3.951    9.6318
 3.948    9.6484
 3.945    9.6640
 3.942    9.6770
 3.939    9.6902
 3.936    9.6992
 3.933    9.7070
 3.930    9.7136
 3.927    9.7195
 3.924    9.7248
 3.921    9.7287
 3.918    9.7324
 3.916    9.7348
 3.913    9.7373
 3.910    9.7390
 3.907    9.7395
 3.904    9.7405
 3.901    9.7400
 3.898    9.7407
 3.895    9.7390
 3.892    9.7373
 3.889    9.7348
 3.886    9.7314
 3.883    9.7302
 3.880    9.7270
 3.877    9.7224
 3.875    9.7177
 3.872    9.7121
 3.869    9.7075
 3.866    9.7007
 3.863    9.6946
 3.860    9.6870
 3.857    9.6802
 3.854    9.6728
 3.852    9.6653
 3.849    9.6567
 3.846    9.6469
 3.843    9.6374
 3.840    9.6291
 3.837    9.6191
 3.834    9.6111
 3.832    9.6013
 3.829    9.5901
 3.826    9.5796
 3.823    9.5693
 3.820    9.5559
 3.817    9.5437
 3.815    9.5305
 3.812    9.5168
 3.809    9.5024
 3.806    9.4885
 3.803    9.4734
 3.801    9.4577
 3.798    9.4414
 3.795    9.4240
 3.792    9.4072
 3.790    9.3889
 3.787    9.3703
 3.784    9.3518
 3.781    9.3318
 3.779    9.3113
 3.776    9.2907
 3.773    9.2700
 3.770    9.2485
 3.768    9.2268
 3.765    9.2046
 3.762    9.1816
 3.759    9.1596
 3.757    9.1367
 3.754    9.1123
 3.751    9.0886
 3.748    9.0657
 3.746    9.0415
 3.743    9.0161
 3.740    8.9912
 3.738    8.9668
 3.735    8.9433
 3.732    8.9179
 3.730    8.8921
 3.727    8.8657
 3.724    8.8391
 3.722    8.8137
 3.719    8.7866
 3.716    8.7585
 3.714    8.7317
 3.711    8.7046
 3.708    8.6755
 3.706    8.6465
 3.703    8.6181
 3.700    8.5876
 3.698    8.5583
 3.695    8.5285
 3.692    8.4970
 3.690    8.4673
 3.687    8.4360
 3.685    8.4033
 3.682    8.3718
 3.679    8.3403
 3.677    8.3083
 3.674    8.2756
 3.671    8.2434
 3.669    8.2119
 3.666    8.1802
 3.664    8.1479
 3.661    8.1142
 3.659    8.0803
 3.656    8.0481
 3.653    8.0158
 3.651    7.9829
 3.648    7.9494
 3.646    7.9155
 3.643    7.8811
 3.641    7.8464
 3.638    7.8125
 3.635    7.7778
 3.633    7.7429
 3.630    7.7063
 3.628    7.6697
 3.625    7.6330
 3.623    7.5984
 3.620    7.5622
 3.618    7.5246
 3.615    7.4875
 3.613    7.4502
 3.610    7.4114
 3.608    7.3733
 3.605    7.3349
 3.603    7.2969
 3.600    7.2580
 3.598    7.2202
 3.595    7.1804
 3.593    7.1411
 3.590    7.1013
 3.588    7.0600
 3.585    7.0205
 3.583    6.9795
 3.580    6.9375
 3.578    6.8962
 3.575    6.8552
 3.573    6.8132
 3.570    6.7712
 3.568    6.7287
 3.565    6.6868
 3.563    6.6433
 3.561    6.5998
 3.558    6.5566
 3.556    6.5127
 3.553    6.4680
 3.551    6.4228
 3.548    6.3767
 3.546    6.3298
 3.544    6.2825
 3.541    6.2348
 3.539    6.1853
 3.536    6.1343
 3.534    6.0832
 3.531    6.0322
 3.529    5.9805
 3.527    5.9267
 3.524    5.8713
 3.522    5.8154
 3.519    5.7617
 3.517    5.7070
 3.515    5.6526
 3.512    5.5989
 3.510    5.5459
 3.508    5.4963
 3.505    5.4492
 3.503    5.4043
 3.500    5.3620
 3.498    5.3232
 3.496    5.2878
 3.493    5.2529
 3.491    5.2163
 3.489    5.1785
 3.486    5.1396
 3.484    5.1003
 3.482    5.0618
 3.479    5.0244
 3.477    4.9883
 3.475    4.9524
 3.472    4.9165
 3.470    4.8799
 3.468    4.8411
 3.465    4.7998
 3.463    4.7585
 3.461    4.7163
 3.458    4.6711
 3.456    4.6257
 3.454    4.5801
 3.452    4.5339
 3.449    4.4863
 3.447    4.4387
 3.445    4.3921
 3.442    4.3447
 3.440    4.2971
 3.438    4.2500
 3.435    4.2009
 3.433    4.1526
 3.431    4.1042
 3.429    4.0549
 3.426    4.0039
 3.424    3.9538
 3.422    3.9045
 3.420    3.8572
 3.417    3.8118
 3.415    3.7703
 3.413    3.7312
 3.411    3.6946
 3.408    3.6587
 3.406    3.6265
 3.404    3.5928
 3.402    3.5581
 3.399    3.5246
 3.397    3.4927
 3.395    3.4590
 3.393    3.4216
 3.391    3.3833
 3.388    3.3450
 3.386    3.3079
