Name: Antigorite (Mg, Fe+2)3 Si2O5(OH)4 
Type:  Mineral  
Class:  Silicates
Subclass:  Phyllosilicates  (Sheet silicates)  (Serpentine/Kaolin Group) 
Particle Size:  Fine (less than 75 Micrometers)
Sample No.:  antigorite.1
Owner:  JHU.
Wavelength Range:  IR
Origin:  Sample from Kalsertal, Tyrol, Austria, via the Smithsonian 
(sample no. NMNH B17958, borrowed from Jim Crowley, USGS).  
Description: The sample was a large green single crystal.  It appeared 
to be mostly pure antigorite under the microscope, but some (<3%) 
alteration or impurity was present, possibly chrysotile.



Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information: antigo1a.txt
25.044    1.7612
24.924    2.0950
24.805    2.0461
24.686    1.8281
24.569    1.7512
24.454    1.7378
24.339    1.8457
24.225    1.9045
24.112    1.7559
24.001    1.7373
23.890    1.9070
23.781    1.9502
23.672    1.9250
23.564    1.7839
23.458    1.7986
23.352    2.0161
23.247    1.9180
23.144    1.7358
23.041    1.7085
22.939    1.8599
22.838    2.0010
22.738    2.0007
22.638    1.8606
22.540    1.8081
22.442    1.9448
22.345    2.1235
22.250    2.1904
22.154    2.1335
22.060    2.1582
21.967    2.1435
21.874    2.2104
21.782    2.2966
21.691    2.2622
21.601    2.3181
21.511    2.4211
21.422    2.3589
21.334    2.2881
21.247    2.3508
21.160    2.4058
21.074    2.3669
20.988    2.3982
20.904    2.3469
20.820    2.3564
20.737    2.4226
20.654    2.3970
20.572    2.3752
20.491    2.3965
20.410    2.4690
20.330    2.4336
20.251    2.3281
20.172    2.3369
20.094    2.3169
20.016    2.2366
19.939    2.2307
19.863    2.2397
19.787    2.1785
19.712    2.1741
19.637    2.2292
19.563    2.1594
19.489    2.0644
19.416    2.0542
19.344    2.0308
19.272    1.9163
19.201    1.7952
19.130    1.7002
19.059    1.5881
18.990    1.4846
18.920    1.3706
18.851    1.2436
18.783    1.1575
18.715    1.1631
18.648    1.1335
18.581    1.0701
18.515    1.0769
18.449    1.0984
18.384    1.0913
18.319    1.1204
18.254    1.1216
18.190    1.1113
18.126    1.0964
18.063    1.0625
18.001    1.0601
17.938    1.0850
17.876    1.0881
17.815    1.0713
17.754    1.0598
17.693    1.0723
17.633    1.0967
17.573    1.1077
17.514    1.0979
17.455    1.0837
17.396    1.0845
17.338    1.1121
17.280    1.0933
17.223    1.0918
17.166    1.1155
17.109    1.0979
17.053    1.0972
16.997    1.1018
16.942    1.1035
16.886    1.1282
16.832    1.1328
16.777    1.1367
16.723    1.1299
16.669    1.1445
16.616    1.1545
16.563    1.1511
16.510    1.1394
16.458    1.1653
16.406    1.1675
16.354    1.1724
16.302    1.1936
16.251    1.2253
16.200    1.2246
16.150    1.2600
16.100    1.2927
16.050    1.2722
16.000    1.2783
15.951    1.2854
15.902    1.2800
15.854    1.3037
15.805    1.3535
15.757    1.3823
15.710    1.3640
15.662    1.3518
15.615    1.3643
15.568    1.3809
15.521    1.4224
15.475    1.4495
15.429    1.4565
15.383    1.4712
15.338    1.4507
15.292    1.4795
15.248    1.5168
15.203    1.5217
15.158    1.5361
15.114    1.5635
15.070    1.5713
15.027    1.5820
14.983    1.6003
14.940    1.6421
14.897    1.6692
14.854    1.6279
14.812    1.6140
14.770    1.6282
14.728    1.6245
14.686    1.5747
14.645    1.5186
14.603    1.4993
14.562    1.4785
14.521    1.4370
14.481    1.3811
14.441    1.3245
14.400    1.2441
14.361    1.1826
14.321    1.1248
14.281    1.0515
14.242    1.0217
14.203    1.0156
14.164    0.9932
14.126    0.9529
14.087    0.9106
14.049    0.8889
14.011    0.8909
13.973    0.9023
13.936    0.8911
13.899    0.8633
13.861    0.8613
13.824    0.8633
13.788    0.8586
13.751    0.8506
13.715    0.8608
13.679    0.8862
13.643    0.8960
13.607    0.9080
13.571    0.9324
13.536    0.9612
13.500    0.9492
13.465    0.9788
13.430    1.0496
13.396    1.0830
13.361    1.1143
13.327    1.1724
13.293    1.2009
13.259    1.2161
13.225    1.2568
13.191    1.2939
13.158    1.3220
13.124    1.3708
13.091    1.4014
13.058    1.4341
13.026    1.4487
12.993    1.4368
12.960    1.4216
12.928    1.4619
12.896    1.5112
12.864    1.5369
12.832    1.5813
12.800    1.6194
12.769    1.6672
12.737    1.7170
12.706    1.7512
12.675    1.8088
12.644    1.8562
12.614    1.9001
12.583    1.9458
12.552    1.9976
12.522    2.0273
12.492    2.0552
12.462    2.0886
12.432    2.1189
12.402    2.1328
12.373    2.1670
12.343    2.2275
12.314    2.2695
12.285    2.3186
12.256    2.3574
12.227    2.4040
12.198    2.4602
12.169    2.5083
12.141    2.5535
12.113    2.6125
12.084    2.6692
12.056    2.7122
12.028    2.7698
12.000    2.8169
11.973    2.8428
11.945    2.8445
11.918    2.8855
11.890    2.9363
11.863    2.9519
11.836    2.9888
11.809    3.0102
11.782    2.9985
11.755    3.0288
11.729    3.0613
11.702    3.0642
11.676    3.0625
11.650    3.0767
11.624    3.0835
11.598    3.0976
11.572    3.1013
11.546    3.0945
11.520    3.1020
11.495    3.1221
11.469    3.1135
11.444    3.0879
11.419    3.0781
11.394    3.0874
11.369    3.0757
11.344    3.0403
11.319    3.0110
11.294    2.9841
11.270    2.9368
11.245    2.8855
11.221    2.8520
11.197    2.7910
11.173    2.7261
11.149    2.6999
11.125    2.6431
11.101    2.5669
11.077    2.5117
11.054    2.4651
11.030    2.4011
11.007    2.3457
10.983    2.2927
10.960    2.2312
10.937    2.1572
10.914    2.0945
10.891    2.0188
10.868    1.9429
10.846    1.8743
10.823    1.8120
10.800    1.7595
10.778    1.7036
10.755    1.6562
10.733    1.6008
10.711    1.5437
10.689    1.5019
10.667    1.4443
10.645    1.3909
10.623    1.3503
10.602    1.3157
10.580    1.2556
10.558    1.2134
10.537    1.2029
10.516    1.1814
10.494    1.1777
10.473    1.1687
10.452    1.1494
10.431    1.1409
10.410    1.1460
10.389    1.1477
10.368    1.1450
10.348    1.1492
10.327    1.1487
10.306    1.1536
10.286    1.1558
10.266    1.1487
10.245    1.1606
10.225    1.1785
10.205    1.1938
10.185    1.2112
10.165    1.2256
10.145    1.2463
10.125    1.2605
10.106    1.2832
10.086    1.3018
10.066    1.3191
10.047    1.3394
10.027    1.3513
10.008    1.3564
 9.989    1.3796
 9.970    1.4106
 9.950    1.4324
 9.931    1.4509
 9.912    1.4768
 9.893    1.5061
 9.875    1.5325
 9.856    1.5530
