Name: Kaolinite Al2Si2O5(OH)4
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Chain Silicates); (Serpentine/Kaoline Group)
Particle Size:  Fine  (Less than 2 micrometers)
Sample No.: kaolinite.3
Owner: JHU
Wavelength Range:  IR
Origin: Washington Co., Georgia via Hunt and Salisbury Collection 
#CMS KGA-1 (purchased from Clay Mineral Society Repository)
Description:  White, earthy clay. The <2 um separate is pure, well-
crystallized kaolinite.  The bulk sample is slightly contaminated with 
anatase.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none
25.044   76.1639
24.924   73.9842
24.805   71.5311
24.686   68.3162
24.569   64.8006
24.454   61.0038
24.339   59.1717
24.225   58.1756
24.112   56.5077
24.001   53.7381
23.890   51.5233
23.781   50.0389
23.672   48.7538
23.564   46.8202
23.458   44.4335
23.352   41.9999
23.247   40.3241
23.144   40.2675
23.041   42.3456
22.939   46.2421
22.838   50.6249
22.738   54.7284
22.638   57.9061
22.540   60.0702
22.442   61.1346
22.345   61.6268
22.250   61.2205
22.154   60.3905
22.060   58.5038
21.967   56.1834
21.874   52.6014
21.782   47.9530
21.691   41.7968
21.601   35.2655
21.511   28.6269
21.422   23.2812
21.334   20.1503
21.247   19.3906
21.160   20.6914
21.074   24.1796
20.988   28.8163
20.904   34.9394
20.820   41.6640
20.737   48.3593
20.654   53.8475
20.572   58.3202
20.491   61.8084
20.410   64.1463
20.330   65.5252
20.251   66.4002
20.172   66.6561
20.094   66.4198
20.016   65.8612
19.939   64.9588
19.863   63.9373
19.787   62.7948
19.712   61.9549
19.637   60.8045
19.563   59.3553
19.489   57.4432
19.416   55.0741
19.344   51.7001
19.272   48.0663
19.201   43.7733
19.130   39.1806
19.059   34.4921
18.990   29.9335
18.920   25.5390
18.851   21.8095
18.783   18.7031
18.715   16.1298
18.648   14.4619
18.581   13.5664
18.515   13.2431
18.449   13.6406
18.384   14.8134
18.319   16.3476
18.254   18.2773
18.190   20.3769
18.126   22.6523
18.063   25.0087
18.001   27.3368
17.938   29.5702
17.876   31.9306
17.815   34.3407
17.754   36.8720
17.693   39.2323
17.633   41.5311
17.573   43.7948
17.514   45.8671
17.455   47.7284
17.396   49.3602
17.338   50.9149
17.280   52.3221
17.223   53.6268
17.166   54.6522
17.109   55.7420
17.053   56.6727
16.997   57.6346
16.942   58.2499
16.886   59.1541
16.832   59.9080
16.777   60.8680
16.723   61.4461
16.669   61.9998
16.616   62.1444
16.563   62.6493
16.510   63.3866
16.458   64.3641
16.406   65.3944
16.354   66.5115
16.302   67.6072
16.251   68.4197
16.200   69.3524
16.150   69.9569
16.100   70.6512
16.050   71.0027
16.000   71.4041
15.951   71.5203
15.902   71.8475
