Name: Antigorite (Mg, Fe+2)3 Si2O5(OH)4 
Type:  Mineral  
Class:  Silicates
Subclass:  Phyllosilicates  (Sheet silicates) (Serpentine/Kaolin Group) 
Particle Size:  Fine (less than 2 Micrometers)
Sample No.:  antigorite.1
Owner:  JHU.
Wavelength Range:  IR
Origin:  Sample from Kalsertal, Tyrol, Austria, via the Smithsonian 
(sample no. NMNH B17958, borrowed from Jim Crowley, USGS).  
Description: The sample was a large green single crystal.  It appeared 
to be mostly pure antigorite under the microscope, but some (<3%) 
alteration or impurity was present, possibly chrysotile.



Measurement:  Transmission
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information: antigo1a.txt
25.044   59.4608
24.924   58.7811
24.805   58.8163
24.686   58.9256
24.569   59.1092
24.454   59.3436
24.339   59.1795
24.225   59.2889
24.112   59.4100
24.001   59.4881
23.890   59.2030
23.781   58.6639
23.672   58.0428
23.564   56.6522
23.458   54.7381
23.352   52.4452
23.247   50.5096
23.144   48.1483
23.041   45.6815
22.939   43.4237
22.838   41.3456
22.738   39.8358
22.638   38.6601
22.540   37.3690
22.442   36.3300
22.345   35.5546
22.250   35.0468
22.154   34.9413
22.060   35.0644
21.967   35.4550
21.874   35.8690
21.782   36.6054
21.691   37.4999
21.601   38.6718
21.511   39.7382
21.422   40.9159
21.334   42.2147
21.247   43.3612
21.160   44.5018
21.074   45.8846
20.988   47.2518
20.904   48.5800
20.820   49.5760
20.737   50.4706
20.654   51.5565
20.572   52.5838
20.491   53.6092
20.410   54.5858
20.330   55.5018
20.251   56.1034
20.172   56.5487
20.094   57.2186
20.016   57.6014
19.939   57.9862
19.863   58.4256
19.787   58.8905
19.712   59.2899
19.637   59.8788
19.563   60.2967
19.489   60.7323
19.416   61.2547
19.344   61.7508
19.272   62.0194
19.201   62.1952
19.130   62.6522
19.059   62.8133
18.990   62.8368
18.920   62.8836
18.851   62.9100
18.783   62.7616
18.715   62.8602
18.648   62.7264
18.581   62.4510
18.515   62.1327
18.449   62.0077
18.384   61.8905
18.319   61.4774
18.254   61.0672
18.190   60.6815
18.126   60.3182
18.063   59.7987
18.001   59.4041
17.938   58.9120
17.876   58.5633
17.815   58.3280
17.754   58.2420
17.693   58.3241
17.633   58.7508
17.573   59.3719
17.514   60.1219
17.455   61.0799
17.396   61.9569
17.338   62.8162
17.280   63.4061
17.223   64.0565
17.166   64.5936
17.109   65.1131
17.053   65.4119
16.997   65.6883
16.942   65.8524
16.886   65.8944
16.832   65.8221
16.777   65.6414
16.723   65.3377
16.669   65.0291
16.616   64.4744
16.563   63.7703
16.510   63.0662
16.458   62.1844
16.406   61.4657
16.354   60.7313
16.302   60.0584
16.251   59.3260
16.200   58.7821
16.150   58.2791
16.100   57.9500
16.050   57.7508
16.000   57.7284
15.951   57.7420
15.902   57.8924
15.854   58.0702
15.805   58.1249
15.757   58.2264
15.710   58.2040
15.662   58.3329
15.615   58.4930
15.568   58.8153
15.521   59.1639
15.475   59.6698
15.429   60.2625
15.383   61.0057
15.338   61.7166
15.292   62.4412
15.248   63.3377
15.203   64.0750
15.158   64.9500
15.114   65.6151
15.070   66.4539
15.027   67.2069
14.983   68.0467
14.940   68.8807
14.897   69.7274
14.854   70.3983
14.812   71.0604
14.770   71.7010
14.728   72.2557
14.686   72.8328
14.645   73.2889
14.603   73.9207
14.562   74.4734
14.521   75.0750
14.481   75.6004
14.441   76.1170
14.400   76.5691
14.361   76.9363
14.321   77.3367
14.281   77.5975
14.242   77.9510
14.203   78.2820
14.164   78.6111
14.126   78.6980
14.087   78.8807
14.049   79.0535
14.011   79.3465
13.973   79.5887
13.936   79.7889
13.899   80.0804
13.861   80.3304
13.824   80.4690
13.788   80.6697
13.751   80.8943
13.715   81.0061
13.679   81.1565
13.643   81.3787
13.607   81.4705
13.571   81.6521
13.536   81.7718
13.500   81.9124
13.465   82.1306
13.430   82.2810
13.396   82.4593
13.361   82.5745
13.327   82.6097
13.293   82.7014
13.259   82.8245
13.225   82.9490
13.191   83.0662
13.158   83.0960
13.124   83.1097
13.091   83.1853
13.058   83.2517
13.026   83.3826
12.993   83.3225
12.960   83.1936
12.928   83.2171
12.896   83.2820
12.864   83.2347
12.832   83.2815
12.800   83.3846
12.769   83.5935
12.737   83.7249
12.706   83.8577
12.675   84.0530
12.644   84.1736
12.614   84.3513
12.583   84.3299
12.552   84.3758
12.522   84.4353
12.492   84.5706
12.462   84.4866
12.432   84.5095
12.402   84.5740
12.373   84.5193
12.343   84.6228
12.314   84.4959
12.285   84.5237
12.256   84.5135
12.227   84.4768
12.198   84.3758
12.169   84.3069
12.141   84.2527
12.113   84.1468
12.084   83.9104
12.056   83.7928
12.028   83.6077
12.000   83.1975
11.973   82.9431
11.945   82.8074
11.918   82.7625
11.890   82.5139
11.863   82.3660
11.836   82.1858
11.809   82.0330
11.782   81.8260
11.755   81.7224
11.729   81.4729
11.702   81.1717
11.676   80.9226
11.650   80.7615
11.624   80.6062
11.598   80.4021
11.572   80.4026
11.546   80.2991
11.520   80.2693
11.495   80.1370
11.469   80.0413
11.444   79.8753
11.419   79.7850
11.394   79.7342
11.369   79.6990
11.344   79.7405
11.319   79.6717
11.294   79.5628
11.270   79.3045
11.245   79.2000
11.221   78.9168
11.197   78.5935
11.173   78.1961
11.149   77.8689
11.125   77.4104
11.101   76.8904
11.077   76.3987
11.054   75.7640
11.030   75.1180
11.007   74.4241
10.983   73.8206
10.960   73.1248
10.937   72.5316
10.914   71.9280
10.891   71.4129
10.868   70.8245
10.846   70.0770
10.823   69.3421
10.800   68.6014
10.778   67.8519
10.755   66.9530
10.733   66.0213
10.711   64.9163
10.689   63.6922
10.667   62.3050
10.645   61.0018
10.623   59.4657
10.602   57.6605
10.580   55.9398
10.558   54.0780
10.537   52.2811
10.516   50.5448
10.494   48.7601
10.473   47.0214
10.452   45.4125
10.431   43.8593
10.410   42.3866
10.389   41.0180
10.368   39.7040
10.348   38.5233
10.327   37.3788
10.306   36.2948
10.286   35.2519
10.266   34.2367
10.245   33.2109
10.225   32.1737
10.205   31.2157
10.185   30.3949
10.165   29.7792
10.145   29.4106
10.125   29.2753
10.106   29.3544
10.086   29.5829
10.066   29.8705
10.047   30.2074
10.027   30.5966
10.008   31.0663
 9.989   31.5195
 9.970   32.0331
 9.950   32.6513
 9.931   33.3202
 9.912   34.0522
 9.893   34.8608
 9.875   35.7035
 9.856   36.5185
 9.837   37.3036
