Name: Kaolinite Al2Si2O5(OH)4
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Chain Silicates); (Serpentine/Kaoline Group)
Particle Size:  Fine  (Less than 2 micrometers)
Sample No.: kaolinite.2
Owner:  JHU
Wavelength Range:  IR
Origin: Warren County, Georgia, via Hunt and Salisbury Collection 
#CMS KGA-2 (purchased from Clay Mineral Society Repository)
Description: Cream-colored, earthy clay. Completely disordered 
kaolinite.




Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none
25.044   80.7264
24.924   78.9529
24.805   75.9920
24.686   72.4412
24.569   67.3436
24.454   62.6327
24.339   60.5858
24.225   59.0311
24.112   57.4999
24.001   55.0975
23.890   53.0194
23.781   51.4413
23.672   50.2889
23.564   48.5702
23.458   46.0975
23.352   42.9296
23.247   40.2733
23.144   38.7343
23.041   39.1112
22.939   41.9081
22.838   46.2733
22.738   51.2967
22.638   55.7577
22.540   59.0116
22.442   61.1346
22.345   61.9842
22.250   61.9705
22.154   61.3827
22.060   59.8377
21.967   57.3534
21.874   53.8475
21.782   49.2342
21.691   43.4706
21.601   37.1327
21.511   30.2734
21.422   24.4374
21.334   20.5234
21.247   18.0937
21.160   17.5273
21.074   18.6289
20.988   20.9785
20.904   25.3691
20.820   31.7050
20.737   39.3456
20.654   47.1366
20.572   53.8983
20.491   59.1288
20.410   62.9119
20.330   65.5233
20.251   67.0799
20.172   67.7186
20.094   67.8748
20.016   67.4569
19.939   66.6756
19.863   65.4666
19.787   64.1366
19.712   63.0291
19.637   62.2225
19.563   61.0282
19.489   59.4725
19.416   57.1327
19.344   53.7782
19.272   49.9686
19.201   45.5868
19.130   40.6561
19.059   35.6679
18.990   30.5976
18.920   25.7353
18.851   21.3915
18.783   17.5947
18.715   14.6015
18.648   12.4961
18.581   11.0830
18.515   10.1806
18.449    9.8984
18.384   10.0664
18.319   10.6933
18.254   11.8027
18.190   13.2548
18.126   14.8379
18.063   16.5918
18.001   18.4931
17.938   20.5292
17.876   22.6406
17.815   24.9843
17.754   27.5449
17.693   30.2421
17.633   32.9853
17.573   35.7089
17.514   38.2929
17.455   40.7147
17.396   42.8759
17.338   44.8329
17.280   46.6962
17.223   48.3866
17.166   49.7870
17.109   51.0760
17.053   52.2391
16.997   53.1561
16.942   54.0819
16.886   55.1249
16.832   56.0936
16.777   57.0711
16.723   57.8124
16.669   58.4706
16.616   58.9452
16.563   59.5194
16.510   60.3416
16.458   61.4412
16.406   62.8524
16.354   64.1961
16.302   65.3953
16.251   66.4969
16.200   67.4901
16.150   68.3475
16.100   69.1570
16.050   69.7508
16.000   70.1102
15.951   70.3992
15.902   70.5486
15.854   70.4070
15.805   70.1717
15.757   69.8621
