Name:  Prehnite Ca2Al2Si3O10(OH)2
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Chlorite Group)
Particle Size:  Fine  (Less than 2  Micrometers)
Sample No.:  prehnite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Paterson, New Jersey, USA via Norma Vergo

Description: The sample consisted of a cluster of light green, 
translucent crystals weighing about 14 g. Purity appeared high in 
hand sample and under the microscope.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  prehni1a.txt
25.044   60.9139
24.924   60.0311
24.805   58.1874
24.686   56.1600
24.569   53.4999
24.454   50.1874
24.339   47.2655
24.225   44.9257
24.112   43.1561
24.001   42.3280
23.890   42.4882
23.781   43.3749
23.672   44.6327
23.564   45.4374
23.458   45.5565
23.352   44.9940
23.247   43.8515
23.144   42.4003
23.041   40.8300
22.939   39.6288
22.838   39.5644
22.738   40.5565
22.638   41.9999
22.540   43.4393
22.442   44.9452
22.345   46.4452
22.250   47.8280
22.154   49.1522
22.060   50.5116
21.967   51.4725
21.874   52.0643
21.782   52.2967
21.691   51.9256
21.601   50.9178
21.511   49.5936
21.422   48.2147
21.334   47.1913
21.247   46.8300
21.160   47.1210
21.074   47.8065
20.988   48.7186
20.904   49.5956
20.820   50.2889
20.737   50.7342
20.654   50.8866
20.572   50.8592
20.491   50.5936
20.410   50.4374
20.330   50.2987
20.251   50.1464
20.172   50.0467
20.094   50.0272
20.016   50.1483
19.939   50.5624
19.863   50.9764
19.787   51.2889
19.712   51.4813
19.637   51.9540
19.563   52.5672
19.489   53.2987
19.416   53.9686
19.344   54.6170
19.272   54.7792
19.201   54.9569
19.130   54.6610
19.059   54.0526
18.990   52.9227
18.920   51.7626
18.851   50.5790
18.783   49.6659
18.715   48.8524
18.648   48.4491
18.581   48.2303
18.515   48.4647
18.449   48.8514
18.384   49.7147
18.319   50.7743
18.254   52.3885
18.190   54.0555
18.126   56.0780
18.063   58.1659
18.001   60.5164
17.938   62.8055
17.876   65.3768
17.815   67.8162
17.754   70.3611
17.693   72.7313
17.633   75.0330
17.573   76.9002
17.514   78.7889
17.455   80.2635
17.396   81.6922
17.338   82.8162
17.280   83.9021
17.223   84.7869
17.166   85.7508
17.109   86.5603
17.053   87.4041
16.997   88.0545
16.942   88.7322
16.886   89.2732
16.832   89.8211
16.777   90.3142
16.723   90.8005
16.669   91.0945
16.616   91.3142
16.563   91.4929
16.510   91.5974
16.458   91.8591
16.406   92.1384
16.354   92.5134
