Name: Antigorite (Mg, Fe+2)3 Si2O5(OH)4 
Type:  Mineral  
Class:  Silicates
Subclass:  Phyllosilicates  (Sheet silicates)  (Serpentine/Kaolin Group) 
Particle Size:  Solid (cleavage face)
Sample No.:  antigorite.1
Owner:  JHU.
Wavelength Range:  IR
Origin:  Sample from Kalsertal, Tyrol, Austria, via the Smithsonian 
(sample no. NMNH B17958, borrowed from Jim Crowley, USGS).  
Description: The sample was a large green single crystal.  It appeared 
to be mostly pure antigorite under the microscope, but some (<3%) 
alteration or impurity was present, possibly chrysotile.



Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information: antigo1a.txt
25.044   33.9882
24.924   34.1191
24.805   34.0507
24.686   33.6737
24.569   33.2079
24.454   32.7743
24.339   32.7860
24.225   32.7382
24.112   32.7900
24.001   32.7558
23.890   32.7987
23.781   32.8837
23.672   33.3437
23.564   34.4618
23.458   35.8212
23.352   36.9853
23.247   38.1640
23.144   39.5761
23.041   40.9262
22.939   42.0922
22.838   43.0375
22.738   43.7660
22.638   44.4222
22.540   45.0902
22.442   45.7518
22.345   46.6097
22.250   47.5883
22.154   48.5199
22.060   49.3553
21.967   50.1327
21.874   50.8016
21.782   51.3671
21.691   52.0331
21.601   52.6581
21.511   53.2997
21.422   53.8871
21.334   54.5008
21.247   54.9510
21.160   55.1102
21.074   55.2992
20.988   55.6063
20.904   55.7821
20.820   55.8168
20.737   55.9320
20.654   55.9393
20.572   55.8338
20.491   55.5550
20.410   55.0682
20.330   54.3089
20.251   53.0853
20.172   51.7255
20.094   50.4281
20.016   49.2401
19.939   48.2435
19.863   47.7394
19.787   47.5604
19.712   47.2177
19.637   46.8192
19.563   46.4142
19.489   45.6525
19.416   44.4406
19.344   42.9240
19.272   40.9562
19.201   38.4152
19.130   35.5429
19.059   32.5285
18.990   29.3945
18.920   26.3244
18.851   23.5922
18.783   21.1767
18.715   19.0644
18.648   17.4331
18.581   16.2128
18.515   15.2793
18.449   14.6513
18.384   14.3667
18.319   14.3037
18.254   14.3047
18.190   14.3520
18.126   14.5156
18.063   14.7502
18.001   14.9726
17.938   15.2404
17.876   15.4453
17.815   15.6621
17.754   15.9191
17.693   16.1594
17.633   16.3310
17.573   16.4487
17.514   16.5588
17.455   16.6591
17.396   16.7045
17.338   16.7631
17.280   16.8313
17.223   16.9106
17.166   17.0586
17.109   17.1994
17.053   17.3046
16.997   17.4199
16.942   17.5332
16.886   17.7131
16.832   17.9521
16.777   18.2480
16.723   18.6381
16.669   19.0646
16.616   19.5402
16.563   20.1203
16.510   20.7729
16.458   21.4267
16.406   22.0654
16.354   22.7040
16.302   23.3635
16.251   24.0087
16.200   24.6320
16.150   25.2565
16.100   25.8381
16.050   26.3764
16.000   26.8510
15.951   27.2873
15.902   27.6965
15.854   28.0793
15.805   28.5492
15.757   29.0707
15.710   29.6249
15.662   30.2475
15.615   30.8976
15.568   31.5404
15.521   32.1369
15.475   32.6730
15.429   33.1689
15.383   33.5439
15.338   33.8026
15.292   34.0400
15.248   34.2733
15.203   34.4706
15.158   34.7270
15.114   35.0004
15.070   35.1669
15.027   35.2841
14.983   35.3595
14.940   35.3293
14.897   35.1176
14.854   34.8156
14.812   34.3566
14.770   33.7135
14.728   32.9660
14.686   32.1122
14.645   31.0820
14.603   29.9250
14.562   28.7909
14.521   27.6039
14.481   26.2707
14.441   24.8957
14.400   23.4848
14.361   22.0131
14.321   20.6484
14.281   19.5380
14.242   18.6206
14.203   17.8205
14.164   17.1594
14.126   16.5815
14.087   15.9282
14.049   15.1867
14.011   14.4409
13.973   13.6599
13.936   12.8818
13.899   12.1308
13.861   11.4619
13.824   10.8471
13.788   10.2754
13.751    9.7666
13.715    9.3506
13.679    9.0156
13.643    8.7055
13.607    8.4013
13.571    8.1860
13.536    8.0080
13.500    7.8432
13.465    7.7138
13.430    7.6406
13.396    7.6155
13.361    7.5967
13.327    7.5932
13.293    7.6064
13.259    7.6408
13.225    7.7168
13.191    7.7763
13.158    7.8589
13.124    7.9409
13.091    8.0176
13.058    8.1304
13.026    8.1958
12.993    8.2656
12.960    8.3637
12.928    8.4175
12.896    8.4678
12.864    8.5381
12.832    8.5864
12.800    8.6230
12.769    8.6758
12.737    8.7475
12.706    8.8042
12.675    8.8589
12.644    8.9341
12.614    9.0146
12.583    9.0586
12.552    9.1350
12.522    9.2490
12.492    9.3310
12.462    9.4082
12.432    9.5134
12.402    9.5854
12.373    9.6635
12.343    9.7602
12.314    9.8496
12.285    9.9009
12.256    9.9638
12.227   10.0722
12.198   10.1743
12.169   10.2561
12.141   10.3613
12.113   10.4375
12.084   10.5146
12.056   10.6040
12.028   10.7051
12.000   10.7895
11.973   10.8730
11.945   10.9682
11.918   11.0630
11.890   11.1284
11.863   11.1997
11.836   11.2983
11.809   11.3686
11.782   11.4458
11.755   11.5224
11.729   11.5979
11.702   11.6762
11.676   11.7578
11.650   11.8579
11.624   11.9692
11.598   12.0630
11.572   12.1616
11.546   12.2817
11.520   12.4091
11.495   12.5222
11.469   12.6284
11.444   12.7627
11.419   12.8933
11.394   13.0146
11.369   13.1640
11.344   13.3056
11.319   13.4043
11.294   13.5200
11.270   13.6450
11.245   13.7788
11.221   13.8894
11.197   13.9995
11.173   14.1469
11.149   14.2951
11.125   14.4167
11.101   14.5659
11.077   14.7265
11.054   14.9072
11.030   15.0952
11.007   15.2819
10.983   15.4804
10.960   15.6936
10.937   15.8984
10.914   16.1096
10.891   16.3239
10.868   16.5517
10.846   16.7900
10.823   17.0600
10.800   17.3503
10.778   17.6652
10.755   18.0102
10.733   18.3837
10.711   18.7607
10.689   19.1982
10.667   19.6840
10.645   20.1816
10.623   20.6855
10.602   21.2214
10.580   21.7824
10.558   22.3232
10.537   22.8864
10.516   23.4223
10.494   23.8954
10.473   24.3464
10.452   24.7751
10.431   25.1784
10.410   25.6181
10.389   26.1154
10.368   26.6642
10.348   27.2934
10.327   27.9826
10.306   28.7143
10.286   29.4372
10.266   30.1845
10.245   30.9430
10.225   31.7323
10.205   32.5458
10.185   33.3573
10.165   34.1337
10.145   34.8393
10.125   35.4621
10.106   35.9789
10.086   36.4042
10.066   36.7829
10.047   37.1923
10.027   37.6698
10.008   38.2589
 9.989   38.9682
 9.970   39.6928
 9.950   40.4018
 9.931   41.1029
 9.912   41.7479
 9.893   42.3480
 9.875   42.9796
 9.856   43.6132
