Name:  Hemimorphite Zn4Si2O7(OH)2.H2O
Type:  Mineral
Class:  Silicates
Subclass:  Sorosilicates (Two isolated tetrahedra)
Particle Size: Fine  (Less than 2  Micrometers)
Sample No.: hemimor.1
Owner: JHU
Wavelength Range:  IR
Origin: Mapimi, Durango, Mexico via the Smithsonian (sample 
no.NMNH 161931). 
Description: The sample consisted of two white, translucent 
fragments about 1 cm long.  One fragment had some iron staining 
which was removed by picking.  Microscopic examination indicated a 
pure and unaltered sample.


Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: hemimo1a.txt
25.044   85.4842
24.924   85.7967
24.805   86.6873
24.686   87.5349
24.569   87.9529
24.454   87.7068
24.339   87.6912
24.225   87.7068
24.112   87.4256
24.001   86.7810
23.890   86.3943
23.781   85.7459
23.672   85.0662
23.564   84.1326
23.458   83.3123
23.352   82.6404
23.247   81.5740
23.144   80.7517
23.041   80.1580
22.939   79.2986
22.838   77.8064
22.738   75.5740
22.638   71.9217
22.540   66.7655
22.442   61.0233
22.345   56.4706
22.250   55.2577
22.154   58.0956
22.060   64.2752
21.967   71.6287
21.874   78.1326
21.782   82.9412
21.691   86.3064
21.601   88.3240
21.511   89.4451
21.422   90.4802
21.334   91.1795
21.247   91.6033
21.160   91.9373
21.074   92.0330
20.988   91.9236
20.904   91.6795
20.820   91.5330
20.737   91.4568
20.654   91.2146
20.572   90.8435
20.491   90.6560
20.410   90.2263
20.330   89.7283
20.251   89.2908
20.172   88.8924
20.094   88.4568
20.016   88.0252
19.939   87.5603
19.863   86.9373
19.787   86.4236
19.712   85.7459
19.637   84.8006
19.563   83.5594
19.489   82.5359
19.416   81.3865
19.344   79.9812
19.272   78.4891
19.201   76.9412
19.130   75.1170
19.059   73.1570
18.990   71.0272
18.920   68.7196
18.851   66.4295
18.783   64.3680
18.715   62.6170
18.648   61.1444
18.581   60.2586
18.515   59.8397
18.449   59.7362
18.384   59.9647
18.319   60.2010
18.254   60.2157
18.190   59.8485
18.126   58.7782
18.063   56.8915
18.001   54.5721
17.938   52.1922
17.876   50.2772
17.815   49.3788
17.754   49.7401
17.693   51.2704
17.633   53.5526
17.573   55.9891
17.514   58.4686
17.455   60.7088
17.396   62.5360
17.338   63.9666
17.280   64.9295
17.223   65.3983
17.166   65.3944
17.109   64.8709
17.053   64.0448
16.997   62.7157
16.942   60.9471
16.886   58.9657
16.832   56.9393
16.777   54.9061
16.723   53.2147
16.669   52.2030
16.616   51.6366
16.563   51.2899
16.510   51.1757
