Name: Vesuvianite Ca10Mg2Al4(SiO4)5(Si2O7)2(OH)4
Type:  Mineral
Class:  Silicates 
Subclass:   Sorosilicates
Particle Size:  Fine  (less than 2 Micrometers)
Sample No.:  vesuvian.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Quebec, Canada via Norma Vergo

Description:  The sample was a massive piece of striated, green, 
columnar aggregate. It appeared to be pure vesuvianite in hand 
sample and under the microscope.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  vesuvi1a.txt
25.044   60.7889
24.924   59.8280
24.805   58.0819
24.686   55.9569
24.569   54.0819
24.454   52.4296
24.339   51.1483
24.225   50.7694
24.112   51.0819
24.001   51.8436
23.890   52.4530
23.781   52.6131
23.672   51.9178
23.564   50.6678
23.458   48.6346
23.352   46.6190
23.247   44.5331
23.144   42.8280
23.041   41.8300
22.939   41.3124
22.838   40.7284
22.738   40.2108
22.638   39.6815
22.540   39.4921
22.442   39.6718
22.345   40.5741
22.250   41.9765
22.154   43.9003
22.060   45.6327
21.967   46.9491
21.874   47.4374
21.782   47.4608
21.691   47.2069
21.601   46.8905
21.511   46.2499
21.422   45.5702
21.334   44.7304
21.247   43.9042
21.160   42.9608
21.074   42.1444
20.988   41.3163
20.904   40.5311
20.820   39.6679
20.737   38.6581
20.654   37.4374
20.572   36.3886
20.491   35.5194
20.410   35.2304
20.330   35.6562
20.251   36.5673
20.172   37.6063
20.094   38.8124
20.016   39.8886
19.939   40.6845
19.863   41.3642
19.787   42.1991
19.712   43.2968
19.637   44.9423
19.563   46.5917
19.489   48.2089
19.416   49.6180
19.344   50.6805
19.272   51.3475
19.201   52.1053
19.130   52.7587
19.059   53.4696
18.990   53.9920
18.920   54.5545
18.851   55.0663
18.783   55.7235
18.715   56.4081
18.648   57.1610
18.581   57.8719
18.515   58.6805
18.449   59.4139
18.384   60.1893
18.319   60.9266
18.254   61.8709
18.190   62.8651
18.126   63.7752
18.063   64.6737
18.001   65.3670
17.938   65.7264
17.876   65.8397
17.815   65.5448
17.754   64.8260
17.693   63.8182
17.633   62.4666
17.573   60.8827
17.514   59.2538
17.455   57.9706
17.396   57.3016
17.338   57.2401
17.280   57.8133
17.223   58.6375
17.166   59.6727
17.109   60.9002
17.053   62.0741
16.997   62.8875
16.942   63.3504
16.886   63.3289
16.832   62.8944
16.777   62.2215
16.723   61.4764
16.669   60.5594
16.616   59.6913
16.563   59.1014
16.510   58.9188
16.458   59.1688
16.406   59.8924
16.354   60.8319
16.302   61.7078
16.251   62.4237
16.200   62.9344
16.150   63.1483
16.100   63.2713
16.050   63.3905
16.000   63.5897
15.951   63.8358
15.902   64.3680
15.854   64.9178
15.805   65.4451
15.757   65.8367
15.710   66.2430
15.662   66.7020
15.615   67.3992
15.568   68.4422
15.521   69.5877
15.475   70.6658
15.429   71.8045
15.383   72.8397
15.338   73.8055
15.292   74.6912
15.248   75.3953
15.203   75.8807
15.158   76.3172
15.114   76.7420
15.070   77.2937
15.027   78.0418
14.983   79.0096
14.940   79.9715
14.897   80.9861
14.854   81.8963
14.812   82.6404
14.770   83.1521
14.728   83.6541
14.686   84.1741
14.645   84.6658
14.603   85.0271
14.562   85.3357
14.521   85.5506
14.481   85.7171
14.441   85.8694
14.400   86.0427
14.361   86.2249
14.321   86.4588
14.281   86.5882
14.242   86.5882
14.203   86.5076
14.164   86.3318
14.126   86.0725
14.087   85.9197
14.049   85.8968
14.011   86.0745
13.973   86.4060
13.936   86.7947
13.899   87.0530
13.861   87.2854
13.824   87.5315
13.788   87.6951
13.751   87.8069
13.715   87.8245
13.679   87.7952
13.643   87.7166
13.607   87.5818
13.571   87.4080
13.536   87.2346
13.500   87.0642
13.465   86.9646
13.430   86.8103
13.396   86.6448
13.361   86.4104
13.327   86.2185
13.293   85.9890
13.259   85.7932
13.225   85.5315
13.191   85.2205
13.158   84.8924
13.124   84.6062
13.091   84.1062
13.058   83.5760
13.026   82.9998
12.993   82.3660
12.960   81.4724
12.928   80.5135
12.896   79.3694
