Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Coarse (74-250 Micrometers)
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color � a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt
25.044    6.1909
24.924    6.3030
24.805    6.3528
24.686    6.5664
24.569    6.5986
24.454    6.5803
24.339    6.3218
24.225    6.4917
24.112    7.0598
24.001    7.5876
23.890    7.9453
23.781    8.1357
23.672    8.2197
23.564    8.1650
23.458    8.0273
23.352    7.7041
23.247    7.1069
23.144    6.4985
23.041    6.1157
22.939    5.9097
22.838    5.8139
22.738    5.8725
22.638    5.9492
22.540    5.9848
22.442    6.0430
22.345    6.0615
22.250    5.9302
22.154    5.5705
22.060    4.9851
21.967    4.3760
21.874    4.0015
21.782    3.9155
21.691    3.9827
21.601    4.2070
21.511    4.4319
21.422    4.4404
21.334    4.2153
21.247    4.0093
21.160    3.8867
21.074    3.9932
20.988    4.2988
20.904    4.6975
20.820    4.9761
20.737    5.2024
20.654    5.3274
20.572    5.2366
20.491    4.9870
20.410    4.6157
20.330    4.1308
20.251    3.6777
20.172    3.3113
20.094    2.9726
20.016    2.6465
19.939    2.4434
19.863    2.4018
19.787    2.4499
19.712    2.5432
19.637    2.6374
19.563    2.7458
19.489    2.8381
19.416    2.9097
19.344    3.0019
19.272    3.0889
19.201    3.2053
19.130    3.3567
19.059    3.5434
18.990    3.7788
18.920    4.0083
18.851    4.2595
18.783    4.4746
18.715    4.5476
18.648    4.5464
18.581    4.4624
18.515    4.2500
18.449    3.9485
18.384    3.5954
18.319    3.2353
18.254    2.9348
18.190    2.7390
18.126    2.6526
18.063    2.6189
18.001    2.6814
17.938    2.7705
17.876    2.8201
17.815    2.9121
17.754    3.0349
17.693    3.1050
17.633    3.1960
17.573    3.2993
17.514    3.4431
17.455    3.6038
17.396    3.7688
17.338    3.9844
17.280    4.1445
17.223    4.2527
17.166    4.4289
17.109    4.6091
17.053    4.7600
16.997    4.8870
16.942    5.0163
16.886    5.2041
16.832    5.3811
16.777    5.5159
16.723    5.6636
16.669    5.7912
16.616    5.8882
