Name:  Anorthite CaAl2Si2O8
Type:  Mineral (Synthetic)
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Coarse (75-250 Micrometers)
Sample No.:  anorthite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Bruce Hemingway, USGS; synthesized by James 
Woodhead, Princeton University.
Description: The sample was a coarse white powder.  The sample 
appears pure under the microscope, with very fine 
(cryptocrystalline) texture.



Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information:  anorth1a.txt
25.044    3.6616
24.924    3.7734
24.805    3.7317
24.686    3.4641
24.569    3.4026
24.454    3.2893
24.339    3.1196
24.225    3.1311
24.112    3.0937
24.001    2.9932
23.890    2.9199
23.781    2.9880
23.672    3.0395
23.564    2.9773
23.458    2.9404
23.352    2.9062
23.247    2.8479
23.144    2.7588
23.041    2.7036
22.939    2.6802
22.838    2.5767
22.738    2.5293
22.638    2.4971
22.540    2.4028
22.442    2.4634
22.345    2.4829
22.250    2.5232
22.154    2.6477
22.060    2.6577
21.967    2.6670
21.874    2.7349
21.782    2.7334
21.691    2.7617
21.601    2.8071
21.511    2.8184
21.422    2.8227
21.334    2.8550
21.247    2.8393
21.160    2.7954
21.074    2.8064
20.988    2.8306
20.904    2.8769
20.820    2.9097
20.737    2.8809
20.654    2.7966
20.572    2.7371
20.491    2.7224
20.410    2.6567
20.330    2.6260
20.251    2.6362
20.172    2.6755
20.094    2.7170
20.016    2.7715
19.939    2.7751
19.863    2.8393
19.787    2.8645
19.712    2.8694
19.637    2.9228
19.563    2.9299
19.489    2.9392
19.416    2.9788
19.344    2.9763
19.272    3.0095
19.201    3.0635
19.130    3.1101
19.059    3.1677
18.990    3.2263
18.920    3.2900
18.851    3.2983
18.783    3.3457
18.715    3.4033
18.648    3.4504
18.581    3.4665
18.515    3.4631
18.449    3.4172
18.384    3.3218
18.319    3.2842
18.254    3.2917
18.190    3.2915
18.126    3.2517
18.063    3.2754
18.001    3.3547
17.938    3.3777
17.876    3.3921
17.815    3.4678
17.754    3.5120
17.693    3.5146
17.633    3.4770
17.573    3.4372
17.514    3.4058
17.455    3.3725
17.396    3.3657
17.338    3.3518
