Name: Analcime NaAlSi2O6.H2O
Type:  Mineral 
Class: Silicates
Subclass:  Tectosilicates  (Framework silicates) (Zeolite Group)
Particle Size:  Fine (0-60 Micrometers)
Sample No.:  analcime.1
Owner: JHU
Wavelength Range:  IR
Origin:  Sample from Mt. St. Hilaire, Quebec; donated by W. J. Ehmann 
(originally purchased from Ward's Natural Science Establishment). 
Description:  The sample was only available to us as a fine (<60 
micrometers) powder.  It appeared to be free of contaminants in 
hand sample and under the microscope.



Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  analci1a.txt
25.044    1.0386
24.924    1.0571
24.805    1.0625
24.686    0.7974
24.569    0.6887
24.454    0.8284
24.339    0.9297
24.225    0.8540
24.112    0.8332
24.001    0.7861
23.890    0.7695
23.781    0.8374
23.672    0.8555
23.564    0.8799
23.458    0.9038
23.352    0.9087
23.247    0.8674
23.144    0.8276
23.041    0.8711
22.939    0.8906
22.838    0.9182
22.738    0.9988
22.638    1.0225
22.540    1.0686
22.442    1.1189
22.345    1.0879
22.250    1.0474
22.154    1.0388
22.060    1.0322
21.967    1.0903
21.874    1.1428
21.782    1.0813
21.691    1.0342
21.601    1.0312
21.511    0.9597
21.422    0.8867
21.334    0.8904
21.247    0.9070
21.160    0.8350
21.074    0.7539
20.988    0.6790
20.904    0.6445
20.820    0.6165
20.737    0.5654
20.654    0.5256
20.572    0.5364
20.491    0.5076
20.410    0.4492
20.330    0.4404
20.251    0.3970
20.172    0.3276
20.094    0.2881
20.016    0.3042
19.939    0.2986
19.863    0.2856
19.787    0.2722
19.712    0.2729
19.637    0.3003
19.563    0.3064
19.489    0.3096
19.416    0.3276
19.344    0.3154
19.272    0.2927
19.201    0.2671
19.130    0.2664
19.059    0.3032
18.990    0.3066
18.920    0.3315
18.851    0.3877
18.783    0.3755
18.715    0.3750
18.648    0.3862
18.581    0.3704
18.515    0.3674
18.449    0.3958
18.384    0.4250
18.319    0.4307
18.254    0.4336
18.190    0.4185
18.126    0.4145
18.063    0.4236
18.001    0.4448
17.938    0.4385
17.876    0.4539
17.815    0.4800
17.754    0.4976
17.693    0.4861
17.633    0.4839
17.573    0.5007
17.514    0.5352
17.455    0.5452
17.396    0.5564
17.338    0.5747
17.280    0.5701
17.223    0.5608
17.166    0.5759
17.109    0.6140
17.053    0.6204
16.997    0.6123
16.942    0.6113
16.886    0.6140
16.832    0.6160
16.777    0.6077
16.723    0.5955
16.669    0.6033
16.616    0.5925
16.563    0.5718
16.510    0.5723
16.458    0.5779
16.406    0.5681
16.354    0.5771
16.302    0.5747
16.251    0.5627
16.200    0.5571
16.150    0.5972
16.100    0.6033
16.050    0.5881
16.000    0.5759
15.951    0.5906
15.902    0.6082
15.854    0.6223
15.805    0.6448
15.757    0.6626
15.710    0.6719
15.662    0.6963
15.615    0.7297
15.568    0.7537
15.521    0.7688
15.475    0.8020
15.429    0.8230
15.383    0.8271
15.338    0.8691
15.292    0.8884
15.248    0.8655
15.203    0.8694
15.158    0.8784
15.114    0.8884
15.070    0.8843
15.027    0.8650
14.983    0.8730
14.940    0.8921
14.897    0.8782
14.854    0.8743
14.812    0.8848
14.770    0.8855
14.728    0.8904
14.686    0.8818
14.645    0.8740
14.603    0.8516
14.562    0.8359
14.521    0.8154
14.481    0.7759
14.441    0.7468
14.400    0.7329
14.361    0.7231
14.321    0.7224
14.281    0.7222
14.242    0.7197
14.203    0.7163
14.164    0.7178
14.126    0.7148
14.087    0.6985
14.049    0.6670
14.011    0.6443
13.973    0.6548
13.936    0.6521
13.899    0.6335
13.861    0.6267
13.824    0.6174
13.788    0.6116
13.751    0.5981
13.715    0.5828
13.679    0.5784
13.643    0.5647
13.607    0.5364
13.571    0.5330
13.536    0.5371
13.500    0.5161
13.465    0.4980
13.430    0.4941
13.396    0.4927
13.361    0.4773
13.327    0.4539
13.293    0.4543
13.259    0.4722
13.225    0.4570
13.191    0.4297
13.158    0.4268
13.124    0.4548
13.091    0.4426
13.058    0.4131
13.026    0.4062
12.993    0.4011
12.960    0.3779
12.928    0.3613
12.896    0.3638
12.864    0.3718
12.832    0.4045
12.800    0.4431
12.769    0.4839
12.737    0.5398
12.706    0.5959
12.675    0.6692
12.644    0.7446
12.614    0.8123
12.583    0.9075
12.552    1.0193
12.522    1.1304
12.492    1.2410
12.462    1.3452
12.432    1.4590
12.402    1.5596
12.373    1.6448
12.343    1.7278
12.314    1.7886
12.285    1.8564
12.256    1.9341
12.227    1.9914
12.198    2.0312
12.169    2.0847
12.141    2.1514
12.113    2.2087
12.084    2.2610
12.056    2.3105
12.028    2.3747
12.000    2.4089
11.973    2.4248
11.945    2.4592
11.918    2.4814
11.890    2.4995
11.863    2.5278
11.836    2.5300
11.809    2.5359
11.782    2.5576
11.755    2.5674
11.729    2.5723
11.702    2.5720
11.676    2.5727
11.650    2.5774
11.624    2.5893
11.598    2.5879
11.572    2.5793
11.546    2.5725
11.520    2.5723
11.495    2.5642
11.469    2.5515
11.444    2.5461
11.419    2.5232
11.394    2.5054
11.369    2.5012
11.344    2.4790
11.319    2.4399
11.294    2.4219
11.270    2.4023
11.245    2.3750
11.221    2.3428
11.197    2.3125
11.173    2.2830
11.149    2.2568
11.125    2.2261
11.101    2.1973
11.077    2.1633
11.054    2.1267
11.030    2.0835
11.007    2.0410
10.983    2.0019
10.960    1.9631
10.937    1.9255
10.914    1.8743
10.891    1.8276
10.868    1.7944
10.846    1.7554
10.823    1.7165
10.800    1.6836
10.778    1.6406
10.755    1.5957
10.733    1.5679
10.711    1.5432
10.689    1.5093
10.667    1.4575
10.645    1.4099
10.623    1.3643
10.602    1.3369
10.580    1.3105
10.558    1.2703
10.537    1.2297
10.516    1.1953
10.494    1.1667
10.473    1.1367
10.452    1.1145
10.431    1.0915
10.410    1.0742
10.389    1.0466
10.368    1.0156
10.348    0.9983
10.327    0.9890
10.306    0.9758
10.286    0.9729
10.266    0.9783
10.245    0.9841
10.225    0.9893
10.205    0.9932
10.185    0.9961
10.165    1.0098
10.145    1.0144
10.125    1.0105
10.106    1.0266
10.086    1.0435
10.066    1.0542
10.047    1.0693
10.027    1.0813
10.008    1.0928
 9.989    1.1077
 9.970    1.1304
 9.950    1.1450
 9.931    1.1562
 9.912    1.1768
 9.893    1.2024
 9.875    1.2241
 9.856    1.2458
 9.837    1.2634
 9.818    1.2725
 9.800    1.2834
 9.781    1.3013
 9.763    1.3110
 9.745    1.3210
 9.726    1.3337
 9.708    1.3457
 9.690    1.3652
 9.672    1.3843
 9.654    1.4058
 9.636    1.4158
 9.618    1.4382
 9.600    1.4678
 9.583    1.4822
 9.565    1.4944
 9.547    1.5046
 9.530    1.5122
 9.512    1.5156
 9.495    1.5220
 9.477    1.5232
 9.460    1.5247
 9.443    1.5195
 9.426    1.5088
 9.409    1.4932
 9.392    1.4700
 9.375    1.4502
 9.358    1.4221
 9.341    1.3906
 9.324    1.3621
 9.307    1.3252
 9.291    1.2839
 9.274    1.2393
 9.257    1.1975
 9.241    1.1536
 9.224    1.1135
 9.208    1.0845
 9.192    1.0601
 9.175    1.0342
 9.159    1.0120
 9.143    0.9919
 9.127    0.9756
 9.111    0.9707
 9.095    0.9678
 9.079    0.9600
 9.063    0.9607
 9.047    0.9675
 9.032    0.9731
 9.016    0.9761
 9.000    0.9695
 8.985    0.9646
 8.969    0.9819
 8.954    1.0032
 8.938    1.0103
 8.923    1.0156
 8.907    1.0298
 8.892    1.0422
 8.877    1.0493
 8.862    1.0527
 8.847    1.0491
 8.832    1.0439
 8.817    1.0525
 8.802    1.0561
 8.787    1.0478
 8.772    1.0488
 8.757    1.0544
 8.742    1.0481
 8.728    1.0337
 8.713    1.0178
 8.698    1.0203
 8.684    1.0239
 8.669    1.0090
 8.655    1.0046
 8.640    1.0068
 8.626    1.0032
 8.612    1.0015
 8.597    1.0037
 8.583    1.0022
 8.569    1.0039
 8.555    1.0127
 8.541    1.0100
 8.527    1.0061
 8.513    1.0115
 8.499    1.0063
 8.485    0.9907
 8.471    0.9780
 8.457    0.9634
 8.443    0.9473
 8.430    0.9272
 8.416    0.9053
 8.402    0.8833
 8.389    0.8513
 8.375    0.8274
 8.362    0.8062
 8.348    0.7703
 8.335    0.7327
 8.321    0.7024
 8.308    0.6728
 8.295    0.6377
 8.281    0.6038
 8.268    0.5666
 8.255    0.5291
 8.242    0.4893
 8.229    0.4514
 8.216    0.4180
 8.203    0.3831
 8.190    0.3481
 8.177    0.3164
 8.164    0.2791
 8.151    0.2466
 8.138    0.2158
 8.126    0.1953
 8.113    0.1787
 8.100    0.1562
 8.088    0.1299
 8.075    0.1145
 8.062    0.1089
 8.050    0.1040
 8.037    0.0974
 8.025    0.0891
 8.013    0.0894
 8.000    0.0969
 7.988    0.1077
 7.976    0.1174
 7.963    0.1265
 7.951    0.1426
 7.939    0.1599
 7.927    0.1777
 7.915    0.2031
 7.903    0.2317
 7.891    0.2605
 7.879    0.2861
 7.867    0.3113
 7.855    0.3464
 7.843    0.3838
 7.831    0.4216
 7.819    0.4597
 7.807    0.5032
 7.796    0.5422
 7.784    0.5823
 7.772    0.6260
 7.761    0.6694
 7.749    0.7200
 7.738    0.7649
 7.726    0.8066
 7.715    0.8520
 7.703    0.9009
 7.692    0.9443
 7.680    0.9919
 7.669    1.0388
 7.658    1.0920
 7.646    1.1404
 7.635    1.1851
 7.624    1.2327
 7.613    1.2810
 7.601    1.3301
 7.590    1.3745
 7.579    1.4165
 7.568    1.4626
 7.557    1.5193
 7.546    1.5684
 7.535    1.6082
 7.524    1.6497
 7.513    1.6953
 7.502    1.7439
 7.492    1.7866
 7.481    1.8237
 7.470    1.8672
 7.459    1.9070
 7.448    1.9463
 7.438    1.9841
 7.427    2.0256
 7.417    2.0601
 7.406    2.0911
 7.395    2.1218
 7.385    2.1606
 7.374    2.1977
 7.364    2.2263
 7.353    2.2529
 7.343    2.2847
 7.333    2.3215
 7.322    2.3498
 7.312    2.3762
 7.302    2.4023
 7.291    2.4250
 7.281    2.4490
 7.271    2.4770
 7.261    2.5017
 7.251    2.5232
 7.240    2.5481
 7.230    2.5693
 7.220    2.5859
 7.210    2.6060
 7.200    2.6189
 7.190    2.6330
 7.180    2.6545
 7.170    2.6775
 7.160    2.6904
 7.151    2.7014
 7.141    2.7212
 7.131    2.7346
 7.121    2.7407
 7.111    2.7585
 7.102    2.7778
 7.092    2.7876
 7.082    2.8027
 7.073    2.8184
 7.063    2.8293
 7.053    2.8423
 7.044    2.8555
 7.034    2.8738
 7.025    2.8874
 7.015    2.9023
 7.006    2.9170
 6.996    2.9219
 6.987    2.9338
 6.977    2.9521
 6.968    2.9587
 6.959    2.9634
 6.949    2.9770
 6.940    2.9795
 6.931    2.9770
 6.921    2.9773
 6.912    2.9819
 6.903    2.9861
 6.894    2.9863
 6.885    2.9849
 6.876    2.9831
 6.866    2.9758
 6.857    2.9661
 6.848    2.9629
 6.839    2.9629
 6.830    2.9551
 6.821    2.9485
 6.812    2.9499
 6.803    2.9536
 6.794    2.9548
 6.786    2.9592
 6.777    2.9702
 6.768    2.9831
 6.759    2.9961
 6.750    3.0105
 6.741    3.0268
 6.733    3.0391
 6.724    3.0564
 6.715    3.0793
 6.707    3.1047
 6.698    3.1291
 6.689    3.1543
 6.681    3.1819
 6.672    3.2095
 6.663    3.2368
 6.655    3.2693
 6.646    3.2934
 6.638    3.3122
 6.629    3.3403
 6.621    3.3747
 6.612    3.4043
 6.604    3.4304
 6.596    3.4529
 6.587    3.4700
 6.579    3.4851
 6.571    3.5012
 6.562    3.5156
 6.554    3.5273
 6.546    3.5400
 6.537    3.5456
 6.529    3.5420
 6.521    3.5373
 6.513    3.5320
 6.505    3.5154
 6.496    3.4871
 6.488    3.4705
 6.480    3.4504
 6.472    3.4141
 6.464    3.3796
 6.456    3.3423
 6.448    3.2954
 6.440    3.2493
 6.432    3.1992
 6.424    3.1382
 6.416    3.0788
 6.408    3.0315
 6.400    2.9873
 6.392    2.9392
 6.384    2.8862
 6.377    2.8359
 6.369    2.7944
 6.361    2.7571
 6.353    2.7209
 6.345    2.6809
 6.338    2.6475
 6.330    2.6221
 6.322    2.5920
 6.314    2.5588
 6.307    2.5278
 6.299    2.4902
 6.291    2.4480
 6.284    2.4070
 6.276    2.3650
 6.269    2.3142
 6.261    2.2554
 6.254    2.1899
 6.246    2.1160
 6.238    2.0320
 6.231    1.9407
 6.223    1.8372
 6.216    1.7212
 6.209    1.5937
 6.201    1.4490
 6.194    1.2905
 6.186    1.1267
 6.179    0.9651
 6.172    0.8137
 6.164    0.6841
 6.157    0.5923
 6.150    0.5242
 6.142    0.4663
 6.135    0.4233
 6.128    0.3894
 6.121    0.3630
 6.113    0.3560
 6.106    0.3743
 6.099    0.4075
 6.092    0.4529
 6.085    0.5154
 6.078    0.5898
 6.070    0.6689
 6.063    0.7512
 6.056    0.8442
 6.049    0.9431
 6.042    1.0515
 6.035    1.1689
 6.028    1.2908
 6.021    1.4219
 6.014    1.5608
 6.007    1.7048
 6.000    1.8481
 5.993    1.9817
 5.986    2.1077
 5.979    2.2266
 5.973    2.3342
 5.966    2.4341
 5.959    2.5256
 5.952    2.6081
 5.945    2.6865
 5.938    2.7602
 5.932    2.8308
 5.925    2.8926
 5.918    2.9521
 5.911    3.0078
 5.905    3.0632
 5.898    3.1103
 5.891    3.1550
 5.884    3.1973
 5.878    3.2444
 5.871    3.2944
 5.864    3.3320
 5.858    3.3664
 5.851    3.4014
 5.845    3.4358
 5.838    3.4678
 5.831    3.4958
 5.825    3.5137
 5.818    3.5342
 5.812    3.5630
 5.805    3.5901
 5.799    3.6147
 5.792    3.6355
 5.786    3.6533
 5.779    3.6721
 5.773    3.6870
 5.767    3.6999
 5.760    3.7241
 5.754    3.7432
 5.747    3.7593
 5.741    3.7778
 5.735    3.7971
 5.728    3.8183
 5.722    3.8386
 5.716    3.8589
 5.709    3.8821
 5.703    3.9097
 5.697    3.9368
 5.691    3.9617
 5.684    3.9868
 5.678    4.0107
 5.672    4.0344
 5.666    4.0630
 5.660    4.0937
 5.653    4.1199
 5.647    4.1450
 5.641    4.1728
 5.635    4.2029
 5.629    4.2295
 5.623    4.2624
 5.617    4.2932
 5.611    4.3159
 5.604    4.3467
 5.598    4.3735
 5.592    4.3926
 5.586    4.4136
 5.580    4.4372
 5.574    4.4639
 5.568    4.4905
 5.562    4.5161
 5.556    4.5408
 5.550    4.5679
 5.545    4.5994
 5.539    4.6316
 5.533    4.6599
 5.527    4.6880
 5.521    4.7248
 5.515    4.7578
 5.509    4.7886
 5.503    4.8242
 5.498    4.8628
 5.492    4.9023
 5.486    4.9368
 5.480    4.9709
 5.474    5.0073
 5.469    5.0447
 5.463    5.0830
 5.457    5.1184
 5.451    5.1550
 5.446    5.1897
 5.440    5.2239
 5.434    5.2544
 5.428    5.2832
 5.423    5.3127
 5.417    5.3459
 5.411    5.3747
 5.406    5.4026
 5.400    5.4289
 5.395    5.4541
 5.389    5.4824
 5.383    5.5100
 5.378    5.5344
 5.372    5.5576
 5.367    5.5813
 5.361    5.6055
 5.356    5.6311
 5.350    5.6572
 5.344    5.6848
 5.339    5.7077
 5.333    5.7300
 5.328    5.7573
 5.323    5.7847
 5.317    5.8076
 5.312    5.8342
 5.306    5.8584
 5.301    5.8813
 5.295    5.9084
 5.290    5.9319
 5.285    5.9587
 5.279    5.9907
 5.274    6.0127
 5.268    6.0295
 5.263    6.0483
 5.258    6.0688
 5.252    6.0864
 5.247    6.0979
 5.242    6.1128
 5.237    6.1304
 5.231    6.1433
 5.226    6.1540
 5.221    6.1655
 5.215    6.1736
 5.210    6.1838
 5.205    6.1931
 5.200    6.1977
 5.195    6.2075
 5.189    6.2158
 5.184    6.2214
 5.179    6.2312
 5.174    6.2463
 5.169    6.2600
 5.163    6.2732
 5.158    6.2883
 5.153    6.3017
 5.148    6.3115
 5.143    6.3254
 5.138    6.3423
 5.133    6.3601
 5.128    6.3794
 5.123    6.3945
 5.118    6.4111
 5.113    6.4326
 5.108    6.4529
 5.103    6.4700
 5.097    6.4900
 5.092    6.5105
 5.087    6.5273
 5.083    6.5454
 5.078    6.5627
 5.073    6.5779
 5.068    6.5976
 5.063    6.6113
 5.058    6.6235
 5.053    6.6372
 5.048    6.6445
 5.043    6.6516
 5.038    6.6638
 5.033    6.6699
 5.028    6.6709
 5.023    6.6728
 5.019    6.6748
 5.014    6.6755
 5.009    6.6750
 5.004    6.6701
 4.999    6.6604
 4.994    6.6516
 4.990    6.6518
 4.985    6.6470
 4.980    6.6343
 4.975    6.6264
 4.970    6.6245
 4.966    6.6145
 4.961    6.6003
 4.956    6.5859
 4.951    6.5737
 4.947    6.5637
 4.942    6.5530
 4.937    6.5432
 4.933    6.5337
 4.928    6.5278
 4.923    6.5198
 4.919    6.5078
 4.914    6.5054
 4.909    6.5061
 4.905    6.5066
 4.900    6.5129
 4.895    6.5171
 4.891    6.5244
 4.886    6.5366
 4.882    6.5498
 4.877    6.5639
 4.872    6.5786
 4.868    6.5979
 4.863    6.6208
 4.859    6.6426
 4.854    6.6645
 4.850    6.6899
 4.845    6.7117
 4.840    6.7317
 4.836    6.7619
 4.831    6.7837
 4.827    6.8020
 4.822    6.8210
 4.818    6.8367
 4.814    6.8542
 4.809    6.8669
 4.805    6.8767
 4.800    6.8901
 4.796    6.9050
 4.791    6.9175
 4.787    6.9241
 4.782    6.9343
 4.778    6.9451
 4.774    6.9482
 4.769    6.9538
 4.765    6.9658
 4.760    6.9739
 4.756    6.9805
 4.752    6.9883
 4.747    6.9936
 4.743    6.9971
 4.739    6.9978
 4.734    7.0007
 4.730    7.0080
 4.726    7.0156
 4.721    7.0224
 4.717    7.0285
 4.713    7.0364
 4.709    7.0422
 4.704    7.0566
 4.700    7.0698
 4.696    7.0837
 4.692    7.0964
 4.687    7.1113
 4.683    7.1296
 4.679    7.1504
 4.675    7.1741
 4.670    7.1933
 4.666    7.2102
 4.662    7.2407
 4.658    7.2727
 4.654    7.2991
 4.649    7.3266
 4.645    7.3576
 4.641    7.3850
 4.637    7.4179
 4.633    7.4487
 4.629    7.4753
 4.625    7.5068
 4.620    7.5486
 4.616    7.5837
 4.612    7.6116
 4.608    7.6413
 4.604    7.6723
 4.600    7.7063
 4.596    7.7436
 4.592    7.7727
 4.588    7.8022
 4.584    7.8381
 4.580    7.8777
 4.576    7.9084
 4.572    7.9370
 4.568    7.9773
 4.564    8.0146
 4.560    8.0388
 4.555    8.0730
 4.551    8.1074
 4.548    8.1362
 4.544    8.1672
 4.540    8.2012
 4.536    8.2329
 4.532    8.2561
 4.528    8.2856
 4.524    8.3193
 4.520    8.3457
 4.516    8.3757
 4.512    8.4079
 4.508    8.4353
 4.504    8.4595
 4.500    8.4856
 4.496    8.5124
 4.492    8.5351
 4.488    8.5649
 4.485    8.5947
 4.481    8.6199
 4.477    8.6484
 4.473    8.6748
 4.469    8.7031
 4.465    8.7309
 4.461    8.7619
 4.458    8.7942
 4.454    8.8222
 4.450    8.8554
 4.446    8.8894
 4.442    8.9228
 4.438    8.9585
 4.435    8.9936
 4.431    9.0254
 4.427    9.0617
 4.423    9.0996
 4.420    9.1372
 4.416    9.1701
 4.412    9.2048
 4.408    9.2434
 4.405    9.2724
 4.401    9.3012
 4.397    9.3381
 4.393    9.3755
 4.390    9.4072
 4.386    9.4358
 4.382    9.4668
 4.379    9.4983
 4.375    9.5249
 4.371    9.5573
 4.367    9.5874
 4.364    9.6150
 4.360    9.6404
 4.356    9.6645
 4.353    9.6894
 4.349    9.7146
 4.345    9.7390
 4.342    9.7644
 4.338    9.7893
 4.335    9.8159
 4.331    9.8376
 4.327    9.8545
 4.324    9.8769
 4.320    9.9031
 4.317    9.9243
 4.313    9.9470
 4.309    9.9641
 4.306    9.9807
 4.302    9.9995
 4.299   10.0154
 4.295   10.0366
 4.292   10.0573
 4.288   10.0747
 4.284   10.0901
 4.281   10.1106
 4.277   10.1311
 4.274   10.1484
 4.270   10.1653
 4.267   10.1875
 4.263   10.2031
 4.260   10.2131
 4.256   10.2270
 4.253   10.2461
 4.249   10.2654
 4.246   10.2822
 4.242   10.2971
 4.239   10.3113
 4.235   10.3279
 4.232   10.3462
 4.229   10.3572
 4.225   10.3720
 4.222   10.3862
 4.218   10.3987
 4.215   10.4175
 4.211   10.4333
 4.208   10.4477
 4.205   10.4575
 4.201   10.4624
 4.198   10.4768
 4.194   10.4931
 4.191   10.5075
 4.188   10.5168
 4.184   10.5293
 4.181   10.5427
 4.177   10.5481
 4.174   10.5547
 4.171   10.5703
 4.167   10.5786
 4.164   10.5857
 4.161   10.5969
 4.157   10.6023
 4.154   10.6052
 4.151   10.6164
 4.147   10.6286
 4.144   10.6362
 4.141   10.6399
 4.137   10.6465
 4.134   10.6516
 4.131   10.6577
 4.128   10.6650
 4.124   10.6687
 4.121   10.6711
 4.118   10.6775
 4.114   10.6877
 4.111   10.6884
 4.108   10.6924
 4.105   10.7058
 4.101   10.7143
 4.098   10.7199
 4.095   10.7238
 4.092   10.7273
 4.088   10.7370
 4.085   10.7448
 4.082   10.7512
 4.079   10.7588
 4.076   10.7641
 4.072   10.7717
 4.069   10.7798
 4.066   10.7890
 4.063   10.7968
 4.060   10.7995
 4.056   10.8037
 4.053   10.8132
 4.050   10.8208
 4.047   10.8225
 4.044   10.8318
 4.041   10.8354
 4.038   10.8340
 4.034   10.8386
 4.031   10.8447
 4.028   10.8437
 4.025   10.8484
 4.022   10.8589
 4.019   10.8591
 4.016   10.8586
 4.013   10.8630
 4.009   10.8650
 4.006   10.8655
 4.003   10.8686
 4.000   10.8694
 3.997   10.8672
 3.994   10.8713
 3.991   10.8774
 3.988   10.8777
 3.985   10.8738
 3.982   10.8777
 3.979   10.8769
 3.976   10.8733
 3.973   10.8718
 3.969   10.8772
 3.966   10.8757
 3.963   10.8777
 3.960   10.8852
 3.957   10.8825
 3.954   10.8816
 3.951   10.8869
 3.948   10.8916
 3.945   10.8908
 3.942   10.8916
 3.939   10.8979
 3.936   10.9035
 3.933   10.9077
 3.930   10.9123
 3.927   10.9160
 3.924   10.9175
 3.921   10.9187
 3.918   10.9226
 3.916   10.9258
 3.913   10.9321
 3.910   10.9363
 3.907   10.9384
 3.904   10.9409
 3.901   10.9421
 3.898   10.9477
 3.895   10.9519
 3.892   10.9531
 3.889   10.9499
 3.886   10.9458
 3.883   10.9494
 3.880   10.9531
 3.877   10.9607
 3.875   10.9631
 3.872   10.9621
 3.869   10.9609
 3.866   10.9558
 3.863   10.9538
 3.860   10.9616
 3.857   10.9643
 3.854   10.9607
 3.852   10.9575
 3.849   10.9521
 3.846   10.9543
 3.843   10.9563
 3.840   10.9524
 3.837   10.9511
 3.834   10.9548
 3.832   10.9504
 3.829   10.9458
 3.826   10.9463
 3.823   10.9404
 3.820   10.9365
 3.817   10.9372
 3.815   10.9314
 3.812   10.9275
 3.809   10.9272
 3.806   10.9226
 3.803   10.9221
 3.801   10.9238
 3.798   10.9223
 3.795   10.9150
 3.792   10.9148
 3.790   10.9179
 3.787   10.9211
 3.784   10.9157
 3.781   10.9153
 3.779   10.9233
 3.776   10.9275
 3.773   10.9353
 3.770   10.9375
 3.768   10.9416
 3.765   10.9477
 3.762   10.9494
 3.759   10.9546
 3.757   10.9565
 3.754   10.9575
 3.751   10.9575
 3.748   10.9538
 3.746   10.9480
 3.743   10.9511
 3.740   10.9546
 3.738   10.9489
 3.735   10.9472
 3.732   10.9472
 3.730   10.9411
 3.727   10.9394
 3.724   10.9363
 3.722   10.9323
 3.719   10.9260
 3.716   10.9196
 3.714   10.9104
 3.711   10.9060
 3.708   10.9028
 3.706   10.8926
 3.703   10.8889
 3.700   10.8860
 3.698   10.8833
 3.695   10.8784
 3.692   10.8718
 3.690   10.8664
 3.687   10.8608
 3.685   10.8562
 3.682   10.8535
 3.679   10.8445
 3.677   10.8354
 3.674   10.8391
 3.671   10.8410
 3.669   10.8261
 3.666   10.8169
 3.664   10.8142
 3.661   10.8100
 3.659   10.8051
 3.656   10.7998
 3.653   10.7961
 3.651   10.7895
 3.648   10.7795
 3.646   10.7727
 3.643   10.7680
 3.641   10.7622
 3.638   10.7578
 3.635   10.7534
 3.633   10.7473
 3.630   10.7395
 3.628   10.7319
 3.625   10.7263
 3.623   10.7175
 3.620   10.7138
 3.618   10.7092
 3.615   10.6950
 3.613   10.6841
 3.610   10.6814
 3.608   10.6787
 3.605   10.6667
 3.603   10.6599
 3.600   10.6548
 3.598   10.6447
 3.595   10.6362
 3.593   10.6264
 3.590   10.6203
 3.588   10.6128
 3.585   10.6052
 3.583   10.5954
 3.580   10.5869
 3.578   10.5739
 3.575   10.5639
 3.573   10.5542
 3.570   10.5473
 3.568   10.5354
 3.565   10.5210
 3.563   10.5161
 3.561   10.5044
 3.558   10.4922
 3.556   10.4858
 3.553   10.4760
 3.551   10.4680
 3.548   10.4599
 3.546   10.4524
 3.544   10.4392
 3.541   10.4284
 3.539   10.4206
 3.536   10.4150
 3.534   10.4048
 3.531   10.3957
 3.529   10.3843
 3.527   10.3716
 3.524   10.3625
 3.522   10.3532
 3.519   10.3391
 3.517   10.3215
 3.515   10.3156
 3.512   10.2942
 3.510   10.2629
 3.508   10.2468
 3.505   10.2336
 3.503   10.2163
 3.500   10.2070
 3.498   10.2011
 3.496   10.1943
 3.493   10.1899
 3.491   10.1894
 3.489   10.1914
 3.486   10.1750
 3.484   10.1667
 3.482   10.1660
 3.479   10.1533
 3.477   10.1357
 3.475   10.1216
 3.472   10.1169
 3.470   10.1067
 3.468   10.0949
 3.465   10.0857
 3.463   10.0796
 3.461   10.0666
 3.458   10.0505
 3.456   10.0356
 3.454   10.0244
 3.452   10.0149
 3.449    9.9951
 3.447    9.9780
 3.445    9.9612
 3.442    9.9475
 3.440    9.9311
 3.438    9.9206
 3.435    9.9031
 3.433    9.8821
 3.431    9.8630
 3.429    9.8420
 3.426    9.8222
 3.424    9.8044
 3.422    9.7842
 3.420    9.7627
 3.417    9.7451
 3.415    9.7336
 3.413    9.7234
 3.411    9.7116
 3.408    9.7046
 3.406    9.6999
 3.404    9.6950
 3.402    9.6928
 3.399    9.6889
 3.397    9.6855
