Name:  Heulandite (Na,Ca)2-3Al3(Al,Si)2Si13O36.12H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Zeolite Group)
Particle Size: Fine  (0-74 micrometers)
Sample No.: heulan.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Gobel, Oregon via Joe Taggart, USGS, Denver, Colorado.

Description: The sample is composed of 1 cm diameter, pearly, 
translucent crystals in a white, fine-grained groundmass. Crystals 
were separated by hand and appear to be pure heulandite.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  heulan2a.txt
25.044    0.7978
24.924    0.7783
24.805    0.7441
24.686    0.7500
24.569    0.7744
24.454    0.7930
24.339    0.7695
24.225    0.7461
24.112    0.7441
24.001    0.7422
23.890    0.7441
23.781    0.7388
23.672    0.7212
23.564    0.7329
23.458    0.7461
23.352    0.7393
23.247    0.7427
23.144    0.7642
23.041    0.7798
22.939    0.7734
22.838    0.7666
22.738    0.7798
22.638    0.7949
22.540    0.8174
22.442    0.8188
22.345    0.8403
22.250    0.8535
22.154    0.7627
22.060    0.7881
21.967    0.8677
21.874    0.8833
21.782    0.8970
21.691    0.8926
21.601    0.9019
21.511    0.9194
21.422    0.9282
21.334    0.9370
21.247    0.9507
21.160    0.9524
21.074    0.9424
20.988    0.9241
20.904    0.9160
20.820    0.8970
20.737    0.8701
20.654    0.8350
20.572    0.8215
20.491    0.7969
20.410    0.7639
20.330    0.7385
20.251    0.7085
20.172    0.6797
20.094    0.6455
20.016    0.6240
19.939    0.6060
19.863    0.5820
19.787    0.5557
19.712    0.5293
19.637    0.5081
19.563    0.4993
19.489    0.4976
19.416    0.4905
19.344    0.4849
19.272    0.4739
19.201    0.4807
19.130    0.4866
19.059    0.4790
18.990    0.4749
18.920    0.4692
18.851    0.4573
18.783    0.4434
18.715    0.4329
18.648    0.4216
18.581    0.4099
18.515    0.4043
18.449    0.4011
18.384    0.4014
18.319    0.3962
18.254    0.3926
18.190    0.4019
18.126    0.4126
18.063    0.4136
18.001    0.4121
17.938    0.4097
17.876    0.4145
17.815    0.4229
17.754    0.4302
17.693    0.4312
17.633    0.4263
17.573    0.4243
17.514    0.4282
17.455    0.4341
17.396    0.4370
17.338    0.4370
17.280    0.4353
17.223    0.4355
17.166    0.4409
17.109    0.4443
17.053    0.4456
16.997    0.4451
16.942    0.4463
16.886    0.4497
16.832    0.4482
16.777    0.4431
16.723    0.4375
16.669    0.4385
16.616    0.4360
16.563    0.4270
16.510    0.4258
