Name: Analcime NaAlSi2O6.H2O
Type:  Mineral 
Class: Silicates
Subclass:  Tectosilicates  (Framework silicates) (Zeolite Group)
Particle Size:  0-60 micrometers.  (Packed powder simulate coarse.)
Sample No.:  analcime.1
Owner: JHU
Wavelength Range:  IR
Origin:  Sample from Mt. St. Hilaire, Quebec; donated by W. J. Ehmann 
(originally purchased from Ward's Natural Science Establishment). 
Description:  The sample was only available to us as a fine (<60 
micrometers) powder.  It appeared to be free of contaminants in 
hand sample and under the microscope.



Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  analci1a.txt
25.044    7.8061
24.924    7.6826
24.805    7.8557
24.686    7.9238
24.569    7.9045
24.454    7.8808
24.339    7.9006
24.225    7.7597
24.112    7.6565
24.001    7.9609
23.890    8.0874
23.781    8.0725
23.672    8.1357
23.564    8.2429
23.458    8.1784
23.352    8.3359
23.247    8.5874
23.144    8.7744
23.041    8.9951
22.939    9.2881
22.838    9.4934
22.738    9.6679
22.638   10.0483
22.540   10.4555
22.442   10.7573
22.345   11.1347
22.250   11.5302
22.154   11.7783
22.060   12.0334
21.967   12.2783
21.874   12.3735
21.782   12.3706
21.691   12.3352
21.601   12.1338
21.511   11.8442
21.422   11.6216
21.334   11.3405
21.247   10.9492
21.160   10.5842
21.074   10.2685
20.988    9.8362
20.904    9.3166
20.820    8.7468
20.737    8.1914
20.654    7.7051
20.572    7.1538
20.491    6.6626
20.410    6.3032
20.330    5.9385
20.251    5.5935
20.172    5.2910
20.094    5.0200
20.016    4.7073
19.939    4.3579
19.863    4.1284
19.787    3.9663
19.712    3.7927
19.637    3.6728
19.563    3.5215
19.489    3.3638
19.416    3.2842
19.344    3.2607
19.272    3.2424
19.201    3.2012
19.130    3.1851
19.059    3.1641
18.990    3.1741
18.920    3.1435
18.851    3.1025
18.783    3.0901
18.715    3.0806
18.648    3.1099
18.581    3.1352
18.515    3.1333
18.449    3.1704
18.384    3.2187
18.319    3.2524
18.254    3.2734
18.190    3.2119
18.126    3.1877
18.063    3.2366
18.001    3.2607
17.938    3.2524
17.876    3.2390
17.815    3.2839
17.754    3.3083
17.693    3.3047
17.633    3.2729
17.573    3.2715
17.514    3.3725
17.455    3.3977
17.396    3.3650
17.338    3.3813
17.280    3.3923
17.223    3.4258
17.166    3.4714
17.109    3.4888
17.053    3.4812
16.997    3.5298
16.942    3.5561
16.886    3.5539
16.832    3.5757
16.777    3.5954
16.723    3.6177
16.669    3.6196
16.616    3.6416
16.563    3.7229
16.510    3.7038
16.458    3.6450
16.406    3.6435
16.354    3.6609
16.302    3.6240
16.251    3.5947
16.200    3.5835
16.150    3.5801
16.100    3.5862
16.050    3.5393
16.000    3.5073
15.951    3.5320
15.902    3.5430
15.854    3.5342
15.805    3.5535
15.757    3.5588
15.710    3.5696
15.662    3.6086
15.615    3.6284
15.568    3.6189
15.521    3.6189
15.475    3.6748
15.429    3.7285
15.383    3.7439
15.338    3.7651
15.292    3.8039
15.248    3.8271
15.203    3.8330
15.158    3.8840
15.114    3.9045
15.070    3.9084
15.027    3.8982
14.983    3.9219
14.940    3.9448
14.897    3.9512
14.854    3.9841
14.812    4.0398
14.770    4.0652
14.728    4.0561
14.686    4.0911
14.645    4.1311
14.603    4.1428
14.562    4.1509
14.521    4.1518
14.481    4.1340
14.441    4.1223
14.400    4.1431
14.361    4.1587
14.321    4.1470
14.281    4.1528
14.242    4.1516
14.203    4.1604
14.164    4.1711
14.126    4.1916
14.087    4.2256
14.049    4.2100
14.011    4.2175
13.973    4.2573
13.936    4.2639
13.899    4.2917
13.861    4.3281
13.824    4.3454
13.788    4.3562
13.751    4.3660
13.715    4.3794
13.679    4.3911
13.643    4.3794
13.607    4.3606
13.571    4.3496
13.536    4.3450
13.500    4.3249
13.465    4.2786
13.430    4.2156
13.396    4.1453
13.361    4.0332
13.327    3.9390
13.293    3.8628
13.259    3.7854
13.225    3.7576
13.191    3.7568
13.158    3.7395
13.124    3.7117
13.091    3.7117
13.058    3.7046
13.026    3.6133
12.993    3.4509
12.960    3.2607
12.928    3.0918
12.896    2.9431
12.864    2.7949
12.832    2.7207
12.800    2.6797
12.769    2.6797
12.737    2.7317
12.706    2.7861
12.675    2.8662
12.644    2.9902
12.614    3.1020
12.583    3.1880
12.552    3.2991
12.522    3.4241
12.492    3.5322
12.462    3.6382
12.432    3.7590
12.402    3.8696
12.373    3.9668
12.343    4.0610
12.314    4.1540
12.285    4.2290
12.256    4.3183
12.227    4.3955
12.198    4.4431
12.169    4.5163
12.141    4.5764
12.113    4.6221
12.084    4.7117
12.056    4.8032
12.028    4.8711
12.000    4.9192
11.973    4.9617
11.945    5.0063
11.918    5.0437
11.890    5.0964
11.863    5.1445
11.836    5.1599
11.809    5.1970
11.782    5.2309
11.755    5.2534
11.729    5.2815
11.702    5.3237
11.676    5.3403
11.650    5.3469
11.624    5.3767
11.598    5.4148
11.572    5.4421
11.546    5.4734
11.520    5.4978
11.495    5.5044
11.469    5.5386
11.444    5.5640
11.419    5.5586
11.394    5.5488
11.369    5.5681
11.344    5.5964
11.319    5.6135
11.294    5.6313
11.270    5.6479
11.245    5.6496
11.221    5.6599
11.197    5.6621
11.173    5.6694
11.149    5.6689
11.125    5.6631
11.101    5.6680
11.077    5.6658
11.054    5.6626
11.030    5.6616
11.007    5.6462
10.983    5.6472
10.960    5.6528
10.937    5.6277
10.914    5.6277
10.891    5.6279
10.868    5.6057
10.846    5.5876
10.823    5.5881
10.800    5.5840
10.778    5.5649
10.755    5.5566
10.733    5.5696
10.711    5.5510
10.689    5.5178
10.667    5.5073
10.645    5.5168
10.623    5.5244
10.602    5.5317
10.580    5.5249
10.558    5.5317
10.537    5.5461
10.516    5.5508
10.494    5.5552
10.473    5.5686
10.452    5.5864
10.431    5.5942
10.410    5.6055
10.389    5.6433
10.368    5.6743
10.348    5.6907
10.327    5.7402
10.306    5.8181
10.286    5.8784
10.266    5.9568
10.245    6.0476
10.225    6.1306
10.205    6.2126
10.185    6.3020
10.165    6.3786
10.145    6.4458
10.125    6.5132
10.106    6.5918
10.086    6.6775
10.066    6.7685
10.047    6.8652
10.027    6.9651
10.008    7.0564
 9.989    7.1645
 9.970    7.2688
 9.950    7.3567
 9.931    7.4582
 9.912    7.5852
 9.893    7.7119
 9.875    7.8393
 9.856    7.9765
 9.837    8.1067
 9.818    8.2217
 9.800    8.3308
 9.781    8.4477
 9.763    8.5493
 9.745    8.6604
 9.726    8.7883
 9.708    8.9035
 9.690    9.0200
 9.672    9.1545
 9.654    9.3083
 9.636    9.4597
 9.618    9.6225
 9.600    9.8164
 9.583    9.9973
 9.565   10.1538
 9.547   10.3156
 9.530   10.4655
 9.512   10.5825
 9.495   10.6904
 9.477   10.7927
 9.460   10.8764
 9.443   10.9563
 9.426   11.0175
 9.409   11.0366
 9.392   11.0134
 9.375   10.9543
 9.358   10.8467
 9.341   10.7085
 9.324   10.5544
 9.307   10.3593
 9.291   10.1308
 9.274    9.9043
 9.257    9.6904
 9.241    9.4609
 9.224    9.2358
 9.208    9.0366
 9.192    8.8720
 9.175    8.7231
 9.159    8.5876
 9.143    8.4949
 9.127    8.4287
 9.111    8.3835
 9.095    8.3601
 9.079    8.3554
 9.063    8.3679
 9.047    8.3930
 9.032    8.4182
 9.016    8.4541
 9.000    8.5256
 8.985    8.6023
 8.969    8.6733
 8.954    8.7727
 8.938    8.8857
 8.923    8.9861
 8.907    9.1015
 8.892    9.2214
 8.877    9.3081
 8.862    9.3874
 8.847    9.4656
 8.832    9.5224
 8.817    9.5796
 8.802    9.6364
 8.787    9.6780
 8.772    9.7077
 8.757    9.7334
 8.742    9.7512
 8.728    9.7578
 8.713    9.7497
 8.698    9.7312
 8.684    9.7058
 8.669    9.6950
 8.655    9.6811
 8.640    9.6677
 8.626    9.6909
 8.612    9.7400
 8.597    9.8081
 8.583    9.8764
 8.569    9.9482
 8.555   10.0332
 8.541   10.0932
 8.527   10.1062
 8.513   10.1113
 8.499   10.0813
 8.485   10.0102
 8.471    9.9243
 8.457    9.8093
 8.443    9.6574
 8.430    9.4856
 8.416    9.2815
 8.402    9.0552
 8.389    8.8139
 8.375    8.5503
 8.362    8.2634
 8.348    7.9673
 8.335    7.6655
 8.321    7.3425
 8.308    7.0022
 8.295    6.6460
 8.281    6.2859
 8.268    5.9155
 8.255    5.5427
 8.242    5.1528
 8.229    4.7410
 8.216    4.3340
 8.203    3.9438
 8.190    3.5449
 8.177    3.1423
 8.164    2.7524
 8.151    2.3784
 8.138    2.0193
 8.126    1.6860
 8.113    1.3906
 8.100    1.1313
 8.088    0.9114
 8.075    0.7329
 8.062    0.5991
 8.050    0.4971
 8.037    0.4302
 8.025    0.3977
 8.013    0.3894
 8.000    0.3911
 7.988    0.4041
 7.976    0.4229
 7.963    0.4451
 7.951    0.4768
 7.939    0.5046
 7.927    0.5342
 7.915    0.5789
 7.903    0.6245
 7.891    0.6582
 7.879    0.6929
 7.867    0.7327
 7.855    0.7766
 7.843    0.8101
 7.831    0.8523
 7.819    0.9060
 7.807    0.9534
 7.796    0.9958
 7.784    1.0435
 7.772    1.0884
 7.761    1.1343
 7.749    1.1855
 7.738    1.2295
 7.726    1.2798
 7.715    1.3293
 7.703    1.3789
 7.692    1.4204
 7.680    1.4636
 7.669    1.5188
 7.658    1.5652
 7.646    1.6101
 7.635    1.6560
 7.624    1.7012
 7.613    1.7471
 7.601    1.7922
 7.590    1.8384
 7.579    1.8862
 7.568    1.9329
 7.557    1.9758
 7.546    2.0154
 7.535    2.0605
 7.524    2.1040
 7.513    2.1462
 7.502    2.1848
 7.492    2.2261
 7.481    2.2681
 7.470    2.3127
 7.459    2.3569
 7.448    2.3940
 7.438    2.4280
 7.427    2.4668
 7.417    2.5122
 7.406    2.5459
 7.395    2.5749
 7.385    2.6111
 7.374    2.6460
 7.364    2.6851
 7.353    2.7234
 7.343    2.7549
 7.333    2.7866
 7.322    2.8230
 7.312    2.8564
 7.302    2.8782
 7.291    2.9031
 7.281    2.9365
 7.271    2.9648
 7.261    2.9885
 7.251    3.0205
 7.240    3.0469
 7.230    3.0674
 7.220    3.0950
 7.210    3.1260
 7.200    3.1555
 7.190    3.1785
 7.180    3.1943
 7.170    3.2114
 7.160    3.2312
 7.151    3.2563
 7.141    3.2822
 7.131    3.3035
 7.121    3.3259
 7.111    3.3455
 7.102    3.3616
 7.092    3.3799
 7.082    3.4065
 7.073    3.4253
 7.063    3.4412
 7.053    3.4553
 7.044    3.4651
 7.034    3.4897
 7.025    3.5078
 7.015    3.5251
 7.006    3.5464
 6.996    3.5610
 6.987    3.5859
 6.977    3.6018
 6.968    3.6096
 6.959    3.6179
 6.949    3.6350
 6.940    3.6523
 6.931    3.6658
 6.921    3.6763
 6.912    3.6841
 6.903    3.6850
 6.894    3.6882
 6.885    3.6963
 6.876    3.6963
 6.866    3.6824
 6.857    3.6850
 6.848    3.7017
 6.839    3.7107
 6.830    3.7087
 6.821    3.7136
 6.812    3.7256
 6.803    3.7297
 6.794    3.7263
 6.786    3.7385
 6.777    3.7598
 6.768    3.7746
 6.759    3.7932
 6.750    3.8091
 6.741    3.8276
 6.733    3.8403
 6.724    3.8535
 6.715    3.8738
 6.707    3.9011
 6.698    3.9346
 6.689    3.9578
 6.681    3.9836
 6.672    4.0193
 6.663    4.0539
 6.655    4.0840
 6.646    4.0962
 6.638    4.1069
 6.629    4.1475
 6.621    4.1958
 6.612    4.2314
 6.604    4.2517
 6.596    4.2663
 6.587    4.2866
 6.579    4.2949
 6.571    4.3088
 6.562    4.3447
 6.554    4.3628
 6.546    4.3794
 6.537    4.3865
 6.529    4.3899
 6.521    4.3879
 6.513    4.3904
 6.505    4.3730
 6.496    4.3347
 6.488    4.3227
 6.480    4.3271
 6.472    4.3181
 6.464    4.2986
 6.456    4.2678
 6.448    4.2375
 6.440    4.1963
 6.432    4.1460
 6.424    4.0976
 6.416    4.0420
 6.408    4.0056
 6.400    3.9895
 6.392    3.9646
 6.384    3.9282
 6.377    3.8843
 6.369    3.8491
 6.361    3.8284
 6.353    3.7998
 6.345    3.7620
 6.338    3.7424
 6.330    3.7297
 6.322    3.7087
 6.314    3.6938
 6.307    3.6782
 6.299    3.6562
 6.291    3.6299
 6.284    3.6079
 6.276    3.5842
 6.269    3.5505
 6.261    3.5066
 6.254    3.4641
 6.246    3.4184
 6.238    3.3652
 6.231    3.3049
 6.223    3.2344
 6.216    3.1516
 6.209    3.0564
 6.201    2.9441
 6.194    2.8188
 6.186    2.6738
 6.179    2.5290
 6.172    2.3909
 6.164    2.2605
 6.157    2.1494
 6.150    2.0632
 6.142    1.9924
 6.135    1.9060
 6.128    1.8137
 6.121    1.7270
 6.113    1.6523
 6.106    1.6116
 6.099    1.6167
 6.092    1.6597
 6.085    1.7241
 6.078    1.7905
 6.070    1.8606
 6.063    1.9507
 6.056    2.0371
 6.049    2.1162
 6.042    2.2217
 6.035    2.3418
 6.028    2.4521
 6.021    2.5583
 6.014    2.6741
 6.007    2.7988
 6.000    2.9246
 5.993    3.0339
 5.986    3.1470
 5.979    3.2610
 5.973    3.3645
 5.966    3.4558
 5.959    3.5417
 5.952    3.6125
 5.945    3.6755
 5.938    3.7209
 5.932    3.7873
 5.925    3.8672
 5.918    3.9228
 5.911    3.9734
 5.905    4.0227
 5.898    4.0522
 5.891    4.0969
 5.884    4.1357
 5.878    4.1767
 5.871    4.2400
 5.864    4.2749
 5.858    4.3142
 5.851    4.3528
 5.845    4.3743
 5.838    4.3940
 5.831    4.4150
 5.825    4.4297
 5.818    4.4531
 5.812    4.4902
 5.805    4.5146
 5.799    4.5334
 5.792    4.5554
 5.786    4.5762
 5.779    4.5925
 5.773    4.6016
 5.767    4.6077
 5.760    4.6404
 5.754    4.6677
 5.747    4.6885
 5.741    4.7134
 5.735    4.7349
 5.728    4.7576
 5.722    4.7781
 5.716    4.7942
 5.709    4.8159
 5.703    4.8491
 5.697    4.8757
 5.691    4.8999
 5.684    4.9280
 5.678    4.9560
 5.672    4.9853
 5.666    5.0183
 5.660    5.0412
 5.653    5.0666
 5.647    5.0957
 5.641    5.1211
 5.635    5.1506
 5.629    5.1846
 5.623    5.2226
 5.617    5.2561
 5.611    5.2742
 5.604    5.2930
 5.598    5.3227
 5.592    5.3469
 5.586    5.3674
 5.580    5.3860
 5.574    5.4138
 5.568    5.4451
 5.562    5.4722
 5.556    5.4973
 5.550    5.5188
 5.545    5.5498
 5.539    5.5849
 5.533    5.6189
 5.527    5.6448
 5.521    5.6806
 5.515    5.7229
 5.509    5.7598
 5.503    5.7969
 5.498    5.8320
 5.492    5.8721
 5.486    5.9106
 5.480    5.9436
 5.474    5.9834
 5.469    6.0227
 5.463    6.0574
 5.457    6.1030
 5.451    6.1409
 5.446    6.1789
 5.440    6.2165
 5.434    6.2446
 5.428    6.2744
 5.423    6.2973
 5.417    6.3296
 5.411    6.3635
 5.406    6.3957
 5.400    6.4287
 5.395    6.4531
 5.389    6.4822
 5.383    6.5093
 5.378    6.5327
 5.372    6.5574
 5.367    6.5837
 5.361    6.6045
 5.356    6.6228
 5.350    6.6477
 5.344    6.6767
 5.339    6.7016
 5.333    6.7295
 5.328    6.7554
 5.323    6.7822
 5.317    6.8125
 5.312    6.8447
 5.306    6.8767
 5.301    6.9040
 5.295    6.9294
 5.290    6.9555
 5.285    6.9809
 5.279    7.0027
 5.274    7.0276
 5.268    7.0559
 5.263    7.0854
 5.258    7.1033
 5.252    7.1184
 5.247    7.1374
 5.242    7.1609
 5.237    7.1728
 5.231    7.1809
 5.226    7.2038
 5.221    7.2187
 5.215    7.2163
 5.210    7.2231
 5.205    7.2385
 5.200    7.2495
 5.195    7.2634
 5.189    7.2800
 5.184    7.2922
 5.179    7.2998
 5.174    7.3091
 5.169    7.3230
 5.163    7.3362
 5.158    7.3542
 5.153    7.3703
 5.148    7.3843
 5.143    7.4016
 5.138    7.4243
 5.133    7.4438
 5.128    7.4607
 5.123    7.4826
 5.118    7.5061
 5.113    7.5185
 5.108    7.5366
 5.103    7.5593
 5.097    7.5774
 5.092    7.5959
 5.087    7.6123
 5.083    7.6291
 5.078    7.6457
 5.073    7.6631
 5.068    7.6799
 5.063    7.6968
 5.058    7.7099
 5.053    7.7192
 5.048    7.7275
 5.043    7.7387
 5.038    7.7488
 5.033    7.7502
 5.028    7.7554
 5.023    7.7561
 5.019    7.7517
 5.014    7.7497
 5.009    7.7463
 5.004    7.7424
 4.999    7.7434
 4.994    7.7336
 4.990    7.7302
 4.985    7.7280
 4.980    7.7158
 4.975    7.7012
 4.970    7.6921
 4.966    7.6831
 4.961    7.6748
 4.956    7.6631
 4.951    7.6472
 4.947    7.6338
 4.942    7.6250
 4.937    7.6157
 4.933    7.6020
 4.928    7.5984
 4.923    7.5805
 4.919    7.5737
 4.914    7.5825
 4.909    7.5803
 4.905    7.5762
 4.900    7.5781
 4.895    7.5842
 4.891    7.5913
 4.886    7.6018
 4.882    7.6147
 4.877    7.6362
 4.872    7.6587
 4.868    7.6758
 4.863    7.7002
 4.859    7.7212
 4.854    7.7422
 4.850    7.7732
 4.845    7.7993
 4.840    7.8191
 4.836    7.8420
 4.831    7.8664
 4.827    7.8884
 4.822    7.9084
 4.818    7.9353
 4.814    7.9563
 4.809    7.9680
 4.805    7.9792
 4.800    7.9868
 4.796    8.0049
 4.791    8.0271
 4.787    8.0432
 4.782    8.0534
 4.778    8.0622
 4.774    8.0718
 4.769    8.0862
 4.765    8.0976
 4.760    8.1020
 4.756    8.1101
 4.752    8.1247
 4.747    8.1343
 4.743    8.1365
 4.739    8.1374
 4.734    8.1435
 4.730    8.1535
 4.726    8.1611
 4.721    8.1631
 4.717    8.1767
 4.713    8.1926
 4.709    8.2016
 4.704    8.2180
 4.700    8.2346
 4.696    8.2544
 4.692    8.2739
 4.687    8.2932
 4.683    8.3137
 4.679    8.3323
 4.675    8.3596
 4.670    8.3884
 4.666    8.4177
 4.662    8.4472
 4.658    8.4807
 4.654    8.5115
 4.649    8.5412
 4.645    8.5788
 4.641    8.6140
 4.637    8.6470
 4.633    8.6855
 4.629    8.7270
 4.625    8.7671
 4.620    8.8042
 4.616    8.8432
 4.612    8.8806
 4.608    8.9214
 4.604    8.9656
 4.600    9.0068
 4.596    9.0493
 4.592    9.0959
 4.588    9.1391
 4.584    9.1728
 4.580    9.2131
 4.576    9.2649
 4.572    9.3100
 4.568    9.3430
 4.564    9.3911
 4.560    9.4363
 4.555    9.4814
 4.551    9.5251
 4.548    9.5664
 4.544    9.6054
 4.540    9.6467
 4.536    9.6909
 4.532    9.7331
 4.528    9.7734
 4.524    9.8139
 4.520    9.8508
 4.516    9.8840
 4.512    9.9304
 4.508    9.9682
 4.504   10.0007
 4.500   10.0393
 4.496   10.0798
 4.492   10.1167
 4.488   10.1574
 4.485   10.1989
 4.481   10.2322
 4.477   10.2712
 4.473   10.3154
 4.469   10.3574
 4.465   10.3908
 4.461   10.4270
 4.458   10.4638
 4.454   10.5046
 4.450   10.5493
 4.446   10.6015
 4.442   10.6447
 4.438   10.6911
 4.435   10.7466
 4.431   10.8012
 4.427   10.8481
 4.423   10.8972
 4.420   10.9458
 4.416   10.9909
 4.412   11.0476
 4.408   11.0964
 4.405   11.1404
 4.401   11.1967
 4.397   11.2536
 4.393   11.3054
 4.390   11.3469
 4.386   11.3901
 4.382   11.4482
 4.379   11.4968
 4.375   11.5342
 4.371   11.5864
 4.367   11.6372
 4.364   11.6806
 4.360   11.7353
 4.356   11.7812
 4.353   11.8083
 4.349   11.8513
 4.345   11.9021
 4.342   11.9377
 4.338   11.9704
 4.335   12.0136
 4.331   12.0508
 4.327   12.0869
 4.324   12.1279
 4.320   12.1662
 4.317   12.2011
 4.313   12.2387
 4.309   12.2793
 4.306   12.3164
 4.302   12.3491
 4.299   12.3855
 4.295   12.4192
 4.292   12.4419
 4.288   12.4743
 4.284   12.5153
 4.281   12.5444
 4.277   12.5803
 4.274   12.6174
 4.270   12.6374
 4.267   12.6609
 4.263   12.6970
 4.260   12.7273
 4.256   12.7507
 4.253   12.7871
 4.249   12.8176
 4.246   12.8330
 4.242   12.8589
 4.239   12.8940
 4.235   12.9231
 4.232   12.9453
 4.229   12.9734
 4.225   12.9990
 4.222   13.0222
 4.218   13.0527
 4.215   13.0822
 4.211   13.1045
 4.208   13.1250
 4.205   13.1501
 4.201   13.1760
 4.198   13.1987
 4.194   13.2192
 4.191   13.2404
 4.188   13.2617
 4.184   13.2881
 4.181   13.3073
 4.177   13.3225
 4.174   13.3430
 4.171   13.3672
 4.167   13.3884
 4.164   13.4091
 4.161   13.4260
 4.157   13.4409
 4.154   13.4597
 4.151   13.4807
 4.147   13.5029
 4.144   13.5195
 4.141   13.5351
 4.137   13.5454
 4.134   13.5573
 4.131   13.5754
 4.128   13.5957
 4.124   13.6123
 4.121   13.6220
 4.118   13.6425
 4.114   13.6626
 4.111   13.6750
 4.108   13.6919
 4.105   13.7024
 4.101   13.7168
 4.098   13.7385
 4.095   13.7600
 4.092   13.7690
 4.088   13.7785
 4.085   13.7929
 4.082   13.8081
 4.079   13.8335
 4.076   13.8466
 4.072   13.8620
 4.069   13.8679
 4.066   13.8757
 4.063   13.9001
 4.060   13.9172
 4.056   13.9255
 4.053   13.9380
 4.050   13.9467
 4.047   13.9524
 4.044   13.9670
 4.041   13.9795
 4.038   13.9919
 4.034   14.0039
 4.031   14.0168
 4.028   14.0293
 4.025   14.0341
 4.022   14.0434
 4.019   14.0586
 4.016   14.0651
 4.013   14.0713
 4.009   14.0832
 4.006   14.0888
 4.003   14.0986
 4.000   14.1091
 3.997   14.1123
 3.994   14.1076
 3.991   14.1208
 3.988   14.1308
 3.985   14.1362
 3.982   14.1491
 3.979   14.1599
 3.976   14.1679
 3.973   14.1728
 3.969   14.1792
 3.966   14.1914
 3.963   14.1960
 3.960   14.2053
 3.957   14.2077
 3.954   14.2041
 3.951   14.2109
 3.948   14.2212
 3.945   14.2241
 3.942   14.2295
 3.939   14.2456
 3.936   14.2553
 3.933   14.2534
 3.930   14.2580
 3.927   14.2717
 3.924   14.2734
 3.921   14.2844
 3.918   14.2863
 3.916   14.2859
 3.913   14.2937
 3.910   14.2998
 3.907   14.3078
 3.904   14.3103
 3.901   14.3139
 3.898   14.3247
 3.895   14.3234
 3.892   14.3188
 3.889   14.3161
 3.886   14.3200
 3.883   14.3237
 3.880   14.3283
 3.877   14.3261
 3.875   14.3200
 3.872   14.3181
 3.869   14.3188
 3.866   14.3230
 3.863   14.3254
 3.860   14.3244
 3.857   14.3288
 3.854   14.3308
 3.852   14.3274
 3.849   14.3276
 3.846   14.3254
 3.843   14.3232
 3.840   14.3225
 3.837   14.3090
 3.834   14.3078
 3.832   14.3142
 3.829   14.3164
 3.826   14.3125
 3.823   14.3144
 3.820   14.3081
 3.817   14.2973
 3.815   14.2917
 3.812   14.2883
 3.809   14.2817
 3.806   14.2790
 3.803   14.2837
 3.801   14.2817
 3.798   14.2754
 3.795   14.2688
 3.792   14.2622
 3.790   14.2583
 3.787   14.2595
 3.784   14.2546
 3.781   14.2566
 3.779   14.2693
 3.776   14.2805
 3.773   14.2817
 3.770   14.2824
 3.768   14.2924
 3.765   14.3039
 3.762   14.3027
 3.759   14.3049
 3.757   14.3132
 3.754   14.3047
 3.751   14.3034
 3.748   14.3156
 3.746   14.3127
 3.743   14.3034
 3.740   14.2973
 3.738   14.2993
 3.735   14.2905
 3.732   14.2810
 3.730   14.2815
 3.727   14.2778
 3.724   14.2719
 3.722   14.2649
 3.719   14.2614
 3.716   14.2522
 3.714   14.2495
 3.711   14.2448
 3.708   14.2373
 3.706   14.2334
 3.703   14.2285
 3.700   14.2251
 3.698   14.2160
 3.695   14.2089
 3.692   14.1999
 3.690   14.1833
 3.687   14.1818
 3.685   14.1853
 3.682   14.1809
 3.679   14.1655
 3.677   14.1557
 3.674   14.1464
 3.671   14.1408
 3.669   14.1369
 3.666   14.1296
 3.664   14.1167
 3.661   14.1113
 3.659   14.0935
 3.656   14.0810
 3.653   14.0769
 3.651   14.0671
 3.648   14.0547
 3.646   14.0490
 3.643   14.0464
 3.641   14.0400
 3.638   14.0273
 3.635   14.0058
 3.633   13.9873
 3.630   13.9775
 3.628   13.9738
 3.625   13.9648
 3.623   13.9538
 3.620   13.9475
 3.618   13.9370
 3.615   13.9272
 3.613   13.9157
 3.610   13.9052
 3.608   13.8886
 3.605   13.8750
 3.603   13.8667
 3.600   13.8610
 3.598   13.8486
 3.595   13.8330
 3.593   13.8203
 3.590   13.8086
 3.588   13.7966
 3.585   13.7856
 3.583   13.7817
 3.580   13.7683
 3.578   13.7588
 3.575   13.7417
 3.573   13.7265
 3.570   13.7185
 3.568   13.7102
 3.565   13.6880
 3.563   13.6699
 3.561   13.6660
 3.558   13.6526
 3.556   13.6325
 3.553   13.6169
 3.551   13.6035
 3.548   13.5808
 3.546   13.5764
 3.544   13.5695
 3.541   13.5464
 3.539   13.5241
 3.536   13.5097
 3.534   13.4983
 3.531   13.4860
 3.529   13.4704
 3.527   13.4504
 3.524   13.4240
 3.522   13.4052
 3.519   13.3881
 3.517   13.3659
 3.515   13.3476
 3.512   13.3259
 3.510   13.2966
 3.508   13.2680
 3.505   13.2397
 3.503   13.2173
 3.500   13.2055
 3.498   13.1880
 3.496   13.1767
 3.493   13.1738
 3.491   13.1638
 3.489   13.1518
 3.486   13.1355
 3.484   13.1247
 3.482   13.1137
 3.479   13.0957
 3.477   13.0747
 3.475   13.0539
 3.472   13.0446
 3.470   13.0246
 3.468   12.9902
 3.465   12.9751
 3.463   12.9619
 3.461   12.9384
 3.458   12.9126
 3.456   12.8952
 3.454   12.8728
 3.452   12.8535
 3.449   12.8298
 3.447   12.8025
 3.445   12.7856
 3.442   12.7712
 3.440   12.7365
 3.438   12.6992
 3.435   12.6833
 3.433   12.6552
 3.431   12.6233
 3.429   12.5937
 3.426   12.5666
 3.424   12.5334
 3.422   12.4970
 3.420   12.4712
 3.417   12.4548
 3.415   12.4394
 3.413   12.4167
 3.411   12.4043
 3.408   12.3896
 3.406   12.3713
 3.404   12.3591
 3.402   12.3413
 3.399   12.3215
