Name: Analcime NaAlSi2O6.H2O
Type:  Mineral 
Class: Silicates
Subclass:  Tectosilicates  (Framework silicates) (Zeolite Group)
Particle Size:  Fine (less than 2 Micrometers)
Sample No.:  analcime.1
Owner: JHU
Wavelength Range:  IR
Origin:  Sample from Mt. St. Hilaire, Quebec; donated by W. J. Ehmann 
(originally purchased from Ward's Natural Science Establishment). 
Description:  The sample was only available to us as a fine (<60 
micrometers) powder.  It appeared to be free of contaminants in 
hand sample and under the microscope.



Measurement:  Transmission
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  analci1a.txt
25.044   45.9686
24.924   45.7616
24.805   45.1288
24.686   44.6718
24.569   44.3593
24.454   43.5819
24.339   42.9003
24.225   42.4530
24.112   41.8749
24.001   41.4921
23.890   41.0800
23.781   40.2069
23.672   39.4979
23.564   38.2226
23.458   36.9003
23.352   35.3437
23.247   33.6034
23.144   31.9384
23.041   30.0868
22.939   28.0566
22.838   26.1142
22.738   24.2079
22.638   22.7636
22.540   21.3437
22.442   20.0820
22.345   19.3212
22.250   19.1259
22.154   19.3906
22.060   20.0058
21.967   20.9355
21.874   22.2431
21.782   23.6953
21.691   25.3827
21.601   27.1269
21.511   28.9941
21.422   30.9267
21.334   32.7431
21.247   34.6874
21.160   36.7821
21.074   38.8925
20.988   40.8612
20.904   42.9354
20.820   45.0136
20.737   46.7655
20.654   48.4325
20.572   49.9247
20.491   51.4696
20.410   52.7421
20.330   53.9979
20.251   55.0331
20.172   56.1434
20.094   57.1688
20.016   58.2821
19.939   59.2108
19.863   59.9998
19.787   60.8890
19.712   61.6112
19.637   62.3929
19.563   63.1136
19.489   63.6234
19.416   64.0252
19.344   64.5316
19.272   65.0389
19.201   65.5867
19.130   65.9046
19.059   66.2635
18.990   66.5819
18.920   66.8240
18.851   67.1605
18.783   67.4129
18.715   67.6766
18.648   67.8553
18.581   68.0882
18.515   68.2049
18.449   68.1976
18.384   68.3309
18.319   68.4403
18.254   68.4744
18.190   68.4188
18.126   68.4871
18.063   68.4510
18.001   68.4656
17.938   68.4300
17.876   68.4969
17.815   68.5672
17.754   68.6336
17.693   68.8172
17.633   68.9237
17.573   69.0301
17.514   69.3133
17.455   69.5438
17.396   69.7186
17.338   69.8123
17.280   69.9769
17.223   69.9695
17.166   70.0653
17.109   70.0692
17.053   70.1624
16.997   69.9637
16.942   69.7860
16.886   69.5765
16.832   69.5374
16.777   69.3089
16.723   68.9881
16.669   68.5609
16.616   68.1326
16.563   67.6722
16.510   67.2269
16.458   66.7484
16.406   66.3397
16.354   65.9637
16.302   65.8748
16.251   65.8480
16.200   65.8182
16.150   65.8753
16.100   66.0574
16.050   66.2459
16.000   66.5628
15.951   66.9364
15.902   67.3240
15.854   67.7615
15.805   68.0491
15.757   68.4261
15.710   68.7059
15.662   69.0945
15.615   69.3865
15.568   69.7244
15.521   70.0999
15.475   70.6351
15.429   71.0882
15.383   71.5106
15.338   71.8148
15.292   72.2010
15.248   72.3611
15.203   72.5193
15.158   72.4813
15.114   72.4930
15.070   72.4256
15.027   72.4100
14.983   72.3192
14.940   72.3992
14.897   72.5491
14.854   72.6019
14.812   72.6375
14.770   72.5369
14.728   72.4188
14.686   72.1780
14.645   71.7234
14.603   71.1844
14.562   70.6385
14.521   69.9632
14.481   69.3480
14.441   68.7737
14.400   68.3172
14.361   67.9852
14.321   67.8143
14.281   67.5692
14.242   67.3485
14.203   66.9154
14.164   66.4666
14.126   65.8704
14.087   65.2991
14.049   64.5228
14.011   63.8509
13.973   63.0540
13.936   62.2430
13.899   61.3426
13.861   60.3275
13.824   59.1317
13.788   57.8651
13.751   56.5477
13.715   55.2635
13.679   54.0304
13.643   53.0213
13.607   52.1290
13.571   51.3761
13.536   50.5975
13.500   50.0079
13.465   49.7902
13.430   49.9335
13.396   50.5526
13.361   51.5087
13.327   52.7333
13.293   53.8016
13.259   54.8732
13.225   55.5187
13.191   55.8377
13.158   55.7589
13.124   55.3827
13.091   54.8583
13.058   54.6688
13.026   54.9562
12.993   55.8797
12.960   57.5685
12.928   59.9207
12.896   62.4305
12.864   64.9998
12.832   67.6453
12.800   70.1055
12.769   72.0821
12.737   73.9141
12.706   75.5398
12.675   76.9229
12.644   78.1219
12.614   79.1619
12.583   80.3035
12.552   81.2889
12.522   82.3640
12.492   83.1407
12.462   83.8904
12.432   84.4688
12.402   85.0393
12.373   85.4812
12.343   85.7674
12.314   85.9893
12.285   86.1555
12.256   86.2888
12.227   86.3230
12.198   86.3731
12.169   86.4744
12.141   86.4451
12.113   86.5672
12.084   86.4588
12.056   86.4063
12.028   86.3679
12.000   86.3533
11.973   86.1101
11.945   85.8994
11.918   85.6817
11.890   85.4580
11.863   85.2217
11.836   84.8474
11.809   84.6043
11.782   84.2637
11.755   84.0052
11.729   83.6514
11.702   83.3040
11.676   83.0186
11.650   82.6826
11.624   82.3877
11.598   82.1326
11.572   81.8670
11.546   81.5271
11.520   81.1639
11.495   80.8731
11.469   80.4910
11.444   80.1150
11.419   79.7185
11.394   79.3694
11.369   78.9432
11.344   78.6416
11.319   78.3221
11.294   77.9187
11.270   77.5257
11.245   77.1602
11.221   76.7520
11.197   76.3018
11.173   75.9112
11.149   75.4493
11.125   74.9231
11.101   74.3748
11.077   73.8301
11.054   73.2669
11.030   72.6739
11.007   72.1942
10.983   71.5057
10.960   70.8699
10.937   70.2508
10.914   69.5794
10.891   68.8946
10.868   68.0987
10.846   67.3106
10.823   66.4022
10.800   65.5990
10.778   64.6156
10.755   63.5677
10.733   62.5040
10.711   61.4124
10.689   60.4598
10.667   59.3253
10.645   57.8729
10.623   56.3858
10.602   55.0028
10.580   53.4200
10.558   51.7377
10.537   50.0038
10.516   48.1937
10.494   46.3400
10.473   44.3617
10.452   42.3788
10.431   40.2589
10.410   38.0717
10.389   35.8273
10.368   33.4987
10.348   31.0920
10.327   28.6186
10.306   26.1193
10.286   23.5624
10.266   21.1079
10.245   18.8037
10.225   16.7565
10.205   14.9690
10.185   13.4673
10.165   12.2209
10.145   11.1694
10.125   10.2790
10.106    9.4577
10.086    8.7522
10.066    8.1252
10.047    7.5193
10.027    6.9643
10.008    6.4595
 9.989    5.9993
 9.970    5.5630
 9.950    5.1457
 9.931    4.8003
 9.912    4.4731
 9.893    4.1489
 9.875    3.8430
 9.856    3.5950
 9.837    3.3586
 9.818    3.2139
 9.800    3.0791
 9.781    2.9846
 9.763    2.9258
 9.745    2.9160
 9.726    2.8940
 9.708    2.9209
 9.690    2.9766
 9.672    3.0222
 9.654    3.0850
 9.636    3.1711
 9.618    3.3135
 9.600    3.4509
 9.583    3.6243
 9.565    3.8728
 9.547    4.1623
 9.530    4.4599
 9.512    4.8052
 9.495    5.1489
 9.477    5.5112
 9.460    5.8879
 9.443    6.3381
 9.426    6.8525
 9.409    7.3852
 9.392    7.9448
 9.375    8.5952
 9.358    9.3010
 9.341   10.0766
 9.324   10.8842
 9.307   11.7324
 9.291   12.5849
 9.274   13.3955
 9.257   14.1223
 9.241   14.8462
 9.224   15.5119
 9.208   16.1142
 9.192   16.6601
 9.175   17.1857
 9.159   17.6691
 9.143   18.0969
 9.127   18.5239
 9.111   18.9533
 9.095   19.3481
 9.079   19.7814
 9.063   20.2255
 9.047   20.6291
 9.032   21.0873
 9.016   21.5549
 9.000   22.0419
 8.985   22.5258
 8.969   23.0510
 8.954   23.6144
 8.938   24.2267
 8.923   24.8827
 8.907   25.6581
 8.892   26.4855
 8.877   27.3693
 8.862   28.3032
 8.847   29.3202
 8.832   30.3578
 8.817   31.4389
 8.802   32.5297
 8.787   33.6457
 8.772   34.7611
 8.757   35.9042
 8.742   37.0634
 8.728   38.1681
 8.713   39.2836
 8.698   40.3527
 8.684   41.4076
 8.669   42.4264
 8.655   43.4476
 8.640   44.4796
 8.626   45.5531
 8.612   46.6842
 8.597   47.8685
 8.583   49.1036
 8.569   50.3890
 8.555   51.7215
 8.541   53.0763
 8.527   54.4237
 8.513   55.7621
 8.499   57.0543
 8.485   58.3590
 8.471   59.6258
 8.457   60.8114
 8.443   61.9427
 8.430   63.0531
 8.416   64.1453
 8.402   65.1358
 8.389   66.1541
 8.375   67.0848
 8.362   68.0277
 8.348   68.8773
 8.335   69.7552
 8.321   70.5584
 8.308   71.3387
 8.295   72.0814
 8.281   72.8118
 8.268   73.4900
 8.255   74.1766
 8.242   74.8323
 8.229   75.4456
 8.216   76.0003
 8.203   76.6058
 8.190   77.1287
 8.177   77.6478
 8.164   78.1311
 8.151   78.5999
 8.138   79.0232
 8.126   79.4422
 8.113   79.8641
 8.100   80.2371
 8.088   80.6033
 8.075   80.9295
 8.062   81.2708
 8.050   81.5564
 8.037   81.8904
 8.025   82.1580
 8.013   82.4605
 8.000   82.7097
 7.988   82.9785
 7.976   83.2076
 7.963   83.4397
 7.951   83.6844
 7.939   83.9217
 7.927   84.1192
 7.915   84.3440
 7.903   84.5452
 7.891   84.7766
 7.879   84.9510
 7.867   85.1892
 7.855   85.3421
 7.843   85.5276
 7.831   85.7029
 7.819   85.8548
 7.807   85.9949
 7.796   86.0960
 7.784   86.2259
 7.772   86.3377
 7.761   86.5091
 7.749   86.6087
 7.738   86.7559
 7.726   86.8535
 7.715   86.9827
 7.703   87.0921
 7.692   87.2141
 7.680   87.3006
 7.669   87.4304
 7.658   87.5235
 7.646   87.6306
 7.635   87.7249
 7.624   87.8499
 7.613   87.9363
 7.601   88.0447
 7.590   88.0940
 7.579   88.2027
 7.568   88.2617
 7.557   88.3416
 7.546   88.4143
 7.535   88.4993
 7.524   88.6113
 7.513   88.6409
 7.502   88.7268
 7.492   88.8010
 7.481   88.9270
 7.470   88.9881
 7.459   89.1082
 7.448   89.1150
 7.438   89.1570
 7.427   89.2229
 7.417   89.2874
 7.406   89.3303
 7.395   89.3748
 7.385   89.3833
 7.374   89.4368
 7.364   89.4837
 7.353   89.5564
 7.343   89.5798
 7.333   89.6160
 7.322   89.6287
 7.312   89.7005
 7.302   89.7381
 7.291   89.7800
 7.281   89.8469
 7.271   89.8643
 7.261   89.8992
 7.251   89.8933
 7.240   89.9641
 7.230   89.9749
 7.220   90.0715
 7.210   90.0808
 7.200   90.1194
 7.190   90.1492
 7.180   90.2009
 7.170   90.2476
 7.160   90.2590
 7.151   90.2744
 7.141   90.3093
 7.131   90.3206
 7.121   90.3806
 7.111   90.3972
 7.102   90.4060
 7.092   90.4407
 7.082   90.4802
 7.073   90.4910
 7.063   90.4946
 7.053   90.5383
 7.044   90.5496
 7.034   90.5452
 7.025   90.5051
 7.015   90.5715
 7.006   90.5593
 6.996   90.6668
 6.987   90.6819
 6.977   90.7185
 6.968   90.7268
 6.959   90.8054
 6.949   90.8045
 6.940   90.8255
 6.931   90.8162
 6.921   90.8479
 6.912   90.8513
 6.903   90.8826
 6.894   90.8894
 6.885   90.8865
 6.876   90.8718
 6.866   90.9402
 6.857   90.9500
 6.848   90.9216
 6.839   90.9187
 6.830   90.9402
 6.821   90.9976
 6.812   90.9978
 6.803   91.1243
 6.794   91.1834
 6.786   91.2988
 6.777   91.3079
 6.768   91.3587
 6.759   91.3499
 6.750   91.4099
 6.741   91.4358
 6.733   91.4702
 6.724   91.5242
 6.715   91.6179
 6.707   91.6267
 6.698   91.6104
 6.689   91.6687
 6.681   91.7539
 6.672   91.7966
 6.663   91.8582
 6.655   91.8884
 6.646   91.9905
 6.638   92.0906
 6.629   92.0711
 6.621   92.0335
 6.612   91.9995
 6.604   92.0520
 6.596   92.0564
 6.587   92.0850
 6.579   92.0706
 6.571   92.1502
 6.562   92.1111
 6.554   92.1052
 6.546   92.0725
 6.537   92.0593
 6.529   92.0291
 6.521   92.0188
 6.513   92.0061
 6.505   92.0086
 6.496   92.0823
 6.488   92.0769
 6.480   91.9895
 6.472   91.9548
 6.464   91.9146
 6.456   91.8972
 6.448   91.8674
 6.440   91.8386
 6.432   91.8128
 6.424   91.7278
 6.416   91.7766
 6.408   91.6917
 6.400   91.5813
 6.392   91.4675
 6.384   91.4443
 6.377   91.3865
 6.369   91.3504
 6.361   91.2561
 6.353   91.2068
 6.345   91.2105
 6.338   91.1370
 6.330   91.0188
 6.322   90.9287
 6.314   90.8538
 6.307   90.7507
 6.299   90.6582
 6.291   90.5481
 6.284   90.4382
 6.276   90.3259
 6.269   90.1878
 6.261   90.0261
 6.254   89.8401
 6.246   89.6214
 6.238   89.4407
 6.231   89.1736
 6.223   88.9119
 6.216   88.5623
 6.209   88.1326
 6.201   87.4768
 6.194   86.6267
 6.186   85.4422
 6.179   83.7615
 6.172   81.5974
 6.164   79.1780
 6.157   76.7537
 6.150   74.3768
 6.142   72.1202
 6.135   70.0823
 6.128   68.6834
 6.121   68.2816
 6.113   68.9691
 6.106   70.4505
 6.099   72.3858
 6.092   74.4603
 6.085   76.4358
 6.078   78.1575
 6.070   79.6097
 6.063   80.6912
 6.056   81.6614
 6.049   82.5608
 6.042   83.2664
 6.035   83.8553
 6.028   84.5452
 6.021   85.2268
 6.014   85.9363
 6.007   86.5877
 6.000   87.1687
 5.993   87.7473
 5.986   88.2376
 5.979   88.6712
 5.973   89.0296
 5.966   89.3489
 5.959   89.5891
 5.952   89.8181
 5.945   90.0564
 5.938   90.3386
 5.932   90.5403
 5.925   90.6316
 5.918   90.7849
 5.911   90.9622
 5.905   91.0735
 5.898   91.2756
 5.891   91.3460
 5.884   91.4971
 5.878   91.6194
 5.871   91.6629
 5.864   91.7337
 5.858   91.8030
 5.851   91.8826
 5.845   91.9368
 5.838   92.0169
 5.831   92.1087
 5.825   92.2278
 5.818   92.2727
 5.812   92.2756
 5.805   92.3005
 5.799   92.3508
 5.792   92.3743
 5.786   92.4287
 5.779   92.4646
 5.773   92.5247
 5.767   92.6199
 5.760   92.6795
 5.754   92.6668
 5.747   92.7498
 5.741   92.7698
 5.735   92.8066
 5.728   92.8325
 5.722   92.8899
 5.716   92.9285
 5.709   92.9734
 5.703   93.0022
 5.697   93.0266
 5.691   93.0652
 5.684   93.0684
 5.678   93.1379
 5.672   93.1521
 5.666   93.1912
 5.660   93.2083
 5.653   93.2512
 5.647   93.2671
 5.641   93.3162
 5.635   93.3020
 5.629   93.3001
 5.623   93.3391
 5.617   93.3806
 5.611   93.3728
 5.604   93.4182
 5.598   93.4260
 5.592   93.4282
 5.586   93.4148
 5.580   93.4758
 5.574   93.4729
 5.568   93.4465
 5.562   93.4753
 5.556   93.5154
 5.550   93.5637
 5.545   93.5916
 5.539   93.6086
 5.533   93.5808
 5.527   93.6145
 5.521   93.6140
 5.515   93.6360
 5.509   93.6301
 5.503   93.6863
 5.498   93.7004
 5.492   93.7371
 5.486   93.7625
 5.480   93.8091
 5.474   93.8015
 5.469   93.8284
 5.463   93.8757
 5.457   93.9290
 5.451   93.9421
 5.446   93.9705
 5.440   93.9763
 5.434   94.0002
 5.428   94.0403
 5.423   94.0886
 5.417   94.0911
 5.411   94.0564
 5.406   94.0969
 5.400   94.0891
 5.395   94.1243
 5.389   94.1003
 5.383   94.0989
 5.378   94.1052
 5.372   94.1365
 5.367   94.1245
 5.361   94.1453
 5.356   94.2024
 5.350   94.2556
 5.344   94.2542
 5.339   94.2727
 5.333   94.3157
 5.328   94.3337
 5.323   94.3215
 5.317   94.3591
 5.312   94.3543
 5.306   94.3503
 5.301   94.3684
 5.295   94.3694
 5.290   94.4099
 5.285   94.4334
 5.279   94.4700
 5.274   94.4504
 5.268   94.4714
 5.263   94.4817
 5.258   94.5266
 5.252   94.5090
 5.247   94.5481
 5.242   94.5779
 5.237   94.5833
 5.231   94.5715
 5.226   94.5837
 5.221   94.6057
 5.215   94.6350
 5.210   94.6565
 5.205   94.6609
 5.200   94.6604
 5.195   94.6633
 5.189   94.6887
 5.184   94.7102
 5.179   94.7288
 5.174   94.7317
 5.169   94.7278
 5.163   94.7214
 5.158   94.7800
 5.153   94.7444
 5.148   94.7668
 5.143   94.7878
 5.138   94.8269
 5.133   94.8215
 5.128   94.8225
 5.123   94.8201
 5.118   94.8318
 5.113   94.8318
 5.108   94.8552
 5.103   94.8401
 5.097   94.8005
 5.092   94.8123
 5.087   94.8269
 5.083   94.7908
 5.078   94.8103
 5.073   94.8333
 5.068   94.8225
 5.063   94.8489
 5.058   94.8679
 5.053   94.8757
 5.048   94.8650
 5.043   94.8855
 5.038   94.8796
 5.033   94.9128
 5.028   94.9097
 5.023   94.9287
 5.019   94.9187
 5.014   94.9492
 5.009   94.9509
 5.004   94.9722
 4.999   94.9792
 4.994   94.9634
 4.990   94.9187
 4.985   94.8997
 4.980   94.9099
 4.975   94.9165
 4.970   94.9280
 4.966   94.9360
 4.961   94.9473
 4.956   94.9299
 4.951   94.9492
 4.947   94.9399
 4.942   94.9504
 4.937   94.9236
 4.933   94.9497
 4.928   94.9380
 4.923   94.9453
 4.919   94.9053
 4.914   94.9104
 4.909   94.8831
 4.905   94.8630
 4.900   94.8962
 4.895   94.9136
 4.891   94.9080
 4.886   94.9253
 4.882   94.9211
 4.877   94.9143
 4.872   94.9341
 4.868   94.9475
 4.863   94.9592
 4.859   94.9548
 4.854   94.9634
 4.850   94.9675
 4.845   94.9985
 4.840   94.9951
 4.836   95.0020
 4.831   94.9878
 4.827   95.0129
 4.822   95.0393
 4.818   95.0647
 4.814   95.0073
 4.809   95.0393
 4.805   95.0352
 4.800   95.0515
 4.796   95.0532
 4.791   95.0886
 4.787   95.0647
 4.782   95.0920
 4.778   95.1050
 4.774   95.1257
 4.769   95.1338
 4.765   95.1233
 4.760   95.1301
 4.756   95.0967
 4.752   95.0947
 4.747   95.1118
 4.743   95.1311
 4.739   95.1257
 4.734   95.1201
 4.730   95.0950
 4.726   95.0959
 4.721   95.0896
 4.717   95.1201
 4.713   95.0964
 4.709   95.1128
 4.704   95.0996
 4.700   95.1008
 4.696   95.1099
 4.692   95.1343
 4.687   95.1182
 4.683   95.1301
 4.679   95.1826
 4.675   95.1829
 4.670   95.1887
 4.666   95.2061
 4.662   95.2034
 4.658   95.2158
 4.654   95.2361
 4.649   95.2449
 4.645   95.2512
 4.641   95.2520
 4.637   95.2612
 4.633   95.2361
 4.629   95.2393
 4.625   95.2439
 4.620   95.2600
 4.616   95.2607
 4.612   95.2678
 4.608   95.2537
 4.604   95.2764
 4.600   95.3018
 4.596   95.3127
 4.592   95.3074
 4.588   95.3005
 4.584   95.3435
 4.580   95.3494
 4.576   95.3523
 4.572   95.3459
 4.568   95.3665
 4.564   95.3669
 4.560   95.3760
 4.555   95.3906
 4.551   95.3823
 4.548   95.3853
 4.544   95.3936
 4.540   95.3928
 4.536   95.3921
 4.532   95.3601
 4.528   95.3557
 4.524   95.3333
 4.520   95.3352
 4.516   95.3567
 4.512   95.3599
 4.508   95.3665
 4.504   95.4141
 4.500   95.4214
 4.496   95.3896
 4.492   95.3796
 4.488   95.3999
 4.485   95.4407
 4.481   95.4382
 4.477   95.4346
 4.473   95.4326
 4.469   95.4646
 4.465   95.4470
 4.461   95.4207
 4.458   95.3914
 4.454   95.3582
 4.450   95.3438
 4.446   95.3472
 4.442   95.3694
 4.438   95.4167
 4.435   95.4126
 4.431   95.4229
 4.427   95.4402
 4.423   95.4573
 4.420   95.4600
 4.416   95.4326
 4.412   95.4512
 4.408   95.4573
 4.405   95.4832
 4.401   95.5137
 4.397   95.5288
 4.393   95.5400
 4.390   95.5945
 4.386   95.5745
 4.382   95.5549
 4.379   95.5469
 4.375   95.5793
 4.371   95.5750
 4.367   95.5767
 4.364   95.5886
 4.360   95.5974
 4.356   95.5996
 4.353   95.5867
 4.349   95.5881
 4.345   95.5957
 4.342   95.5935
 4.338   95.5632
 4.335   95.5393
 4.331   95.5149
 4.327   95.5208
 4.324   95.5120
 4.320   95.5305
 4.317   95.5354
 4.313   95.5554
 4.309   95.6069
 4.306   95.5896
 4.302   95.5703
 4.299   95.6025
 4.295   95.6008
 4.292   95.5867
 4.288   95.5767
 4.284   95.5752
 4.281   95.5994
 4.277   95.6162
 4.274   95.6306
 4.270   95.6560
 4.267   95.6531
 4.263   95.6816
 4.260   95.6770
 4.256   95.6514
 4.253   95.6418
 4.249   95.6433
 4.246   95.6228
 4.242   95.5918
 4.239   95.5955
 4.235   95.6055
 4.232   95.5925
 4.229   95.6113
 4.225   95.6475
 4.222   95.6208
 4.218   95.6130
 4.215   95.6143
 4.211   95.6125
 4.208   95.6023
 4.205   95.6099
 4.201   95.5950
 4.198   95.5730
 4.194   95.5657
 4.191   95.5549
 4.188   95.5481
 4.184   95.5994
 4.181   95.6580
 4.177   95.6804
 4.174   95.6824
 4.171   95.7058
 4.167   95.7126
 4.164   95.6748
 4.161   95.6570
 4.157   95.6443
 4.154   95.6370
 4.151   95.5857
 4.147   95.5879
 4.144   95.6248
 4.141   95.6560
 4.137   95.6787
 4.134   95.6990
 4.131   95.7051
 4.128   95.6787
 4.124   95.6692
 4.121   95.6155
 4.118   95.6348
 4.114   95.6687
 4.111   95.6855
 4.108   95.6738
 4.105   95.6829
 4.101   95.7078
 4.098   95.6780
 4.095   95.6887
 4.092   95.6956
 4.088   95.6875
 4.085   95.6707
 4.082   95.6780
 4.079   95.6990
 4.076   95.7068
 4.072   95.7119
 4.069   95.6785
 4.066   95.6953
 4.063   95.6914
 4.060   95.6729
 4.056   95.6472
 4.053   95.6472
 4.050   95.6299
 4.047   95.6172
 4.044   95.6321
 4.041   95.6289
 4.038   95.6467
 4.034   95.6555
 4.031   95.6555
 4.028   95.6716
 4.025   95.6946
 4.022   95.7468
 4.019   95.7703
 4.016   95.7803
 4.013   95.7852
 4.009   95.7722
 4.006   95.7517
 4.003   95.7244
 4.000   95.6887
 3.997   95.7246
 3.994   95.7432
 3.991   95.7200
 3.988   95.7234
 3.985   95.7092
 3.982   95.6643
 3.979   95.6692
 3.976   95.6562
 3.973   95.6809
 3.969   95.6873
 3.966   95.6985
 3.963   95.6843
 3.960   95.7520
 3.957   95.7922
 3.954   95.7908
 3.951   95.7812
 3.948   95.7878
 3.945   95.7585
 3.942   95.7129
 3.939   95.6934
 3.936   95.6418
 3.933   95.6370
 3.930   95.6667
 3.927   95.6790
 3.924   95.6785
 3.921   95.6572
 3.918   95.6672
 3.916   95.6565
 3.913   95.6777
 3.910   95.6399
 3.907   95.6211
 3.904   95.6035
 3.901   95.6233
 3.898   95.6624
 3.895   95.6953
 3.892   95.6599
 3.889   95.6179
 3.886   95.6035
 3.883   95.6204
 3.880   95.5596
 3.877   95.5476
 3.875   95.5244
 3.872   95.5137
 3.869   95.5215
 3.866   95.5110
 3.863   95.5120
 3.860   95.5120
 3.857   95.5684
 3.854   95.5642
 3.852   95.5527
 3.849   95.5139
 3.846   95.5154
 3.843   95.4919
 3.840   95.4856
 3.837   95.5088
 3.834   95.5273
 3.832   95.5413
 3.829   95.5479
 3.826   95.5427
 3.823   95.5422
 3.820   95.5117
 3.817   95.5051
 3.815   95.4814
 3.812   95.4534
 3.809   95.4705
 3.806   95.4431
 3.803   95.4221
 3.801   95.4395
 3.798   95.4192
 3.795   95.3992
 3.792   95.4404
 3.790   95.4172
 3.787   95.4170
 3.784   95.3984
 3.781   95.3867
 3.779   95.3865
 3.776   95.3789
 3.773   95.3806
 3.770   95.3572
 3.768   95.3525
 3.765   95.3533
 3.762   95.3242
 3.759   95.2830
 3.757   95.2961
 3.754   95.3035
 3.751   95.2578
 3.748   95.2615
 3.746   95.2683
 3.743   95.2627
 3.740   95.2698
 3.738   95.2815
 3.735   95.2627
 3.732   95.2314
 3.730   95.2322
 3.727   95.2373
 3.724   95.2312
 3.722   95.1914
 3.719   95.1975
 3.716   95.1653
 3.714   95.1533
 3.711   95.1560
 3.708   95.1299
 3.706   95.1211
 3.703   95.0918
 3.700   95.0652
 3.698   95.0603
 3.695   95.0750
 3.692   95.0598
 3.690   95.0537
 3.687   95.0283
 3.685   95.0459
 3.682   95.0535
 3.679   95.0273
 3.677   95.0330
 3.674   95.0293
 3.671   95.0095
 3.669   94.9758
 3.666   94.9619
 3.664   94.9441
 3.661   94.9141
 3.659   94.8992
 3.656   94.9041
 3.653   94.9209
 3.651   94.8918
 3.648   94.8994
 3.646   94.8997
 3.643   94.8835
 3.641   94.8718
 3.638   94.8545
 3.635   94.8401
 3.633   94.8330
 3.630   94.7805
 3.628   94.7332
 3.625   94.7197
 3.623   94.7107
 3.620   94.6941
 3.618   94.6965
 3.615   94.6897
 3.613   94.6565
 3.610   94.6536
 3.608   94.6191
 3.605   94.6096
 3.603   94.6067
 3.600   94.5859
 3.598   94.5596
 3.595   94.5330
 3.593   94.5547
 3.590   94.5183
 3.588   94.5039
 3.585   94.4910
 3.583   94.4522
 3.580   94.4358
 3.578   94.4636
 3.575   94.4626
 3.573   94.4705
 3.570   94.4326
 3.568   94.4319
 3.565   94.4131
 3.563   94.3816
 3.561   94.3728
 3.558   94.3486
 3.556   94.3291
 3.553   94.3254
 3.551   94.2957
 3.548   94.2835
 3.546   94.2556
 3.544   94.2480
 3.541   94.1758
 3.539   94.1282
 3.536   94.1121
 3.534   94.0935
 3.531   94.0413
 3.529   93.9961
 3.527   93.9822
 3.524   93.9641
 3.522   93.9016
 3.519   93.8416
 3.517   93.7676
 3.515   93.6904
 3.512   93.6233
 3.510   93.5549
 3.508   93.4902
 3.505   93.4258
 3.503   93.3582
 3.500   93.3484
 3.498   93.4248
 3.496   93.4434
 3.493   93.4648
 3.491   93.5127
 3.489   93.5427
 3.486   93.5420
 3.484   93.5215
 3.482   93.5195
 3.479   93.5017
 3.477   93.5100
 3.475   93.5264
 3.472   93.4959
 3.470   93.4287
 3.468   93.4041
 3.465   93.4177
 3.463   93.3933
 3.461   93.3689
 3.458   93.3604
 3.456   93.2732
 3.454   93.2351
 3.452   93.2168
 3.449   93.1777
 3.447   93.1367
 3.445   93.1033
 3.442   93.0508
 3.440   92.9978
 3.438   92.9680
 3.435   92.9053
 3.433   92.7988
 3.431   92.6982
 3.429   92.5671
 3.426   92.4802
 3.424   92.3757
 3.422   92.2820
 3.420   92.2019
 3.417   92.1563
 3.415   92.1458
 3.413   92.1299
 3.411   92.1563
 3.408   92.2019
 3.406   92.2693
 3.404   92.3621
 3.402   92.4033
 3.399   92.4346
 3.397   92.5037
