Name:  Anorthite CaAl2Si2O8
Type:  Mineral (Synthetic)
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Fine (less than 2 Micrometers)
Sample No.:  anorthite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Bruce Hemingway, USGS; synthesized by James 
Woodhead, Princeton University.
Description: The sample was a coarse white powder.  The sample 
appears pure under the microscope, with very fine 
(cryptocrystalline) texture.



Measurement:  Transmission
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information:  anorth1a.txt
25.044   58.9920
24.924   59.2264
24.805   58.6639
24.686   59.0819
24.569   60.2694
24.454   60.8319
24.339   62.0233
24.225   62.9217
24.112   63.8436
24.001   64.4569
23.890   65.7069
23.781   66.2381
23.672   66.4295
23.564   67.0819
23.458   67.6990
23.352   68.1795
23.247   69.2420
23.144   70.5389
23.041   71.1639
22.939   72.1658
22.838   73.6326
22.738   75.0877
22.638   76.0564
22.540   76.8768
22.442   77.5389
22.345   78.0350
22.250   78.3533
22.154   78.5506
22.060   78.5076
21.967   78.2361
21.874   77.9939
21.782   77.4373
21.691   76.6814
21.601   76.1580
21.511   75.5701
21.422   75.0018
21.334   74.8689
21.247   75.2068
21.160   75.7127
21.074   76.1814
20.988   76.3553
20.904   75.8514
20.820   75.1326
20.737   74.4998
20.654   73.9959
20.572   74.1326
20.491   75.2772
20.410   76.9373
20.330   78.5115
20.251   79.6092
20.172   80.2576
20.094   80.3924
20.016   80.2361
19.939   80.0721
19.863   79.4412
19.787   78.7205
19.712   77.7732
19.637   76.5955
19.563   75.3250
19.489   74.0633
19.416   72.9070
19.344   71.8201
19.272   70.6844
19.201   69.4647
19.130   67.9764
19.059   66.2742
18.990   64.2147
18.920   61.7498
18.851   59.1063
18.783   56.2206
18.715   53.2001
18.648   50.8124
18.581   49.4960
18.515   49.3485
18.449   50.0272
18.384   51.0604
18.319   52.0370
18.254   52.7469
18.190   53.1444
18.126   53.1610
18.063   52.6024
18.001   51.5438
17.938   50.0546
17.876   48.1171
17.815   46.3134
17.754   44.9745
17.693   44.0331
17.633   43.6054
17.573   43.5604
17.514   43.5311
17.455   43.4296
17.396   43.2577
17.338   42.8573
