Name: Heulandite (Na,Ca)2-3Al3(Al,Si)2Si13O36.12H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Zeolite Group)
Particle Size:  Fine  (less than 2 Micrometers)
Sample No.: heulan.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Teigarhora, Iceland via W. J. Ehmann #37. 

Description: No solid sample was available.  Petrographically the 
sample was pure heulandite, with <1% of the grains showing parallel 
sets of (fluid?) inclusions.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: heulan1a.txt
25.044   45.9764
24.924   45.2343
24.805   44.1581
24.686   43.5331
24.569   43.0546
24.454   42.3143
24.339   41.0643
24.225   40.0233
24.112   39.6659
24.001   38.9374
23.890   38.2929
23.781   37.4706
23.672   36.6620
23.564   36.1327
23.458   35.2304
23.352   34.4257
23.247   33.6132
23.144   32.8681
23.041   31.9657
22.939   31.1132
22.838   30.5478
22.738   29.8788
22.638   29.1952
22.540   28.4921
22.442   27.9960
22.345   27.4374
22.250   27.0126
22.154   26.6962
22.060   26.6015
21.967   26.7118
21.874   26.7040
21.782   26.9579
21.691   27.1288
21.601   27.4462
21.511   27.6454
21.422   27.9277
21.334   28.4550
21.247   28.9902
21.160   29.7040
21.074   30.5273
20.988   31.5429
20.904   32.8319
20.820   34.1415
20.737   35.5399
20.654   36.7724
20.572   37.9950
20.491   39.1171
20.410   40.4218
20.330   41.7811
20.251   42.9061
20.172   43.9266
20.094   44.9325
20.016   45.9520
19.939   46.8300
19.863   47.6718
19.787   48.4354
19.712   48.8690
19.637   49.4257
19.563   49.7577
19.489   50.1625
19.416   50.3944
19.344   50.6815
19.272   50.7367
19.201   50.8109
19.130   51.0194
19.059   51.2445
18.990   51.4632
18.920   51.7450
18.851   52.2694
18.783   52.5448
18.715   52.8475
18.648   53.2460
18.581   53.4183
18.515   53.6522
18.449   53.6815
18.384   53.8749
18.319   53.7909
18.254   53.8338
18.190   53.7699
18.126   53.6590
18.063   53.6874
18.001   53.4823
17.938   53.5038
17.876   53.2919
17.815   53.2035
17.754   53.0790
17.693   52.9081
17.633   52.8148
17.573   52.5692
17.514   52.4803
