Name:  Labradorite (Na,Ca)Al(Al,Si)Si2O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (Feldspar Group)
Particle Size:  Fine  (Less than 2 micrometers)
Sample No.: labrador.1
Owner:  JHU
Wavelength Range:  IR
Origin: Lake County, Oregon, acquired from the Smithsonian (sample 
no. NMNH 115500) via Dave Stewart, USGS
Description: The sample consisted of a 2 cm x 1 cm x 0.2 cm, 0.536 g 
portion, of a single transparent crystal.  The fragment seemed to 
have been sawn on one side.  A very, very small amount of iron 
oxide stain could be seen on the surface of the fragment and still less 
on the inside.  No impurities were detected under the microscope.

Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittence (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  labrad1a.txt
25.044   46.4491
24.924   46.4999
24.805   47.3866
24.686   47.8436
24.569   48.3612
24.454   48.4257
24.339   49.1835
24.225   49.4862
24.112   49.9393
24.001   50.1757
23.890   50.6893
23.781   51.2128
23.672   51.8475
23.564   52.3456
23.458   52.5936
23.352   53.1327
23.247   53.7323
23.144   54.1483
23.041   55.2391
22.939   56.5829
22.838   57.6649
22.738   59.1844
22.638   60.6815
22.540   61.4774
22.442   62.5477
22.345   63.4725
22.250   63.8494
22.154   64.0194
22.060   64.3455
21.967   64.0213
21.874   63.2743
21.782   62.5760
21.691   61.8953
21.601   61.1844
21.511   60.6424
21.422   60.4080
21.334   60.6717
21.247   60.9979
21.160   61.4266
21.074   61.9569
20.988   62.4159
20.904   63.2625
20.820   63.8953
20.737   64.5643
20.654   65.6795
20.572   67.0047
20.491   68.1590
20.410   69.3778
20.330   70.2020
20.251   70.8318
20.172   71.1785
20.094   71.1639
20.016   70.7264
19.939   70.3797
19.863   69.7386
19.787   69.2362
19.712   68.4666
19.637   67.7698
19.563   66.9285
19.489   66.2655
19.416   65.2889
19.344   64.5081
19.272   63.5081
19.201   62.6600
19.130   61.5316
19.059   60.4105
18.990   58.9730
18.920   57.3617
18.851   55.4139
18.783   53.2035
18.715   50.8636
18.648   48.7616
18.581   47.1473
18.515   46.4540
18.449   46.7562
18.384   47.7665
18.319   49.0355
18.254   50.1464
18.190   50.8768
18.126   51.2772
18.063   51.3563
18.001   50.9354
17.938   50.1669
17.876   49.1425
17.815   47.8651
17.754   46.2704
17.693   44.7235
17.633   43.2333
17.573   41.9481
17.514   40.7665
17.455   39.9022
17.396   39.4184
17.338   39.2489
17.280   39.3192
17.223   39.5409
17.166   39.8544
17.109   40.2108
17.053   40.6522
16.997   41.2230
16.942   41.9696
16.886   42.7196
