Name: Nepheline (Na,K)AlSiO4
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (Feldspathoid Group)
Particle Size:  Fine  (Less than 2 Micrometers)
Sample No.: nephel.2
Owner:  JHU
Wavelength Range:  IR
Origin: Brevig, Norway via Norma Vergo

Description: The hand sample was a massive chunk of unusually dark 
gray nepheline, weighing 15 g.  Under the microscope, the sample 
appeared to be almost entirely pure nepheline, although many grains showed 
fluid inclusions.  


Measurement:  Tansmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  nephel2a.txt
25.044   75.0623
24.924   74.5467
24.805   73.9998
24.686   73.3318
24.569   72.6014
24.454   71.8592
24.339   71.1287
24.225   70.4569
24.112   69.7381
24.001   69.2342
23.890   68.9881
23.781   68.9725
23.672   69.0662
23.564   69.0897
23.458   68.7420
23.352   68.5799
23.247   68.1092
23.144   67.1346
23.041   65.9764
22.939   64.7694
22.838   63.2987
22.738   61.8377
22.638   60.0155
22.540   57.9549
22.442   55.7030
22.345   53.1971
22.250   50.6424
22.154   48.3065
22.060   46.2147
21.967   44.4764
21.874   42.6972
21.782   40.5819
21.691   38.4687
21.601   36.1503
21.511   33.5038
21.422   30.8163
21.334   28.9335
21.247   28.1523
21.160   28.7988
21.074   30.7753
20.988   33.6972
20.904   37.2772
20.820   41.0663
20.737   44.3847
20.654   47.2968
20.572   50.1639
20.491   53.5878
20.410   57.6092
20.330   61.8670
20.251   65.1912
20.172   67.2664
20.094   67.8944
20.016   67.1258
19.939   65.2078
19.863   62.8016
19.787   60.4842
19.712   58.6971
19.637   57.6874
19.563   57.5213
19.489   57.9452
19.416   59.0565
19.344   60.8338
19.272   63.0584
19.201   65.6649
19.130   68.6639
19.059   71.5516
18.990   74.1443
18.920   76.3328
18.851   78.1307
18.783   79.5281
18.715   80.7771
18.648   82.0320
18.581   83.4724
18.515   85.1170
18.449   86.8836
18.384   88.4021
18.319   89.7888
18.254   90.9041
18.190   91.8670
18.126   92.6111
18.063   93.3845
18.001   93.9744
17.938   94.4763
17.876   94.8445
17.815   95.2781
17.754   95.5408
17.693   95.8289
17.633   95.8865
17.573   95.9109
17.514   95.7742
17.455   95.5671
17.396   95.2068
17.338   94.8093
17.280   94.5212
17.223   94.8162
17.166   95.3572
17.109   95.9499
17.053   96.3132
16.997   96.5759
16.942   96.7537
16.886   96.9695
16.832   97.0369
16.777   97.1384
16.723   97.0876
16.669   97.1374
16.616   97.0935
16.563   97.0710
16.510   96.9373
16.458   96.8640
16.406   96.6570
16.354   96.5447
16.302   96.3171
16.251   96.2703
16.200   96.1482
16.150   96.0369
16.100   95.7839
16.050   95.6912
16.000   95.4285
15.951   95.2410
15.902   94.9802
15.854   94.8064
15.805   94.5759
15.757   94.5212
15.710   94.3748
15.662   94.2087
15.615   93.8181
15.568   93.5857
15.521   93.0877
15.475   92.6355
15.429   92.0115
15.383   91.4841
15.338   90.7752
15.292   90.1892
15.248   89.3650
15.203   88.5047
15.158   87.4812
15.114   86.4568
15.070   85.1941
15.027   83.9080
14.983   82.4041
14.940   80.9851
14.897   79.3660
14.854   77.6668
14.812   75.6409
14.770   73.5413
14.728   71.2562
14.686   69.1131
14.645   66.8734
14.603   64.8006
14.562   62.6903
14.521   60.8402
14.481   59.0682
14.441   57.7030
14.400   56.6170
14.361   56.0082
14.321   55.7171
14.281   55.7850
14.242   55.8885
14.203   56.3050
14.164   56.7811
14.126   57.4208
14.087   57.9984
14.049   58.6131
14.011   59.1859
13.973   60.1170
13.936   61.3324
13.899   63.0257
13.861   64.9022
13.824   67.1195
13.788   69.2908
13.751   71.4315
13.715   73.2269
13.679   74.8968
13.643   76.1521
13.607   77.3362
13.571   78.3631
13.536   79.5296
13.500   80.6141
13.465   81.7620
13.430   82.7327
13.396   83.8030
13.361   84.7029
13.327   85.6878
13.293   86.4998
13.259   87.3870
13.225   88.0510
13.191   88.7302
13.158   89.1541
13.124   89.6756
13.091   89.9548
13.058   90.3767
13.026   90.6433
12.993   91.0408
12.960   91.2732
12.928   91.6824
12.896   92.0212
12.864   92.4885
12.832   92.8010
12.800   93.2537
12.769   93.4949
12.737   93.8396
12.706   93.9846
12.675   94.2341
12.644   94.3054
12.614   94.4885
12.583   94.4705
12.552   94.5486
12.522   94.4617
12.492   94.5251
12.462   94.3523
12.432   94.3342
12.402   94.1628
12.373   94.0476
12.343   93.8113
12.314   93.6853
12.285   93.3928
12.256   93.1980
12.227   92.8982
12.198   92.7170
12.169   92.3635
12.141   92.1492
12.113   91.8005
12.084   91.5447
12.056   91.1492
12.028   90.8611
12.000   90.4500
11.973   90.1170
11.945   89.6902
11.918   89.3259
11.890   88.8616
11.863   88.4920
11.836   87.9983
11.809   87.5916
11.782   87.1057
11.755   86.6814
11.729   86.1990
11.702   85.7268
11.676   85.2244
11.650   84.7429
11.624   84.2171
11.598   83.7132
11.572   83.2034
11.546   82.7205
11.520   82.1682
11.495   81.6111
11.469   81.0237
11.444   80.4436
11.419   79.8426
11.394   79.2303
11.369   78.5726
11.344   77.9158
11.319   77.2522
11.294   76.5213
11.270   75.8025
11.245   75.0491
11.221   74.2518
11.197   73.3924
11.173   72.5125
11.149   71.6082
11.125   70.6649
11.101   69.6995
11.077   68.7078
11.054   67.6370
11.030   66.5804
11.007   65.4754
10.983   64.4183
10.960   63.3631
10.937   62.4124
10.914   61.4754
10.891   60.5623
10.868   59.6336
10.846   58.7406
10.823   57.7904
10.800   56.8929
10.778   55.9442
10.755   54.9266
10.733   53.7909
10.711   52.6385
10.689   51.3710
10.667   50.0751
10.645   48.6327
10.623   47.1630
10.602   45.5043
10.580   43.7860
10.558   41.9667
10.537   40.1435
10.516   38.2079
10.494   36.3290
10.473   34.4345
10.452   32.5990
10.431   30.8061
10.410   29.1196
10.389   27.4848
10.368   26.0576
10.348   24.7070
10.327   23.4863
10.306   22.2695
10.286   21.1372
10.266   20.0063
10.245   18.9960
10.225   18.1084
10.205   17.4140
10.185   16.8476
10.165   16.4726
10.145   16.1235
10.125   15.8076
10.106   15.4526
10.086   15.1767
10.066   14.9199
10.047   14.8310
10.027   14.8227
10.008   14.9785
 9.989   15.2006
 9.970   15.4897
 9.950   15.8051
 9.931   16.2153
 9.912   16.6518
 9.893   17.1577
 9.875   17.6870
 9.856   18.2851
 9.837   18.9101
 9.818   19.6132
 9.800   20.3046
 9.781   21.0039
 9.763   21.6699
 9.745   22.3193
 9.726   22.8837
 9.708   23.4550
 9.690   23.9335
 9.672   24.3520
 9.654   24.7187
 9.636   25.0888
 9.618   25.4472
 9.600   25.8832
 9.583   26.3959
 9.565   26.9799
 9.547   27.6586
 9.530   28.4716
 9.512   29.3910
 9.495   30.4062
 9.477   31.4945
 9.460   32.6171
 9.443   33.6894
 9.426   34.6386
 9.409   35.4521
 9.392   36.0351
 9.375   36.5019
 9.358   36.8495
 9.341   37.1601
 9.324   37.4218
 9.307   37.7582
 9.291   38.1054
 9.274   38.3935
 9.257   38.5561
 9.241   38.7055
 9.224   38.7289
 9.208   38.7309
 9.192   38.7616
 9.175   38.9735
 9.159   39.3012
 9.143   39.8539
 9.127   40.5238
 9.111   41.3812
 9.095   42.3016
 9.079   43.3534
 9.063   44.3759
 9.047   45.4725
 9.032   46.5199
 9.016   47.5648
 9.000   48.4965
 8.985   49.4676
 8.969   50.3387
 8.954   51.2225
 8.938   52.0399
 8.923   52.9139
 8.907   53.7250
 8.892   54.6083
 8.877   55.4374
 8.862   56.3065
 8.847   57.1000
 8.832   57.9706
 8.817   58.7577
 8.802   59.5843
 8.787   60.3372
 8.772   61.1566
 8.757   61.8582
 8.742   62.6361
 8.728   63.3416
 8.713   64.0975
 8.698   64.7591
 8.684   65.5184
 8.669   66.2098
 8.655   66.9041
 8.640   67.5482
 8.626   68.2469
 8.612   68.8448
 8.597   69.4717
