Name: Quartz SiO2
Type:  Mineral
Class:  Silicates
Subclass:   Tectosilicates (Silica Group)
Particle Size:  Fine  (Less than 2  Micrometers)
Sample No.:  quartz.2
Owner:  JHU
Wavelength Range:  IR
Origin: Rock Springs, Arkansas via Hunt and Salisbury Collection 
#32B (purchased from Ward's Natural Science Establishment); 
Description: No solid sample was available, but the powdered sample 
grains were crystal clear under the microscope and the sample 
appeared very pure quartz; pure quartz according to XRD analysis and within the 
limits of microprobe error.


Measurement:  Transmission
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none
25.044   56.5936
24.924   66.0467
24.805   75.2967
24.686   80.9060
24.569   82.8279
24.454   83.2068
24.339   82.9842
24.225   81.7498
24.112   81.1599
24.001   80.6599
23.890   80.1873
23.781   79.0076
23.672   77.9529
23.564   77.2186
23.458   76.2967
23.352   75.3084
23.247   73.9998
23.144   72.9568
23.041   71.3748
22.939   69.5076
22.838   67.4315
22.738   65.1502
22.638   62.4784
22.540   59.7108
22.442   56.7264
22.345   53.1796
22.250   49.8514
22.154   45.8925
22.060   41.0663
21.967   36.3222
21.874   32.7460
21.782   30.3163
21.691   29.0390
21.601   29.0312
21.511   30.1581
21.422   31.5390
21.334   32.7812
21.247   34.1484
21.160   35.5585
21.074   37.0312
20.988   38.6522
20.904   40.5468
20.820   42.8085
20.737   45.2694
20.654   47.9550
20.572   50.7030
20.491   53.1268
20.410   54.9432
20.330   56.4608
20.251   57.4569
20.172   57.9022
20.094   57.9530
20.016   57.4706
19.939   56.5741
19.863   55.3045
19.787   53.7909
19.712   52.0936
19.637   50.4901
19.563   49.3905
19.489   49.0663
19.416   49.3944
19.344   50.2616
19.272   51.8524
19.201   53.9960
19.130   56.6327
19.059   59.5584
18.990   62.6659
18.920   65.8250
18.851   68.8358
18.783   71.6756
18.715   74.0721
18.648   76.0857
18.581   77.8211
18.515   79.4461
18.449   80.5721
18.384   81.4471
18.319   82.2185
18.254   82.9070
18.190   83.4763
18.126   83.9412
18.063   84.3396
18.001   84.6970
17.938   85.0271
17.876   85.2195
17.815   85.6326
17.754   85.9881
17.693   86.1375
17.633   86.2400
17.573   86.5447
17.514   86.8445
17.455   86.9802
