Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Solid
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color.  This is a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt
399.294   45.1581
401.223   45.4940
403.152   45.1522
405.081   44.5126
407.010   42.7850
408.938   40.1601
410.867   37.8026
412.796   37.2743
414.725   39.4765
416.654   42.8905
418.583   45.5790
420.512   46.9296
422.441   46.5341
424.370   44.7528
426.299   42.4452
428.228   38.8241
430.157   34.1015
432.086   29.0029
434.015   24.1962
435.944   20.7246
437.873   19.1835
439.802   19.5434
441.731   20.6508
443.660   22.0292
445.589   23.6352
447.518   25.7563
449.447   29.2602
451.376   33.4399
453.305   35.6776
455.233   35.4711
457.162   34.0019
459.091   32.6581
461.020   33.0024
462.949   34.7900
464.878   36.4223
466.807   37.3070
468.736   37.3480
470.665   36.8559
472.594   37.0829
474.523   38.8710
476.452   41.2269
478.381   42.9223
480.310   43.8270
482.239   44.0238
484.168   43.4555
486.097   42.3153
488.026   40.4403
489.955   37.7274
491.884   34.3212
493.813   30.6684
495.742   26.9965
497.671   23.4653
499.600   20.5986
501.528   18.8071
503.457   18.0644
505.386   18.1210
507.315   18.4990
509.244   18.8852
511.173   19.3081
513.102   19.7871
515.031   20.1193
516.960   20.4218
518.889   20.8632
520.818   21.2219
522.747   21.4648
524.676   21.8420
526.605   22.1806
528.534   22.4785
530.463   22.9296
532.392   23.3400
534.321   23.6281
536.250   24.0292
538.179   24.5024
540.108   25.0390
542.037   25.9970
543.966   27.4745
545.895   28.6991
547.823   28.9924
549.752   28.6095
551.681   28.0273
553.610   27.6506
555.539   27.7707
557.468   28.3232
559.397   29.0204
561.326   29.7648
563.255   30.7499
565.184   31.8820
567.113   33.1757
569.042   34.8056
570.971   36.9091
572.900   39.3642
574.829   42.0131
576.758   44.6625
578.687   46.9232
580.616   48.6014
582.545   49.8861
584.474   50.8819
586.403   51.6053
588.332   52.1278
590.261   52.4122
592.190   52.6078
594.118   52.7374
596.047   52.6310
597.976   52.2220
599.905   51.7728
601.834   51.0340
603.763   49.7384
