Name: Anhydrite CaSO4
Type:  Mineral 
Class:  Sulfates
Subclass:  
Particle Size:  Coarse (75-250 Micrometers)
Sample No.:  anhydrite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Champo, Isere, France, via the Smithsonian 
(sample no. NMNH 46393).  
Description: The sample was a 3 cm x 3 cm x 4 cm, white, granular 
mass weighing 30 g.  One surface was stained and this material was 
discarded after crushing.  Microscopic examination indicated pure 
anhydrite.


Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: anhyd1a.txt
25.044    0.4619
24.924    0.3682
24.805    0.1570
24.686    0.1292
24.569    0.3203
24.454    0.2944
24.339    0.2222
24.225    0.2085
24.112    0.2305
24.001    0.3938
23.890    0.4263
23.781    0.3945
23.672    0.4612
23.564    0.3728
23.458    0.3179
23.352    0.4204
23.247    0.4075
23.144    0.4644
23.041    0.4619
22.939    0.3706
22.838    0.4062
22.738    0.4458
22.638    0.4575
22.540    0.5962
22.442    0.6809
22.345    0.5718
22.250    0.4707
22.154    0.4019
22.060    0.4695
21.967    0.5693
21.874    0.5942
21.782    0.6130
21.691    0.6069
21.601    0.6465
21.511    0.6182
21.422    0.6096
21.334    0.7009
21.247    0.6704
21.160    0.5774
21.074    0.6431
20.988    0.7026
20.904    0.6531
20.820    0.6135
20.737    0.6711
20.654    0.7798
20.572    0.7480
20.491    0.6907
20.410    0.7061
20.330    0.6716
20.251    0.7241
20.172    0.7332
20.094    0.6787
20.016    0.6650
19.939    0.6353
19.863    0.6340
19.787    0.6682
19.712    0.6179
19.637    0.5388
19.563    0.5601
19.489    0.5945
19.416    0.5701
19.344    0.6096
19.272    0.6860
19.201    0.7590
19.130    0.8230
19.059    0.8801
18.990    0.9353
18.920    0.9761
18.851    0.9834
18.783    0.9871
18.715    1.0103
18.648    1.0271
18.581    1.0742
18.515    1.1255
18.449    1.0923
18.384    1.0632
18.319    1.0662
18.254    1.1106
18.190    1.1287
18.126    1.1013
18.063    1.0881
18.001    1.0996
17.938    1.1216
17.876    1.0952
17.815    1.0930
17.754    1.0596
17.693    0.9971
17.633    0.9907
17.573    1.0054
17.514    0.9905
17.455    0.9680
17.396    0.9448
17.338    0.8892
17.280    0.8225
17.223    0.8186
17.166    0.8318
17.109    0.8520
17.053    0.8181
16.997    0.8335
16.942    1.0044
16.886    1.1819
16.832    1.2917
16.777    1.3508
16.723    1.3686
16.669    1.3696
16.616    1.3420
16.563    1.2644
16.510    1.1130
16.458    0.9556
16.406    0.8843
16.354    0.8501
16.302    0.8601
16.251    0.9023
16.200    0.9299
16.150    0.9839
16.100    1.0161
16.050    0.9690
16.000    0.9248
15.951    0.8293
15.902    0.6851
15.854    0.5571
15.805    0.4722
15.757    0.4326
15.710    0.3948
15.662    0.4016
15.615    0.4145
15.568    0.4521
15.521    0.4714
15.475    0.4597
15.429    0.4636
15.383    0.4661
15.338    0.4822
15.292    0.5041
15.248    0.5137
15.203    0.5229
15.158    0.5354
15.114    0.5339
15.070    0.5356
15.027    0.6067
14.983    0.7002
14.940    0.7581
14.897    0.8496
14.854    0.9150
14.812    0.9722
14.770    1.0271
14.728    1.0615
14.686    1.0725
14.645    1.0564
14.603    1.0530
14.562    1.0823
14.521    1.1584
14.481    1.2363
14.441    1.3008
14.400    1.3088
14.361    1.2412
14.321    1.0815
14.281    0.8835
14.242    0.7021
14.203    0.5513
14.164    0.4290
14.126    0.3782
14.087    0.3740
14.049    0.3567
14.011    0.3477
13.973    0.3782
13.936    0.4058
13.899    0.4153
13.861    0.4595
13.824    0.4849
13.788    0.4453
13.751    0.4277
13.715    0.4568
13.679    0.4888
13.643    0.4993
13.607    0.4785
13.571    0.4917
13.536    0.5032
13.500    0.5056
13.465    0.4858
13.430    0.4631
13.396    0.4675
13.361    0.4678
13.327    0.4792
13.293    0.4888
13.259    0.5039
13.225    0.5437
13.191    0.5928
13.158    0.6023
13.124    0.5999
13.091    0.6135
13.058    0.6311
13.026    0.6533
12.993    0.6521
12.960    0.6584
12.928    0.6943
12.896    0.7397
12.864    0.7546
12.832    0.7717
12.800    0.7910
12.769    0.7844
12.737    0.7632
12.706    0.7810
12.675    0.8145
12.644    0.8799
12.614    0.9377
12.583    0.9724
12.552    0.9822
12.522    0.9434
12.492    0.9277
12.462    0.9211
12.432    0.9243
12.402    0.9324
12.373    0.9277
12.343    0.9211
12.314    0.9019
12.285    0.9036
12.256    0.8833
12.227    0.8586
12.198    0.8440
12.169    0.8274
12.141    0.8118
12.113    0.7688
12.084    0.7624
12.056    0.7822
12.028    0.7710
12.000    0.7642
11.973    0.7561
11.945    0.7495
11.918    0.7261
11.890    0.6956
11.863    0.6902
11.836    0.7046
11.809    0.7114
11.782    0.7053
11.755    0.7078
11.729    0.7327
11.702    0.7532
11.676    0.7502
11.650    0.7690
11.624    0.7771
11.598    0.7715
11.572    0.7624
11.546    0.7673
11.520    0.7756
11.495    0.7583
11.469    0.7285
11.444    0.7227
11.419    0.7217
11.394    0.7017
11.369    0.6904
11.344    0.6807
11.319    0.6511
11.294    0.6460
11.270    0.6426
11.245    0.6074
11.221    0.6077
11.197    0.6152
11.173    0.6001
11.149    0.5891
11.125    0.5803
11.101    0.5840
11.077    0.6140
11.054    0.6243
11.030    0.6060
11.007    0.5996
10.983    0.6162
10.960    0.6165
10.937    0.6162
10.914    0.6318
10.891    0.6440
10.868    0.6482
10.846    0.6484
10.823    0.6587
10.800    0.6655
10.778    0.6650
10.755    0.6624
10.733    0.6641
10.711    0.6728
10.689    0.6763
10.667    0.6572
10.645    0.6411
10.623    0.6367
10.602    0.6287
10.580    0.6121
10.558    0.6074
10.537    0.6121
10.516    0.6160
10.494    0.6035
10.473    0.5950
10.452    0.5957
10.431    0.5928
10.410    0.5830
10.389    0.5798
10.368    0.5732
10.348    0.5659
10.327    0.5657
10.306    0.5720
10.286    0.5559
10.266    0.5483
10.245    0.5569
10.225    0.5559
10.205    0.5564
10.185    0.5574
10.165    0.5625
10.145    0.5686
10.125    0.5579
10.106    0.5535
10.086    0.5627
10.066    0.5549
10.047    0.5432
10.027    0.5352
10.008    0.5222
 9.989    0.5171
 9.970    0.5222
 9.950    0.5198
 9.931    0.5154
 9.912    0.5164
 9.893    0.5166
 9.875    0.5093
 9.856    0.5049
 9.837    0.5076
 9.818    0.5222
 9.800    0.5400
 9.781    0.5464
 9.763    0.5432
 9.745    0.5479
 9.726    0.5537
 9.708    0.5610
 9.690    0.5645
 9.672    0.5613
 9.654    0.5601
 9.636    0.5654
 9.618    0.5745
 9.600    0.5767
 9.583    0.5845
 9.565    0.6052
 9.547    0.6113
 9.530    0.6125
 9.512    0.6116
 9.495    0.6157
 9.477    0.6350
 9.460    0.6389
 9.443    0.6433
 9.426    0.6523
 9.409    0.6614
 9.392    0.6699
 9.375    0.6584
 9.358    0.6780
 9.341    0.7109
 9.324    0.7192
 9.307    0.7202
 9.291    0.7351
 9.274    0.7456
 9.257    0.7583
 9.241    0.7761
 9.224    0.8103
 9.208    0.8455
 9.192    0.8716
 9.175    0.8950
 9.159    0.9375
 9.143    1.0117
 9.127    1.1038
 9.111    1.1770
 9.095    1.2378
 9.079    1.2776
 9.063    1.3020
 9.047    1.3254
 9.032    1.3689
 9.016    1.4150
 9.000    1.4541
 8.985    1.4932
 8.969    1.5388
 8.954    1.5832
 8.938    1.6313
 8.923    1.6877
 8.907    1.7524
 8.892    1.8074
 8.877    1.8765
 8.862    1.9424
 8.847    1.9939
 8.832    2.0571
 8.817    2.1047
 8.802    2.1619
 8.787    2.2383
 8.772    2.3118
 8.757    2.3987
 8.742    2.4893
 8.728    2.5872
 8.713    2.7280
 8.698    2.8840
 8.684    2.9973
 8.669    3.0557
 8.655    3.0815
 8.640    3.0942
 8.626    3.0886
 8.612    3.0879
 8.597    3.0852
 8.583    3.0808
 8.569    3.0920
 8.555    3.1001
 8.541    3.0955
 8.527    3.0854
 8.513    3.0867
 8.499    3.0864
 8.485    3.0832
 8.471    3.0923
 8.457    3.1040
 8.443    3.1133
 8.430    3.1235
 8.416    3.1284
 8.402    3.1482
 8.389    3.1929
 8.375    3.2305
 8.362    3.2634
 8.348    3.2961
 8.335    3.3267
 8.321    3.3271
 8.308    3.2681
 8.295    3.1367
 8.281    2.9954
 8.268    2.8755
 8.255    2.7786
 8.242    2.6658
 8.229    2.5234
 8.216    2.4143
 8.203    2.3496
 8.190    2.3074
 8.177    2.2747
 8.164    2.2397
 8.151    2.2085
 8.138    2.1782
 8.126    2.1619
 8.113    2.1643
 8.100    2.1550
 8.088    2.1379
 8.075    2.1038
 8.062    2.0300
 8.050    1.9392
 8.037    1.8276
 8.025    1.7144
 8.013    1.6279
 8.000    1.5647
 7.988    1.5107
 7.976    1.4470
 7.963    1.3760
 7.951    1.3005
 7.939    1.2051
 7.927    1.0994
 7.915    0.9936
 7.903    0.8809
 7.891    0.7722
 7.879    0.6724
 7.867    0.5833
 7.855    0.5010
 7.843    0.4238
 7.831    0.3684
 7.819    0.3164
 7.807    0.2710
 7.796    0.2251
 7.784    0.1868
 7.772    0.1570
 7.761    0.1289
 7.749    0.1013
 7.738    0.0808
 7.726    0.0718
 7.715    0.0684
 7.703    0.0625
 7.692    0.0632
 7.680    0.0732
 7.669    0.0815
 7.658    0.0837
 7.646    0.0925
 7.635    0.0986
 7.624    0.1125
 7.613    0.1213
 7.601    0.1179
 7.590    0.1270
 7.579    0.1411
 7.568    0.1409
 7.557    0.1455
 7.546    0.1533
 7.535    0.1628
 7.524    0.1677
 7.513    0.1716
 7.502    0.1763
 7.492    0.1838
 7.481    0.1895
 7.470    0.1951
 7.459    0.2009
 7.448    0.2109
 7.438    0.2217
 7.427    0.2253
 7.417    0.2302
 7.406    0.2317
 7.395    0.2378
 7.385    0.2424
 7.374    0.2573
 7.364    0.2751
 7.353    0.2798
 7.343    0.2749
 7.333    0.2769
 7.322    0.2917
 7.312    0.3003
 7.302    0.3118
 7.291    0.3191
 7.281    0.3228
 7.271    0.3315
 7.261    0.3450
 7.251    0.3577
 7.240    0.3689
 7.230    0.3867
 7.220    0.3992
 7.210    0.3967
 7.200    0.4036
 7.190    0.4172
 7.180    0.4263
 7.170    0.4431
 7.160    0.4531
 7.151    0.4597
 7.141    0.4761
 7.131    0.4976
 7.121    0.5129
 7.111    0.5222
 7.102    0.5356
 7.092    0.5442
 7.082    0.5530
 7.073    0.5623
 7.063    0.5728
 7.053    0.5901
 7.044    0.6033
 7.034    0.6125
 7.025    0.6328
 7.015    0.6665
 7.006    0.6951
 6.996    0.7148
 6.987    0.7507
 6.977    0.7917
 6.968    0.8274
 6.959    0.8601
 6.949    0.8918
 6.940    0.9172
 6.931    0.9404
 6.921    0.9338
 6.912    0.9321
 6.903    1.0039
 6.894    1.1020
 6.885    1.1606
 6.876    1.2114
 6.866    1.2651
 6.857    1.3242
 6.848    1.3784
 6.839    1.4329
 6.830    1.4763
 6.821    1.5117
 6.812    1.5508
 6.803    1.5825
 6.794    1.6040
 6.786    1.6362
 6.777    1.6709
 6.768    1.7007
 6.759    1.7378
 6.750    1.7720
 6.741    1.8020
 6.733    1.8330
 6.724    1.8679
 6.715    1.9026
 6.707    1.9394
 6.698    1.9858
 6.689    2.0359
 6.681    2.0825
 6.672    2.1299
 6.663    2.1731
 6.655    2.2151
 6.646    2.2427
 6.638    2.2573
 6.629    2.2737
 6.621    2.2793
 6.612    2.2527
 6.604    2.1948
 6.596    2.1047
 6.587    2.0144
 6.579    1.9219
 6.571    1.8284
 6.562    1.7410
 6.554    1.6562
 6.546    1.5693
 6.537    1.4700
 6.529    1.3572
 6.521    1.2622
