Name:  Alunite (potassium alunite) KAl3(SO4)2(OH)6
Type:  Mineral 
Class:  Sulfates
Subclass:
Particle Size:  Fine (less than 75 Micrometers)
Sample No.:  alunite.2
Owner: JHU
Wavelength Range:  IR
Origin: Utah; Hunt and Salisbury Collection #295 B (purchased from 
Ward's Natural Science Establishment).
Description: The sample is slightly pink in color, and appears pure 
under the microscope.




Measurement:  Bidirectional Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  alunit2a.txt
25.044    2.4810
24.924    2.4849
24.805    2.6518
24.686    2.7051
24.569    2.7036
24.454    2.7056
24.339    2.8848
24.225    2.8127
24.112    2.5869
24.001    2.4360
23.890    2.4553
23.781    2.5071
23.672    2.5303
23.564    2.5488
23.458    2.5549
23.352    2.4656
23.247    2.4827
23.144    2.5483
23.041    2.5713
22.939    2.3970
22.838    2.2866
22.738    2.3616
22.638    2.4717
22.540    2.5698
22.442    2.6213
22.345    2.6279
22.250    2.7124
22.154    2.8428
22.060    2.9504
21.967    2.9858
21.874    3.0300
21.782    3.1577
21.691    3.2497
21.601    3.2544
21.511    3.3603
21.422    3.4399
21.334    3.4722
21.247    3.4648
21.160    3.4216
21.074    3.4116
20.988    3.4519
20.904    3.3794
20.820    3.2207
20.737    3.0359
20.654    2.6838
20.572    2.3096
20.491    2.1072
20.410    2.0581
20.330    2.1409
20.251    2.2986
20.172    2.4602
20.094    2.4665
20.016    2.4280
19.939    2.4238
19.863    2.4326
19.787    2.4258
19.712    2.4639
19.637    2.4790
19.563    2.4592
19.489    2.4702
19.416    2.4224
19.344    2.3538
19.272    2.2871
19.201    2.2344
19.130    2.2058
19.059    2.1487
18.990    2.1003
18.920    2.0461
18.851    2.0344
18.783    2.0439
18.715    2.0598
18.648    2.0530
18.581    2.0857
18.515    2.1926
18.449    2.2803
18.384    2.3340
18.319    2.3745
18.254    2.4077
18.190    2.4314
18.126    2.4473
18.063    2.4468
18.001    2.4138
17.938    2.3926
17.876    2.4045
17.815    2.3982
17.754    2.3533
17.693    2.3350
17.633    2.2993
17.573    2.2673
17.514    2.2629
17.455    2.2502
17.396    2.2375
17.338    2.2410
17.280    2.2268
17.223    2.1934
17.166    2.1714
17.109    2.1741
17.053    2.1907
16.997    2.2529
16.942    2.3425
16.886    2.4343
16.832    2.5232
16.777    2.5981
16.723    2.6560
16.669    2.6975
16.616    2.6663
16.563    2.5732
16.510    2.4280
16.458    2.2258
16.406    2.0032
16.354    1.7942
16.302    1.6868
16.251    1.7212
16.200    1.7966
16.150    1.9075
16.100    2.0422
16.050    2.1753
16.000    2.2690
15.951    2.3013
15.902    2.3359
15.854    2.3799
15.805    2.3611
15.757    2.3340
15.710    2.3188
15.662    2.2739
15.615    2.2258
15.568    2.1506
15.521    1.9822
15.475    1.7598
15.429    1.5034
15.383    1.3513
15.338    1.2927
15.292    1.2761
15.248    1.2866
15.203    1.3269
15.158    1.3796
15.114    1.4465
15.070    1.5076
15.027    1.5666
14.983    1.6462
14.940    1.7148
14.897    1.7639
14.854    1.8511
14.812    1.9121
14.770    1.9426
14.728    2.0019
14.686    2.0964
14.645    2.1609
14.603    2.1929
14.562    2.2563
14.521    2.3083
14.481    2.3481
14.441    2.3787
14.400    2.4040
14.361    2.4329
14.321    2.4492
14.281    2.4448
14.242    2.4358
14.203    2.4705
14.164    2.4907
14.126    2.5283
14.087    2.5647
14.049    2.6081
14.011    2.6382
13.973    2.6484
13.936    2.6343
13.899    2.6382
13.861    2.6357
13.824    2.5879
13.788    2.5161
13.751    2.4370
13.715    2.3459
13.679    2.2568
13.643    2.1614
13.607    2.0486
13.571    1.9316
13.536    1.8005
13.500    1.6477
13.465    1.5269
13.430    1.3894
13.396    1.2742
13.361    1.1492
13.327    1.0513
13.293    0.9807
13.259    0.9163
13.225    0.8616
13.191    0.8423
13.158    0.8313
13.124    0.8374
13.091    0.8608
13.058    0.9033
13.026    0.9377
12.993    0.9700
12.960    1.0215
12.928    1.0857
12.896    1.1511
12.864    1.2153
12.832    1.2720
12.800    1.3184
12.769    1.3733
12.737    1.4343
12.706    1.4785
12.675    1.5461
12.644    1.6160
12.614    1.6782
12.583    1.7080
12.552    1.7427
12.522    1.7864
12.492    1.8623
12.462    1.9363
12.432    1.9795
12.402    2.0366
12.373    2.1069
12.343    2.1621
12.314    2.2165
12.285    2.2803
12.256    2.3664
12.227    2.4473
12.198    2.5129
12.169    2.5813
12.141    2.6609
12.113    2.7439
12.084    2.8227
12.056    2.8706
12.028    2.9143
12.000    2.9783
11.973    3.0334
11.945    3.0818
11.918    3.1440
11.890    3.2026
11.863    3.2307
11.836    3.2756
11.809    3.3474
11.782    3.4014
11.755    3.4243
11.729    3.4402
11.702    3.4565
11.676    3.4807
11.650    3.5185
11.624    3.5478
11.598    3.5591
11.572    3.5591
11.546    3.5791
11.520    3.6099
11.495    3.6084
11.469    3.6106
11.444    3.6138
11.419    3.6138
11.394    3.6040
11.369    3.5823
11.344    3.5410
11.319    3.5049
11.294    3.4741
11.270    3.4536
11.245    3.4719
11.221    3.4795
11.197    3.4560
11.173    3.4538
11.149    3.4814
11.125    3.4963
11.101    3.5056
11.077    3.5256
11.054    3.5447
11.030    3.5496
11.007    3.5613
10.983    3.5901
10.960    3.6118
10.937    3.6479
10.914    3.6926
10.891    3.7190
10.868    3.7217
10.846    3.7400
10.823    3.7698
10.800    3.7849
10.778    3.7993
10.755    3.8198
10.733    3.8230
10.711    3.8310
10.689    3.8359
10.667    3.8315
10.645    3.8237
10.623    3.8179
10.602    3.8162
10.580    3.8015
10.558    3.7886
10.537    3.7966
10.516    3.8052
10.494    3.8230
10.473    3.8491
10.452    3.8491
10.431    3.8376
10.410    3.8406
10.389    3.8389
10.368    3.8235
10.348    3.7866
10.327    3.7283
10.306    3.6811
10.286    3.6252
10.266    3.5469
10.245    3.4817
10.225    3.4067
10.205    3.3140
10.185    3.2397
10.165    3.1899
10.145    3.1684
10.125    3.1487
10.106    3.1296
10.086    3.1118
10.066    3.0740
10.047    3.0171
10.027    2.9451
10.008    2.8953
 9.989    2.8606
 9.970    2.7764
 9.950    2.6570
 9.931    2.5913
 9.912    2.5574
 9.893    2.4836
 9.875    2.3948
 9.856    2.2871
 9.837    2.1628
 9.818    2.0242
 9.800    1.9023
 9.781    1.7788
 9.763    1.6709
 9.745    1.6157
 9.726    1.6196
 9.708    1.6606
 9.690    1.7400
 9.672    1.8186
 9.654    1.8769
 9.636    1.9399
 9.618    1.9709
 9.600    1.9707
 9.583    1.9519
 9.565    1.9368
 9.547    1.9209
 9.530    1.8889
 9.512    1.8503
 9.495    1.8352
 9.477    1.8215
 9.460    1.7986
 9.443    1.7983
 9.426    1.8037
 9.409    1.8066
 9.392    1.8430
 9.375    1.9014
 9.358    1.9790
 9.341    2.0911
 9.324    2.2163
 9.307    2.3230
 9.291    2.3874
 9.274    2.4189
 9.257    2.4412
 9.241    2.4517
 9.224    2.4546
 9.208    2.4597
 9.192    2.4778
 9.175    2.4949
 9.159    2.5007
 9.143    2.5156
 9.127    2.5413
 9.111    2.5608
 9.095    2.5710
 9.079    2.5876
 9.063    2.5957
 9.047    2.6099
 9.032    2.6372
 9.016    2.6577
 9.000    2.6719
 8.985    2.6777
 8.969    2.6872
 8.954    2.7131
 8.938    2.7405
 8.923    2.7412
 8.907    2.7302
 8.892    2.7422
 8.877    2.7605
 8.862    2.7666
 8.847    2.7607
 8.832    2.7544
 8.817    2.7454
 8.802    2.7551
 8.787    2.7585
 8.772    2.7434
 8.757    2.7234
 8.742    2.7063
 8.728    2.6819
 8.713    2.6291
 8.698    2.5583
 8.684    2.4560
 8.669    2.3069
 8.655    2.1226
 8.640    1.9941
 8.626    2.0449
 8.612    2.2964
 8.597    2.6143
 8.583    2.8223
 8.569    2.9126
 8.555    2.9326
 8.541    2.8845
 8.527    2.7888
 8.513    2.6638
 8.499    2.5247
 8.485    2.3862
 8.471    2.2615
 8.457    2.1467
 8.443    2.0466
 8.430    1.9695
 8.416    1.8997
 8.402    1.8323
 8.389    1.7754
 8.375    1.7202
 8.362    1.6636
 8.348    1.6086
 8.335    1.5542
 8.321    1.5029
 8.308    1.4575
 8.295    1.4141
 8.281    1.3701
 8.268    1.3276
 8.255    1.2874
 8.242    1.2495
 8.229    1.2187
 8.216    1.1943
 8.203    1.1680
 8.190    1.1504
 8.177    1.1304
 8.164    1.1147
 8.151    1.0945
 8.138    1.0762
 8.126    1.0703
 8.113    1.0684
 8.100    1.0708
 8.088    1.0742
 8.075    1.0791
 8.062    1.0798
 8.050    1.0935
 8.037    1.1116
