Name: Alunite (potassium alunite) KAl3(SO4)2(OH)6
Type:  Mineral 
Class:  Sulfates
Subclass:   
Particle Size:  Fine (0-15 micrometers)
Sample No.:  alunite.3
Owner:  JHU
Wavelength Range:  IR
Origin: Synthetic; Synthesized by Roger Stoffregen, supplied by Phil 
Bethke (USGS).  
Description:  The sample was a light gray, microcrystalline powder 
composed of equant or lath-shaped crystallites from 1 to 15 
micrometers in largest dimension.



Measurement:  Bidirectional Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: alunit3a.txt
25.044    3.3154
24.924    3.2241
24.805    3.2866
24.686    3.0644
24.569    2.9004
24.454    3.0019
24.339    3.0166
24.225    2.9641
24.112    3.0913
24.001    3.0051
23.890    2.8733
23.781    3.0303
23.672    3.1230
23.564    3.1352
23.458    3.0964
23.352    2.9719
23.247    2.9993
23.144    3.1389
23.041    3.1333
22.939    2.9404
22.838    2.8581
22.738    2.7993
22.638    2.8650
22.540    2.8872
22.442    2.8633
22.345    2.9331
22.250    2.9895
22.154    3.0737
22.060    3.2322
21.967    3.3169
21.874    3.3672
21.782    3.4358
21.691    3.5544
21.601    3.6587
21.511    3.8003
21.422    3.9936
21.334    4.1243
21.247    4.1853
21.160    4.3433
21.074    4.4565
20.988    4.5234
20.904    4.5161
20.820    4.4040
20.737    4.2715
20.654    3.9907
20.572    3.6160
20.491    3.2949
20.410    3.2595
20.330    3.4111
20.251    3.5747
20.172    3.6111
20.094    3.5788
20.016    3.5166
19.939    3.4358
19.863    3.4031
19.787    3.5005
19.712    3.6189
19.637    3.6550
19.563    3.6428
19.489    3.6106
19.416    3.5349
19.344    3.4392
19.272    3.3220
19.201    3.2134
19.130    3.1345
19.059    3.0715
18.990    3.0134
18.920    2.9763
18.851    2.9629
18.783    2.9380
18.715    2.9753
18.648    3.0471
18.581    3.0991
18.515    3.1838
18.449    3.2742
18.384    3.3552
18.319    3.4731
18.254    3.5173
18.190    3.5298
18.126    3.6011
18.063    3.7107
18.001    3.7588
17.938    3.7558
17.876    3.7366
17.815    3.7038
17.754    3.6836
17.693    3.6028
17.633    3.5239
17.573    3.4834
17.514    3.4470
17.455    3.3828
17.396    3.2917
17.338    3.2637
17.280    3.2236
17.223    3.1758
17.166    3.1350
17.109    3.1008
17.053    3.0842
16.997    3.0510
16.942    3.0798
16.886    3.2092
16.832    3.3086
16.777    3.3652
16.723    3.4116
16.669    3.4053
16.616    3.3457
16.563    3.2290
16.510    3.1106
16.458    2.9182
16.406    2.6597
16.354    2.4194
16.302    2.2869
16.251    2.3354
16.200    2.4997
16.150    2.6997
16.100    2.8899
16.050    3.0466
16.000    3.1072
15.951    3.1413
15.902    3.1545
15.854    3.1438
15.805    3.1059
15.757    3.1069
15.710    3.1851
15.662    3.2124
15.615    3.1724
15.568    3.0740
15.521    2.8591
15.475    2.4770
15.429    2.0767
15.383    1.7756
15.338    1.6672
15.292    1.7297
15.248    1.8669
15.203    2.0017
15.158    2.1248
15.114    2.2556
15.070    2.3965
15.027    2.5322
14.983    2.6426
14.940    2.7539
14.897    2.8664
14.854    2.9861
14.812    3.0586
14.770    3.0920
14.728    3.1186
14.686    3.1621
14.645    3.2683
14.603    3.3586
14.562    3.3811
14.521    3.3940
14.481    3.4136
14.441    3.4167
14.400    3.4307
14.361    3.4404
14.321    3.4206
14.281    3.4465
14.242    3.4453
14.203    3.4438
14.164    3.4897
14.126    3.5522
14.087    3.6223
14.049    3.6958
14.011    3.7927
13.973    3.8682
13.936    3.8884
13.899    3.8928
13.861    3.8557
13.824    3.7195
13.788    3.5588
13.751    3.3884
13.715    3.1689
13.679    2.9272
13.643    2.7129
13.607    2.5156
13.571    2.2937
13.536    2.0762
13.500    1.8542
13.465    1.6775
13.430    1.5478
13.396    1.4219
13.361    1.3066
13.327    1.2192
13.293    1.1733
13.259    1.1284
13.225    1.0676
13.191    1.0547
13.158    1.0618
13.124    1.0647
13.091    1.0688
13.058    1.1025
13.026    1.1287
12.993    1.1448
12.960    1.1785
12.928    1.2107
12.896    1.2397
12.864    1.2810
12.832    1.3201
12.800    1.3638
12.769    1.4180
12.737    1.4600
12.706    1.5103
12.675    1.5579
12.644    1.5896
12.614    1.6218
12.583    1.6648
12.552    1.7070
12.522    1.7368
12.492    1.7725
12.462    1.8240
12.432    1.8760
12.402    1.9441
12.373    2.0000
12.343    2.0327
12.314    2.0925
12.285    2.1863
12.256    2.2507
12.227    2.3147
12.198    2.3989
12.169    2.4831
12.141    2.5666
12.113    2.6196
12.084    2.6785
12.056    2.7534
12.028    2.8159
12.000    2.8674
11.973    2.9206
11.945    2.9768
11.918    3.0166
11.890    3.0576
11.863    3.1050
11.836    3.1606
11.809    3.2046
11.782    3.2519
11.755    3.2754
11.729    3.2930
11.702    3.3174
11.676    3.3533
11.650    3.3887
11.624    3.4001
11.598    3.4155
11.572    3.4595
11.546    3.4856
11.520    3.4849
11.495    3.5063
11.469    3.5349
11.444    3.5349
11.419    3.5449
11.394    3.5701
11.369    3.5566
11.344    3.5503
11.319    3.5452
11.294    3.5527
11.270    3.5874
11.245    3.6045
11.221    3.6211
11.197    3.6572
11.173    3.6792
11.149    3.7202
11.125    3.7666
11.101    3.7939
11.077    3.8406
11.054    3.8799
11.030    3.9270
11.007    3.9809
10.983    4.0264
10.960    4.0718
10.937    4.1555
10.914    4.2239
10.891    4.2786
10.868    4.3433
10.846    4.4101
10.823    4.4766
10.800    4.5351
10.778    4.5942
10.755    4.6526
10.733    4.7070
10.711    4.7495
10.689    4.7822
10.667    4.8030
10.645    4.8103
10.623    4.8484
10.602    4.8830
10.580    4.8953
10.558    4.9287
10.537    4.9551
10.516    4.9700
10.494    5.0034
10.473    5.0486
10.452    5.0703
10.431    5.0720
10.410    5.1084
10.389    5.1343
10.368    5.1272
10.348    5.1240
10.327    5.1167
10.306    5.0996
10.286    5.0784
10.266    5.0652
10.245    5.0390
10.225    4.9917
10.205    4.9541
10.185    4.9119
10.165    4.8728
10.145    4.8557
10.125    4.8425
10.106    4.8359
10.086    4.8313
10.066    4.8113
10.047    4.7812
10.027    4.7490
10.008    4.7253
 9.989    4.6741
 9.970    4.5591
 9.950    4.4014
 9.931    4.3381
 9.912    4.3525
 9.893    4.3171
 9.875    4.2246
 9.856    4.1172
 9.837    3.9621
 9.818    3.7392
 9.800    3.4285
 9.781    3.0566
 9.763    2.7607
 9.745    2.6782
 9.726    2.7756
 9.708    3.0105
 9.690    3.3032
 9.672    3.5078
 9.654    3.6360
 9.636    3.7292
 9.618    3.7546
 9.600    3.7346
 9.583    3.7058
 9.565    3.6660
 9.547    3.5935
 9.530    3.4961
 9.512    3.3855
 9.495    3.2749
 9.477    3.1601
 9.460    3.0510
 9.443    2.9502
 9.426    2.8806
 9.409    2.8345
 9.392    2.8152
 9.375    2.8323
 9.358    2.8914
 9.341    2.9941
 9.324    3.1367
 9.307    3.2622
 9.291    3.3166
 9.274    3.3306
 9.257    3.3484
 9.241    3.3618
 9.224    3.3772
 9.208    3.3855
 9.192    3.3884
 9.175    3.4031
 9.159    3.4192
 9.143    3.4309
 9.127    3.4473
 9.111    3.4670
 9.095    3.4888
 9.079    3.5098
 9.063    3.5256
 9.047    3.5308
 9.032    3.5456
 9.016    3.5637
 9.000    3.5742
 8.985    3.6018
 8.969    3.6523
 8.954    3.6706
 8.938    3.6787
 8.923    3.7070
 8.907    3.7322
 8.892    3.7410
 8.877    3.7485
 8.862    3.7502
 8.847    3.7410
 8.832    3.7349
 8.817    3.7195
 8.802    3.6836
 8.787    3.6448
 8.772    3.6162
 8.757    3.5659
 8.742    3.5024
 8.728    3.4424
 8.713    3.3684
 8.698    3.2610
 8.684    3.1282
 8.669    2.9404
 8.655    2.7039
 8.640    2.5190
 8.626    2.5542
 8.612    2.8281
 8.597    3.1042
 8.583    3.2781
 8.569    3.3559
 8.555    3.3386
 8.541    3.2788
 8.527    3.1765
 8.513    3.0364
 8.499    2.8992
 8.485    2.7698
 8.471    2.6482
 8.457    2.5395
 8.443    2.4470
 8.430    2.3777
 8.416    2.3010
 8.402    2.2329
 8.389    2.1797
 8.375    2.1208
 8.362    2.0725
 8.348    2.0317
 8.335    1.9880
 8.321    1.9465
 8.308    1.9084
 8.295    1.8760
 8.281    1.8411
 8.268    1.8227
 8.255    1.8091
 8.242    1.7839
 8.229    1.7673
 8.216    1.7598
 8.203    1.7585
 8.190    1.7610
 8.177    1.7710
 8.164    1.7783
 8.151    1.7793
 8.138    1.7878
 8.126    1.7998
 8.113    1.8037
 8.100    1.8193
 8.088    1.8425
 8.075    1.8660
 8.062    1.9026
 8.050    1.9534
 8.037    1.9995
 8.025    2.0466
 8.013    2.1079
 8.000    2.1748
 7.988    2.2414
 7.976    2.3110
 7.963    2.3828
 7.951    2.4512
 7.939    2.5117
 7.927    2.5620
 7.915    2.6138
 7.903    2.6553
 7.891    2.6858
 7.879    2.7134
 7.867    2.7314
 7.855    2.7324
 7.843    2.7117
 7.831    2.6738
 7.819    2.6269
 7.807    2.5652
 7.796    2.4883
 7.784    2.4031
 7.772    2.3203
 7.761    2.2393
 7.749    2.1494
 7.738    2.0684
 7.726    2.0007
 7.715    1.9380
 7.703    1.8748
 7.692    1.8271
 7.680    1.7859
 7.669    1.7458
 7.658    1.7280
 7.646    1.7165
 7.635    1.7080
 7.624    1.7102
 7.613    1.7168
 7.601    1.7295
 7.590    1.7507
 7.579    1.7803
 7.568    1.8159
 7.557    1.8540
 7.546    1.8962
 7.535    1.9363
 7.524    1.9748
 7.513    2.0102
 7.502    2.0398
 7.492    2.0791
 7.481    2.1370
 7.470    2.2058
 7.459    2.2703
 7.448    2.3264
 7.438    2.3904
 7.427    2.4683
 7.417    2.5437
 7.406    2.6208
 7.395    2.6958
 7.385    2.7615
 7.374    2.8196
 7.364    2.8870
 7.353    2.9534
 7.343    2.9956
 7.333    3.0312
 7.322    3.0701
 7.312    3.1072
 7.302    3.1528
 7.291    3.2009
 7.281    3.2490
 7.271    3.2983
 7.261    3.3425
 7.251    3.3916
 7.240    3.4370
 7.230    3.4800
 7.220    3.5229
 7.210    3.5635
 7.200    3.5959
 7.190    3.6350
 7.180    3.6694
 7.170    3.6982
 7.160    3.7329
 7.151    3.7583
 7.141    3.7695
 7.131    3.7771
 7.121    3.7905
 7.111    3.7969
 7.102    3.7837
 7.092    3.7744
 7.082    3.7605
 7.073    3.7419
 7.063    3.7344
 7.053    3.7226
 7.044    3.7043
 7.034    3.7009
 7.025    3.7119
 7.015    3.7163
 7.006    3.7180
 6.996    3.7361
 6.987    3.7634
 6.977    3.7930
 6.968    3.8323
 6.959    3.8745
 6.949    3.9226
 6.940    3.9707
 6.931    4.0132
 6.921    4.0544
 6.912    4.1011
 6.903    4.1409
 6.894    4.1745
 6.885    4.2038
 6.876    4.2278
 6.866    4.2451
 6.857    4.2556
 6.848    4.2683
 6.839    4.2790
 6.830    4.2715
 6.821    4.2646
 6.812    4.2612
 6.803    4.2568
 6.794    4.2571
 6.786    4.2703
 6.777    4.2829
 6.768    4.2932
 6.759    4.3149
 6.750    4.3403
 6.741    4.3606
 6.733    4.3945
 6.724    4.4414
 6.715    4.4846
 6.707    4.5356
 6.698    4.5918
 6.689    4.6560
 6.681    4.7212
 6.672    4.7832
 6.663    4.8469
 6.655    4.9043
 6.646    4.9546
 6.638    5.0054
 6.629    5.0593
 6.621    5.1099
 6.612    5.1724
 6.604    5.2207
 6.596    5.2590
 6.587    5.3086
 6.579    5.3679
 6.571    5.4346
 6.562    5.5141
 6.554    5.5898
 6.546    5.6467
 6.537    5.7077
 6.529    5.7854
 6.521    5.8472
 6.513    5.8877
