Name:  Alunite (sodium alunite) NaAl3(SO4)2(OH)6
Type:  Mineral 
Class:  Sulfates
Subclass:   
Particle Size:  Fine (0-15 Micrometers)
Sample No.:  alunite.4
Owner: JHU
Wavelength Range:  IR
Origin: Synthetic; Synthesized by Roger Stoffregen and supplied by 
Phil Bethke (USGS).  
Description: The sample was a white, microcrystalline powder 
composed of equant or lath-shaped crystallites from 1 to 15 
micrometers in largest dimension.



Measurement:  Bidirectional Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  alunit4a.txt
25.044    2.2900
24.924    2.0942
24.805    1.9116
24.686    2.0801
24.569    2.1182
24.454    1.9807
24.339    1.9370
24.225    1.8022
24.112    1.7368
24.001    1.6851
23.890    1.5478
23.781    1.5364
23.672    1.3999
23.564    1.3821
23.458    1.4561
23.352    1.4204
23.247    1.1965
23.144    1.1265
23.041    1.1592
22.939    1.1797
22.838    1.1641
22.738    1.1387
22.638    1.1379
22.540    1.0703
22.442    1.0093
22.345    0.9368
22.250    0.8936
22.154    0.8845
22.060    1.0076
21.967    1.1851
21.874    1.2493
21.782    1.3320
21.691    1.5190
21.601    1.7559
21.511    1.8618
21.422    1.9080
21.334    2.0173
21.247    2.1145
21.160    2.0771
21.074    2.2290
20.988    2.3979
20.904    2.3555
20.820    2.2236
20.737    2.0823
20.654    1.9009
20.572    1.6135
20.491    1.4658
20.410    1.6472
20.330    1.8896
20.251    2.0730
20.172    2.2205
20.094    2.3066
20.016    2.2856
19.939    2.2349
19.863    2.1846
19.787    2.1074
19.712    2.0203
19.637    1.9221
19.563    1.8061
19.489    1.6426
19.416    1.4832
19.344    1.3845
19.272    1.2519
19.201    1.1697
19.130    1.2273
19.059    1.2690
18.990    1.2405
18.920    1.2615
18.851    1.2812
18.783    1.2478
18.715    1.1965
18.648    1.1694
18.581    1.2268
18.515    1.3550
18.449    1.5124
18.384    1.6892
18.319    1.8135
18.254    1.8957
18.190    1.9734
18.126    2.0356
18.063    2.0742
18.001    2.1042
17.938    2.0574
17.876    2.0176
17.815    2.0056
17.754    1.9170
17.693    1.8472
17.633    1.8335
17.573    1.7664
17.514    1.7175
17.455    1.6750
17.396    1.6409
17.338    1.5754
17.280    1.5037
17.223    1.4453
17.166    1.4050
17.109    1.3823
17.053    1.3372
16.997    1.3152
16.942    1.2991
16.886    1.2563
16.832    1.2302
16.777    1.2686
16.723    1.2693
16.669    1.2771
16.616    1.2866
16.563    1.2598
16.510    1.2263
16.458    1.1670
16.406    1.1045
16.354    1.0229
16.302    0.9578
16.251    0.9316
16.200    0.9172
16.150    0.9582
16.100    1.0334
16.050    1.0698
16.000    1.1006
15.951    1.1543
15.902    1.1895
15.854    1.1863
15.805    1.1843
15.757    1.2129
15.710    1.1741
15.662    1.1233
15.615    1.1196
15.568    1.1238
15.521    1.1182
15.475    1.0752
15.429    1.0391
15.383    1.0486
15.338    1.0681
15.292    1.0715
15.248    1.0454
15.203    1.0166
15.158    0.9624
15.114    0.9160
15.070    0.9080
15.027    0.8726
14.983    0.8374
14.940    0.8286
14.897    0.8147
14.854    0.8362
14.812    0.8340
14.770    0.8687
14.728    0.8989
14.686    0.9016
14.645    0.9121
14.603    0.8757
14.562    0.8694
14.521    0.9221
14.481    0.9351
14.441    0.9221
14.400    0.9541
14.361    0.9692
14.321    0.9309
14.281    0.9414
14.242    0.9641
14.203    0.9744
14.164    0.9883
14.126    1.0093
14.087    1.0164
14.049    1.0129
14.011    1.0164
13.973    1.0164
13.936    1.0369
13.899    1.0408
13.861    1.0334
13.824    1.0264
13.788    1.0469
13.751    1.0767
13.715    1.0608
13.679    1.0581
13.643    1.0586
13.607    1.0381
13.571    1.0178
13.536    0.9712
13.500    0.9082
13.465    0.8584
13.430    0.8108
13.396    0.7468
13.361    0.7029
13.327    0.6516
13.293    0.5957
13.259    0.5588
13.225    0.5095
13.191    0.4653
13.158    0.4431
13.124    0.4145
13.091    0.3862
13.058    0.3650
13.026    0.3530
12.993    0.3572
12.960    0.3752
12.928    0.3926
12.896    0.4072
12.864    0.4165
12.832    0.4541
12.800    0.5076
12.769    0.5532
12.737    0.6165
12.706    0.6709
12.675    0.7148
12.644    0.7585
12.614    0.7927
12.583    0.8352
12.552    0.8928
12.522    0.9687
12.492    1.0139
12.462    1.0649
12.432    1.1184
12.402    1.1433
12.373    1.1897
12.343    1.2441
12.314    1.3059
12.285    1.3511
12.256    1.3787
12.227    1.4309
12.198    1.4929
12.169    1.5525
12.141    1.6140
12.113    1.6663
12.084    1.7165
12.056    1.7781
12.028    1.8364
12.000    1.8831
11.973    1.9199
11.945    1.9390
11.918    1.9778
11.890    2.0261
11.863    2.0654
11.836    2.0933
11.809    2.1316
11.782    2.1763
11.755    2.2190
11.729    2.2498
11.702    2.2832
11.676    2.3120
11.650    2.3425
11.624    2.3823
11.598    2.3967
11.572    2.4084
11.546    2.4499
11.520    2.4817
11.495    2.4936
11.469    2.4939
11.444    2.5156
11.419    2.5405
11.394    2.5369
11.369    2.5356
11.344    2.5532
11.319    2.5664
11.294    2.5691
11.270    2.5666
11.245    2.5681
11.221    2.5840
11.197    2.6030
11.173    2.6096
11.149    2.6306
11.125    2.6394
11.101    2.6562
11.077    2.6887
11.054    2.7014
11.030    2.7180
11.007    2.7573
10.983    2.7971
10.960    2.8193
10.937    2.8506
10.914    2.9023
10.891    2.9348
10.868    2.9565
10.846    2.9936
10.823    3.0105
10.800    3.0205
10.778    3.0466
10.755    3.0820
10.733    3.1018
10.711    3.1042
10.689    3.1108
10.667    3.1399
10.645    3.1487
10.623    3.1523
10.602    3.1638
10.580    3.1719
10.558    3.1985
10.537    3.2324
10.516    3.2488
10.494    3.2632
10.473    3.3035
10.452    3.3445
10.431    3.3562
10.410    3.3723
10.389    3.4001
10.368    3.4250
10.348    3.4289
10.327    3.4353
10.306    3.4524
10.286    3.4595
10.266    3.4485
10.245    3.4324
10.225    3.4231
10.205    3.4101
10.185    3.3809
10.165    3.3393
10.145    3.3174
10.125    3.2905
10.106    3.2578
10.086    3.2224
10.066    3.1789
10.047    3.1470
10.027    3.1128
10.008    3.0781
 9.989    3.0351
 9.970    2.9878
 9.950    2.9177
 9.931    2.8142
 9.912    2.7334
 9.893    2.6829
 9.875    2.6091
 9.856    2.5019
 9.837    2.3716
 9.818    2.2263
 9.800    2.0461
 9.781    1.8225
 9.763    1.5305
 9.745    1.2349
 9.726    1.0417
 9.708    0.9963
 9.690    1.1550
 9.672    1.4963
 9.654    1.8235
 9.636    2.0232
 9.618    2.1077
 9.600    2.1074
 9.583    2.0764
 9.565    2.0452
 9.547    2.0046
 9.530    1.9653
 9.512    1.9233
 9.495    1.8755
 9.477    1.8445
 9.460    1.8037
 9.443    1.7476
 9.426    1.6807
 9.409    1.6060
 9.392    1.5264
 9.375    1.4431
 9.358    1.3608
 9.341    1.2898
 9.324    1.2380
 9.307    1.1741
 9.291    1.1323
 9.274    1.1172
 9.257    1.1086
 9.241    1.1152
 9.224    1.1660
 9.208    1.2368
 9.192    1.2798
 9.175    1.3105
 9.159    1.3218
 9.143    1.3318
 9.127    1.3643
 9.111    1.3779
 9.095    1.3777
 9.079    1.3899
 9.063    1.3906
 9.047    1.3896
 9.032    1.3948
 9.016    1.3938
 9.000    1.3997
 8.985    1.4114
 8.969    1.4033
 8.954    1.3892
 8.938    1.3955
 8.923    1.4145
 8.907    1.4219
 8.892    1.4219
 8.877    1.4355
 8.862    1.4382
 8.847    1.4419
 8.832    1.4485
 8.817    1.4473
 8.802    1.4585
 8.787    1.4592
 8.772    1.4641
 8.757    1.4631
 8.742    1.4541
 8.728    1.4546
 8.713    1.4482
 8.698    1.4304
 8.684    1.4233
 8.669    1.4170
 8.655    1.3911
 8.640    1.3691
 8.626    1.3552
 8.612    1.3206
 8.597    1.2834
 8.583    1.2519
 8.569    1.2266
 8.555    1.2380
 8.541    1.2991
 8.527    1.3469
 8.513    1.3394
 8.499    1.3052
 8.485    1.2798
 8.471    1.2493
 8.457    1.2075
 8.443    1.1597
 8.430    1.1094
 8.416    1.0762
 8.402    1.0386
 8.389    1.0020
 8.375    0.9724
 8.362    0.9397
 8.348    0.9182
 8.335    0.8955
 8.321    0.8799
 8.308    0.8677
 8.295    0.8513
 8.281    0.8335
 8.268    0.8188
 8.255    0.8081
 8.242    0.8027
 8.229    0.7978
 8.216    0.7903
 8.203    0.7915
 8.190    0.7978
 8.177    0.8059
 8.164    0.8066
 8.151    0.8218
 8.138    0.8350
 8.126    0.8496
 8.113    0.8738
 8.100    0.8965
 8.088    0.9170
 8.075    0.9438
