Name: Barite, BaSO4
Type:  Mineral
Class:  Sulfates
Subclass:  
Particle Size: Fine  (0-75 Micrometers)
Sample No.:  barite.1
Owner: JHU
Wavelength Range:  IR
Origin: Norma Vergo Sample from Carterville, Georgia. 

Description: The pure white sample appeared to be pure barite with 
many grains showing what apear to be fluid inclusions.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  barite1a.txt
25.044    8.9238
24.924    9.1963
24.805    9.4326
24.686    9.7363
24.569    9.6489
24.454    9.5923
24.339    9.8384
24.225   10.0068
24.112   10.0752
24.001   10.2602
23.890   10.3506
23.781   10.4072
23.672   10.4541
23.564   10.4980
23.458   10.6555
23.352   10.7287
23.247   10.7697
23.144   10.7580
23.041   10.7656
22.939   10.8564
22.838   10.8896
22.738   10.8283
22.638   10.8520
22.540   10.8672
22.442   10.8156
22.345   10.7080
22.250   10.6672
22.154   10.6548
22.060   10.6699
21.967   10.6899
21.874   10.6992
21.782   10.6753
21.691   10.6455
21.601   10.5390
21.511   10.2915
21.422    9.9458
21.334    9.4360
21.247    8.7324
21.160    8.2793
21.074    8.7427
20.988    9.7270
20.904   10.4455
20.820   10.8574
20.737   11.1479
20.654   11.3110
20.572   11.4052
20.491   11.5207
20.410   11.5862
20.330   11.6487
20.251   11.6430
20.172   11.5996
20.094   11.5459
20.016   11.5298
19.939   11.5205
19.863   11.4712
19.787   11.3813
19.712   11.2895
19.637   11.1870
19.563   11.1001
19.489   11.0429
19.416   10.9770
19.344   10.9131
19.272   10.8891
19.201   10.8491
19.130   10.7759
19.059   10.7031
18.990   10.6079
18.920   10.4753
18.851   10.3452
18.783   10.2588
18.715   10.1684
18.648   10.0332
18.581    9.9243
18.515    9.8279
18.449    9.6977
18.384    9.5510
18.319    9.4145
18.254    9.3030
18.190    9.2427
18.126    9.1919
18.063    9.1255
18.001    9.0898
17.938    9.0066
17.876    8.8755
17.815    8.7612
17.754    8.6738
17.693    8.5503
17.633    8.3847
17.573    8.1609
17.514    7.8970
17.455    7.6011
17.396    7.2634
17.338    6.8804
17.280    6.4678
17.223    6.0527
17.166    5.5796
17.109    5.0681
17.053    4.5483
16.997    4.0088
16.942    3.4556
16.886    2.9062
16.832    2.3713
16.777    1.8752
16.723    1.5012
16.669    1.2241
16.616    1.0654
16.563    0.9939
16.510    0.9648
16.458    0.9358
16.406    0.9268
16.354    0.9456
16.302    0.9502
16.251    0.9307
16.200    0.8870
16.150    0.8210
16.100    0.7710
16.050    0.7451
16.000    0.7219
15.951    0.7012
15.902    0.6838
15.854    0.6714
15.805    0.6670
15.757    0.6802
15.710    0.6772
15.662    0.6660
15.615    0.6831
15.568    0.7139
15.521    0.7522
15.475    0.8286
15.429    0.9089
15.383    0.9946
15.338    1.0706
15.292    1.1487
15.248    1.2764
15.203    1.4675
15.158    1.7183
15.114    2.0168
15.070    2.3599
15.027    2.7749
14.983    3.2671
14.940    3.7761
14.897    4.2822
14.854    4.7822
14.812    5.2539
14.770    5.6819
14.728    6.0522
14.686    6.3699
14.645    6.6257
14.603    6.8013
14.562    6.9343
14.521    7.0361
14.481    7.0896
14.441    7.1067
14.400    7.1120
14.361    7.0942
14.321    7.0713
14.281    7.0752
14.242    7.1118
14.203    7.1680
14.164    7.2466
14.126    7.3596
14.087    7.4792
14.049    7.5989
14.011    7.7517
13.973    7.8940
13.936    8.0315
13.899    8.1897
13.861    8.3249
13.824    8.4367
13.788    8.5220
13.751    8.5862
13.715    8.6335
13.679    8.6745
13.643    8.7239
13.607    8.7944
13.571    8.8647
13.536    8.9238
13.500    8.9927
13.465    9.0727
13.430    9.1445
13.396    9.1970
13.361    9.2568
13.327    9.3237
13.293    9.3823
13.259    9.3948
13.225    9.3821
13.191    9.3799
13.158    9.3603
13.124    9.3047
13.091    9.2500
13.058    9.1650
13.026    9.0556
12.993    8.9226
12.960    8.7820
12.928    8.6496
12.896    8.5283
12.864    8.4565
12.832    8.3965
12.800    8.3533
12.769    8.3296
12.737    8.3061
12.706    8.2883
12.675    8.2637
12.644    8.2468
12.614    8.2405
12.583    8.2510
12.552    8.2812
12.522    8.3105
12.492    8.3303
12.462    8.3320
12.432    8.3513
12.402    8.3718
12.373    8.3857
12.343    8.4006
12.314    8.4345
12.285    8.4946
12.256    8.5654
12.227    8.6330
12.198    8.7004
12.169    8.7824
12.141    8.8728
12.113    8.9702
12.084    9.0913
12.056    9.2324
12.028    9.3755
12.000    9.5288
11.973    9.7102
11.945    9.8972
11.918   10.0847
11.890   10.2749
11.863   10.4421
11.836   10.5998
11.809   10.7324
11.782   10.8657
11.755   10.9695
11.729   11.0446
11.702   11.1115
11.676   11.1545
11.650   11.1760
11.624   11.1775
11.598   11.1474
11.572   11.0786
11.546   10.9861
11.520   10.8901
11.495   10.7492
11.469   10.5822
11.444   10.4138
11.419   10.2927
11.394   10.2156
11.369   10.1233
11.344    9.9773
11.319    9.7842
11.294    9.6123
11.270    9.5014
11.245    9.4248
11.221    9.3452
11.197    9.2597
11.173    9.1794
11.149    9.0986
11.125    9.0254
11.101    8.9338
11.077    8.8154
11.054    8.7209
11.030    8.6465
11.007    8.5742
10.983    8.5088
10.960    8.4565
10.937    8.3818
10.914    8.2820
10.891    8.2055
10.868    8.1643
10.846    8.1391
10.823    8.1604
10.800    8.1972
10.778    8.2180
10.755    8.2243
10.733    8.2405
10.711    8.2453
10.689    8.2236
10.667    8.1936
10.645    8.1428
10.623    8.0593
10.602    7.9526
10.580    7.8283
10.558    7.7024
10.537    7.5708
10.516    7.4429
10.494    7.3022
10.473    7.1328
10.452    6.9565
10.431    6.7463
10.410    6.4321
10.389    5.9546
10.368    5.4285
10.348    5.1824
10.327    5.1255
10.306    4.8979
10.286    4.5156
10.266    4.0498
10.245    3.4780
10.225    2.7602
10.205    1.9477
10.185    1.2549
10.165    0.9441
10.145    1.1624
10.125    1.9434
10.106    2.9651
10.086    3.7519
10.066    4.1592
10.047    4.3027
10.027    4.3017
10.008    4.2368
 9.989    4.1440
 9.970    4.0439
 9.950    3.9292
 9.931    3.8122
 9.912    3.6921
 9.893    3.5725
 9.875    3.4556
 9.856    3.3367
 9.837    3.2205
 9.818    3.1072
 9.800    2.9976
 9.781    2.8821
 9.763    2.7703
 9.745    2.6597
 9.726    2.5452
 9.708    2.4253
 9.690    2.3018
 9.672    2.1760
 9.654    2.0447
 9.636    1.9138
 9.618    1.7837
 9.600    1.6636
 9.583    1.5515
 9.565    1.4629
 9.547    1.3887
 9.530    1.3259
 9.512    1.2612
 9.495    1.2163
 9.477    1.1811
 9.460    1.1423
 9.443    1.1162
 9.426    1.1138
 9.409    1.1128
 9.392    1.1201
 9.375    1.1248
 9.358    1.1306
 9.341    1.1350
 9.324    1.1416
 9.307    1.1509
 9.291    1.1540
 9.274    1.1523
 9.257    1.1506
 9.241    1.1619
 9.224    1.1821
 9.208    1.2058
 9.192    1.2283
 9.175    1.2434
 9.159    1.2683
 9.143    1.2957
 9.127    1.3115
 9.111    1.3423
 9.095    1.3706
 9.079    1.3918
 9.063    1.4126
 9.047    1.4297
 9.032    1.4460
 9.016    1.4590
 9.000    1.4729
 8.985    1.4834
 8.969    1.4905
 8.954    1.4978
 8.938    1.4983
 8.923    1.5012
 8.907    1.5134
 8.892    1.5176
 8.877    1.5154
 8.862    1.5132
 8.847    1.5151
 8.832    1.5139
 8.817    1.5015
 8.802    1.4946
 8.787    1.4956
 8.772    1.4897
 8.757    1.4756
 8.742    1.4629
 8.728    1.4451
 8.713    1.4263
 8.698    1.4082
 8.684    1.3936
 8.669    1.3823
 8.655    1.3647
 8.640    1.3445
 8.626    1.3228
 8.612    1.2966
 8.597    1.2690
 8.583    1.2471
 8.569    1.2175
 8.555    1.1855
 8.541    1.1514
 8.527    1.1182
 8.513    1.0906
 8.499    1.0586
 8.485    1.0281
 8.471    0.9978
 8.457    0.9736
 8.443    0.9580
 8.430    0.9390
 8.416    0.9202
 8.402    0.9065
 8.389    0.8989
 8.375    0.8997
 8.362    0.9011
 8.348    0.8965
 8.335    0.9026
 8.321    0.9153
 8.308    0.9348
 8.295    0.9529
 8.281    0.9746
 8.268    0.9990
 8.255    1.0337
 8.242    1.0708
 8.229    1.0979
 8.216    1.1235
 8.203    1.1438
 8.190    1.1460
 8.177    1.1560
 8.164    1.1929
 8.151    1.2541
 8.138    1.3398
 8.126    1.4346
 8.113    1.5200
 8.100    1.5786
 8.088    1.6025
 8.075    1.6062
 8.062    1.5920
 8.050    1.5686
 8.037    1.5422
 8.025    1.5190
 8.013    1.4998
 8.000    1.4829
 7.988    1.4683
 7.976    1.4487
 7.963    1.4272
 7.951    1.4114
 7.939    1.3955
 7.927    1.3855
 7.915    1.3845
 7.903    1.3906
 7.891    1.4055
 7.879    1.4348
 7.867    1.4822
 7.855    1.5449
 7.843    1.6184
 7.831    1.7109
 7.819    1.8154
 7.807    1.9316
 7.796    2.0581
 7.784    2.1970
 7.772    2.3381
 7.761    2.4873
 7.749    2.6428
 7.738    2.7969
 7.726    2.9587
 7.715    3.1299
 7.703    3.3113
 7.692    3.4868
 7.680    3.6626
 7.669    3.8398
 7.658    4.0110
 7.646    4.1765
 7.635    4.3408
 7.624    4.4914
 7.613    4.6413
 7.601    4.8025
 7.590    4.9670
 7.579    5.1316
 7.568    5.2944
 7.557    5.4529
 7.546    5.5998
 7.535    5.7412
 7.524    5.8762
 7.513    5.9971
 7.502    6.1015
 7.492    6.1985
 7.481    6.2871
 7.470    6.3645
 7.459    6.4453
 7.448    6.5339
 7.438    6.6267
 7.427    6.7417
 7.417    6.8747
 7.406    7.0195
 7.395    7.1694
 7.385    7.3264
 7.374    7.4873
 7.364    7.6428
 7.353    7.8017
 7.343    7.9653
 7.333    8.1245
 7.322    8.2925
 7.312    8.4763
 7.302    8.6699
 7.291    8.8628
 7.281    9.0725
 7.271    9.2929
 7.261    9.5075
 7.251    9.7221
 7.240    9.9345
 7.230   10.1279
 7.220   10.3039
 7.210   10.4663
 7.200   10.6164
 7.190   10.7424
 7.180   10.8364
 7.170   10.8872
 7.160   10.8633
 7.151   10.7610
 7.141   10.7353
 7.131   10.9311
 7.121   11.2385
 7.111   11.5388
 7.102   11.7968
 7.092   12.0049
 7.082   12.1777
 7.073   12.3164
 7.063   12.4260
 7.053   12.5271
 7.044   12.6220
 7.034   12.6985
 7.025   12.7470
 7.015   12.7771
 7.006   12.7680
 6.996   12.6845
 6.987   12.5349
 6.977   12.2946
 6.968   11.9904
 6.959   11.8374
 6.949   12.0449
 6.940   12.4245
 6.931   12.7458
 6.921   12.9697
 6.912   13.1101
 6.903   13.1945
 6.894   13.2685
 6.885   13.3327
 6.876   13.3696
 6.866   13.4033
 6.857   13.4697
 6.848   13.5532
 6.839   13.6255
 6.830   13.6982
 6.821   13.7688
 6.812   13.8293
 6.803   13.8767
 6.794   13.9157
 6.786   13.9431
 6.777   13.9736
 6.768   14.0022
 6.759   14.0224
 6.750   14.0263
 6.741   14.0322
 6.733   14.0361
 6.724   14.0168
 6.715   13.9970
 6.707   13.9777
 6.698   13.9372
 6.689   13.8862
 6.681   13.8261
 6.672   13.7527
 6.663   13.6508
 6.655   13.5268
 6.646   13.3618
 6.638   13.1548
 6.629   12.9414
 6.621   12.7121
 6.612   12.4465
 6.604   12.1623
 6.596   11.8706
 6.587   11.5632
 6.579   11.2387
 6.571   10.9382
 6.562   10.6694
 6.554   10.4123
 6.546   10.1750
 6.537    9.9558
 6.529    9.7541
 6.521    9.5896
 6.513    9.4807
 6.505    9.4189
 6.496    9.3889
 6.488    9.4052
 6.480    9.4416
 6.472    9.4685
 6.464    9.4819
