Name: Alunite (potassium alunite) KAl3(SO4)2(OH)6
Type:  Mineral 
Class:  Sulfates
Subclass:  
Particle Size:  0-15 micrometers (packed powder simulates coarse).
Sample No.:  alunite.3
Owner:  JHU
Wavelength Range:  IR
Origin: Synthetic; Synthesized by Roger Stoffregen, supplied by Phil 
Bethke (USGS).  
Description:  The sample was a light gray, microcrystalline powder 
composed of equant or lath-shaped crystallites from 1 to 15 
micrometers in largest dimension.



Measurement:  Bidirectional Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: alunit3a.txt
25.044    7.0371
24.924    6.9219
24.805    7.0332
24.686    7.0976
24.569    7.1294
24.454    7.3418
24.339    7.3752
24.225    7.2876
24.112    7.2807
24.001    7.4155
23.890    7.8772
23.781    7.8366
23.672    7.8557
23.564    8.0879
23.458    8.3017
23.352    8.4526
23.247    8.5083
23.144    8.5617
23.041    8.5566
22.939    8.3623
22.838    8.0122
22.738    7.6553
22.638    6.9897
22.540    6.2392
22.442    5.7959
22.345    5.6372
22.250    5.6738
22.154    5.7236
22.060    5.6826
21.967    5.7283
21.874    5.8301
21.782    5.9043
21.691    5.9604
21.601    6.0808
21.511    6.2107
21.422    6.2871
21.334    6.3310
21.247    6.4167
21.160    6.4609
21.074    6.5461
20.988    6.7002
20.904    6.7424
20.820    6.7688
20.737    6.7373
20.654    6.7390
20.572    6.8052
20.491    6.6789
20.410    6.4866
20.330    6.4743
20.251    6.5227
20.172    6.5701
20.094    6.6167
20.016    6.6584
19.939    6.6540
19.863    6.6260
19.787    6.6147
19.712    6.6570
19.637    6.6797
19.563    6.7077
19.489    6.7663
19.416    6.8374
19.344    6.9487
19.272    7.0754
19.201    7.1050
19.130    7.1704
19.059    7.2331
18.990    7.2173
18.920    7.1274
18.851    6.9875
18.783    6.7490
18.715    6.5054
18.648    6.3130
18.581    6.1926
18.515    6.1531
18.449    6.2253
18.384    6.3327
18.319    6.3711
18.254    6.4162
18.190    6.5251
18.126    6.5676
18.063    6.5962
18.001    6.6936
17.938    6.7822
17.876    6.8205
17.815    6.8730
17.754    6.9231
17.693    6.9897
17.633    7.0549
17.573    7.1294
17.514    7.1733
17.455    7.1911
17.396    7.2536
17.338    7.3862
17.280    7.5129
17.223    7.5847
17.166    7.6875
17.109    7.8435
17.053    8.0266
16.997    8.3003
16.942    8.6357
16.886    9.0603
16.832    9.4585
16.777    9.8159
16.723   10.0510
16.669   10.1477
16.616   10.1850
16.563   10.1526
16.510    9.9741
16.458    9.5959
16.406    8.9004
16.354    7.9887
16.302    7.2854
16.251    7.1145
16.200    7.4343
16.150    7.9653
16.100    8.4526
16.050    8.8911
16.000    9.2517
15.951    9.4721
15.902    9.6096
15.854    9.7446
15.805    9.8945
15.757   10.0774
15.710   10.2436
15.662   10.4594
15.615   10.6428
15.568   10.6828
15.521   10.3413
15.475    9.3799
15.429    7.9004
15.383    6.5718
15.338    5.8115
15.292    5.5288
15.248    5.5627
15.203    5.7839
15.158    6.0649
15.114    6.3176
15.070    6.6145
15.027    6.9534
14.983    7.2656
14.940    7.5854
14.897    7.9121
14.854    8.2380
14.812    8.5466
14.770    8.8310
14.728    9.0881
14.686    9.3445
14.645    9.6069
14.603    9.8864
14.562   10.1982
14.521   10.5058
14.481   10.7849
14.441   11.0312
14.400   11.2732
14.361   11.4983
14.321   11.6819
14.281   11.8911
14.242   12.0913
14.203   12.2431
14.164   12.4358
14.126   12.7273
14.087   13.0427
14.049   13.3911
14.011   13.7722
13.973   14.1953
13.936   14.5534
13.899   14.7700
13.861   14.8386
13.824   14.6858
13.788   14.3432
13.751   13.9018
13.715   13.3767
13.679   12.7302
13.643   11.9946
13.607   11.2011
13.571   10.3479
13.536    9.4509
13.500    8.4997
13.465    7.5141
13.430    6.5317
13.396    5.6279
13.361    4.7939
13.327    4.0537
13.293    3.4233
13.259    2.8843
13.225    2.4849
13.191    2.2556
13.158    2.1216
13.124    2.0281
13.091    1.9680
13.058    1.9670
13.026    2.0073
12.993    2.0325
12.960    2.0696
12.928    2.1296
12.896    2.1929
12.864    2.2646
12.832    2.3215
12.800    2.3567
12.769    2.3938
12.737    2.4604
12.706    2.5288
12.675    2.5881
12.644    2.6377
12.614    2.6929
12.583    2.7361
12.552    2.7617
12.522    2.7910
12.492    2.8162
12.462    2.8594
12.432    2.9094
12.402    2.9211
12.373    2.9397
12.343    2.9773
12.314    3.0007
12.285    3.0315
12.256    3.0710
12.227    3.1235
12.198    3.1855
12.169    3.2361
12.141    3.2576
12.113    3.2842
12.084    3.3335
12.056    3.3694
12.028    3.3918
12.000    3.4448
11.973    3.4592
11.945    3.4663
11.918    3.5029
11.890    3.5549
11.863    3.6040
11.836    3.6338
11.809    3.6775
11.782    3.7017
11.755    3.7170
11.729    3.7475
11.702    3.7593
11.676    3.7798
11.650    3.8113
11.624    3.8227
11.598    3.8310
11.572    3.8501
11.546    3.8704
11.520    3.8923
11.495    3.9036
11.469    3.9128
11.444    3.9414
11.419    3.9639
11.394    3.9741
11.369    3.9858
11.344    3.9946
11.319    3.9924
11.294    4.0044
11.270    4.0342
11.245    4.0525
11.221    4.0547
11.197    4.0618
11.173    4.0810
11.149    4.1121
11.125    4.1213
11.101    4.1306
11.077    4.1570
11.054    4.1782
11.030    4.2012
11.007    4.2278
10.983    4.2537
10.960    4.2956
10.937    4.3389
10.914    4.3708
10.891    4.3967
10.868    4.4275
10.846    4.4717
10.823    4.5085
10.800    4.5347
10.778    4.5644
10.755    4.5974
10.733    4.6262
10.711    4.6511
10.689    4.6899
10.667    4.7231
10.645    4.7392
10.623    4.7627
10.602    4.7934
10.580    4.8122
10.558    4.8266
10.537    4.8479
10.516    4.8730
10.494    4.9026
10.473    4.9304
10.452    4.9668
10.431    5.0005
10.410    5.0185
10.389    5.0251
10.368    5.0388
10.348    5.0640
10.327    5.0818
10.306    5.0793
10.286    5.0735
10.266    5.0942
10.245    5.1052
10.225    5.0913
10.205    5.0874
10.185    5.0945
10.165    5.0911
10.145    5.1013
10.125    5.1194
10.106    5.1304
10.086    5.1494
10.066    5.1680
10.047    5.1733
10.027    5.1767
10.008    5.1826
 9.989    5.1772
 9.970    5.1489
 9.950    5.1072
 9.931    5.1077
 9.912    5.1340
 9.893    5.1438
 9.875    5.1387
 9.856    5.1123
 9.837    5.0681
 9.818    5.0325
 9.800    4.9807
 9.781    4.9280
 9.763    5.0161
 9.745    5.2497
 9.726    5.3601
 9.708    5.1785
 9.690    4.9509
 9.672    4.8799
 9.654    4.9065
 9.636    4.9678
 9.618    5.0508
 9.600    5.1006
 9.583    5.1245
 9.565    5.1555
 9.547    5.2021
 9.530    5.2510
 9.512    5.2790
 9.495    5.2920
 9.477    5.3074
 9.460    5.3296
 9.443    5.3664
 9.426    5.4148
 9.409    5.4783
 9.392    5.5747
 9.375    5.7092
 9.358    5.8884
 9.341    6.1308
 9.324    6.3921
 9.307    6.6084
 9.291    6.7536
 9.274    6.8410
 9.257    6.9035
 9.241    6.9934
 9.224    7.1045
 9.208    7.1811
 9.192    7.2541
 9.175    7.3406
 9.159    7.4265
 9.143    7.5188
 9.127    7.6240
 9.111    7.7051
 9.095    7.7783
 9.079    7.8865
 9.063    7.9844
 9.047    8.0693
 9.032    8.1767
 9.016    8.2932
 9.000    8.4004
 8.985    8.5168
 8.969    8.6621
 8.954    8.7766
 8.938    8.8911
 8.923    9.0185
 8.907    9.1174
 8.892    9.1733
 8.877    9.2322
 8.862    9.2832
 8.847    9.2766
 8.832    9.2636
 8.817    9.2673
 8.802    9.2402
 8.787    9.1806
 8.772    9.1198
 8.757    9.0508
 8.742    8.9399
 8.728    8.8061
 8.713    8.6386
 8.698    8.3865
 8.684    8.0425
 8.669    7.5925
 8.655    7.0066
 8.640    6.5290
 8.626    6.6489
 8.612    7.4162
 8.597    8.2138
 8.583    8.6135
 8.569    8.6850
 8.555    8.5469
 8.541    8.2759
 8.527    7.9402
 8.513    7.5625
 8.499    7.1694
 8.485    6.8222
 8.471    6.5036
 8.457    6.2175
 8.443    5.9905
 8.430    5.7949
 8.416    5.6013
 8.402    5.4270
 8.389    5.2703
 8.375    5.1084
 8.362    4.9765
 8.348    4.8747
 8.335    4.7678
 8.321    4.6621
 8.308    4.5879
 8.295    4.5381
 8.281    4.5000
 8.268    4.4702
 8.255    4.4619
 8.242    4.4580
 8.229    4.4512
 8.216    4.4675
 8.203    4.4953
 8.190    4.5220
 8.177    4.5542
 8.164    4.6142
 8.151    4.6733
 8.138    4.7253
 8.126    4.7737
 8.113    4.8108
 8.100    4.8525
 8.088    4.9082
 8.075    4.9785
 8.062    5.0561
 8.050    5.1543
 8.037    5.2866
 8.025    5.4272
 8.013    5.5771
 8.000    5.7556
 7.988    5.9375
 7.976    6.1067
 7.963    6.2861
 7.951    6.4519
 7.939    6.5845
 7.927    6.6926
 7.915    6.7661
 7.903    6.7959
 7.891    6.7917
 7.879    6.7566
 7.867    6.6533
 7.855    6.5017
 7.843    6.2983
 7.831    6.0237
 7.819    5.6848
 7.807    5.3186
 7.796    4.9370
 7.784    4.5464
 7.772    4.1645
 7.761    3.8044
 7.749    3.4663
 7.738    3.1626
 7.726    2.9055
 7.715    2.6824
 7.703    2.4966
 7.692    2.3391
 7.680    2.2146
 7.669    2.1086
 7.658    2.0278
 7.646    1.9719
 7.635    1.9236
 7.624    1.8896
 7.613    1.8650
 7.601    1.8557
 7.590    1.8613
 7.579    1.8669
 7.568    1.8772
 7.557    1.8816
 7.546    1.8870
 7.535    1.9011
 7.524    1.9109
 7.513    1.9158
 7.502    1.9294
 7.492    1.9456
 7.481    1.9692
 7.470    1.9968
 7.459    2.0176
 7.448    2.0420
 7.438    2.0779
 7.427    2.1162
 7.417    2.1543
 7.406    2.1902
 7.395    2.2241
 7.385    2.2644
 7.374    2.3030
 7.364    2.3330
 7.353    2.3591
 7.343    2.3809
 7.333    2.4036
 7.322    2.4304
 7.312    2.4519
 7.302    2.4729
 7.291    2.4968
 7.281    2.5193
 7.271    2.5447
 7.261    2.5754
 7.251    2.6023
 7.240    2.6296
 7.230    2.6528
 7.220    2.6797
 7.210    2.7041
 7.200    2.7214
 7.190    2.7368
 7.180    2.7588
 7.170    2.7815
 7.160    2.8047
 7.151    2.8162
 7.141    2.8254
 7.131    2.8379
 7.121    2.8435
 7.111    2.8450
 7.102    2.8408
 7.092    2.8393
 7.082    2.8364
 7.073    2.8240
 7.063    2.8230
 7.053    2.8245
 7.044    2.8232
 7.034    2.8286
 7.025    2.8279
 7.015    2.8232
 7.006    2.8240
 6.996    2.8423
 6.987    2.8508
 6.977    2.8643
 6.968    2.8889
 6.959    2.9123
 6.949    2.9399
 6.940    2.9619
 6.931    2.9773
 6.921    2.9924
 6.912    3.0181
 6.903    3.0503
 6.894    3.0715
 6.885    3.0813
 6.876    3.0972
 6.866    3.1116
 6.857    3.1182
 6.848    3.1255
 6.839    3.1316
 6.830    3.1362
 6.821    3.1360
 6.812    3.1323
 6.803    3.1299
 6.794    3.1230
 6.786    3.1189
 6.777    3.1211
 6.768    3.1157
 6.759    3.1160
 6.750    3.1326
 6.741    3.1499
 6.733    3.1616
 6.724    3.1851
 6.715    3.2119
 6.707    3.2344
 6.698    3.2656
 6.689    3.2981
 6.681    3.3262
 6.672    3.3589
 6.663    3.3916
 6.655    3.4187
 6.646    3.4517
 6.638    3.4875
 6.629    3.5127
 6.621    3.5391
 6.612    3.5664
 6.604    3.5957
 6.596    3.6294
 6.587    3.6628
 6.579    3.7019
 6.571    3.7395
 6.562    3.7756
 6.554    3.8208
 6.546    3.8652
 6.537    3.9011
 6.529    3.9426
 6.521    3.9802
