Name:  Alunite (sodium alunite) NaAl3(SO4)2(OH)6
Type:  Mineral 
Class:  Sulfates
Subclass:   
Particle Size:  0-15 micrometers. (Packed powder simulates coarse.)
Sample No.:  alunite.4
Owner: JHU
Wavelength Range:  IR
Origin: Synthetic; Synthesized by Roger Stoffregen and supplied by 
Phil Bethke (USGS).  
Description: The sample was a white, microcrystalline powder 
composed of equant or lath-shaped crystallites from 1 to 15 
micrometers in largest dimension.



Measurement:  Bidirectional Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  alunit4a.txt
25.044    9.7392
24.924    9.8344
24.805    9.8930
24.686   10.2317
24.569   10.4546
24.454   10.4643
24.339   10.6504
24.225   10.9121
24.112   10.9682
24.001   11.0744
23.890   11.2041
23.781   11.2141
23.672   11.1887
23.564   11.2480
23.458   11.5112
23.352   11.6853
23.247   11.7126
23.144   11.6831
23.041   11.8840
22.939   12.1841
22.838   12.3925
22.738   12.6152
22.638   12.5830
22.540   12.3789
22.442   12.1064
22.345   11.6880
22.250   10.9599
22.154    9.9673
22.060    9.1272
21.967    8.4988
21.874    8.1118
21.782    8.1003
21.691    8.3662
21.601    8.6230
21.511    8.7741
21.422    9.0132
21.334    9.2495
21.247    9.3257
21.160    9.5034
21.074    9.7380
20.988    9.9135
20.904   10.0698
20.820   10.2378
20.737   10.4209
20.654   10.6648
20.572   10.7837
20.491   10.4350
20.410   10.1364
20.330   10.1843
20.251   10.2702
20.172   10.4092
20.094   10.6128
20.016   10.7776
19.939   10.9218
19.863   11.0713
19.787   11.1977
19.712   11.3598
19.637   11.5551
19.563   11.8047
19.489   11.9756
19.416   12.0984
19.344   12.2678
19.272   12.3081
19.201   12.0964
19.130   11.7595
19.059   11.4919
18.990   11.3467
18.920   11.3528
18.851   11.4836
18.783   11.4944
18.715   11.2900
18.648   11.0478
18.581   10.7197
18.515   10.4248
18.449   10.3149
18.384   10.3955
18.319   10.4995
18.254   10.6269
18.190   10.8352
18.126   11.0210
18.063   11.1909
18.001   11.3559
17.938   11.5075
17.876   11.7077
17.815   11.9250
17.754   12.0715
17.693   12.2026
17.633   12.3933
17.573   12.5774
17.514   12.7348
17.455   12.9621
17.396   13.2304
17.338   13.4555
17.280   13.7534
17.223   14.0800
17.166   14.4423
17.109   14.8691
17.053   15.3237
16.997   15.7978
16.942   16.3689
16.886   17.1313
16.832   17.9870
16.777   18.8022
16.723   19.5827
16.669   20.2832
16.616   20.7448
16.563   21.0566
16.510   21.1545
16.458   20.7966
16.406   19.7883
16.354   18.1293
16.302   16.0490
16.251   14.3447
16.200   13.7905
16.150   14.2873
16.100   15.3576
16.050   16.7280
16.000   18.1362
15.951   19.3571
15.902   20.2968
15.854   20.9218
15.805   21.2883
15.757   21.5414
15.710   21.7622
15.662   21.8439
15.615   21.7902
15.568   21.6625
15.521   21.3366
15.475   20.7827
15.429   20.2089
15.383   19.6247
15.338   18.9047
15.292   18.1760
15.248   17.4846
15.203   16.7158
15.158   15.9301
15.114   15.2443
15.070   14.6010
15.027   14.0134
14.983   13.5835
14.940   13.2934
14.897   13.0879
14.854   13.0134
14.812   13.0676
14.770   13.1760
14.728   13.3205
14.686   13.5439
14.645   13.8166
14.603   14.0542
14.562   14.3039
14.521   14.5817
14.481   14.8408
14.441   15.0849
14.400   15.3344
14.361   15.5820
14.321   15.8413
14.281   16.1059
14.242   16.3535
14.203   16.6084
14.164   16.9028
14.126   17.1953
14.087   17.4616
14.049   17.7744
14.011   18.1140
13.973   18.3857
13.936   18.6564
13.899   18.9064
13.861   19.0842
13.824   19.2302
13.788   19.3437
13.751   19.3713
13.715   19.2434
13.679   19.0639
13.643   18.7980
13.607   18.2983
13.571   17.6377
13.536   16.8728
13.500   16.0149
13.465   15.0647
13.430   14.0686
13.396   13.0263
13.361   11.9563
13.327   10.9226
13.293    9.8874
13.259    8.8589
13.225    7.8269
13.191    6.8357
13.158    5.9570
13.124    5.1904
13.091    4.4880
13.058    3.9050
13.026    3.5007
12.993    3.2004
12.960    2.9978
12.928    2.8643
12.896    2.8140
12.864    2.8203
12.832    2.8516
12.800    2.8960
12.769    2.9746
12.737    3.0698
12.706    3.1614
12.675    3.2309
12.644    3.3118
12.614    3.4202
12.583    3.5256
12.552    3.5940
12.522    3.6594
12.492    3.7375
12.462    3.8225
12.432    3.8994
12.402    3.9541
12.373    4.0381
12.343    4.1152
12.314    4.1745
12.285    4.2522
12.256    4.3225
12.227    4.3635
12.198    4.4382
12.169    4.5198
12.141    4.5703
12.113    4.6186
12.084    4.6833
12.056    4.7502
12.028    4.8061
12.000    4.8713
11.973    4.9529
11.945    5.0012
11.918    5.0544
11.890    5.1223
11.863    5.1601
11.836    5.2121
11.809    5.2778
11.782    5.3315
11.755    5.3640
11.729    5.4192
11.702    5.4878
11.676    5.5290
11.650    5.5740
11.624    5.6308
11.598    5.6680
11.572    5.6938
11.546    5.7392
11.520    5.7673
11.495    5.8144
11.469    5.8889
11.444    5.9119
11.419    5.9336
11.394    5.9919
11.369    6.0430
11.344    6.0561
11.319    6.0701
11.294    6.1225
11.270    6.1702
11.245    6.1731
11.221    6.2107
11.197    6.2673
11.173    6.2839
11.149    6.2944
11.125    6.3154
11.101    6.3445
11.077    6.3823
11.054    6.4289
11.030    6.4829
11.007    6.5049
10.983    6.5373
10.960    6.5847
10.937    6.6052
10.914    6.6394
10.891    6.6887
10.868    6.7156
10.846    6.7451
10.823    6.7981
10.800    6.8264
10.778    6.8537
10.755    6.8999
10.733    6.9306
10.711    6.9743
10.689    7.0276
10.667    7.0508
10.645    7.0757
10.623    7.1269
10.602    7.1543
10.580    7.1924
10.558    7.2307
10.537    7.2673
10.516    7.3064
10.494    7.3545
10.473    7.4199
10.452    7.4543
10.431    7.4714
10.410    7.5285
10.389    7.6030
10.368    7.6374
10.348    7.6706
10.327    7.7256
10.306    7.7732
10.286    7.8078
10.266    7.8550
10.245    7.9128
10.225    7.9504
10.205    7.9997
10.185    8.0554
10.165    8.0788
10.145    8.1098
10.125    8.1606
10.106    8.1948
10.086    8.2209
10.066    8.2663
10.047    8.3108
10.027    8.3572
10.008    8.3999
 9.989    8.4504
 9.970    8.5000
 9.950    8.5332
 9.931    8.5700
 9.912    8.6094
 9.893    8.6687
 9.875    8.7483
 9.856    8.8235
 9.837    8.9021
 9.818    9.0041
 9.800    9.1303
 9.781    9.2741
 9.763    9.4900
 9.745    9.8073
 9.726   10.0888
 9.708    9.9397
 9.690    9.1997
 9.672    8.5527
 9.654    8.4595
 9.636    8.6487
 9.618    8.8513
 9.600    9.0100
 9.583    9.1538
 9.565    9.2993
 9.547    9.4170
 9.530    9.5293
 9.512    9.6631
 9.495    9.7898
 9.477    9.9131
 9.460   10.0503
 9.443   10.2051
 9.426   10.3620
 9.409   10.5361
 9.392   10.7241
 9.375   10.9030
 9.358   11.0923
 9.341   11.3188
 9.324   11.5476
 9.307   11.8137
 9.291   12.1418
 9.274   12.5070
 9.257   12.9109
 9.241   13.3960
 9.224   13.9506
 9.208   14.5112
 9.192   15.0178
 9.175   15.4550
 9.159   15.8244
 9.143   16.1804
 9.127   16.5642
 9.111   16.9558
 9.095   17.3203
 9.079   17.6789
 9.063   18.0449
 9.047   18.3933
 9.032   18.7370
 9.016   19.0756
 9.000   19.3859
 8.985   19.6665
 8.969   19.9580
 8.954   20.2502
 8.938   20.5046
 8.923   20.7568
 8.907   20.9855
 8.892   21.1457
 8.877   21.2736
 8.862   21.3920
 8.847   21.4499
 8.832   21.4550
 8.817   21.4448
 8.802   21.3959
 8.787   21.2924
 8.772   21.1845
 8.757   21.0417
 8.742   20.8400
 8.728   20.6110
 8.713   20.3610
 8.698   20.0363
 8.684   19.6606
 8.669   19.2817
 8.655   18.8532
 8.640   18.3627
 8.626   17.8403
 8.612   17.2629
 8.597   16.6086
 8.583   15.9926
 8.569   15.6745
 8.555   15.8740
 8.541   16.2324
 8.527   16.1237
 8.513   15.5188
 8.499   14.7534
 8.485   14.0061
 8.471   13.2956
 8.457   12.6245
 8.443   12.0476
 8.430   11.5454
 8.416   11.0818
 8.402   10.6848
 8.389   10.3581
 8.375   10.0630
 8.362    9.7964
 8.348    9.5906
 8.335    9.4182
 8.321    9.2607
 8.308    9.1274
 8.295    9.0412
 8.281    8.9656
 8.268    8.9084
 8.255    8.8860
 8.242    8.8867
 8.229    8.8921
 8.216    8.9282
 8.203    9.0044
 8.190    9.0842
 8.177    9.2014
 8.164    9.3623
 8.151    9.5469
 8.138    9.7658
 8.126   10.0354
 8.113   10.3244
 8.100   10.6176
 8.088   10.9187
