Name: Alunite (ammonioalunite) NH4Al3(SO4)2(OH)6
Type:  Mineral (Synthetic)
Class:  Sulfates
Subclass: 
Particle Size:  Fine (less than 2 Micrometers)
Sample No.:  alunite.1
Owner: JHU
Wavelength Range:  IR
Origin:  Sample from Dennis Krohn, USGS; synthesized by Phil Bethke, 
USGS.  
Description: The sample consisted of a very small (several microg) 
amount of fine white powder.




Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: alunit1a.txt
25.044   67.0389
24.924   63.1190
24.805   60.4373
24.686   56.8456
24.569   54.5643
24.454   51.8905
24.339   47.9335
24.225   44.3065
24.112   42.4452
24.001   41.1581
23.890   39.0565
23.781   38.4862
23.672   38.2733
23.564   38.4843
23.458   39.6728
23.352   42.0204
23.247   45.1014
23.144   49.0155
23.041   52.4549
22.939   55.9618
22.838   58.8553
22.738   60.9071
22.638   61.6727
22.540   62.0828
22.442   62.0164
22.345   61.5545
22.250   60.8202
22.154   60.0350
22.060   59.1844
21.967   58.0487
21.874   58.0389
21.782   58.3065
21.691   58.4432
21.601   58.4784
21.511   59.5941
21.422   60.7821
21.334   62.1815
21.247   62.6219
21.160   63.3455
21.074   64.7264
20.988   64.7230
20.904   63.9608
20.820   62.8734
20.737   61.8324
20.654   60.7679
20.572   59.4124
20.491   57.1659
20.410   56.1376
20.330   56.7948
20.251   58.1151
20.172   59.2538
20.094   60.0589
20.016   59.7923
19.939   59.3226
19.863   58.7606
19.787   57.7757
19.712   56.7269
19.637   55.5140
19.563   53.8519
19.489   52.1683
19.416   50.8739
19.344   49.8651
19.272   48.7836
19.201   48.1395
19.130   47.7914
19.059   47.8890
18.990   48.6395
18.920   49.6009
18.851   50.8719
18.783   52.3915
18.715   53.6429
18.648   54.4618
18.581   54.8653
18.515   55.1122
18.449   54.6769
18.384   53.7198
18.319   52.4393
18.254   51.2665
18.190   49.9083
18.126   48.4113
18.063   46.6415
18.001   44.8876
17.938   43.3234
17.876   41.4523
17.815   39.2753
17.754   36.9416
17.693   35.0116
17.633   33.0783
17.573   30.8368
17.514   28.7668
17.455   26.4794
17.396   24.0888
17.338   21.6503
17.280   19.1982
17.223   16.9135
17.166   14.9375
17.109   13.1164
17.053   11.4013
16.997   10.1008
16.942    8.9448
16.887    8.0146
16.832    7.7505
16.777    7.9016
16.723    7.9045
16.669    7.9787
16.616    8.2151
16.563    8.6106
16.510    8.9101
16.458    8.8342
16.406    8.3362
16.354    8.0295
16.302    7.7021
16.251    6.9328
16.200    6.3935
16.150    6.4429
16.100    6.3655
16.050    6.5195
16.000    6.8010
15.951    6.9153
15.902    7.4133
15.854    8.3967
15.805    9.2502
15.757   10.0324
15.710   10.9436
15.662   12.5127
15.615   14.3869
15.568   16.3320
15.521   18.3623
15.475   20.1125
15.429   21.2099
15.383   21.3139
15.338   20.5615
15.292   18.7700
15.248   16.1015
15.203   13.1445
15.158   10.4143
15.114    8.0976
15.070    6.8203
15.027    6.3408
14.983    6.5771
14.940    6.9482
14.897    6.9319
14.854    7.3703
14.812    7.9934
14.770    8.6455
14.728    9.2138
14.686   10.0149
14.645   10.6035
14.603   11.4321
14.562   12.1064
14.521   12.9814
14.481   14.3974
14.441   15.7619
14.400   17.1506
14.361   18.7421
14.321   20.2207
14.281   22.0414
14.242   24.1183
14.203   26.0969
14.164   27.8820
14.126   29.9611
14.087   31.7475
14.049   33.4521
14.011   35.0390
13.973   36.7043
13.936   38.3891
13.899   39.8996
13.861   41.1381
13.824   42.5077
13.788   43.5617
13.751   44.6320
13.715   45.8754
13.679   46.9960
13.643   47.9493
13.607   48.8146
13.571   49.7279
13.536   50.7526
13.500   51.6239
13.465   52.4042
13.430   53.2892
13.396   54.2196
13.361   54.8651
13.327   55.5714
13.293   56.0577
13.259   56.6827
13.225   57.4542
13.191   58.1026
13.158   58.3646
13.124   58.8736
13.091   59.5233
13.058   60.0509
13.026   60.3822
12.993   60.9305
12.960   61.3285
12.928   61.7960
12.896   62.1080
12.864   62.2718
12.832   62.7572
12.800   63.2115
12.769   63.6983
12.737   64.1778
12.706   64.6485
12.675   64.9356
12.644   65.2193
12.614   65.6575
12.583   66.2374
12.552   66.8126
12.522   67.2022
12.492   67.5587
12.462   67.9354
12.432   68.2606
12.402   68.3048
12.373   68.7005
12.343   69.0157
12.314   69.3541
12.285   69.6050
12.256   69.8194
12.227   70.0562
12.198   70.3948
12.169   70.9620
12.141   71.2288
12.113   71.4376
12.084   71.7554
12.056   72.1614
12.028   72.4910
12.000   72.9070
11.973   73.2300
11.945   73.5821
11.918   74.0716
11.890   74.2811
11.863   74.6321
11.836   74.9651
11.809   75.3948
11.782   75.4759
11.755   75.8201
11.729   76.0921
11.702   76.2186
11.676   76.3560
11.650   76.5320
11.624   76.7483
11.598   76.8943
11.572   76.9556
11.546   77.1346
11.520   77.4217
11.495   77.3313
11.469   77.5318
11.444   77.7613
11.419   77.9092
11.394   77.9397
11.369   78.0154
11.344   78.2347
11.319   78.2200
11.294   78.2239
11.270   78.2591
11.245   78.5130
11.221   78.5477
11.197   78.6390
11.173   78.4756
11.149   78.4060
11.125   78.5491
11.101   78.6067
11.077   78.5994
11.054   78.4227
11.030   78.4314
11.007   78.3191
10.983   78.3221
10.960   78.1485
10.937   78.0354
10.914   77.9432
10.891   77.7200
10.868   77.5301
10.846   77.2774
10.823   77.2908
10.800   77.2142
10.778   77.2381
10.755   76.8724
10.733   76.5896
10.711   76.3992
10.689   76.2994
10.667   76.0752
10.645   75.7205
10.623   75.3089
10.602   74.8350
10.580   74.4896
10.558   74.0189
10.537   73.6507
10.516   73.1463
10.494   72.7142
10.473   72.2195
10.452   71.8318
10.431   71.3738
10.410   70.8001
10.389   70.1668
10.368   69.4520
10.348   68.8372
10.327   68.1282
10.306   67.4871
10.286   66.7015
10.266   66.0531
10.245   65.2720
10.225   64.4349
10.205   63.5514
10.185   62.5648
10.165   61.6639
10.145   60.7650
10.125   59.7174
10.106   58.5829
10.086   57.6512
10.066   56.5780
10.047   55.4378
10.027   54.1651
10.008   52.7264
 9.989   51.2049
 9.970   49.5900
 9.950   47.9420
 9.931   46.2084
 9.912   44.2777
 9.893   42.1679
 9.875   39.9330
 9.856   37.4862
 9.837   34.7782
 9.818   31.9530
 9.800   28.7470
 9.781   24.9389
 9.763   20.7951
 9.745   17.6279
 9.726   17.2600
 9.708   19.4421
 9.690   21.9587
 9.672   23.3574
 9.654   23.3935
 9.636   22.4321
 9.618   20.7480
 9.600   18.7666
 9.583   16.7319
 9.565   14.8296
 9.547   13.1679
 9.530   11.6943
 9.512   10.3125
 9.495    9.1128
 9.477    7.8862
 9.460    6.5652
 9.443    5.3013
 9.426    4.2930
 9.409    3.5142
 9.392    2.9600
 9.375    2.5322
 9.358    2.2837
 9.341    2.2319
 9.324    2.2793
 9.307    2.3672
 9.291    2.5837
 9.274    2.8271
 9.257    3.1963
 9.241    3.5498
 9.224    3.9238
 9.208    4.3179
 9.192    4.7588
 9.175    5.1836
 9.159    5.6216
 9.143    6.1352
 9.127    6.7495
 9.111    7.3559
 9.095    8.1059
 9.079    8.9741
 9.063    9.9009
 9.047   10.7470
 9.032   11.7485
 9.016   12.9741
 9.000   14.2378
 8.985   15.4004
 8.969   16.7177
 8.954   18.2236
 8.938   19.7075
 8.923   21.0927
 8.907   22.3903
 8.892   23.6332
 8.877   24.9702
 8.862   26.2563
 8.847   27.4599
 8.832   28.5561
 8.817   29.6205
 8.802   30.4833
 8.787   31.2397
 8.772   31.9091
 8.757   32.2455
 8.742   32.1005
 8.728   31.3925
 8.713   30.1015
 8.698   29.0248
 8.684   28.9438
 8.669   29.8178
 8.655   31.1264
 8.640   32.5702
 8.626   33.9892
 8.612   35.4511
 8.597   36.8512
 8.583   38.2045
 8.569   39.4296
 8.555   40.6081
 8.541   41.6376
 8.527   42.5077
 8.513   43.1969
 8.499   43.7304
 8.485   44.1242
 8.471   44.3829
 8.457   44.4003
 8.443   44.2103
 8.430   43.9340
 8.416   43.5360
 8.402   43.0714
 8.389   42.5431
 8.375   42.0055
 8.362   41.5624
 8.348   41.1581
 8.335   40.7465
 8.321   40.2536
 8.308   39.7023
 8.295   38.9921
 8.281   38.1005
 8.268   37.0180
 8.255   35.8251
 8.242   34.4511
 8.229   32.9858
 8.216   31.5038
 8.203   29.9594
 8.190   28.3498
 8.177   26.8288
 8.164   25.3268
 8.151   23.9203
 8.138   22.6774
 8.126   21.6149
 8.113   20.7075
 8.100   20.0681
 8.088   19.6315
 8.075   19.4123
 8.062   19.4003
 8.050   19.7136
 8.037   20.2993
 8.025   21.2006
 8.013   22.3520
 8.000   23.8242
 7.988   25.5910
 7.976   27.6948
 7.963   30.1042
 7.951   32.7211
 7.939   35.4855
 7.927   38.5006
 7.915   41.4657
 7.903   44.2875
 7.891   46.9833
 7.879   49.5946
 7.867   52.0123
 7.855   54.2679
 7.843   56.1878
 7.831   58.0113
 7.819   59.6341
 7.807   61.1319
 7.796   62.4449
 7.784   63.6153
 7.772   64.7030
 7.761   65.7728
 7.749   66.7437
 7.738   67.5882
 7.726   68.3912
 7.715   69.1756
 7.703   69.8824
 7.692   70.4744
 7.680   71.1339
 7.669   71.7051
 7.658   72.2252
 7.646   72.7684
 7.635   73.2569
 7.624   73.7728
 7.613   74.1836
 7.601   74.7015
 7.590   75.0950
 7.579   75.5474
 7.568   75.9026
 7.557   76.3169
 7.546   76.6558
 7.535   77.0191
 7.524   77.3199
 7.513   77.5950
 7.502   77.9585
 7.492   78.1951
 7.481   78.3797
 7.470   78.6394
 7.459   78.9729
 7.448   79.1192
 7.438   79.2854
 7.427   79.4937
 7.417   79.6165
 7.406   79.7632
 7.395   79.8682
 7.385   79.9622
 7.374   79.9864
 7.364   80.1297
 7.353   80.1504
 7.343   80.1614
 7.333   79.9861
 7.322   79.9405
 7.312   79.8799
 7.302   79.7217
 7.291   79.5987
 7.281   79.4051
 7.271   79.1058
 7.261   78.7757
 7.251   78.5088
 7.240   78.1167
 7.230   77.6624
 7.220   77.2437
 7.210   76.5586
 7.200   75.5525
 7.190   74.7501
 7.180   74.1097
 7.170   73.1048
 7.160   71.8043
 7.151   70.5765
 7.141   69.0342
 7.131   67.9959
 7.121   66.9544
 7.111   65.1737
 7.102   63.6605
 7.092   61.9705
 7.082   59.8482
 7.073   57.6004
 7.063   55.4535
 7.053   53.0731
 7.044   49.3246
 7.034   46.7284
 7.025   44.8261
 7.015   42.2326
 7.006   40.8075
 6.996   39.6405
 6.987   38.9459
 6.977   38.7636
 6.968   39.1845
 6.959   40.2587
 6.949   41.7799
 6.940   43.0390
 6.931   44.9357
 6.921   46.8683
 6.912   48.9225
 6.903   51.4972
 6.894   53.6214
 6.885   55.3724
 6.876   56.9088
 6.866   58.2013
 6.857   61.9893
 6.848   63.5433
 6.839   64.2843
 6.830   65.2159
 6.821   67.0325
 6.812   68.0401
 6.803   68.6785
 6.794   69.4339
 6.786   71.2864
 6.777   72.1077
 6.768   72.7234
 6.759   73.2440
 6.750   73.9793
 6.741   74.6800
 6.733   75.1058
 6.724   75.6077
 6.715   76.3072
 6.707   77.1551
 6.698   77.3836
 6.689   77.4783
 6.681   77.9676
 6.672   78.6001
 6.663   79.0110
 6.655   79.2015
 6.646   79.3450
 6.638   79.5081
 6.629   80.6111
 6.621   80.5298
 6.612   80.6736
 6.604   80.8572
 6.596   81.0279
 6.587   81.2068
 6.579   81.3777
 6.571   81.9402
 6.562   82.1006
 6.554   82.1658
 6.546   82.4807
 6.537   82.6980
 6.529   82.7293
 6.521   82.8870
 6.513   83.2254
 6.505   83.2376
 6.496   83.2012
 6.488   83.4666
