Name: Alunite (potassium alunite) KAl3(SO4)2(OH)6
Type:  Mineral 
Class:  Sulfates
Subclass:   
Particle Size:  Fine (less than 2 Micrometers)
Sample No.:  alunite.3
Owner:  JHU
Wavelength Range:  IR
Origin: Synthetic; Synthesized by Roger Stoffregen, supplied by Phil 
Bethke (USGS).  
Description:  The sample was a light gray, microcrystalline powder 
composed of equant or lath-shaped crystallites from 1 to 15 
micrometers in largest dimension.



Measurement:  Transmission
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: alunit3a.txt
25.044   89.0232
24.924   89.1248
24.805   89.3748
24.686   87.8787
24.569   85.0506
24.454   82.8474
24.339   80.7264
24.225   77.8123
24.112   74.5662
24.001   71.0545
23.890   67.7811
23.781   64.7498
23.672   62.3787
23.564   60.0233
23.458   58.8788
23.352   59.5077
23.247   61.8534
23.144   65.0487
23.041   68.8065
22.939   72.8553
22.838   77.4412
22.738   81.9080
22.638   85.9295
22.540   89.0662
22.442   90.6482
22.345   92.8142
22.250   93.8611
22.154   94.8376
22.060   94.7517
21.967   95.4490
21.874   95.1658
21.782   95.5505
21.691   95.2341
21.601   95.7361
21.511   95.5310
21.422   95.9314
21.334   96.1951
21.247   96.3943
21.160   96.3005
21.074   95.7966
20.988   95.4763
20.904   94.9978
20.820   94.9646
20.737   94.1560
20.654   92.5779
20.572   89.9705
20.491   87.8767
20.410   87.9373
20.330   89.6365
20.251   91.0252
20.172   90.9265
20.094   90.5398
20.016   89.3992
19.939   88.5593
19.863   87.8328
19.787   88.5506
19.712   88.6170
19.637   88.6218
19.563   87.6492
19.489   86.5427
19.416   84.5867
19.344   81.9392
19.272   78.6756
19.201   74.7391
19.130   71.7693
19.059   69.4422
18.990   68.8514
18.920   69.4920
18.851   72.4158
18.783   76.1971
18.715   80.5994
18.648   83.5232
18.581   85.7595
18.515   86.7859
18.449   87.4217
18.384   87.5877
18.319   87.6218
18.254   87.6287
18.190   87.3484
18.126   87.2195
18.063   86.5467
18.001   85.9998
17.938   85.3084
17.876   84.6922
17.815   83.7791
17.754   82.9031
17.693   82.0047
17.633   80.5906
17.573   79.2127
17.514   77.3436
17.455   75.7859
17.396   73.7381
17.338   71.5428
17.280   68.6639
17.223   65.7039
17.166   62.2039
17.109   58.1180
17.053   53.5506
16.997   48.5839
16.942   43.3300
16.886   37.8046
16.832   32.6777
16.777   27.8769
16.723   24.6337
16.669   23.4062
16.616   24.5253
16.563   27.7665
16.510   33.1620
16.458   39.5858
16.406   45.4725
16.354   49.2704
16.302   49.9276
16.251   47.7382
16.200   43.1464
16.150   37.6806
16.100   32.2392
16.050   28.1991
16.000   26.0263
15.951   25.7382
15.902   26.6044
15.854   28.1025
15.805   29.8320
15.757   31.9423
15.710   34.6581
15.662   37.8290
15.615   41.8300
15.568   46.7186
15.521   52.9237
15.475   59.6209
15.429   65.5233
15.383   69.6483
15.338   71.8846
15.292   72.2518
15.248   70.0740
15.203   65.4451
15.158   58.5711
15.114   51.7040
15.070   45.6620
15.027   41.2704
14.983   38.2206
14.940   36.4628
14.897   35.3046
14.854   34.5526
14.812   33.9735
14.770   33.1728
14.728   32.4306
14.686   32.0097
14.645   32.2030
14.603   32.7333
14.562   33.8622
14.521   35.3632
14.481   37.2851
14.441   39.2353
14.400   41.2528
14.361   43.3036
14.321   45.3778
14.281   47.6390
14.242   49.9066
14.203   52.3163
14.164   54.7621
14.126   57.4520
14.087   60.1405
14.049   62.8319
14.011   65.5037
13.973   68.2171
13.936   70.8909
13.899   73.1487
13.861   75.2190
13.824   76.9646
13.788   78.6116
13.751   80.0408
13.715   81.2991
13.679   82.3440
13.643   83.2928
13.607   84.2693
13.571   84.9182
13.536   85.8089
13.500   86.3445
13.465   87.1697
13.430   87.5960
13.396   88.3523
13.361   88.6174
13.327   89.2039
13.293   89.6448
13.259   90.1658
13.225   90.5549
13.191   90.8518
13.158   91.2991
13.124   91.4846
13.091   91.9705
13.058   92.1370
13.026   92.5706
12.993   92.6838
12.960   93.0354
12.928   93.0647
12.896   93.3264
12.864   93.4631
12.832   93.6995
12.800   93.8010
12.769   93.9460
12.737   94.1975
12.706   94.3904
12.675   94.3069
12.644   94.3513
12.614   94.4880
12.583   94.5491
12.552   94.6052
12.522   94.6331
12.492   94.5608
12.462   94.9207
12.432   94.9866
12.402   95.0916
12.373   95.2185
12.343   95.2678
12.314   95.3713
12.285   95.5408
12.256   95.8132
12.227   95.7859
12.198   96.1155
12.169   96.0476
12.141   96.1858
12.113   96.0608
12.084   96.2502
12.056   96.2463
12.028   96.3713
12.000   96.3943
11.973   96.4827
11.945   96.4685
11.918   96.5642
11.890   96.7605
11.863   96.7522
11.836   96.6921
11.809   96.5842
11.782   96.7712
11.755   96.7249
11.729   96.7561
11.702   96.7561
11.676   96.8162
11.650   96.6736
11.624   96.7014
11.598   96.6912
11.572   96.6643
11.546   96.5896
11.520   96.6287
11.495   96.4900
11.469   96.5164
11.444   96.4763
11.419   96.6096
11.394   96.3972
11.369   96.3328
11.344   96.2693
11.319   96.3093
11.294   96.2268
11.270   96.3074
11.245   96.2170
11.221   96.0339
11.197   96.0061
11.173   95.9905
11.149   96.1169
11.125   96.0447
11.101   96.1619
11.077   95.8689
11.054   96.0798
11.030   96.0662
11.007   96.1599
10.983   95.9553
10.960   96.0886
10.937   96.1453
10.914   96.2087
10.891   96.1951
10.868   95.8870
10.846   95.8767
10.823   96.0935
10.800   96.1448
10.778   96.0710
10.755   95.8240
10.733   95.5315
10.711   95.7170
10.689   95.8811
10.667   95.8655
10.645   95.4597
10.623   95.4441
10.602   95.5837
10.580   95.5408
10.558   95.3206
10.537   95.3616
10.516   95.2273
10.494   94.9807
10.473   94.6355
10.452   94.8362
10.431   94.6506
10.410   94.3718
10.389   94.0872
10.368   93.9207
10.348   93.7561
10.327   93.3674
10.306   93.1155
10.286   92.8840
10.266   92.7239
10.245   92.3796
10.225   92.1726
10.205   91.7859
10.185   91.5042
10.165   91.0955
10.145   90.8206
10.125   90.4002
10.106   90.1033
10.086   89.6853
10.066   89.2761
10.047   88.8049
10.027   88.4807
10.008   87.9773
 9.989   87.4290
 9.970   86.6970
 9.950   85.8855
 9.931   85.1580
 9.912   84.5447
 9.893   83.6321
 9.875   82.4954
 9.856   81.1971
 9.837   79.4974
 9.818   77.1014
 9.800   73.2191
 9.781   66.6898
 9.763   57.2196
 9.745   50.1815
 9.726   52.9945
 9.708   62.8285
 9.690   70.1819
 9.672   72.8738
 9.654   72.9930
 9.636   72.1990
 9.618   71.0164
 9.600   69.6600
 9.583   68.0120
 9.565   66.2147
 9.547   64.2533
 9.530   62.0706
 9.512   59.6361
 9.495   57.0858
 9.477   54.4203
 9.460   51.6048
 9.443   48.6879
 9.426   45.6659
 9.409   42.5272
 9.392   39.2694
 9.375   35.8798
 9.358   32.4242
 9.341   28.9706
 9.324   25.3349
 9.307   21.5209
 9.291   17.9248
 9.274   15.0839
 9.257   13.2837
 9.241   12.4297
 9.224   12.2851
 9.208   12.7334
 9.192   13.6006
 9.175   14.7714
 9.159   16.1059
 9.143   17.5312
 9.127   19.0000
 9.111   20.5712
 9.095   22.2285
 9.079   23.8784
 9.063   25.5717
 9.047   27.3652
 9.032   29.2157
 9.016   31.0536
 9.000   32.9413
 8.985   34.8671
 8.969   36.7836
 8.954   38.7821
 8.938   40.7504
 8.923   42.6415
 8.907   44.4462
 8.892   46.2260
 8.877   47.8939
 8.862   49.3715
 8.847   50.8129
 8.832   52.2357
 8.817   53.5609
 8.802   54.8319
 8.787   56.0043
 8.772   57.1083
 8.757   58.1122
 8.742   59.0555
 8.728   59.7957
 8.713   60.4906
 8.698   61.0282
 8.684   61.4393
 8.669   61.4857
 8.655   60.8949
 8.640   59.2430
 8.626   57.1722
 8.612   56.6942
 8.597   58.2315
 8.583   60.2413
 8.569   61.6915
 8.555   62.7176
 8.541   63.2078
 8.527   63.5645
 8.513   63.7118
 8.499   63.7616
 8.485   63.6612
 8.471   63.5391
 8.457   63.3133
 8.443   63.0955
 8.430   62.8963
 8.416   62.6102
 8.402   62.2904
 8.389   61.8888
 8.375   61.5008
 8.362   60.9320
 8.348   60.3028
 8.335   59.5321
 8.321   58.6632
 8.308   57.6629
 8.295   56.6336
 8.281   55.5587
 8.268   54.4911
 8.255   53.4552
 8.242   52.5331
 8.229   51.7237
 8.216   51.0538
 8.203   50.4872
 8.190   50.0936
 8.177   49.8224
 8.164   49.8373
 8.151   50.0099
 8.138   50.3028
 8.126   50.7074
 8.113   51.2257
 8.100   51.7782
 8.088   52.2709
 8.075   52.8097
 8.062   53.3719
 8.050   54.0441
 8.037   54.7696
 8.025   55.7384
 8.013   56.7726
 8.000   58.1280
 7.988   59.6297
 7.976   61.3729
 7.963   63.2247
 7.951   65.1927
 7.939   67.1300
 7.927   69.0028
 7.915   70.8797
 7.903   72.5489
 7.891   74.1580
 7.879   75.5704
 7.867   76.9778
 7.855   78.1316
 7.843   79.2688
 7.831   80.2813
 7.819   81.2051
 7.807   81.9727
 7.796   82.7420
 7.784   83.4148
 7.772   84.0115
 7.761   84.5274
 7.749   85.0772
 7.738   85.5325
 7.726   85.9607
 7.715   86.3262
 7.703   86.7168
 7.692   86.9871
 7.680   87.2800
 7.669   87.5989
 7.658   87.8643
 7.646   88.1533
 7.635   88.3897
 7.624   88.6201
 7.613   88.7532
 7.601   89.0955
 7.590   89.2246
 7.579   89.5076
 7.568   89.6433
 7.557   89.9414
 7.546   90.0332
 7.535   90.2627
 7.524   90.4392
 7.513   90.5606
 7.502   90.6995
 7.492   90.8633
 7.481   91.0325
 7.470   91.1377
 7.459   91.3435
 7.448   91.4187
 7.438   91.6328
 7.427   91.7507
 7.417   91.9041
 7.406   91.9483
 7.395   92.1084
 7.385   92.2048
 7.374   92.3340
 7.364   92.3975
 7.353   92.4668
 7.343   92.5059
 7.333   92.6248
 7.322   92.6826
 7.312   92.7903
 7.302   92.8408
 7.291   92.9014
 7.281   92.9229
 7.271   93.0100
 7.261   93.0720
 7.251   93.0769
 7.240   93.0898
 7.230   93.0813
 7.220   93.1465
 7.210   93.0674
 7.200   93.1240
 7.190   93.0281
 7.180   93.0564
 7.170   92.8894
 7.160   92.9168
 7.151   92.8113
 7.141   92.9297
 7.131   92.9668
 7.121   93.0584
 7.111   93.1672
 7.102   93.2664
 7.092   93.4219
 7.082   93.4968
 7.073   93.6221
 7.063   93.5938
 7.053   93.6267
 7.044   93.5178
 7.034   93.7249
 7.025   93.7891
 7.015   93.8962
 7.006   93.8701
 6.996   93.9236
 6.987   93.9695
 6.977   94.0115
 6.968   93.9492
 6.959   93.9353
 6.949   94.1248
 6.940   94.2859
 6.931   94.3171
 6.921   94.3660
 6.912   94.3855
 6.903   94.4187
 6.894   94.5281
 6.885   94.5881
 6.876   94.5320
 6.866   94.2832
 6.857   94.3486
 6.848   94.5410
 6.839   94.7410
 6.830   94.6580
 6.821   94.7058
 6.812   94.6716
 6.803   94.7200
 6.794   94.4834
 6.786   94.4473
 6.777   94.5168
 6.768   94.6760
 6.759   94.7346
 6.750   94.7180
 6.741   94.7507
 6.733   94.7373
 6.724   94.7732
 6.715   94.6855
 6.707   94.8142
 6.698   94.8435
 6.689   94.8965
 6.681   94.8108
 6.672   94.9959
 6.663   95.1453
 6.655   95.3118
 6.646   95.1201
 6.638   94.8748
 6.629   95.0046
 6.621   95.3037
 6.612   95.4229
 6.604   95.4658
 6.596   95.4636
 6.587   95.4111
 6.579   95.3606
 6.571   95.3132
 6.562   95.5176
 6.554   95.6208
 6.546   95.7161
 6.537   95.7393
 6.529   95.7800
 6.521   95.7341
 6.513   95.8499
 6.505   95.7073
