Name:  Alunite (sodium alunite) NaAl3(SO4)2(OH)6
Type:  Mineral 
Class:  Sulfates
Subclass:   
Particle Size:  Fine (less than 2 Micrometers)
Sample No.:  alunite.4
Owner: JHU
Wavelength Range:  IR
Origin: Synthetic; Synthesized by Roger Stoffregen and supplied by 
Phil Bethke (USGS).  
Description: The sample was a white, microcrystalline powder 
composed of equant or lath-shaped crystallites from 1 to 15 
micrometers in largest dimension.



Measurement:  Transmission
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  alunit4a.txt
25.044   91.8435
24.924   91.2263
24.805   90.6130
24.686   89.4216
24.569   89.5349
24.454   89.1599
24.339   88.2810
24.225   85.9842
24.112   85.3787
24.001   84.8513
23.890   84.0232
23.781   81.9724
23.672   79.8982
23.564   77.4295
23.458   74.9725
23.352   72.0154
23.247   68.6365
23.144   65.0643
23.041   61.7205
22.939   58.8905
22.838   56.8084
22.738   55.5096
22.638   55.4940
22.540   57.1971
22.442   61.0409
22.345   65.9940
22.250   71.0545
22.154   75.6326
22.060   79.4627
21.967   82.5037
21.874   84.5037
21.782   86.0115
21.691   86.9138
21.601   87.4373
21.511   87.7342
21.422   88.4177
21.334   88.6287
21.247   88.8006
21.160   88.7068
21.074   89.0193
20.988   88.6795
20.904   88.9607
20.820   88.3865
20.737   87.4607
20.654   85.4021
20.572   83.0623
20.491   81.9353
20.410   83.9295
20.330   86.0584
20.251   87.3201
20.172   87.4148
20.094   87.4529
20.016   87.0867
19.939   86.8406
19.863   86.4383
19.787   85.4451
19.712   84.4998
19.637   83.2273
19.563   81.6639
19.489   78.6404
19.416   74.6326
19.344   69.6522
19.272   66.1610
19.201   64.8241
19.130   66.3065
19.059   68.2469
18.990   69.7889
18.920   69.9695
18.851   69.6180
18.783   68.9901
18.715   69.2518
18.648   70.8475
18.581   73.7195
18.515   76.5643
18.449   78.8279
18.384   80.3260
18.319   81.2703
18.254   81.9148
18.190   82.0164
18.126   81.9744
18.063   81.7693
18.001   81.6951
17.938   81.2303
17.876   80.7400
17.815   79.8562
17.754   79.2322
17.693   78.2195
17.633   77.5564
17.573   76.5916
17.514   75.6229
17.455   74.2830
17.396   72.9822
17.338   71.2938
17.280   69.5076
17.223   67.2821
17.166   64.6717
17.109   61.6297
17.053   58.1649
16.997   54.1249
16.942   49.3007
16.886   43.8768
16.832   37.8583
16.777   31.8573
16.723   26.4052
16.669   22.2441
16.616   19.6933
16.563   19.2011
16.510   20.6806
16.458   24.0361
16.406   28.9589
16.354   34.7480
16.302   40.0585
16.251   43.4081
16.200   43.7460
16.150   41.2548
16.100   36.7655
16.050   31.2821
16.000   26.1298
15.951   22.0898
15.902   19.5624
15.854   18.5117
15.805   18.6367
15.757   19.5517
15.710   20.9160
15.662   22.5712
15.615   24.6581
15.568   27.2392
15.521   30.2753
15.475   33.7675
15.429   37.7108
15.383   41.8993
15.338   45.6991
15.292   48.4608
15.248   49.4950
15.203   48.8065
15.158   46.7694
15.114   44.5722
15.070   42.5097
15.027   40.6161
14.983   38.8554
14.940   37.4384
14.897   36.1444
14.854   35.1845
14.812   34.6493
14.770   34.3778
14.728   34.3398
14.686   34.5126
14.645   34.9306
14.603   35.4862
14.562   36.2509
14.521   37.0605
14.481   37.7890
14.441   38.3261
14.400   38.7470
14.361   38.9828
14.321   39.2147
14.281   39.3734
14.242   39.5370
14.203   39.7089
14.164   40.0624
14.126   40.5707
14.087   41.1366
14.049   42.0141
14.011   43.2089
13.973   44.7191
13.936   46.4496
13.899   48.5160
13.861   50.7406
13.824   53.1190
13.788   55.5453
13.751   58.0389
13.715   60.4613
13.679   62.9339
13.643   65.2113
13.607   67.2874
13.571   69.1663
13.536   70.8983
13.500   72.4686
13.465   73.9139
13.430   75.2835
13.396   76.4471
13.361   77.5760
13.327   78.5393
13.293   79.6404
13.259   80.5198
13.225   81.4724
13.191   82.1892
13.158   82.9588
13.124   83.5056
13.091   84.1975
13.058   84.7595
13.026   85.3435
12.993   85.8201
12.960   86.2659
12.928   86.7576
12.896   87.1487
12.864   87.5842
12.832   87.7678
12.800   88.1912
12.769   88.3972
12.737   88.6775
12.706   88.8279
12.675   89.1409
12.644   89.2966
12.614   89.4422
12.583   89.4998
12.552   89.7893
12.522   89.9710
12.492   90.0945
12.462   90.2542
12.432   90.4500
12.402   90.4905
12.373   90.5159
12.343   90.6355
12.314   90.7185
12.285   90.9089
12.256   90.9548
12.227   91.1702
12.198   91.2190
12.169   91.3928
12.141   91.4705
12.113   91.6541
12.084   91.6604
12.056   91.8479
12.028   91.8689
12.000   91.9436
11.973   92.0076
11.945   92.0662
11.918   92.1331
11.890   92.1462
11.863   92.2893
11.836   92.2400
11.809   92.2927
11.782   92.2463
11.755   92.3030
11.729   92.2830
11.702   92.3865
11.676   92.3440
11.650   92.4045
11.624   92.4382
11.598   92.4783
11.572   92.4587
11.546   92.4695
11.520   92.5037
11.495   92.4929
11.469   92.4832
11.444   92.3670
11.419   92.3777
11.394   92.3279
11.369   92.3328
11.344   92.2483
11.319   92.3420
11.294   92.3093
11.270   92.3103
11.245   92.1970
11.221   92.1961
11.197   92.2136
11.173   92.1658
11.149   92.1179
11.125   92.1170
11.101   92.1233
11.077   92.0881
11.054   92.1336
11.030   92.1316
11.007   92.2087
10.983   92.1526
10.960   92.2175
10.937   92.1980
10.914   92.2459
10.891   92.2166
10.868   92.2517
10.846   92.1961
10.823   92.2170
10.800   92.1448
10.778   92.1462
10.755   92.1775
10.733   92.1589
10.711   92.1135
10.689   92.0525
10.667   92.0569
10.645   92.0105
10.623   92.0276
10.602   91.9295
10.580   91.9246
10.558   91.7908
10.537   91.8225
10.516   91.7532
10.494   91.8147
10.473   91.8142
10.452   91.7175
10.431   91.5999
10.410   91.5388
10.389   91.4690
10.368   91.3796
10.348   91.2942
10.327   91.0857
10.306   90.9910
10.286   90.7659
10.266   90.6736
10.245   90.4754
10.225   90.3142
10.205   90.0715
10.185   89.9202
10.165   89.6887
10.145   89.4900
10.125   89.2302
10.106   88.9988
10.086   88.7737
10.066   88.4837
10.047   88.2244
10.027   87.9553
10.008   87.7429
 9.989   87.4685
 9.970   87.1580
 9.950   86.6555
 9.931   86.1834
 9.912   85.6980
 9.893   85.3084
 9.875   84.7615
 9.856   84.0437
 9.837   83.0667
 9.818   81.9480
 9.800   80.4070
 9.781   77.7610
 9.763   72.3758
 9.745   62.9051
 9.726   52.4022
 9.708   50.2928
 9.690   59.6082
 9.672   70.5926
 9.654   76.4710
 9.636   78.1985
 9.618   78.1849
 9.600   77.5291
 9.583   76.7542
 9.565   75.7928
 9.547   74.7820
 9.530   73.6683
 9.512   72.5252
 9.495   71.2962
 9.477   69.9617
 9.460   68.5023
 9.443   66.8211
 9.426   64.9080
 9.409   62.7113
 9.392   60.2850
 9.375   57.5379
 9.358   54.6092
 9.341   51.5292
 9.324   48.2997
 9.307   44.7875
 9.291   40.9462
 9.274   36.6640
 9.257   32.0824
 9.241   27.4081
 9.224   22.8793
 9.208   18.5537
 9.192   14.5791
 9.175   11.2094
 9.159    8.6455
 9.143    6.9590
 9.127    6.0141
 9.111    5.6113
 9.095    5.6338
 9.079    6.0083
 9.063    6.6079
 9.047    7.3457
 9.032    8.2490
 9.016    9.3432
 9.000   10.4873
 8.985   11.7168
 8.969   13.0752
 8.954   14.4985
 8.938   16.0156
 8.923   17.6728
 8.907   19.5244
 8.892   21.4736
 8.877   23.5331
 8.862   25.6318
 8.847   27.7265
 8.832   29.8427
 8.817   31.9281
 8.802   33.8998
 8.787   35.7773
 8.772   37.5941
 8.757   39.3129
 8.742   40.9252
 8.728   42.4061
 8.713   43.8016
 8.698   45.0609
 8.684   46.2123
 8.669   47.2328
 8.655   48.1029
 8.640   48.8505
 8.626   49.4691
 8.612   49.9471
 8.597   50.1854
 8.583   50.0987
 8.569   49.7040
 8.555   49.5577
 8.541   50.2091
 8.527   51.2745
 8.513   52.0135
 8.499   52.3612
 8.485   52.3622
 8.471   52.1356
 8.457   51.6952
 8.443   51.1083
 8.430   50.4354
 8.416   49.7206
 8.402   48.9169
 8.389   48.0802
 8.375   47.2179
 8.362   46.2765
 8.348   45.3087
 8.335   44.2931
 8.321   43.2797
 8.308   42.2826
 8.295   41.2951
 8.281   40.3058
 8.268   39.4103
 8.255   38.5868
 8.242   37.8700
 8.229   37.2785
 8.216   36.8280
 8.203   36.5539
 8.190   36.4472
 8.177   36.5468
 8.164   36.8334
 8.151   37.3654
 8.138   38.1181
 8.126   39.1679
 8.113   40.5226
 8.100   42.2118
 8.088   44.1495
 8.075   46.2892
