Name: Barite, BaSO4
Type:  Mineral
Class:  Sulfates
Subclass:  
Particle Size: Fine (less than 2 Micrometers)
Sample No.:  barite.1
Owner: JHU
Wavelength Range:  IR
Origin: Norma Vergo Sample from Carterville, Georgia. 

Description: The pure white sample appeared to be pure barite with 
many grains showing what apear to be fluid inclusions.




Measurement: Transmission
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  barite1a.txt
25.044   96.3005
24.924   97.2029
24.805   97.3748
24.686   97.2224
24.569   96.8943
24.454   97.3943
24.339   97.4060
24.225   97.4450
24.112   97.5310
24.001   97.4950
23.890   97.2419
23.781   97.3982
23.672   97.4099
23.564   97.3611
23.458   97.0642
23.352   97.1736
23.247   97.3005
23.144   97.3826
23.041   97.1912
22.939   97.1404
22.838   97.1033
22.738   97.1267
22.638   97.2126
22.540   97.2107
22.442   96.8923
22.345   96.8279
22.250   97.0466
22.154   97.0310
22.060   96.8357
21.967   96.6326
21.874   96.6833
21.782   96.7537
21.691   96.5701
21.601   96.3767
21.511   96.2751
21.422   96.1404
21.334   95.8904
21.247   95.4685
21.160   95.2927
21.074   95.3826
20.988   95.5544
20.904   95.5955
20.820   95.5408
20.737   95.5173
20.654   95.4861
20.572   95.3572
20.491   95.2849
20.410   95.1804
20.330   95.1443
20.251   94.9724
20.172   95.0007
20.094   94.8084
20.016   94.5544
19.939   94.3796
19.863   94.3513
19.787   94.0955
19.712   94.0857
19.637   93.9255
19.563   93.8669
19.489   93.5701
19.416   93.4539
19.344   93.1375
19.272   92.9919
19.201   92.7888
19.130   92.6492
19.059   92.3328
18.990   92.1726
18.920   91.7263
18.851   91.5164
18.783   91.0906
18.715   90.9255
18.648   90.4744
18.581   90.2127
18.515   89.7205
18.449   89.5125
18.384   89.0007
18.319   88.7507
18.254   88.2556
18.190   87.9773
18.126   87.3328
18.063   86.9744
18.001   86.2527
17.938   85.7810
17.876   85.0847
17.815   84.6277
17.754   83.8035
17.693   83.2127
17.633   82.3494
17.573   81.6307
17.514   80.5955
17.455   79.6404
17.396   78.3953
17.338   77.3201
17.280   75.9021
17.223   74.4344
17.166   72.5740
17.109   70.6336
17.053   68.2586
16.997   65.6932
16.942   62.4969
16.886   58.8475
16.832   54.3553
16.777   49.1835
16.723   43.1229
16.669   36.5868
16.616   29.7060
16.563   23.2656
16.510   17.9179
16.458   14.2148
16.406   12.4238
16.354   12.6943
16.302   14.9443
16.251   19.1220
16.200   24.7617
16.150   30.7558
16.100   35.8290
16.050   39.2636
16.000   40.5712
15.951   39.5673
15.902   36.5175
15.854   32.4892
15.805   28.8603
15.757   26.8534
15.710   27.1210
15.662   29.6933
15.615   34.2314
15.568   40.0868
15.521   46.8124
15.475   53.7264
15.429   60.4325
15.383   66.3690
15.338   71.5652
15.292   75.9754
15.248   79.8289
15.203   82.9949
15.158   85.8133
15.114   88.1472
15.070   90.2854
15.027   91.9768
14.983   93.5354
14.940   94.7502
14.897   95.9919
14.854   96.8337
14.812   97.6233
14.770   98.0803
14.728   98.4997
14.686   98.7483
14.645   99.0037
14.603   99.0954
14.562   99.2165
14.521   99.1877
14.481   99.2654
14.441   99.1951
14.400   99.1794
14.361   99.0725
14.321   99.0530
14.281   98.9631
14.242   98.9099
14.203   98.8591
14.164   98.8318
14.126   98.8005
14.087   98.8279
14.049   98.8049
14.011   98.7869
13.973   98.7185
13.936   98.6428
13.899   98.5427
13.861   98.4470
13.824   98.3865
13.788   98.2615
13.751   98.1682
13.715   98.0354
13.679   97.8855
13.643   97.6858
13.607   97.5544
13.571   97.3386
13.536   97.1462
13.500   96.9744
13.465   96.8069
13.430   96.5803
13.396   96.4138
13.361   96.2449
13.327   96.0544
13.293   95.9011
13.259   95.7112
13.225   95.5193
13.191   95.3337
13.158   95.1248
13.124   94.9568
13.091   94.7712
13.058   94.5388
13.026   94.3616
12.993   94.1404
12.960   93.8767
12.928   93.6589
12.896   93.5295
12.864   93.3484
12.832   93.1599
12.800   92.9441
12.769   92.7659
12.737   92.5701
12.706   92.4041
12.675   92.2000
12.644   91.9768
12.614   91.7371
12.583   91.5916
12.552   91.4124
12.522   91.2332
12.492   91.0339
12.462   90.8338
12.432   90.6214
12.402   90.4314
12.373   90.2634
12.343   90.0838
12.314   89.8748
12.285   89.7073
12.256   89.5340
12.227   89.3455
12.198   89.1404
12.169   88.9885
12.141   88.8382
12.113   88.6248
12.084   88.4534
12.056   88.2498
12.028   88.1272
12.000   87.9358
11.973   87.7537
11.945   87.5530
11.918   87.3792
11.890   87.1433
11.863   86.9597
11.836   86.7014
11.809   86.5193
11.782   86.2659
11.755   86.0427
11.729   85.7986
11.702   85.6052
11.676   85.3069
11.650   85.0974
11.624   84.7991
11.598   84.5613
11.572   84.2693
11.546   84.0193
11.520   83.7068
11.495   83.4305
11.469   83.1424
11.444   82.8670
11.419   82.5511
11.394   82.2737
11.369   81.9646
11.344   81.6521
11.319   81.2879
11.294   80.9436
11.270   80.5921
11.245   80.2195
11.221   79.8767
11.197   79.5457
11.173   79.1956
11.149   78.8167
11.125   78.4891
11.101   78.1097
11.077   77.7718
11.054   77.4090
11.030   77.0477
11.007   76.6844
10.983   76.3626
10.960   75.9632
10.937   75.5647
10.914   75.1551
10.891   74.7859
10.868   74.3548
10.846   73.9773
10.823   73.5555
10.800   73.1483
10.778   72.7215
10.755   72.3172
10.733   71.8338
10.711   71.3753
10.689   70.9129
10.667   70.4510
10.645   69.9280
10.623   69.3992
10.602   68.8729
10.580   68.2947
10.558   67.6761
10.537   67.0692
10.516   66.4486
10.494   65.7557
10.473   65.0721
10.452   64.3592
10.431   63.5868
10.410   62.7235
10.389   61.7791
10.368   60.8309
10.348   59.9764
10.327   59.0238
10.306   57.8041
10.286   56.3626
10.266   54.6586
10.245   52.4520
10.225   49.3212
10.205   44.6376
10.185   39.2226
10.165   38.1923
10.145   45.6112
10.125   54.7723
10.106   58.3304
10.086   57.9325
10.066   56.6112
10.047   55.2176
10.027   53.8768
10.008   52.6390
 9.989   51.4501
 9.970   50.2650
 9.950   49.0873
 9.931   47.9530
 9.912   46.8319
 9.893   45.6957
 9.875   44.5468
 9.856   43.4271
 9.837   42.2699
 9.818   41.0980
 9.800   39.9027
 9.781   38.7147
 9.763   37.4765
 9.745   36.2148
 9.726   34.9081
 9.708   33.5937
 9.690   32.2372
 9.672   30.8564
 9.654   29.4325
 9.636   27.9726
 9.618   26.4965
 9.600   25.0175
 9.583   23.5317
 9.565   22.0771
 9.547   20.6201
 9.530   19.1459
 9.512   17.6679
 9.495   16.2236
 9.477   14.7607
 9.460   13.3471
 9.443   12.0468
 9.426   10.8564
 9.409    9.6841
 9.392    8.5327
 9.375    7.4712
 9.358    6.5264
 9.341    5.7246
 9.324    5.0732
 9.307    4.5688
 9.291    4.2021
 9.274    3.9770
 9.257    3.8501
 9.241    3.7783
 9.224    3.7778
 9.208    3.8310
 9.192    3.9643
 9.175    4.1919
 9.159    4.5127
 9.143    4.8725
 9.127    5.2705
 9.111    5.6059
 9.095    5.8955
 9.079    6.0893
 9.063    6.1831
 9.047    6.1763
 9.032    6.1177
 9.016    5.9966
 9.000    5.8906
 8.985    5.7930
 8.969    5.6958
 8.954    5.6416
 8.938    5.6592
 8.923    5.7383
 8.907    5.9223
 8.892    6.1899
 8.877    6.5752
 8.862    7.0781
 8.847    7.6548
 8.832    8.3227
 8.817    9.0571
 8.802    9.8164
 8.787   10.5903
 8.772   11.3501
 8.757   12.1176
 8.742   12.8335
 8.728   13.4765
 8.713   13.9934
 8.698   14.3769
 8.684   14.5986
 8.669   14.6594
 8.655   14.5390
 8.640   14.2297
 8.626   13.7922
 8.612   13.2944
 8.597   12.7939
 8.583   12.2856
 8.569   11.7500
 8.555   11.1985
 8.541   10.6838
 8.527   10.2387
 8.513    9.8781
 8.499    9.6438
 8.485    9.5071
 8.471    9.4858
 8.457    9.6145
 8.443    9.8889
 8.430   10.3349
 8.416   10.9487
 8.402   11.7392
 8.389   12.7199
 8.375   13.8654
 8.362   15.1838
 8.348   16.6406
 8.335   18.2229
 8.321   19.9306
 8.308   21.7275
 8.295   23.5695
 8.281   25.4941
 8.268   27.4477
 8.255   29.4277
 8.242   31.3813
 8.229   33.2687
 8.216   34.9884
 8.203   36.4279
 8.190   37.4921
 8.177   38.3136
 8.164   39.2831
 8.151   40.7433
 8.138   42.6102
 8.126   44.6552
 8.113   46.6124
 8.100   48.4376
 8.088   50.0624
 8.075   51.5262
 8.062   52.8495
 8.050   54.0638
 8.037   55.1991
 8.025   56.2914
 8.013   57.3409
 8.000   58.3690
 7.988   59.3665
 7.976   60.3070
 7.963   61.2093
 7.951   62.0658
 7.939   62.8780
 7.927   63.6436
 7.915   64.3829
 7.903   65.1055
 7.891   65.7899
 7.879   66.4652
 7.867   67.1414
 7.855   67.7989
 7.843   68.4710
 7.831   69.1190
 7.819   69.7979
 7.807   70.4266
 7.796   71.0665
 7.784   71.6829
 7.772   72.2930
 7.761   72.8738
 7.749   73.4329
 7.738   73.9942
 7.726   74.5401
 7.715   75.0564
 7.703   75.5755
 7.692   76.0721
 7.680   76.5586
 7.669   77.0437
 7.658   77.5206
 7.646   77.9798
 7.635   78.4295
 7.624   78.8741
 7.613   79.2930
 7.601   79.7229
 7.590   80.1248
 7.579   80.5433
 7.568   80.9375
 7.557   81.3099
 7.546   81.6785
 7.535   82.0462
 7.524   82.3943
 7.513   82.7517
 7.502   83.0840
 7.492   83.4388
 7.481   83.7517
 7.470   84.0811
 7.459   84.3809
 7.448   84.6934
 7.438   84.9942
 7.427   85.3008
 7.417   85.6043
 7.406   85.9170
 7.395   86.2510
 7.385   86.6006
 7.374   86.9324
 7.364   87.2844
 7.353   87.6465
 7.343   88.0000
 7.333   88.3408
 7.322   88.6736
 7.312   89.0264
 7.302   89.3672
 7.291   89.6897
 7.281   90.0125
 7.271   90.3479
 7.261   90.6631
 7.251   90.9844
 7.240   91.3064
 7.230   91.6563
 7.220   91.9912
 7.210   92.2822
 7.200   92.5432
 7.190   92.8494
 7.180   93.1270
 7.170   93.3965
 7.160   93.6384
 7.151   93.8626
 7.141   94.0603
 7.131   94.2295
 7.121   94.3914
 7.111   94.5706
 7.102   94.7361
 7.092   94.9111
 7.082   95.0820
 7.073   95.2344
 7.063   95.3711
 7.053   95.5149
 7.044   95.6433
 7.034   95.7249
 7.025   95.8262
 7.015   95.9231
 7.006   95.9824
 6.996   96.0583
 6.987   96.1260
 6.977   96.1345
 6.968   96.1023
 6.959   96.1091
 6.949   96.1309
 6.940   96.1418
 6.931   96.1877
 6.921   96.2307
 6.912   96.2527
 6.903   96.2559
 6.894   96.2852
 6.885   96.3203
 6.876   96.3555
 6.866   96.4016
 6.857   96.4465
 6.848   96.4807
 6.839   96.5732
 6.830   96.6399
 6.821   96.6980
 6.812   96.7483
 6.803   96.8240
 6.794   96.8965
 6.786   96.9658
 6.777   97.0124
 6.768   97.0935
 6.759   97.1455
 6.750   97.2087
 6.741   97.2529
 6.733   97.3171
 6.724   97.3616
 6.715   97.4209
 6.707   97.4729
 6.698   97.5178
 6.689   97.5779
 6.681   97.6428
 6.672   97.6904
 6.663   97.7605
 6.655   97.8039
 6.646   97.8498
 6.638   97.8811
 6.629   97.9011
 6.621   97.8975
 6.612   97.9211
 6.604   97.9434
 6.596   97.9363
 6.587   97.9268
 6.579   97.9336
 6.571   97.9470
 6.562   97.9206
 6.554   97.8997
 6.546   97.8835
 6.537   97.8437
 6.529   97.8137
 6.521   97.8147
 6.513   97.8015
 6.505   97.8018
 6.496   97.8415
 6.488   97.8828
 6.480   97.8777
 6.472   97.9060
 6.464   97.9238
 6.456   97.9548
