Name: Gypsum (alabaster) CaSO4.2H20
Type:  Mineral
Class:   Sulfates
Subclass: 
Particle Size:  Fine  (Less than 2 Micrometers)
Sample No.: gypsum.1
Owner:  JHU
Wavelength Range:  IR
Origin: Pomaia, Italy via Hunt and Salisbury Collection #26B 
(purchased from Ward's Natural Science Establishment). 
Description: The sample was white, translucent, and appeared pure, 
both in hand sample and under the microscope. XRD Analysis- Pure 
gypsum.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: none
25.044   87.8357
24.924   86.7576
24.805   86.2810
24.686   87.2342
24.569   87.8592
24.454   87.6443
24.339   86.6560
24.225   86.4568
24.112   86.5037
24.001   86.4099
23.890   86.5467
23.781   85.8670
23.672   85.7068
23.564   85.8396
23.458   85.9724
23.352   86.3240
23.247   86.7693
23.144   86.9939
23.041   86.9529
22.939   86.5252
22.838   86.1795
22.738   86.0955
22.638   86.4842
22.540   86.7537
22.442   86.7771
22.345   86.5310
22.250   86.8435
22.154   87.1736
22.060   87.3084
21.967   87.1326
21.874   86.8435
21.782   86.7185
21.691   86.7810
21.601   87.0037
21.511   87.3904
21.422   87.8435
21.334   87.9646
21.247   87.9920
21.160   87.9021
21.074   88.1287
20.988   88.3435
20.904   88.5154
20.820   88.7576
20.737   89.1013
20.654   89.3670
20.572   89.4509
20.491   89.5974
20.410   89.5720
20.330   89.5525
20.251   89.6502
20.172   89.7048
20.094   89.8748
20.016   90.1931
19.939   90.6775
19.863   90.8259
19.787   90.6209
19.712   90.6892
19.637   90.8435
19.563   90.8328
19.489   90.7927
19.416   90.6755
19.344   90.6804
19.272   90.6951
19.201   90.6736
19.130   90.7771
19.059   91.0046
18.990   91.0203
18.920   90.9929
18.851   91.1296
18.783   91.4607
18.715   91.7390
18.648   91.7732
18.581   91.8601
18.515   92.1414
18.449   92.3054
18.384   92.4265
18.319   92.4959
18.254   92.5056
18.190   92.7156
18.126   92.8650
18.063   92.8445
18.001   92.8084
17.938   93.0320
17.876   93.1990
17.815   93.4109
17.754   93.5476
17.693   93.4451
17.633   93.2234
17.573   93.0701
17.514   93.0173
17.455   92.8513
17.396   92.6072
17.338   92.2185
17.280   91.6795
17.223   91.0007
17.166   90.3884
17.109   89.3279
17.053   86.7625
16.997   80.9978
16.942   71.7752
16.886   63.1737
16.832   58.2264
16.777   55.1883
16.723   52.5917
16.669   52.8329
16.616   57.4647
16.563   64.3514
16.510   70.3289
16.458   74.2010
16.406   76.4998
16.354   77.9461
16.302   79.5369
16.251   81.4031
16.200   83.2010
16.150   84.6970
16.100   85.7888
16.050   86.0896
16.000   85.5427
15.951   84.3885
15.902   83.3221
15.854   82.9314
15.805   84.1599
15.757   86.9734
15.710   89.5623
15.662   90.8767
15.615   91.2742
15.568   91.4461
15.521   91.3240
15.475   90.9265
15.429   90.3201
15.383   89.2420
15.338   87.6082
15.292   84.5857
15.248   78.7557
15.203   69.5779
15.158   60.4266
15.114   55.8924
15.070   55.3690
15.027   54.5838
14.983   54.0975
14.940   57.1336
14.897   63.5125
14.854   71.2576
14.812   78.0945
14.770   83.2058
14.728   86.7683
14.686   88.9920
14.645   90.4148
14.603   91.2937
14.562   91.8796
14.521   92.3347
14.481   92.5388
14.441   92.7117
14.400   92.8562
14.361   92.9793
14.321   93.0496
14.281   93.1609
14.242   93.2830
14.203   93.3074
14.164   93.2927
14.126   93.2654
14.087   93.2449
14.049   93.2859
14.011   93.4138
13.973   93.4382
13.936   93.6248
13.899   93.9011
13.861   94.0418
13.824   94.1365
13.788   94.1736
13.751   94.1155
13.715   94.1506
13.679   94.2913
13.643   94.3108
13.607   94.3611
13.571   94.3240
13.536   94.4182
13.500   94.4436
13.465   94.5388
13.430   94.6013
13.396   94.4529
13.361   94.4255
13.327   94.4436
13.293   94.4978
13.259   94.5564
13.225   94.5979
13.191   94.5588
13.158   94.5330
13.124   94.4417
13.091   94.4880
13.058   94.5388
13.026   94.5662
12.993   94.6389
12.960   94.5291
12.928   94.2791
12.896   94.3030
12.864   94.4880
12.832   94.4060
12.800   94.2654
12.769   94.2927
12.737   94.4944
12.706   94.5076
12.675   94.5413
12.644   94.5823
12.614   94.6194
12.583   94.5388
12.552   94.4060
12.522   94.3591
12.492   94.3367
12.462   94.3621
12.432   94.5115
12.402   94.7209
12.373   94.7361
12.343   94.6921
12.314   94.7639
12.285   94.8635
12.256   94.7151
12.227   94.7468
12.198   94.9304
12.169   95.0217
12.141   94.9749
12.113   94.9827
12.084   94.9202
12.056   94.7834
12.028   94.8889
12.000   94.8728
11.973   94.9334
11.945   94.9373
11.918   95.0022
11.890   94.9377
11.863   94.8889
11.836   94.8987
11.809   94.8772
11.782   94.9495
11.755   94.9119
11.729   94.9612
11.702   94.9851
11.676   95.0359
11.650   95.0125
11.624   94.9539
11.598   94.9885
11.572   94.9763
11.546   94.9456
11.520   94.9119
11.495   94.8435
11.469   94.7795
11.444   94.7927
11.419   94.8435
11.394   94.8035
11.369   94.8088
11.344   94.9788
11.319   95.0432
11.294   94.9802
11.270   94.9509
11.245   95.1545
11.221   95.3474
11.197   95.2800
11.173   95.1892
11.149   95.2815
11.125   95.4373
11.101   95.5159
11.077   95.6072
11.054   95.7131
11.030   95.8855
11.007   95.9670
10.983   96.0710
10.960   96.0725
10.937   96.1189
10.914   96.2170
10.891   96.2458
10.868   96.3582
10.846   96.5085
10.823   96.5769
10.800   96.6741
10.778   96.8123
10.755   96.7771
10.733   96.6370
10.711   96.4905
10.689   96.3967
10.667   96.7756
10.645   97.0373
10.623   97.0408
10.602   97.1604
10.580   97.2029
10.558   97.2761
10.537   97.3440
10.516   97.3738
10.494   97.4123
10.473   97.4475
10.452   97.3689
10.431   97.3005
10.410   97.2371
10.389   97.1077
10.368   96.8660
10.348   96.6609
10.327   96.4031
10.306   96.1550
10.286   95.8953
10.266   95.5647
10.245   95.1433
10.225   94.7234
10.205   94.2659
10.185   93.7722
10.165   93.2878
10.145   92.8357
10.125   92.3611
10.106   91.8836
10.086   91.4514
10.066   91.0183
10.047   90.5711
10.027   90.1214
10.008   89.5779
 9.989   88.8967
 9.970   87.7791
 9.950   85.7683
 9.931   83.2220
 9.912   82.2288
 9.893   83.1502
 9.875   84.3025
 9.856   85.1238
 9.837   86.3709
 9.818   87.5725
 9.800   88.0335
 9.781   88.1091
 9.763   88.1194
 9.745   88.0100
 9.726   87.7888
 9.708   87.5515
 9.690   87.2761
 9.672   87.0105
 9.654   86.7991
 9.636   86.6155
 9.618   86.3328
 9.600   86.0296
 9.583   85.7049
 9.565   85.3455
 9.547   84.9495
 9.530   84.5901
 9.512   84.1765
 9.495   83.6272
 9.477   83.1116
 9.460   82.4949
 9.443   81.6785
 9.426   80.8914
 9.409   80.0721
 9.392   79.0633
 9.375   77.8792
 9.358   76.6253
 9.341   75.1111
 9.324   73.2576
 9.307   71.0164
 9.291   68.3323
 9.274   65.3162
 9.257   62.1688
 9.241   58.9559
 9.224   54.9725
 9.208   49.7850
 9.192   43.4530
 9.175   36.9081
 9.159   31.6161
 9.143   28.4911
 9.127   27.5449
 9.111   28.3344
 9.095   30.1469
 9.079   32.2621
 9.063   34.1034
 9.047   34.8524
 9.032   33.2831
 9.016   29.2353
 9.000   24.2411
 8.985   20.0683
 8.969   17.3486
 8.954   15.9912
 8.938   15.6826
 8.923   15.8105
 8.907   15.7978
 8.892   15.5244
 8.877   15.0966
 8.862   14.6630
 8.847   14.4580
 8.832   14.6508
 8.817   15.2544
 8.802   15.9951
 8.787   16.4184
 8.772   16.0551
 8.757   14.8105
 8.742   12.9331
 8.728   10.8374
 8.713    8.9009
 8.698    7.0845
 8.684    5.4692
 8.669    4.5068
 8.655    4.3799
 8.640    4.9097
 8.626    5.8286
 8.612    6.9829
 8.597    8.1435
 8.583    9.1509
 8.569    9.9751
 8.555   10.7788
 8.541   11.8413
 8.527   13.2915
 8.513   15.0673
 8.499   17.0918
 8.485   19.2353
 8.471   21.3715
 8.457   23.5551
 8.443   26.0805
 8.430   29.0639
 8.416   32.4306
 8.402   36.0399
 8.389   39.6984
 8.375   43.3351
 8.362   46.9130
 8.348   50.2352
 8.335   53.1307
 8.321   55.5819
 8.308   57.6319
 8.295   59.3885
 8.281   61.0977
 8.268   63.0391
 8.255   65.1231
 8.242   67.0509
 8.229   68.6339
 8.216   70.0215
 8.203   71.4793
 8.190   73.1033
 8.177   74.7344
 8.164   76.2879
 8.151   77.7488
 8.138   79.0828
 8.126   80.2420
 8.113   81.2527
 8.100   82.2151
 8.088   83.1238
 8.075   83.9463
 8.062   84.6341
 8.050   85.2657
 8.037   85.7805
 8.025   86.2537
 8.013   86.7569
 8.000   87.2334
 7.988   87.6113
 7.976   87.9229
 7.963   88.2918
 7.951   88.6946
 7.939   89.0554
 7.927   89.2888
 7.915   89.4727
 7.903   89.6992
 7.891   89.9861
 7.879   90.2019
 7.867   90.3972
 7.855   90.5838
 7.843   90.7000
 7.831   90.8406
 7.819   91.0173
 7.807   91.2451
 7.796   91.3565
 7.784   91.4402
 7.772   91.5781
 7.761   91.7432
 7.749   91.8711
 7.738   91.9861
 7.726   92.0740
 7.715   92.1592
 7.703   92.2962
 7.692   92.4656
 7.680   92.5613
 7.669   92.6611
 7.658   92.7793
 7.646   92.8865
 7.635   92.9658
 7.624   93.0254
 7.613   93.0986
 7.601   93.1970
 7.590   93.3235
 7.579   93.4402
 7.568   93.4749
 7.557   93.5303
 7.546   93.6758
 7.535   93.8027
 7.524   93.8574
 7.513   93.8933
 7.502   93.9365
 7.492   93.9883
 7.481   94.0896
 7.470   94.1731
 7.459   94.2048
 7.448   94.2412
 7.438   94.3135
 7.427   94.3718
 7.417   94.4275
 7.406   94.5049
 7.395   94.5515
 7.385   94.5713
 7.374   94.5986
 7.364   94.6602
 7.353   94.6834
 7.343   94.7112
 7.333   94.7546
 7.322   94.7380
 7.312   94.7376
 7.302   94.8320
 7.291   94.8787
 7.281   94.8591
 7.271   94.8630
 7.261   94.9229
 7.251   94.9648
 7.240   94.9861
 7.230   95.0012
 7.220   95.0156
 7.210   95.0420
 7.200   95.1006
 7.190   95.1394
 7.180   95.1638
 7.170   95.1836
 7.160   95.2061
 7.151   95.2136
 7.141   95.2334
 7.131   95.2109
 7.121   95.2549
 7.111   95.3181
 7.102   95.3799
 7.092   95.4053
 7.082   95.4395
 7.073   95.4590
 7.063   95.4587
 7.053   95.5020
 7.044   95.5242
 7.034   95.5215
 7.025   95.5264
 7.015   95.5281
 7.006   95.5264
 6.996   95.5598
 6.987   95.6101
 6.977   95.6238
 6.968   95.6523
 6.959   95.6760
 6.949   95.6650
 6.940   95.6980
 6.931   95.7168
 6.921   95.7373
 6.912   95.7646
 6.903   95.7722
 6.894   95.7727
 6.885   95.8076
 6.876   95.8223
 6.866   95.8760
 6.857   95.9062
 6.848   95.9053
 6.839   95.9065
 6.830   95.9749
 6.821   96.0251
 6.812   96.0242
 6.803   96.0627
 6.794   96.1472
 6.786   96.1875
 6.777   96.1990
 6.768   96.2351
 6.759   96.2761
 6.750   96.3125
 6.741   96.3328
 6.733   96.3850
 6.724   96.4219
 6.715   96.4255
 6.707   96.4268
 6.698   96.4648
 6.689   96.4958
 6.681   96.5176
 6.672   96.5056
 6.663   96.5078
 6.655   96.5037
 6.646   96.5283
 6.638   96.5723
 6.629   96.5205
 6.621   96.4932
 6.612   96.5256
 6.604   96.5076
 6.596   96.4912
 6.587   96.4949
 6.579   96.5056
 6.571   96.5515
 6.562   96.5400
 6.554   96.4949
 6.546   96.4539
 6.537   96.4209
 6.529   96.3867
 6.521   96.3997
 6.513   96.4160
 6.505   96.4021
 6.496   96.4402
