Name: Gypsum (selenite) CaSO4.2H2O
Type:  Mineral
Class:   Sulfates
Subclass: 
Particle Size:  Solid
Sample No.:  gypsum.2
Owner:  JHU
Wavelength Range:  IR
Origin: Washington Co., Vermont, from Hunt and Salisbury Collection 
#333B.
Description: The sample appears to be pure semi-transparent 
gypsum.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  gypsum2a.txt
25.044   15.4843
24.924   15.5625
24.805   15.6132
24.686   15.6191
24.569   15.5644
24.454   15.5996
24.339   15.6425
24.225   15.6425
24.112   15.6523
24.001   15.6777
23.890   15.6777
23.781   15.7578
23.672   15.8564
23.564   15.9541
23.458   16.0937
23.352   16.2207
23.247   16.3945
23.144   16.5752
23.041   16.7519
22.939   16.9199
22.838   17.1181
22.738   17.3437
22.638   17.5507
22.540   17.8007
22.442   18.0322
22.345   18.1972
22.250   18.2626
22.154   18.5166
22.060   19.0117
21.967   19.3535
21.874   19.6220
21.782   19.8769
21.691   20.1181
21.601   20.3300
21.511   20.5302
21.422   20.6943
21.334   20.8554
21.247   20.9843
21.160   21.1015
21.074   21.1757
20.988   21.2197
20.904   21.2314
20.820   21.2226
20.737   21.2133
20.654   21.2036
20.572   21.2050
20.491   21.1762
20.410   21.1289
20.330   21.0585
20.251   20.9472
20.172   20.8281
20.094   20.6840
20.016   20.5273
19.939   20.3476
19.863   20.1308
19.787   19.9101
19.712   19.6684
19.637   19.4062
19.563   19.1372
19.489   18.8681
19.416   18.5976
19.344   18.2993
19.272   17.9985
19.201   17.6918
19.130   17.3740
19.059   17.0493
18.990   16.7216
18.920   16.4101
18.851   16.0835
18.783   15.7475
18.715   15.4145
18.648   15.0942
18.581   14.7822
18.515   14.4868
18.449   14.1967
18.384   13.9160
18.319   13.6611
18.254   13.4360
18.190   13.2465
18.126   13.0923
18.063   12.9736
18.001   12.9028
17.938   12.8794
17.876   12.8911
17.815   12.9394
17.754   12.9907
17.693   13.0527
17.633   13.1264
17.573   13.2256
17.514   13.3496
17.455   13.4970
17.396   13.6728
17.338   13.8657
17.280   14.1079
17.223   14.4008
17.166   14.7382
17.109   15.1399
17.053   15.6037
16.997   16.1447
16.942   16.7697
16.886   17.4917
16.832   18.3046
16.777   19.2060
16.723   20.1594
16.669   21.0959
16.616   21.8957
16.563   22.3974
16.510   22.4550
16.458   21.9658
16.406   20.8605
16.354   19.2148
16.302   17.1757
16.251   15.0031
16.200   12.9953
16.150   11.3283
16.100   10.0576
16.050    9.1750
16.000    8.6377
15.951    8.3616
15.902    8.2629
15.854    8.2834
15.805    8.3706
15.757    8.5071
15.710    8.6738
15.662    8.8615
15.615    9.0666
15.568    9.3039
15.521    9.5605
15.475    9.8633
15.429   10.2209
15.383   10.6499
15.338   11.1684
15.292   11.8156
15.248   12.6242
15.203   13.6699
15.158   15.0373
15.114   16.8615
15.070   19.3029
15.027   22.3242
14.983   25.4455
14.940   27.9321
14.897   29.4377
14.854   30.1808
14.812   30.3332
14.770   30.0119
14.728   29.2629
14.686   28.1105
14.645   26.5610
14.603   24.6401
14.562   22.3979
14.521   19.9936
14.481   17.6018
14.441   15.4057
14.400   13.5051
14.361   11.9555
14.321   10.7500
14.281    9.8615
14.242    9.2329
14.203    8.7978
14.164    8.5102
14.126    8.3191
14.087    8.1953
14.049    8.1125
14.011    8.0654
13.973    8.0434
13.936    8.0432
13.899    8.0539
13.861    8.0764
13.824    8.1028
13.788    8.1369
13.751    8.1760
13.715    8.2131
13.679    8.2561
13.643    8.2934
13.607    8.3332
13.571    8.3816
13.536    8.4292
13.500    8.4719
13.465    8.5158
13.430    8.5581
13.396    8.6030
13.361    8.6479
13.327    8.6845
13.293    8.7199
13.259    8.7636
13.225    8.7998
13.191    8.8379
13.158    8.8760
13.124    8.9104
13.091    8.9416
13.058    8.9736
13.026    9.0063
12.993    9.0503
12.960    9.1045
12.928    9.1567
12.896    9.2070
12.864    9.2512
12.832    9.2978
12.800    9.3445
12.769    9.3904
12.737    9.4306
12.706    9.4739
12.675    9.5132
12.644    9.5493
12.614    9.5832
12.583    9.6106
12.552    9.6374
12.522    9.6587
12.492    9.6848
12.462    9.7114
12.432    9.7422
12.402    9.7776
12.373    9.8110
12.343    9.8503
12.314    9.8913
12.285    9.9333
12.256    9.9697
12.227   10.0075
12.198   10.0410
12.169   10.0742
12.141   10.1072
12.113   10.1428
12.084   10.1799
12.056   10.2168
12.028   10.2502
12.000   10.2822
11.973   10.3139
11.945   10.3484
11.918   10.3784
11.890   10.4087
11.863   10.4389
11.836   10.4714
11.809   10.5005
11.782   10.5322
11.755   10.5622
11.729   10.5913
11.702   10.6238
11.676   10.6611
11.650   10.6928
11.624   10.7251
11.598   10.7590
11.572   10.7942
11.546   10.8252
11.520   10.8586
11.495   10.8960
11.469   10.9360
11.444   10.9721
11.419   11.0088
11.394   11.0420
11.369   11.0776
11.344   11.1172
11.319   11.1552
11.294   11.1914
11.270   11.2285
11.245   11.2666
11.221   11.3047
11.197   11.3432
11.173   11.3852
11.149   11.4301
11.125   11.4751
11.101   11.5195
11.077   11.5595
11.054   11.5998
11.030   11.6396
11.007   11.6821
10.983   11.7236
10.960   11.7646
10.937   11.8095
10.914   11.8523
10.891   11.8925
10.868   11.9345
10.846   11.9731
10.823   12.0129
10.800   12.0547
10.778   12.0937
10.755   12.1347
10.733   12.1755
10.711   12.2177
10.689   12.2583
10.667   12.3032
10.645   12.3442
10.623   12.3867
10.602   12.4301
10.580   12.4712
10.558   12.5132
10.537   12.5512
10.516   12.5913
10.494   12.6338
10.473   12.6757
10.452   12.7192
10.431   12.7617
10.410   12.8022
10.389   12.8437
10.368   12.8882
10.348   12.9306
10.327   12.9736
10.306   13.0210
10.286   13.0654
10.266   13.1106
10.245   13.1538
10.225   13.1865
10.205   13.2226
10.185   13.2754
10.165   13.3344
10.145   13.3911
10.125   13.4414
10.106   13.4931
10.086   13.5542
10.066   13.6196
10.047   13.6889
10.027   13.7573
10.008   13.8310
 9.989   13.9062
 9.970   13.9821
 9.950   14.0556
 9.931   14.1294
 9.912   14.2085
 9.893   14.2837
 9.875   14.3501
 9.856   14.4165
 9.837   14.4829
 9.818   14.5517
 9.800   14.6245
 9.781   14.7055
 9.763   14.7934
 9.745   14.8872
 9.726   14.9865
 9.708   15.0918
 9.690   15.2085
 9.672   15.3379
 9.654   15.4697
 9.636   15.6084
 9.618   15.7534
 9.600   15.9021
 9.583   16.0500
 9.565   16.2033
 9.547   16.3642
 9.530   16.5319
 9.512   16.7058
 9.495   16.8847
 9.477   17.0700
 9.460   17.2631
 9.443   17.4648
 9.426   17.6831
 9.409   17.9194
 9.392   18.1743
 9.375   18.4531
 9.358   18.7509
 9.341   19.0683
 9.324   19.3991
 9.307   19.7534
 9.291   20.1337
 9.274   20.5507
 9.257   21.0048
 9.241   21.5036
 9.224   22.0556
 9.208   22.6735
 9.192   23.3632
 9.175   24.1049
 9.159   24.9052
 9.143   25.7931
 9.127   26.7812
 9.111   27.8637
 9.095   29.0678
 9.079   30.4487
 9.063   32.0661
 9.047   33.9699
 9.032   36.1415
 9.016   38.4369
 9.000   40.6469
 8.985   42.6449
 8.969   44.4071
 8.954   45.9808
 8.938   47.4291
 8.923   48.8075
 8.907   50.1625
 8.892   51.5345
 8.877   52.9537
 8.862   54.4388
 8.847   56.0228
 8.832   57.7286
 8.817   59.5785
 8.802   61.5540
 8.787   63.5404
 8.772   65.4461
 8.757   67.1839
 8.742   68.6727
 8.728   69.8997
 8.713   70.8509
 8.698   71.5408
 8.684   72.0130
 8.669   72.3338
 8.655   72.5428
 8.640   72.6356
 8.626   72.6150
 8.612   72.4815
 8.597   72.2386
 8.583   71.8397
 8.569   71.1981
 8.555   70.1949
 8.541   68.7386
 8.527   66.8387
 8.513   64.6558
 8.499   62.4102
 8.485   60.2667
 8.471   58.2889
 8.457   56.5187
 8.443   54.9925
 8.430   53.8121
 8.416   53.0282
 8.402   52.5394
 8.389   52.1100
 8.375   51.5807
 8.362   50.8675
 8.348   49.9325
 8.335   48.7362
 8.321   47.2523
 8.308   45.4811
 8.295   43.4511
 8.281   41.2020
 8.268   38.7924
 8.255   36.2860
 8.242   33.7318
 8.229   31.1762
 8.216   28.6503
 8.203   26.1655
 8.190   23.7348
 8.177   21.3701
 8.164   19.0893
 8.151   16.9172
 8.138   14.8842
 8.126   13.0151
 8.113   11.3352
 8.100    9.8618
 8.088    8.6011
 8.075    7.5400
 8.062    6.6448
 8.050    5.8730
 8.037    5.1924
 8.025    4.5842
 8.013    4.0456
 8.000    3.5886
 7.988    3.2212
 7.976    2.9502
 7.963    2.7720
 7.951    2.6689
 7.939    2.6221
 7.927    2.6211
 7.915    2.6477
 7.903    2.6924
 7.891    2.7497
 7.879    2.8179
 7.867    2.8901
 7.855    2.9670
 7.843    3.0469
 7.831    3.1289
 7.819    3.2109
 7.807    3.2922
 7.796    3.3725
 7.784    3.4529
 7.772    3.5308
 7.761    3.6079
 7.749    3.6833
 7.738    3.7571
 7.726    3.8286
 7.715    3.9018
 7.703    3.9717
 7.692    4.0410
 7.680    4.1121
 7.669    4.1843
 7.658    4.2539
 7.646    4.3193
 7.635    4.3877
 7.624    4.4558
 7.613    4.5227
 7.601    4.5893
 7.590    4.6533
 7.579    4.7178
 7.568    4.7795
 7.557    4.8398
 7.546    4.8989
 7.535    4.9580
 7.524    5.0161
 7.513    5.0718
 7.502    5.1255
 7.492    5.1760
 7.481    5.2263
 7.470    5.2766
 7.459    5.3279
 7.448    5.3808
 7.438    5.4285
 7.427    5.4729
 7.417    5.5176
 7.406    5.5659
 7.395    5.6138
 7.385    5.6606
 7.374    5.7065
 7.364    5.7502
 7.353    5.7898
 7.343    5.8274
 7.333    5.8686
 7.322    5.9131
 7.312    5.9531
 7.302    5.9936
 7.291    6.0332
 7.281    6.0705
 7.271    6.1079
 7.261    6.1452
 7.251    6.1780
 7.240    6.2119
 7.230    6.2436
 7.220    6.2724
 7.210    6.2949
 7.200    6.3296
 7.190    6.3694
 7.180    6.3955
 7.170    6.4165
 7.160    6.4536
 7.151    6.4856
 7.141    6.5227
 7.131    6.5591
 7.121    6.5859
 7.111    6.6172
 7.102    6.6523
 7.092    6.6811
 7.082    6.7104
 7.073    6.7390
 7.063    6.7639
 7.053    6.7710
 7.044    6.7883
 7.034    6.8406
 7.025    6.8786
 7.015    6.9114
 7.006    6.9431
 6.996    6.9663
 6.987    6.9953
 6.977    7.0234
 6.968    7.0300
 6.959    7.0415
 6.949    7.0974
 6.940    7.1335
 6.931    7.1528
 6.921    7.1728
 6.912    7.1943
 6.903    7.2221
 6.894    7.2583
 6.885    7.2837
 6.876    7.2873
 6.866    7.2607
 6.857    7.2986
 6.848    7.3713
 6.839    7.4092
 6.830    7.4175
 6.821    7.4438
 6.812    7.4819
 6.803    7.4941
 6.794    7.4839
 6.786    7.5034
 6.777    7.5495
 6.768    7.5867
 6.759    7.6181
 6.750    7.6404
 6.741    7.6640
 6.733    7.6802
 6.724    7.6899
 6.715    7.6997
 6.707    7.7261
 6.698    7.7622
 6.689    7.7644
 6.681    7.7673
 6.672    7.8066
 6.663    7.8459
 6.655    7.8716
 6.646    7.8420
 6.638    7.8113
 6.629    7.8740
 6.621    7.9438
 6.612    7.9756
 6.604    8.0029
 6.596    8.0132
 6.587    8.0298
 6.579    8.0261
 6.571    8.0386
 6.562    8.0998
 6.554    8.1338
 6.546    8.1728
 6.537    8.2102
 6.529    8.2302
 6.521    8.2395
 6.513    8.2834
 6.505    8.2844
 6.496    8.2453
 6.488    8.2820
 6.480    8.3591
 6.472    8.4170
 6.464    8.4731
