Name: Cryolite Na_3AlF_6
Type: Mineral
Class: Halides
Subclass: 
Particle Size: 125-500um
Sample No.: H-1A
Owner: JPL
Wavelength range: IR
Origin: Denmark, Greenland, Ivigtut
Collected by Ward's
Description: 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: h01aa.txt
15.385   40.1220
15.340   40.0391
15.294   39.8589
15.249   39.5392
15.205   39.0649
15.160   38.8335
15.116   38.5115
15.072   37.6882
15.028   36.6385
14.985   35.6449
14.942   34.2132
14.899   32.6583
14.856   31.0641
14.814   29.5109
14.772   27.9487
14.730   26.0463
14.688   24.0786
14.646   22.2493
14.605   20.4710
14.564   18.9921
14.523   17.7139
14.483   16.2658
14.442   14.8132
14.402   13.4618
14.362   12.2258
14.323   11.1662
14.283   10.0535
14.244    9.2262
14.205    8.4533
14.166    7.5550
14.128    6.7341
14.089    5.9402
14.051    5.3398
14.013    4.8732
13.975    4.3618
13.938    3.8074
13.900    3.4849
13.863    3.1311
13.826    2.7682
13.790    2.4451
13.753    2.1349
13.717    1.8510
13.680    1.5530
13.644    1.2846
13.608    1.3464
13.573    1.2346
13.537    1.0202
13.502    1.0500
13.467    0.8374
13.432    0.7231
13.398    0.7567
13.363    0.6765
13.329    0.5946
13.294    0.5599
13.260    0.3444
13.227    0.1976
13.193    0.1327
13.160    0.2635
13.126    0.4344
13.093    0.4482
13.060    0.2320
13.027    0.1580
12.995    0.1351
12.962    0.1671
12.930    0.0619
12.898    0.0304
12.866    0.0956
12.834    0.2072
12.802    0.2070
12.771    0.1890
12.739    0.1752
12.708    0.1300
12.677    0.1844
12.646    0.0454
12.615    0.0780
12.585    0.0643
12.554    0.0000
12.524    0.0000
12.494    0.0000
12.464    0.0697
12.434    0.0814
12.404    0.1320
12.374    0.0934
12.345    0.0000
12.316    0.0206
12.286    0.0553
12.257    0.0000
12.228    0.0000
12.200    0.0000
12.171    0.0170
12.143    0.1409
12.114    0.1093
12.086    0.0000
12.058    0.0408
12.030    0.0541
12.002    0.1904
11.974    0.2153
11.947    0.1306
11.919    0.0701
11.892    0.0531
11.865    0.0536
11.838    0.0887
11.811    0.1857
11.784    0.4004
11.757    0.3796
11.730    0.2304
11.704    0.1245
11.678    0.1101
11.651    0.0478
11.625    0.0619
11.599    0.1066
11.573    0.1477
11.547    0.1997
11.522    0.2273
11.496    0.2249
11.471    0.2330
11.445    0.1941
11.420    0.1711
11.395    0.3009
11.370    0.4645
11.345    0.3610
11.321    0.3631
11.296    0.3727
11.271    0.3530
11.247    0.2767
11.223    0.2231
11.198    0.2379
11.174    0.3125
11.150    0.4785
11.126    0.4896
11.102    0.3570
11.079    0.3414
11.055    0.2062
11.032    0.0844
11.008    0.1725
10.985    0.3648
10.962    0.3630
10.938    0.3805
10.915    0.4580
10.893    0.3502
10.870    0.1968
10.847    0.2192
10.824    0.2623
10.802    0.2897
10.779    0.2986
10.757    0.3459
10.735    0.4029
10.713    0.3224
10.690    0.1828
10.668    0.3282
10.647    0.4624
10.625    0.4360
10.603    0.3954
10.581    0.4715
10.560    0.3728
10.538    0.3051
10.517    0.2866
10.496    0.2274
10.474    0.3060
10.453    0.2510
10.432    0.1548
10.411    0.2595
10.390    0.2717
10.370    0.2789
10.349    0.2828
10.328    0.2862
10.308    0.2469
10.287    0.2447
10.267    0.3420
10.247    0.3111
10.227    0.1890
10.206    0.2434
10.186    0.3015
10.166    0.3148
10.146    0.3151
10.127    0.3376
10.107    0.3410
10.087    0.2684
10.068    0.1817
10.048    0.2901
10.029    0.4147
10.009    0.3907
 9.990    0.2206
 9.971    0.2677
 9.952    0.2875
 9.933    0.2274
 9.914    0.2290
 9.895    0.2996
 9.876    0.2975
 9.857    0.3159
 9.838    0.4693
 9.820    0.5660
 9.801    0.5700
 9.783    0.6132
 9.764    0.6374
 9.746    0.6326
 9.728    0.4927
 9.709    0.4353
 9.691    0.4577
 9.673    0.4391
 9.655    0.5376
 9.637    0.5748
 9.619    0.6284
 9.602    0.6200
 9.584    0.5072
 9.566    0.6112
 9.549    0.8225
 9.531    0.9803
 9.513    0.9330
 9.496    0.8054
 9.479    0.6508
 9.461    0.6998
 9.444    0.7377
 9.427    0.7960
 9.410    0.9502
 9.393    1.0098
