Name: Cryolite Na_3AlF_6
Type: Mineral
Class: Halides
Subclass: 
Particle Size: 45-125um
Sample No.: H-1A
Owner: JPL
Wavelength range: IR
Origin: Denmark, Greenland, Ivigtut
Collected by Ward's
Description: 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: h01aa.txt
15.385   34.9217
15.340   35.0752
15.294   35.0866
15.249   35.1735
15.205   35.2087
15.160   35.0997
15.116   34.7169
15.072   34.1262
15.028   33.5009
14.985   32.7630
14.942   31.6279
14.899   30.2748
14.856   28.7257
14.814   27.1993
14.772   25.9206
14.730   24.4778
14.688   22.6761
14.646   21.3161
14.605   19.9889
14.564   18.5181
14.523   17.1937
14.483   15.9497
14.442   14.8334
14.402   13.7489
14.362   12.6367
14.323   11.6135
14.283   10.6911
14.244    9.8351
14.205    9.1439
14.166    8.4712
14.128    7.6019
14.089    6.8174
14.051    6.2184
14.013    5.7845
13.975    5.4147
13.938    4.9680
13.900    4.5537
13.863    4.1607
13.826    3.7349
13.790    3.4425
13.753    3.2756
13.717    2.9703
13.680    2.6029
13.644    2.2976
13.608    1.9984
13.573    1.9136
13.537    1.7716
13.502    1.5913
13.467    1.3694
13.432    1.3416
13.398    1.2826
13.363    1.1063
13.329    1.0096
13.294    0.8486
13.260    0.7914
13.227    0.7475
13.193    0.5411
13.160    0.4770
13.126    0.5330
13.093    0.5310
13.060    0.5173
13.027    0.5223
12.995    0.3777
12.962    0.4514
12.930    0.3428
12.898    0.1880
12.866    0.2146
12.834    0.2744
12.802    0.2533
12.771    0.0554
12.739    0.0000
12.708    0.0891
12.677    0.1929
12.646    0.2374
12.615    0.1574
12.585    0.0444
12.554    0.0462
12.524    0.1418
12.494    0.1020
12.464    0.0153
12.434    0.0250
12.404    0.0587
12.374    0.0315
12.345    0.0311
12.316    0.0318
12.286    0.0148
12.257    0.0279
12.228    0.1678
12.200    0.2285
12.171    0.2085
12.143    0.0353
12.114    0.0000
12.086    0.0000
12.058    0.0000
12.030    0.0986
12.002    0.1971
11.974    0.1163
11.947    0.0513
11.919    0.2093
11.892    0.3830
11.865    0.3842
11.838    0.4594
11.811    0.5526
11.784    0.5677
11.757    0.5498
11.730    0.4621
11.704    0.4343
11.678    0.5580
11.651    0.6613
11.625    0.5669
11.599    0.5586
11.573    0.7109
11.547    0.7656
11.522    0.8372
11.496    0.8551
11.471    0.8193
11.445    0.8267
11.420    0.8720
11.395    1.0194
11.370    1.0528
11.345    1.0766
11.321    1.1114
11.296    0.9896
11.271    1.0005
11.247    1.0493
11.223    1.0894
11.198    1.0710
11.174    1.1301
11.150    1.1814
11.126    1.0834
11.102    0.9762
11.079    1.0007
11.055    1.1008
11.032    1.1545
11.008    1.1576
10.985    1.2477
10.962    1.2892
10.938    1.1430
10.915    1.0800
10.893    1.1178
10.870    1.0565
10.847    1.1899
10.824    1.3188
10.802    1.3042
10.779    1.1593
10.757    1.1518
10.735    1.1668
10.713    1.2169
10.690    1.2261
10.668    1.3041
10.647    1.3574
10.625    1.1773
10.603    1.0291
10.581    1.0908
10.560    1.2263
10.538    1.1422
10.517    0.9061
10.496    0.8236
10.474    0.7848
10.453    0.7311
10.432    0.7315
10.411    0.6874
10.390    0.6500
10.370    0.6800
10.349    0.5805
10.328    0.5834
10.308    0.6276
10.287    0.5925
10.267    0.5680
10.247    0.6013
10.227    0.5609
10.206    0.5671
10.186    0.5513
10.166    0.6036
10.146    0.6536
10.127    0.7077
10.107    0.7449
10.087    0.7218
10.068    0.6630
10.048    0.6853
10.029    0.8565
10.009    0.9728
 9.990    0.9397
 9.971    1.0135
 9.952    1.0805
 9.933    1.0495
 9.914    1.0520
 9.895    1.1068
 9.876    1.1888
 9.857    1.3030
 9.838    1.3586
 9.820    1.4338
 9.801    1.7265
 9.783    1.8439
 9.764    1.7915
 9.746    1.8925
 9.728    1.9091
 9.709    1.9736
 9.691    2.2029
 9.673    2.3505
 9.655    2.4026
 9.637    2.5876
 9.619    2.8165
 9.602    2.8814
 9.584    2.8585
 9.566    2.8491
 9.549    2.9478
 9.531    3.0903
 9.513    3.1132
 9.496    3.2461
 9.479    3.3228
 9.461    3.3143
 9.444    3.3510
 9.427    3.4677
 9.410    3.5572
 9.393    3.7051
