Name: Hematite alpha Fe_2O_3
Type: Mineral
Class: Oxides
Subclass: 
Particle Size: 0-45um
Sample No.: O-1B
Owner: JPL
Wavelength range: IR
Origin: 
Collected by Baker, J.T.
Description:  Synthetic hematite. 
Some water contamination.




Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: o01ba.txt
15.385    0.6572
15.340    0.6373
15.294    0.4042
15.249    0.3043
15.205    0.4259
15.160    0.2923
15.116    0.2899
15.072    0.2149
15.028    0.2213
14.985    0.3988
14.942    0.2613
14.899    0.0000
14.856    0.0000
14.814    0.0000
14.772    0.0000
14.730    0.0033
14.688    0.1077
14.646    0.1277
14.605    0.1916
14.564    0.0100
14.523    0.0000
14.483    0.0112
14.442    0.0000
14.402    0.0000
14.362    0.0050
14.323    0.0000
14.283    0.0047
14.244    0.1629
14.205    0.2100
14.166    0.1448
14.128    0.0122
14.089    0.1142
14.051    0.1615
14.013    0.0000
13.975    0.0000
13.938    0.0000
13.900    0.0000
13.863    0.0000
13.826    0.0000
13.790    0.0000
13.753    0.0890
13.717    0.3303
13.680    0.3401
13.644    0.3297
13.608    0.3179
13.573    0.1856
13.537    0.1515
13.502    0.1128
13.467    0.1992
13.432    0.1233
13.398    0.1378
13.363    0.3693
13.329    0.4357
13.294    0.5245
13.260    0.5637
13.227    0.5311
13.193    0.4590
13.160    0.3914
13.126    0.3411
13.093    0.4050
13.060    0.6420
13.027    0.6611
12.995    0.6992
12.962    0.8043
12.930    0.7591
12.898    0.8082
12.866    0.7900
12.834    0.6376
12.802    0.5264
12.771    0.7389
12.739    1.0029
12.708    1.0651
12.677    1.0077
12.646    1.0535
12.615    1.0949
12.585    0.8951
12.554    0.8001
12.524    0.9538
12.494    1.2364
12.464    1.3474
12.434    1.3829
12.404    1.4755
12.374    1.5015
12.345    1.5456
12.316    1.5500
12.286    1.5164
12.257    1.5628
12.228    1.5905
12.200    1.6291
12.171    1.7473
12.143    1.7888
12.114    1.7893
12.086    1.8066
12.058    1.9789
12.030    2.2015
12.002    2.2347
11.974    2.1815
11.947    2.2464
11.919    2.2771
11.892    2.3003
11.865    2.3053
11.838    2.3272
11.811    2.4380
11.784    2.5441
11.757    2.3937
11.730    2.4279
11.704    2.5964
11.678    2.7396
11.651    2.7541
11.625    2.7928
11.599    2.8225
11.573    2.8982
11.547    2.9662
11.522    3.0512
11.496    3.2239
11.471    3.1972
11.445    3.1379
11.420    3.1895
11.395    3.1928
11.370    3.1916
11.345    3.2335
11.321    3.2634
11.296    3.3750
11.271    3.3031
11.247    3.3518
11.223    3.5091
11.198    3.4735
11.174    3.3178
11.150    3.2437
11.126    3.1638
11.102    3.0653
11.079    3.0044
11.055    2.9469
11.032    2.9054
11.008    2.8933
10.985    2.8496
10.962    2.7996
10.938    2.7538
10.915    2.8703
10.893    2.9201
10.870    2.9912
10.847    3.0631
10.824    3.0014
10.802    3.0229
10.779    3.0953
10.757    3.2696
10.735    3.4709
10.713    3.5746
10.690    3.6945
10.668    3.8607
10.647    3.8397
10.625    3.9930
10.603    4.1376
10.581    4.3088
10.560    4.4735
10.538    4.5843
10.517    4.7111
10.496    4.7871
10.474    4.9032
10.453    5.0322
10.432    5.2376
10.411    5.3761
10.390    5.3976
10.370    5.3709
10.349    5.3529
10.328    5.5384
10.308    5.8433
10.287    6.0915
10.267    6.3981
10.247    6.5347
10.227    6.5653
10.206    6.8712
10.186    7.2293
10.166    7.4446
10.146    7.5888
10.127    7.7560
10.107    7.9144
10.087    8.2534
10.068    8.5637
10.048    8.6926
10.029    8.6787
10.009    8.8165
 9.990    9.0457
 9.971    9.1252
 9.952    9.0147
 9.933    9.0062
 9.914    9.1984
 9.895    9.1975
 9.876    9.1248
 9.857    9.1820
 9.838    9.2282
 9.820    9.1808
 9.801    9.2083
 9.783    9.2263
 9.764    9.2307
 9.746    9.3207
 9.728    9.3297
 9.709    9.3208
 9.691    9.3396
 9.673    9.3834
 9.655    9.3589
 9.637    9.3715
 9.619    9.4013
 9.602    9.5203
 9.584    9.8266
 9.566   10.0163
 9.549   10.1421
 9.531   10.3190
 9.513   10.5174
 9.496   10.8238
 9.479   11.1715
 9.461   11.3863
 9.444   11.5029
 9.427   11.7100
 9.410   12.0233
 9.393   12.2562
 9.376   12.3986
 9.359   12.5415
 9.342   12.7197
 9.325   12.9219
 9.309   13.1563
 9.292   13.3164
 9.275   13.5128
 9.259   13.7517
 9.242   14.0198
 9.226   14.2219
 9.209   14.3130
 9.193   14.5275
 9.177   14.7726
 9.160   14.8153
 9.144   14.8235
 9.128   14.9618
 9.112   15.0863
 9.096   14.9927
 9.080   14.7499
 9.064   14.5720
 9.049   14.4423
 9.033   14.1510
 9.017   13.8852
 9.001   13.7694
 8.986   13.5444
 8.970   13.4416
 8.955   13.1776
 8.939   12.8918
 8.924   12.8154
 8.909   12.7088
 8.893   12.4882
 8.878   12.4453
 8.863   12.4160
 8.848   12.2276
 8.833   12.2178
 8.818   12.4601
 8.803   12.5637
 8.788   12.6803
 8.773   12.8217
 8.758   13.0983
 8.743   13.4815
 8.729   13.8208
 8.714   14.1062
 8.699   14.4240
 8.685   14.6888
 8.670   14.8904
 8.656   15.2185
 8.641   15.4637
 8.627   15.5323
 8.613   15.7460
 8.598   16.0146
 8.584   16.1132
 8.570   16.1899
 8.556   16.3624
 8.542   16.5514
 8.528   16.6603
 8.514   16.8076
 8.500   17.0198
 8.486   17.1752
 8.472   17.3482
 8.458   17.5112
 8.444   17.6804
 8.431   17.8715
 8.417   18.0937
 8.403   18.2801
 8.390   18.5383
 8.376   18.8223
 8.363   19.0892
 8.349   19.2608
 8.336   19.4342
 8.322   19.8006
 8.309   20.2613
 8.296   20.6574
 8.282   20.8918
 8.269   21.2274
 8.256   21.6015
 8.243   21.8861
 8.230   22.3089
