Name: Anatase TiO_2
Type: Mineral
Class: Oxides
Subclass: 
Particle Size: 0-45um
Sample No.: O-12A
Owner: JPL
Wavelength range: IR
Origin: 
Collected by JPL
Description:  Synthetic anatase. 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: o12aa.txt
15.385    0.4366
15.340    0.5987
15.294    0.5554
15.249    0.4826
15.205    0.5335
15.160    0.6390
15.116    0.7051
15.072    0.7105
15.028    0.6930
14.985    0.5096
14.942    0.4829
14.899    0.7586
14.856    0.7950
14.814    0.4974
14.772    0.3789
14.730    0.5118
14.688    0.4512
14.646    0.3275
14.605    0.2831
14.564    0.2113
14.523    0.2674
14.483    0.4898
14.442    0.4605
14.402    0.2588
14.362    0.3406
14.323    0.4491
14.283    0.3526
14.244    0.4907
14.205    0.6855
14.166    0.7577
14.128    0.6103
14.089    0.4674
14.051    0.5684
14.013    0.6232
13.975    0.5713
13.938    0.5844
13.900    0.6419
13.863    0.4959
13.826    0.2439
13.790    0.3432
13.753    0.4933
13.717    0.5809
13.680    0.5109
13.644    0.5073
13.608    0.6344
13.573    0.5945
13.537    0.6014
13.502    0.7442
13.467    0.7364
13.432    0.6330
13.398    0.5463
13.363    0.6648
13.329    0.5169
13.294    0.5029
13.260    0.6626
13.227    0.5565
13.193    0.4054
13.160    0.4628
13.126    0.4092
13.093    0.4963
13.060    0.6266
13.027    0.5224
12.995    0.4429
12.962    0.5490
12.930    0.4619
12.898    0.3810
12.866    0.4256
12.834    0.4798
12.802    0.5774
12.771    0.6348
12.739    0.6923
12.708    0.5753
12.677    0.4299
12.646    0.3153
12.615    0.3317
12.585    0.4569
12.554    0.5298
12.524    0.5258
12.494    0.5676
12.464    0.6240
12.434    0.4836
12.404    0.4996
12.374    0.4889
12.345    0.3619
12.316    0.4726
12.286    0.5497
12.257    0.5061
12.228    0.5835
12.200    0.6856
12.171    0.5921
12.143    0.5171
12.114    0.5071
12.086    0.4804
12.058    0.4824
12.030    0.4401
12.002    0.4023
11.974    0.3761
11.947    0.3247
11.919    0.3581
11.892    0.4674
11.865    0.4431
11.838    0.4099
11.811    0.3449
11.784    0.2308
11.757    0.2582
11.730    0.2026
11.704    0.1419
11.678    0.2195
11.651    0.2217
11.625    0.1257
11.599    0.0826
11.573    0.1120
11.547    0.0961
11.522    0.0444
11.496    0.0571
11.471    0.1814
11.445    0.1121
11.420    0.0000
11.395    0.0000
11.370    0.1023
11.345    0.1117
11.321    0.0619
11.296    0.0886
11.271    0.2165
11.247    0.1213
11.223    0.0056
11.198    0.0104
11.174    0.0323
11.150    0.0045
11.126    0.0000
11.102    0.0000
11.079    0.0000
11.055    0.0999
11.032    0.0554
11.008    0.0000
10.985    0.1208
10.962    0.1347
10.938    0.1207
10.915    0.1488
10.893    0.0760
10.870    0.0000
10.847    0.0000
10.824    0.1835
10.802    0.2079
10.779    0.0511
10.757    0.0000
10.735    0.0763
10.713    0.2176
10.690    0.1826
10.668    0.0440
10.647    0.0963
10.625    0.1542
10.603    0.0518
10.581    0.1054
