Name: Ferroaxinite Ca_2Fe^2+Al_2BSi_4O_15(OH)
Type: Mineral
Class: Silicates
Subclass: Cyclosilicates
Particle Size: 125-500um
Sample No.: CS-4A
Owner: JPL
Wavelength range: IR
Origin: Mexico, Baja California Norte, Los Gavelontos
Collected by Ward's
Description: 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: cs04aa.txt
15.385    1.5904
15.340    1.4213
15.294    1.3923
15.249    1.3984
15.205    1.7501
15.160    2.3633
15.116    2.7487
15.072    3.2763
15.028    3.5256
14.985    3.4123
14.942    3.2408
14.899    2.8239
14.856    2.2492
14.814    1.8616
14.772    1.8439
14.730    2.0106
14.688    1.9122
14.646    1.6265
14.605    1.3533
14.564    1.2769
14.523    1.7366
14.483    1.9318
14.442    1.9265
14.402    2.0525
14.362    2.1879
14.323    2.1643
14.283    2.0679
14.244    2.3017
14.205    2.4760
14.166    2.4690
14.128    2.5623
14.089    2.7415
14.051    2.8207
14.013    2.9483
13.975    3.0581
13.938    3.2301
13.900    3.3544
13.863    3.3336
13.826    3.4662
13.790    3.4683
13.753    3.4268
13.717    3.3975
13.680    3.4042
13.644    3.7601
13.608    4.1146
13.573    4.2755
13.537    4.1973
13.502    4.0523
13.467    4.1053
13.432    4.1478
13.398    4.2354
13.363    4.4414
13.329    4.5868
13.294    4.7401
13.260    4.6971
13.227    4.7581
13.193    4.8771
13.160    4.9750
13.126    5.1457
13.093    5.3185
13.060    5.4399
13.027    5.6011
12.995    5.6579
12.962    5.8243
12.930    5.9952
12.898    6.0679
12.866    6.0739
12.834    6.0456
12.802    6.0430
12.771    5.7835
12.739    5.5880
12.708    5.6468
12.677    5.6288
12.646    5.6905
12.615    5.6610
12.585    5.7922
12.554    6.1679
12.524    6.3668
12.494    6.4723
12.464    6.6953
12.434    6.8120
12.404    6.8932
12.374    7.0264
12.345    7.3040
12.316    7.7388
12.286    7.9855
12.257    8.1028
12.228    8.1066
12.200    8.2327
12.171    8.6819
12.143    9.0571
12.114    9.1601
12.086    9.0845
12.058    9.0089
12.030    8.8954
12.002    8.8223
11.974    9.0939
11.947    9.4626
11.919    9.6830
11.892    9.9969
11.865   10.5601
11.838   11.1472
11.811   11.6904
11.784   12.1096
11.757   12.5912
11.730   13.1514
11.704   13.4972
11.678   13.4933
11.651   13.5210
11.625   13.7882
11.599   14.1490
11.573   14.6602
11.547   15.2082
11.522   15.8881
11.496   16.6644
11.471   17.4297
11.445   18.2023
11.420   18.8561
11.395   19.2870
11.370   19.6217
11.345   19.7638
11.321   19.7600
11.296   19.7876
11.271   20.0682
11.247   20.4398
11.223   20.6439
11.198   20.6177
11.174   20.2037
11.150   19.3406
11.126   18.1331
11.102   16.5530
11.079   14.8895
11.055   13.6857
11.032   13.0463
11.008   12.9782
10.985   13.5566
10.962   14.4180
10.938   15.5048
10.915   16.6712
10.893   17.7168
10.870   18.5072
10.847   19.0644
10.824   19.4095
10.802   19.6222
10.779   19.9493
10.757   20.5049
10.735   21.2702
10.713   22.3074
10.690   23.3083
10.668   24.1950
10.647   25.2960
10.625   26.3914
10.603   27.2560
10.581   27.7027
10.560   27.7870
10.538   27.5313
10.517   26.8444
10.496   25.6683
10.474   24.0498
10.453   22.1060
10.432   20.0041
10.411   17.9246
10.390   16.2256
10.370   14.8770
10.349   13.7787
10.328   12.7535
10.308   11.7446
10.287   10.7654
10.267    9.7100
10.247    8.6909
10.227    8.0874
10.206    7.9176
10.186    8.0603
10.166    8.3682
10.146    8.5336
10.127    8.6782
10.107    8.8078
10.087    8.5700
10.068    8.2851
10.048    8.1732
10.029    8.3471
10.009    8.8871
 9.990    9.8147
 9.971   10.6785
 9.952   11.1041
 9.933   11.1753
 9.914   10.9186
 9.895   10.4703
 9.876    9.7914
 9.857    9.0322
 9.838    8.1878
 9.820    7.3635
 9.801    6.6535
 9.783    6.2551
 9.764    6.0838
 9.746    6.2306
 9.728    6.7732
 9.709    7.6701
 9.691    8.8562
 9.673   10.2312
 9.655   11.5758
 9.637   12.9104
 9.619   14.2490
 9.602   15.5418
 9.584   16.5823
 9.566   17.3713
 9.549   18.0651
 9.531   18.4394
 9.513   18.4452
 9.496   18.2554
 9.479   18.0550
 9.461   17.7731
 9.444   18.0809
