Name: Titanite (Sphene) CaTiSiO_5
Type: Mineral
Class: Silicates
Subclass: Nesosilicates
Particle Size: 125-500um
Sample No.: NS-7A
Owner: JPL
Wavelength range: IR
Origin: Brazil, Minas Gerais, Capelinha
Collected by JPL
Description: 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ns07aa.txt
15.385   10.0601
15.340   10.1850
15.294   10.5204
15.249   10.5392
15.205   10.4177
15.160   10.6273
15.116   10.9019
15.072   10.9198
15.028   10.9933
14.985   11.2929
14.942   11.4543
14.899   11.3458
14.856   11.2097
14.814   11.3116
14.772   11.4447
14.730   11.5018
14.688   11.6253
14.646   11.6850
14.605   11.6645
14.564   11.8169
14.523   11.8120
14.483   11.6874
14.442   11.8646
14.402   12.0799
14.362   12.0454
14.323   12.2270
14.283   12.4288
14.244   12.3019
14.205   12.2572
14.166   12.2681
14.128   12.2037
14.089   12.2829
14.051   12.3385
14.013   12.3839
13.975   12.5396
13.938   12.6067
13.900   12.5575
13.863   12.5370
13.826   12.5803
13.790   12.5035
13.753   12.4939
13.717   12.5640
13.680   12.5762
13.644   12.5389
13.608   12.5904
13.573   12.7525
13.537   12.8308
13.502   12.6624
13.467   12.5144
13.432   12.5853
13.398   12.6289
13.363   12.5014
13.329   12.4798
13.294   12.3294
13.260   11.9590
13.227   11.7321
13.193   11.5879
13.160   11.4101
13.126   11.1078
13.093   10.8304
13.060   10.6929
13.027   10.4416
12.995   10.0591
12.962    9.7160
12.930    9.4359
12.898    9.3036
12.866    9.1375
12.834    8.9039
12.802    8.8490
12.771    8.8567
12.739    8.6343
12.708    8.5320
12.677    8.4227
12.646    8.2992
12.615    8.2926
12.585    8.2669
12.554    8.2167
12.524    8.3208
12.494    8.4495
12.464    8.6388
12.434    8.7586
12.404    8.8450
12.374    9.0818
12.345    9.3683
12.316    9.5922
12.286    9.8233
12.257   10.1600
12.228   10.6010
12.200   11.0575
12.171   11.6169
12.143   12.0546
12.114   12.5818
12.086   13.2956
12.058   13.9646
12.030   14.6149
12.002   15.3776
11.974   16.1680
11.947   16.9560
11.919   17.6977
11.892   18.5349
11.865   19.4331
11.838   20.3529
11.811   21.2737
11.784   22.2074
11.757   23.1567
11.730   23.9695
11.704   24.6905
11.678   25.6456
11.651   26.5294
11.625   27.3421
11.599   28.2240
11.573   29.1190
11.547   30.0366
11.522   31.0246
11.496   32.0578
11.471   32.7689
11.445   33.2416
11.420   33.4357
11.395   33.2397
11.370   32.7441
11.345   32.0381
11.321   31.2893
11.296   30.9036
11.271   30.9380
11.247   31.4778
11.223   32.3596
11.198   33.4433
11.174   34.5760
11.150   35.5584
11.126   36.3862
11.102   37.1074
11.079   37.4935
11.055   37.7316
11.032   37.8719
11.008   37.7978
10.985   37.7074
10.962   37.6337
10.938   37.4204
10.915   37.3327
10.893   37.3947
10.870   37.8573
10.847   38.7210
10.824   39.6238
10.802   40.2862
10.779   40.6951
10.757   40.8732
10.735   41.0777
10.713   41.2691
10.690   41.4089
10.668   41.6126
10.647   41.7235
10.625   41.7547
10.603   41.7826
10.581   41.9326
10.560   42.1842
10.538   42.5805
10.517   43.0193
10.496   43.3166
10.474   43.4614
10.453   43.4470
10.432   43.2628
10.411   42.9838
10.390   42.6330
10.370   42.2528
10.349   41.8749
10.328   41.5424
10.308   41.0788
10.287   40.4413
10.267   39.9199
10.247   39.3505
10.227   38.5996
10.206   37.8213
10.186   36.9374
10.166   35.7005
10.146   34.2602
10.127   32.7307
10.107   31.1236
10.087   29.5975
10.068   28.2495
10.048   26.9598
10.029   25.9081
10.009   24.8324
 9.990   23.9136
 9.971   23.0789
 9.952   22.2056
 9.933   21.3389
 9.914   20.2101
 9.895   18.8749
 9.876   17.5419
 9.857   16.1113
 9.838   14.4481
 9.820   12.7285
 9.801   11.0629
 9.783    9.5138
 9.764    8.0913
 9.746    6.9088
 9.728    5.9171
 9.709    4.9617
 9.691    4.0624
 9.673    3.1784
 9.655    2.4095
 9.637    2.0044
 9.619    1.7359
 9.602    1.3201
 9.584    1.0137
 9.566    0.8438
 9.549    0.6422
 9.531    0.4598
 9.513    0.4616
 9.496    0.4772
 9.479    0.2919
 9.461    0.2186
 9.444    0.1335
 9.427    0.1022
 9.410    0.1902
