Name: Grossular Garnet Ca_3Al_2(SiO_4)_3
Type: Mineral
Class: Silicates
Subclass: Nesosilicates
Particle Size: 45-125um
Sample No.: NS-3B
Owner: JPL
Wavelength range: IR
Origin: Mexico, Lake Jaco
Collected by New, David
Description: 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ns03ba.txt
15.385    2.3620
15.340    2.5357
15.294    2.7103
15.249    3.0527
15.205    3.0569
15.160    2.7681
15.116    2.9672
15.072    3.3577
15.028    3.3729
14.985    3.6093
14.942    3.7789
14.899    3.7885
14.856    3.8783
14.814    3.9471
14.772    4.0194
14.730    4.0819
14.688    4.2252
14.646    4.2405
14.605    4.2204
14.564    4.2445
14.523    4.4335
14.483    4.7156
14.442    4.9574
14.402    5.1521
14.362    5.1028
14.323    5.1028
14.283    5.1369
14.244    5.2220
14.205    5.4036
14.166    5.4929
14.128    5.5002
14.089    5.4955
14.051    5.5563
14.013    5.3900
13.975    5.2328
13.938    5.4409
13.900    5.7288
13.863    5.8128
13.826    5.7148
13.790    5.7614
13.753    5.8914
13.717    5.9582
13.680    5.8203
13.644    5.8451
13.608    5.9395
13.573    5.9709
13.537    6.1271
13.502    6.1857
13.467    6.2226
13.432    6.3148
13.398    6.4081
13.363    6.5551
13.329    6.5385
13.294    6.5020
13.260    6.5681
13.227    6.6302
13.193    6.5897
13.160    6.4523
13.126    6.2002
13.093    6.2680
13.060    6.5886
13.027    6.8721
12.995    7.1348
12.962    7.3313
12.930    7.2142
12.898    7.3880
12.866    7.8330
12.834    8.0309
12.802    8.1722
12.771    8.5516
12.739    8.7913
12.708    8.9793
12.677    9.0733
12.646    9.4103
12.615    9.7721
12.585    9.9558
12.554   10.3479
12.524   10.7248
12.494   11.0212
12.464   11.3991
12.434   11.8164
12.404   12.3498
12.374   12.9255
12.345   13.3888
12.316   13.7834
12.286   14.4347
12.257   15.1324
12.228   15.8297
12.200   16.5735
12.171   17.2608
12.143   18.2889
12.114   19.5243
12.086   20.6922
12.058   21.8733
12.030   23.1672
12.002   24.3095
11.974   25.0776
11.947   25.5429
11.919   25.6004
11.892   25.0771
11.865   24.3222
11.838   23.6486
11.811   23.2972
11.784   23.4184
11.757   23.9903
11.730   24.9311
11.704   26.2120
11.678   27.3480
11.651   28.0229
11.625   28.4511
11.599   28.6025
11.573   28.3277
11.547   27.4934
11.522   26.2228
11.496   24.7406
11.471   22.8954
11.445   20.7259
11.420   18.2129
11.395   15.4666
11.370   12.5336
11.345    9.8873
11.321    7.9580
11.296    6.8298
11.271    6.4586
11.247    6.7305
11.223    7.3887
11.198    8.5313
11.174   10.1290
11.150   12.0514
11.126   14.3163
11.102   17.0512
11.079   20.1396
11.055   23.2313
11.032   26.0933
11.008   28.4715
10.985   30.1274
10.962   31.2304
10.938   31.9496
10.915   32.4136
10.893   32.5888
10.870   32.7059
10.847   32.6351
10.824   32.5027
10.802   32.3128
10.779   32.1251
10.757   32.0976
10.735   32.4523
10.713   33.1094
10.690   33.9859
10.668   34.7990
10.647   35.3358
10.625   35.6890
10.603   35.8335
10.581   35.9975
10.560   36.0546
10.538   36.0425
10.517   36.3663
10.496   36.9130
10.474   37.7568
10.453   38.8007
10.432   39.7879
10.411   40.7499
10.390   41.6387
10.370   42.4434
10.349   42.9430
10.328   42.9754
10.308   42.7834
10.287   42.4297
10.267   41.9387
10.247   41.3925
10.227   40.8285
10.206   40.2637
10.186   39.5751
10.166   38.8411
10.146   37.9294
10.127   36.8637
10.107   35.7325
10.087   34.4466
10.068   32.9774
10.048   31.1623
10.029   29.1770
10.009   27.1275
 9.990   24.8931
 9.971   22.6189
 9.952   20.3537
 9.933   18.2537
 9.914   16.4537
 9.895   15.0039
 9.876   13.6974
 9.857   12.2912
 9.838   10.8753
 9.820    9.6046
 9.801    8.4703
 9.783    7.4849
 9.764    6.4280
 9.746    5.4256
 9.728    4.6323
 9.709    3.9798
 9.691    3.5236
 9.673    3.0495
 9.655    2.4927
 9.637    1.9957
 9.619    1.6778
 9.602    1.3584
 9.584    1.1127
 9.566    0.8640
 9.549    0.6860
 9.531    0.6375
 9.513    0.5538
 9.496    0.5209
 9.479    0.5864
 9.461    0.4089
 9.444    0.2172
 9.427    0.1146
 9.410    0.0465
