Name: Hydroxyapophyllite KCa_4Si_8O_20(OH,F).8H_2O
Type: Mineral
Class: Silicates
Subclass: Phyllosilicates
Particle Size: 125-500um
Sample No.: PS-22A
Owner: JPL
Wavelength range: IR
Origin: India, Maharashtra, Poona
Collected by Burminco
Description: 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ps22aa.txt
15.385    1.2227
15.340    1.1335
15.294    0.8643
15.249    1.1244
15.205    1.4021
15.160    1.6306
15.116    1.3647
15.072    1.1205
15.028    1.2876
14.985    1.7099
14.942    1.7256
14.899    1.5587
14.856    1.4138
14.814    1.4577
14.772    1.4254
14.730    1.5322
14.688    1.9068
14.646    2.0476
14.605    2.1933
14.564    2.3563
14.523    2.3743
14.483    2.5960
14.442    2.7072
14.402    2.8016
14.362    2.8716
14.323    2.7162
14.283    2.7112
14.244    3.0016
14.205    3.0041
14.166    3.0297
14.128    3.1553
14.089    3.2714
14.051    3.4279
14.013    3.5287
13.975    3.4823
13.938    3.6468
13.900    3.9850
13.863    4.1179
13.826    4.0471
13.790    4.1052
13.753    4.1974
13.717    4.2954
13.680    4.4391
13.644    4.6169
13.608    4.7905
13.573    4.8731
13.537    4.9397
13.502    5.1671
13.467    5.3419
13.432    5.6922
13.398    6.0555
13.363    6.1802
13.329    6.4760
13.294    6.7848
13.260    7.1330
13.227    7.5881
13.193    8.0827
13.160    8.7246
13.126    9.1176
13.093    9.0560
13.060    8.4242
13.027    7.3263
12.995    6.3802
12.962    5.9325
12.930    5.7815
12.898    5.5269
12.866    5.4780
12.834    5.7544
12.802    6.1655
12.771    6.4863
12.739    6.5411
12.708    6.4790
12.677    6.5433
12.646    6.5920
12.615    6.3107
12.585    5.7619
12.554    5.0898
12.524    4.2379
12.494    3.5177
12.464    2.9900
12.434    2.3824
12.404    1.9728
12.374    1.7892
12.345    1.7316
12.316    1.6555
12.286    1.7607
12.257    1.8220
12.228    1.8020
12.200    1.8089
12.171    1.9312
12.143    2.0509
12.114    2.0030
12.086    1.9865
12.058    2.0354
12.030    2.1395
12.002    2.4100
11.974    2.6878
11.947    2.7631
11.919    2.7505
11.892    2.8720
11.865    2.9855
11.838    3.0596
11.811    3.1701
11.784    3.2003
11.757    3.3687
11.730    3.4780
11.704    3.5625
11.678    3.6672
11.651    3.7196
11.625    3.7441
11.599    3.8631
11.573    4.0115
11.547    4.2245
11.522    4.2780
11.496    4.1460
11.471    4.1835
11.445    4.3519
11.420    4.4073
11.395    4.4561
11.370    4.5684
11.345    4.7126
11.321    4.8651
11.296    4.9253
11.271    4.9163
11.247    4.8921
11.223    5.0916
11.198    5.2728
11.174    5.3635
11.150    5.4659
11.126    5.6138
11.102    5.6780
11.079    5.7319
11.055    5.8474
11.032    5.8649
11.008    5.8880
10.985    5.9935
10.962    6.1093
10.938    6.2279
10.915    6.5099
10.893    6.8288
10.870    6.8444
10.847    6.7644
10.824    6.7941
10.802    6.8993
10.779    7.0499
10.757    7.2431
10.735    7.3199
10.713    7.5421
10.690    7.8243
10.668    7.9866
10.647    8.0495
10.625    8.2842
10.603    8.4952
10.581    8.5817
10.560    8.6648
10.538    8.9387
10.517    9.1753
10.496    9.2480
10.474    9.4274
10.453    9.7118
10.432   10.0674
10.411   10.4377
10.390   10.7697
10.370   11.0534
10.349   11.2383
10.328   11.5481
10.308   11.9625
10.287   12.3517
10.267   12.8187
10.247   13.2763
10.227   13.8077
10.206   14.5014
10.186   15.1714
10.166   15.9311
10.146   16.8014
10.127   17.7095
10.107   18.6828
10.087   19.8141
10.068   21.1575
10.048   22.8283
10.029   24.6313
10.009   26.5283
 9.990   28.7602
 9.971   31.3195
 9.952   34.1510
 9.933   36.8558
 9.914   39.6216
 9.895   42.9235
 9.876   46.3196
 9.857   48.8263
 9.838   50.3430
 9.820   51.2863
 9.801   52.1211
 9.783   52.7113
 9.764   52.9975
 9.746   53.1015
 9.728   52.9437
 9.709   52.8280
 9.691   52.7924
 9.673   52.8088
 9.655   52.8852
 9.637   53.0644
 9.619   53.1407
 9.602   52.9166
 9.584   52.5200
 9.566   52.0625
 9.549   51.4936
 9.531   50.7604
 9.513   49.8912
 9.496   48.7417
 9.479   47.3381
 9.461   45.6622
 9.444   43.5741
 9.427   40.7688
