Name: Kaolinite Al_2Si_2O_5(OH)_4
Type: Mineral
Class: Silicates
Subclass: Phyllosilicates
Particle Size: 0-45um
Sample No.: PS-1B
Owner: JPL
Wavelength range: IR
Origin: USA, Georgia, Warren County
Collected by Clay Mineral Society
Description:  Disordered kaolinite. 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ps01ba.txt
15.385    0.3732
15.340    0.3768
15.294    0.3394
15.249    0.2555
15.205    0.1329
15.160    0.1644
15.116    0.2354
15.072    0.0732
15.028    0.1460
14.985    0.3610
14.942    0.3323
14.899    0.2471
14.856    0.2037
14.814    0.3008
14.772    0.3704
14.730    0.2970
14.688    0.2016
14.646    0.3623
14.605    0.4148
14.564    0.2307
14.523    0.1948
14.483    0.2548
14.442    0.2924
14.402    0.2350
14.362    0.1456
14.323    0.1250
14.283    0.1715
14.244    0.3414
14.205    0.2375
14.166    0.0000
14.128    0.0036
14.089    0.2273
14.051    0.0810
14.013    0.0059
13.975    0.1673
13.938    0.2162
13.900    0.1960
13.863    0.2844
13.826    0.3545
13.790    0.2850
13.753    0.3260
13.717    0.3343
13.680    0.2468
13.644    0.2881
13.608    0.3045
13.573    0.2117
13.537    0.2873
13.502    0.4229
13.467    0.4394
13.432    0.4127
13.398    0.3990
13.363    0.3916
13.329    0.3391
13.294    0.3988
13.260    0.4913
13.227    0.5017
13.193    0.4755
13.160    0.4126
13.126    0.2535
13.093    0.3342
13.060    0.6070
13.027    0.6070
12.995    0.5842
12.962    0.5550
12.930    0.4890
12.898    0.5789
12.866    0.6087
12.834    0.4939
12.802    0.5841
12.771    0.5526
12.739    0.4292
12.708    0.5033
12.677    0.4556
12.646    0.3812
12.615    0.3856
12.585    0.3506
12.554    0.3524
12.524    0.3923
12.494    0.3448
12.464    0.3260
12.434    0.2902
12.404    0.5081
12.374    0.6945
12.345    0.7309
12.316    0.7246
12.286    0.9123
12.257    1.1253
12.228    1.2731
12.200    1.3547
12.171    1.3998
12.143    1.4973
12.114    1.5799
12.086    1.5447
12.058    1.6033
12.030    1.6956
12.002    1.7645
11.974    1.8089
11.947    1.8154
11.919    2.0183
11.892    2.2750
11.865    2.3527
11.838    2.3014
11.811    2.2775
11.784    2.2595
11.757    2.2696
11.730    2.4402
11.704    2.5933
11.678    2.6580
11.651    2.5836
11.625    2.4843
11.599    2.4755
11.573    2.4920
11.547    2.5101
11.522    2.3848
11.496    2.2800
11.471    2.1935
11.445    2.0312
11.420    2.0159
11.395    2.0457
11.370    2.0821
11.345    1.9943
11.321    1.8677
11.296    1.8933
11.271    1.9625
11.247    1.8485
11.223    1.7624
11.198    1.6315
11.174    1.5080
11.150    1.4587
11.126    1.3865
11.102    1.2517
11.079    1.1950
11.055    1.2475
11.032    1.1290
11.008    0.9118
10.985    0.8302
10.962    0.8274
10.938    0.8012
10.915    0.6960
10.893    0.6317
10.870    0.5989
10.847    0.5206
10.824    0.5599
10.802    0.5242
10.779    0.5068
10.757    0.5474
10.735    0.5583
10.713    0.6080
10.690    0.6221
