Name: Prehnite Ca_2Al_2Si_3O_10(OH)_2
Type: Mineral
Class: Silicates
Subclass: Phyllosilicates
Particle Size: 45-125um
Sample No.: PS-21A
Owner: JPL
Wavelength range: IR
Origin: USA, Virginia, Centerville
Collected by Burminco
Description: 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ps21aa.txt
15.385    3.3147
15.340    3.7478
15.294    3.6518
15.249    3.4253
15.205    3.4625
15.160    3.4769
15.116    3.4334
15.072    3.3203
15.028    3.3283
14.985    3.3064
14.942    3.2597
14.899    3.4311
14.856    3.6553
14.814    3.5226
14.772    3.5558
14.730    3.8602
14.688    3.9395
14.646    4.1015
14.605    4.1819
14.564    4.1895
14.523    4.4445
14.483    4.5281
14.442    4.5459
14.402    4.9045
14.362    4.9172
14.323    4.9896
14.283    4.9911
14.244    4.8105
14.205    5.0652
14.166    5.2712
14.128    5.3289
14.089    5.5582
14.051    5.7481
14.013    5.8564
13.975    5.8997
13.938    5.9969
13.900    6.2496
13.863    6.4331
13.826    6.5715
13.790    6.7051
13.753    6.9450
13.717    7.3940
13.680    7.8889
13.644    8.2970
13.608    8.4151
13.573    8.9087
13.537    9.5889
13.502   10.1448
13.467   10.5441
13.432   10.6267
13.398   10.6171
13.363   10.5884
13.329   10.5076
13.294   10.6056
13.260   11.0666
13.227   11.6594
13.193   12.0256
13.160   12.3106
13.126   12.6272
13.093   12.6572
13.060   12.2985
13.027   11.7776
12.995   11.1034
12.962    9.9824
12.930    8.6252
12.898    7.2429
12.866    5.6740
12.834    4.3960
12.802    3.6937
12.771    3.2498
12.739    3.0255
12.708    3.1258
12.677    3.1499
12.646    3.1397
12.615    3.2845
12.585    3.4809
12.554    3.5647
12.524    3.7114
12.494    3.9952
12.464    4.3446
12.434    4.4951
12.404    4.7972
12.374    5.1370
12.345    5.3583
12.316    5.5306
12.286    5.6511
12.257    5.5398
12.228    5.4984
12.200    5.5880
12.171    5.5287
12.143    5.2614
12.114    4.8762
12.086    4.3907
12.058    4.0172
12.030    3.7294
12.002    3.5398
11.974    3.5636
11.947    3.7211
11.919    3.9026
11.892    3.9064
11.865    3.8723
11.838    4.0464
11.811    4.1562
11.784    4.1546
11.757    4.1043
11.730    4.2147
11.704    4.5345
11.678    4.7994
11.651    5.0575
11.625    5.3221
11.599    5.3784
11.573    5.4577
11.547    5.4684
11.522    5.3595
11.496    5.2589
11.471    5.1341
11.445    5.0252
11.420    4.8448
11.395    4.7375
11.370    4.6684
11.345    4.5812
11.321    4.7210
11.296    4.7977
11.271    4.8700
11.247    5.1494
11.223    5.3558
11.198    5.4825
11.174    5.6581
11.150    5.8645
11.126    6.1327
11.102    6.4366
11.079    6.6710
11.055    6.9325
11.032    7.2258
11.008    7.6014
10.985    7.9816
10.962    8.3140
10.938    8.7768
10.915    9.3107
10.893   10.0184
10.870   10.7383
10.847   11.2907
10.824   11.9401
10.802   12.6357
10.779   13.1183
10.757   13.5306
10.735   13.9347
10.713   14.2481
10.690   14.3865
10.668   14.2729
10.647   13.8823
10.625   13.3222
10.603   12.6359
10.581   11.9093
10.560   11.2895
10.538   10.8647
10.517   10.4509
10.496   10.1959
10.474   10.0576
10.453   10.0617
10.432   10.0843
10.411   10.0379
10.390   10.0087
10.370   10.1387
10.349   10.4425
10.328   10.7974
10.308   11.2455
10.287   11.7798
10.267   12.6232
10.247   13.6986
10.227   14.9336
10.206   16.4325
10.186   18.0838
10.166   19.4890
10.146   20.7478
10.127   21.7422
10.107   22.5149
10.087   23.2681
10.068   23.7228
10.048   24.0792
10.029   24.4558
10.009   24.9748
 9.990   25.5568
 9.971   26.1895
 9.952   26.9300
 9.933   27.5284
 9.914   28.0095
 9.895   28.5263
 9.876   28.8045
 9.857   28.9646
 9.838   29.1176
 9.820   29.2953
 9.801   29.4531
 9.783   29.5669
 9.764   29.5623
 9.746   29.2870
 9.728   28.8298
 9.709   28.2463
 9.691   27.3566
 9.673   25.8286
 9.655   23.6159
 9.637   21.1247
 9.619   18.5821
 9.602   16.3499
 9.584   14.7508
 9.566   13.6183
 9.549   12.4716
 9.531   11.2181
 9.513    9.9910
 9.496    8.9378
 9.479    8.2033
 9.461    7.9794
 9.444    7.9853
 9.427    8.2359
