Name: Hydroxyapophyllite KCa_4Si_8O_20(OH,F).8H_2O
Type: Mineral
Class: Silicates
Subclass: Phyllosilicates
Particle Size: 45-125um
Sample No.: PS-22A
Owner: JPL
Wavelength range: IR
Origin: India, Maharashtra, Poona
Collected by Burminco
Description: 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ps22aa.txt
15.385    1.3431
15.340    1.2083
15.294    1.3252
15.249    1.5121
15.205    1.5277
15.160    1.4046
15.116    1.2379
15.072    1.3488
15.028    1.7118
14.985    1.8039
14.942    1.8579
14.899    2.0349
14.856    1.8309
14.814    1.7693
14.772    2.0207
14.730    2.1858
14.688    2.2643
14.646    2.3470
14.605    2.5061
14.564    2.5069
14.523    2.8068
14.483    3.1370
14.442    3.1927
14.402    3.1757
14.362    3.1904
14.323    3.3128
14.283    3.5706
14.244    3.5113
14.205    3.4412
14.166    3.4714
14.128    3.4292
14.089    3.5216
14.051    3.7183
14.013    3.7113
13.975    3.8469
13.938    4.1261
13.900    4.3033
13.863    4.3338
13.826    4.2774
13.790    4.2767
13.753    4.1689
13.717    4.1448
13.680    4.4390
13.644    4.5619
13.608    4.5766
13.573    4.6871
13.537    4.8988
13.502    4.9134
13.467    4.9850
13.432    5.0406
13.398    5.0560
13.363    5.2408
13.329    5.3912
13.294    5.6737
13.260    5.9937
13.227    6.2780
13.193    6.6239
13.160    6.9428
13.126    7.1552
13.093    7.2065
13.060    6.8280
13.027    5.9929
12.995    5.3187
12.962    4.9546
12.930    4.6489
12.898    4.5347
12.866    4.6194
12.834    4.7886
12.802    4.8557
12.771    4.9544
12.739    5.1392
12.708    5.2315
12.677    5.3522
12.646    5.3364
12.615    4.9710
12.585    4.6168
12.554    4.1859
12.524    3.5543
12.494    3.0709
12.464    2.5608
12.434    2.0199
12.404    1.7634
12.374    1.6518
12.345    1.6179
12.316    1.4836
12.286    1.3988
12.257    1.5746
12.228    1.8663
12.200    1.9591
12.171    1.9370
12.143    1.8857
12.114    1.9768
12.086    2.2170
12.058    2.3766
12.030    2.3641
12.002    2.4706
11.974    2.6854
11.947    2.8190
11.919    2.8076
11.892    2.9151
11.865    3.0802
11.838    3.2978
11.811    3.4899
11.784    3.6078
11.757    3.6517
11.730    3.7098
11.704    3.8696
11.678    4.1049
11.651    4.1881
11.625    4.2031
11.599    4.2862
11.573    4.4841
11.547    4.7054
11.522    4.6860
11.496    4.7038
11.471    4.8927
11.445    4.9972
11.420    5.0874
11.395    5.0612
11.370    5.0409
11.345    5.1793
11.321    5.4142
11.296    5.5298
11.271    5.4483
11.247    5.5054
11.223    5.6841
11.198    5.8524
11.174    6.0345
11.150    6.0978
11.126    6.2089
11.102    6.3691
11.079    6.4308
11.055    6.3863
11.032    6.3516
11.008    6.3876
10.985    6.5015
10.962    6.6977
10.938    6.8925
10.915    6.9832
10.893    6.9975
10.870    7.1897
10.847    7.3722
10.824    7.3871
10.802    7.4571
10.779    7.7440
10.757    7.9011
10.735    7.7447
10.713    7.6598
10.690    7.8644
10.668    8.0708
10.647    8.2956
10.625    8.3363
10.603    8.3053
10.581    8.4032
10.560    8.5255
10.538    8.6192
10.517    8.7299
10.496    8.8493
10.474    9.0313
10.453    9.1958
10.432    9.2412
10.411    9.4471
10.390    9.6960
10.370    9.8583
10.349   10.0935
10.328   10.3427
10.308   10.6049
10.287   10.8155
10.267   10.9842
10.247   11.3585
10.227   11.7147
10.206   11.9747
10.186   12.4429
10.166   13.0168
10.146   13.4649
10.127   14.0719
10.107   14.9873
10.087   15.9673
10.068   16.9375
10.048   18.1783
10.029   19.6442
10.009   21.2495
 9.990   23.1038
 9.971   25.2630
 9.952   27.6704
 9.933   30.0461
 9.914   32.4436
 9.895   35.2861
 9.876   38.1579
 9.857   40.2969
 9.838   41.6144
 9.820   42.3787
 9.801   43.0213
 9.783   43.5140
 9.764   43.6696
 9.746   43.6876
 9.728   43.5326
 9.709   43.3337
 9.691   43.2174
 9.673   43.2406
 9.655   43.3936
 9.637   43.3702
 9.619   43.3423
 9.602   43.2491
 9.584   43.0300
 9.566   42.5560
 9.549   42.0356
 9.531   41.5208
 9.513   40.8224
 9.496   39.8100
 9.479   38.6378
 9.461   37.2718
 9.444   35.5648
 9.427   33.4238
