Name: Quartz SiO_2
Type: Mineral
Class: Silicates
Subclass: Tectosilicates
Particle Size: 125-500um
Sample No.: TS-1A
Owner: JPL
Wavelength range: IR
Origin: USA, Arkansas, Montgomery County, Mount Ida
Collected by Burminco
Description:  Rock crystal. 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ts01aa.txt
15.385    3.9461
15.340    3.9570
15.294    3.9924
15.249    4.0546
15.205    4.2077
15.160    4.3888
15.116    4.2585
15.072    3.9481
15.028    3.9427
14.985    4.1973
14.942    4.3193
14.899    4.2613
14.856    4.2340
14.814    4.5098
14.772    4.4939
14.730    4.2839
14.688    4.3201
14.646    4.5692
14.605    4.6501
14.564    4.8432
14.523    4.9409
14.483    5.1085
14.442    5.3900
14.402    5.4105
14.362    4.7261
14.323    3.6372
14.283    3.1367
14.244    3.1402
14.205    3.2405
14.166    3.6071
14.128    4.0092
14.089    4.0717
14.051    3.9848
14.013    4.0775
13.975    4.2404
13.938    4.3926
13.900    4.5731
13.863    4.5695
13.826    4.6161
13.790    4.7904
13.753    4.8555
13.717    4.9246
13.680    5.0509
13.644    5.0649
13.608    5.0606
13.573    5.1619
13.537    5.3856
13.502    5.5429
13.467    5.7192
13.432    5.8989
13.398    5.9793
13.363    5.9629
13.329    5.9255
13.294    5.9911
13.260    6.1877
13.227    6.3491
13.193    6.7309
13.160    7.1095
13.126    7.3861
13.093    7.5950
13.060    7.8315
13.027    8.1921
12.995    8.9021
12.962    9.7729
12.930   10.7346
12.898   12.1033
12.866   13.6870
12.834   14.9923
12.802   15.4193
12.771   14.9898
12.739   13.9217
12.708   12.3740
12.677   10.5742
12.646    9.5505
12.615    9.7649
12.585   10.8342
12.554   12.0695
12.524   12.9726
12.494   13.2580
12.464   12.7867
12.434   11.3623
12.404    8.7678
12.374    5.4586
12.345    2.8967
12.316    1.5376
12.286    1.0398
12.257    1.0604
12.228    1.3776
12.200    1.6054
12.171    1.7586
12.143    1.8498
12.114    2.0223
12.086    2.3545
12.058    2.5579
12.030    2.7387
12.002    2.8588
11.974    3.0089
11.947    3.0583
11.919    3.1437
11.892    3.2611
11.865    3.3524
11.838    3.4378
11.811    3.6633
11.784    3.7388
11.757    3.7491
11.730    3.7951
11.704    3.9230
11.678    4.1050
11.651    4.1856
11.625    4.2919
11.599    4.3986
11.573    4.5847
11.547    4.6503
11.522    4.6542
11.496    4.6961
11.471    4.7429
11.445    4.8642
11.420    4.8895
11.395    4.9372
11.370    4.9728
11.345    4.9782
11.321    5.0722
11.296    5.1800
11.271    5.1737
11.247    5.2614
11.223    5.2855
11.198    5.4061
11.174    5.5405
11.150    5.5606
11.126    5.6528
11.102    5.7425
11.079    5.8128
11.055    5.8210
11.032    5.6700
11.008    5.7162
10.985    5.9965
10.962    6.0510
10.938    6.0827
10.915    6.3049
10.893    6.4163
10.870    6.3843
10.847    6.3658
10.824    6.4764
10.802    6.5424
10.779    6.6102
10.757    6.7139
10.735    6.7970
10.713    6.8788
10.690    6.9231
10.668    6.9503
10.647    6.9779
