Name: Quartz SiO_2
Type: Mineral
Class: Silicates
Subclass: Tectosilicates
Particle Size: 125-500um
Sample No.: TS-1B
Owner: JPL
Wavelength range: IR
Origin: Brazil, Minas Gerais
Collected by Burminco
Description:  Smoky quartz. 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ts01ba.txt
15.385    4.0255
15.340    4.2448
15.294    4.4144
15.249    4.2457
15.205    4.2051
15.160    4.4769
15.116    4.3734
15.072    4.5288
15.028    4.6700
14.985    4.5438
14.942    4.4210
14.899    4.5196
14.856    4.5967
14.814    4.5562
14.772    4.6669
14.730    4.6342
14.688    4.7611
14.646    4.8945
14.605    5.0582
14.564    5.3342
14.523    5.4718
14.483    5.6364
14.442    5.6864
14.402    5.6520
14.362    5.0635
14.323    4.0666
14.283    3.5431
14.244    3.4419
14.205    3.3834
14.166    3.3519
14.128    3.5950
14.089    3.9523
14.051    4.0822
14.013    4.3449
13.975    4.5504
13.938    4.5769
13.900    4.6832
13.863    4.8370
13.826    4.9452
13.790    4.8017
13.753    4.8259
13.717    5.0705
13.680    5.2236
13.644    5.3195
13.608    5.4153
13.573    5.6226
13.537    5.7122
13.502    5.6091
13.467    5.6563
13.432    5.8072
13.398    5.9017
13.363    6.0334
13.329    6.3047
13.294    6.6176
13.260    6.7592
13.227    6.7983
13.193    6.9901
13.160    7.2710
13.126    7.6817
13.093    8.0637
13.060    8.4253
13.027    8.8259
12.995    9.3628
12.962   10.2407
12.930   11.4710
12.898   12.9837
12.866   14.3301
12.834   15.4619
12.802   16.1766
12.771   15.9323
12.739   14.8417
12.708   13.1123
12.677   11.1927
12.646   10.0470
12.615   10.1643
12.585   11.3008
12.554   12.7168
12.524   13.7489
12.494   14.0065
12.464   13.4467
12.434   11.9803
12.404    9.5023
12.374    6.1335
12.345    3.1224
12.316    1.6079
12.286    1.2591
12.257    1.1514
12.228    1.3572
12.200    1.6313
12.171    1.7848
12.143    2.0022
12.114    2.1675
12.086    2.3983
12.058    2.5967
12.030    2.7578
12.002    2.9099
11.974    2.9417
11.947    3.0857
11.919    3.3909
11.892    3.6095
11.865    3.6796
11.838    3.7766
11.811    3.8988
11.784    4.0993
11.757    4.2661
11.730    4.1486
11.704    4.1261
11.678    4.2073
11.651    4.4600
11.625    4.5948
11.599    4.4880
11.573    4.4790
11.547    4.6743
11.522    4.7645
11.496    4.8902
11.471    5.0885
11.445    5.1655
11.420    5.2916
11.395    5.2903
11.370    5.2723
11.345    5.3082
11.321    5.3946
11.296    5.4327
11.271    5.4887
11.247    5.5581
11.223    5.6058
11.198    5.5450
11.174    5.7188
11.150    5.9079
11.126    5.8968
11.102    5.8762
11.079    5.9036
11.055    6.0336
11.032    6.1915
11.008    6.2268
10.985    6.2591
10.962    6.4663
10.938    6.6935
10.915    6.5949
10.893    6.5742
10.870    6.5998
10.847    6.6556
10.824    6.7162
10.802    6.8665
10.779    6.9842
10.757    7.0814
10.735    7.0566
10.713    7.0786
10.690    7.1868
10.668    7.2454
10.647    7.3946
10.625    7.5523
