Name: Quartz SiO_2
Type: Mineral
Class: Silicates
Subclass: Tectosilicates
Particle Size: 125-500um
Sample No.: TS-1D
Owner: JPL
Wavelength range: IR
Origin: USA, Coloradi, Buffalo
Collected by Ward's
Description:  Milky quartz. 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ts01da.txt
15.385    3.8902
15.340    3.7692
15.294    3.7628
15.249    3.8421
15.205    3.9733
15.160    3.8033
15.116    3.7256
15.072    3.8849
15.028    3.9180
14.985    3.9044
14.942    3.8857
14.899    3.8708
14.856    4.0853
14.814    4.2226
14.772    4.2740
14.730    4.2773
14.688    4.2110
14.646    4.1275
14.605    4.2577
14.564    4.6629
14.523    4.7848
14.483    4.8886
14.442    5.2872
14.402    5.3369
14.362    4.5249
14.323    3.5013
14.283    2.8646
14.244    2.7641
14.205    2.8769
14.166    3.0793
14.128    3.3538
14.089    3.4911
14.051    3.7269
14.013    4.0519
13.975    4.2030
13.938    4.3603
13.900    4.3047
13.863    4.2482
13.826    4.2836
13.790    4.4277
13.753    4.4022
13.717    4.4837
13.680    4.6825
13.644    4.7563
13.608    4.7748
13.573    4.6983
13.537    4.7395
13.502    4.9299
13.467    5.1312
13.432    5.2904
13.398    5.4497
13.363    5.5464
13.329    5.6200
13.294    5.8144
13.260    6.0658
13.227    6.1966
13.193    6.4145
13.160    6.6545
13.126    6.9661
13.093    7.1651
13.060    7.5614
13.027    8.0210
12.995    8.5054
12.962    9.3476
12.930   10.3806
12.898   11.5892
12.866   12.9367
12.834   14.3475
12.802   15.0805
12.771   14.7889
12.739   13.6135
12.708   11.9765
12.677   10.2128
12.646    9.1483
12.615    9.2613
12.585   10.2002
12.554   11.4132
12.524   12.2437
12.494   12.4691
12.464   12.1404
12.434   10.8836
12.404    8.6444
12.374    5.6951
12.345    2.9009
12.316    1.3671
12.286    0.9086
12.257    0.8698
12.228    1.0883
12.200    1.4358
12.171    1.6289
12.143    1.5890
12.114    1.6898
12.086    2.0019
12.058    2.2425
12.030    2.4420
12.002    2.6611
11.974    2.7376
11.947    2.8392
11.919    2.9816
11.892    3.0715
11.865    3.1523
11.838    3.1806
11.811    3.2994
11.784    3.4388
11.757    3.5946
11.730    3.8053
11.704    3.8958
11.678    3.8517
11.651    3.9462
11.625    3.9905
11.599    4.0617
11.573    4.1597
11.547    4.2607
11.522    4.3080
11.496    4.3650
11.471    4.5174
11.445    4.5092
11.420    4.5359
11.395    4.6494
11.370    4.5268
11.345    4.4813
11.321    4.7034
11.296    4.8369
11.271    4.9613
11.247    5.0724
11.223    5.0306
11.198    5.0188
11.174    5.0291
11.150    5.0582
11.126    5.1581
11.102    5.3182
11.079    5.4065
11.055    5.3993
11.032    5.5606
11.008    5.7213
10.985    5.7359
10.962    5.8129
10.938    5.7998
10.915    5.8194
10.893    5.8416
10.870    5.8241
10.847    6.0296
10.824    6.2266
10.802    6.2418
10.779    6.1975
10.757    6.1991
10.735    6.2336
10.713    6.2687
10.690    6.4824
10.668    6.5774
10.647    6.5901
10.625    6.6131
