Name: Labradorite (Feldspar) (NaSi,CaAl)AlSi_2O_8
Type: Mineral
Class: Silicates
Subclass: Tectosilicates
Particle Size: 125-500um
Sample No.: TS-2A
Owner: JPL
Wavelength range: IR
Origin: Mexico, Sonora, Pinacate
Collected by Burminco
Description:   





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ts02aa.txt
15.385    3.4705
15.340    3.1903
15.294    2.7438
15.249    2.5021
15.205    2.4579
15.160    2.4115
15.116    2.2276
15.072    2.2679
15.028    2.5688
14.985    2.6101
14.942    2.5588
14.899    2.5921
14.856    2.6233
14.814    2.8580
14.772    2.9008
14.730    2.8083
14.688    2.7263
14.646    2.6842
14.605    2.7343
14.564    2.6701
14.523    2.4872
14.483    2.6475
14.442    2.8338
14.402    2.8692
14.362    2.9273
14.323    2.9375
14.283    2.9599
14.244    3.0881
14.205    3.1467
14.166    3.2610
14.128    3.3728
14.089    3.3113
14.051    3.1614
14.013    3.2443
13.975    3.1777
13.938    3.1805
13.900    3.0828
13.863    3.2142
13.826    3.5239
13.790    3.6307
13.753    3.5683
13.717    3.3737
13.680    3.4673
13.644    3.5563
13.608    3.5759
13.573    3.7000
13.537    3.7091
13.502    3.6242
13.467    3.6812
13.432    3.7468
13.398    3.7712
13.363    3.6492
13.329    3.4987
13.294    3.5853
13.260    3.6603
13.227    3.6100
13.193    3.5389
13.160    3.4567
13.126    3.3973
13.093    3.3789
13.060    3.3751
13.027    3.3384
12.995    3.2949
12.962    3.3464
12.930    3.4385
12.898    3.3177
12.866    3.1265
12.834    3.0575
12.802    3.1650
12.771    3.2630
12.739    3.2307
12.708    3.2203
12.677    3.1966
12.646    3.0925
12.615    3.0873
12.585    3.2691
12.554    3.3731
12.524    3.4336
12.494    3.5637
12.464    3.7056
12.434    3.5759
12.404    3.5377
12.374    3.8204
12.345    3.9299
12.316    3.9660
12.286    4.1705
12.257    4.3404
12.228    4.5488
12.200    4.6583
12.171    4.7034
12.143    4.7950
12.114    4.7584
12.086    4.8369
12.058    5.0412
12.030    5.3390
12.002    5.4614
11.974    5.4308
11.947    5.4092
11.919    5.4495
11.892    5.5558
11.865    5.7171
11.838    5.7657
11.811    5.8479
11.784    5.9481
11.757    5.9290
11.730    5.9082
11.704    6.0110
11.678    6.0989
11.651    6.1132
11.625    6.1974
11.599    6.2822
11.573    6.3730
11.547    6.4471
11.522    6.5316
11.496    6.6064
11.471    6.7328
11.445    6.8348
11.420    7.0016
11.395    7.2345
11.370    7.5138
11.345    7.7164
11.321    7.8824
11.296    8.0110
11.271    8.2817
11.247    8.5542
11.223    8.8174
11.198    9.1335
11.174    9.4126
11.150    9.6105
11.126    9.8177
11.102   10.0920
11.079   10.3778
11.055   10.7686
11.032   10.9879
11.008   11.0558
10.985   11.1321
10.962   11.3941
10.938   11.6929
10.915   12.0114
10.893   12.2677
10.870   12.4152
10.847   12.4813
10.824   12.5895
10.802   12.6979
10.779   12.7355
10.757   12.8809
10.735   13.1161
10.713   13.2456
10.690   13.3968
10.668   13.5242
10.647   13.5959
10.625   13.6634
10.603   13.6215
10.581   13.6052
10.560   13.6672
10.538   13.6614
10.517   13.7072
10.496   13.7715
10.474   13.6993
10.453   13.6228
10.432   13.5336
10.411   13.3890
10.390   13.3861
10.370   13.3721
10.349   13.3470
10.328   13.2578
10.308   13.1544
10.287   13.0582
10.267   13.0483
10.247   13.0182
10.227   13.0042
10.206   13.0628
10.186   13.0740
10.166   13.1328
10.146   13.1796
10.127   13.0590
10.107   13.0301
10.087   13.1381
10.068   13.1575
10.048   13.0940
10.029   13.0993
10.009   13.1044
 9.990   12.9408
 9.971   12.7121
 9.952   12.6640
 9.933   12.6843
 9.914   12.5594
 9.895   12.5341
 9.876   12.4769
 9.857   12.1501
 9.838   11.8778
 9.820   11.7842
 9.801   11.6700
 9.783   11.5639
 9.764   11.3484
 9.746   11.0939
 9.728   10.9150
 9.709   10.8056
 9.691   10.7218
 9.673   10.5015
 9.655   10.3974
 9.637   10.2594
 9.619   10.0773
 9.602    9.7815
 9.584    9.5503
 9.566    9.4232
 9.549    9.3022
 9.531    9.1706
 9.513    8.9926
 9.496    8.7045
 9.479    8.5279
 9.461    8.5622
 9.444    8.5028
 9.427    8.3749
