Name: Orthoclase (Feldspar) (K,Na)AlSi_3O_8
Type: Mineral
Class: Silicates
Subclass: Tectosilicates
Particle Size: 125-500um
Sample No.: TS-12A
Owner: JPL
Wavelength range: IR
Origin: India
Collected by Burminco
Description:   





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ts12aa.txt
15.385    2.6391
15.340    2.3809
15.294    2.2809
15.249    2.1793
15.205    1.8600
15.160    1.5444
15.116    1.3280
15.072    1.4679
15.028    1.7810
14.985    1.7400
14.942    1.6838
14.899    1.7090
14.856    1.8278
14.814    1.7107
14.772    1.6735
14.730    1.7852
14.688    1.9105
14.646    2.1118
14.605    2.1346
14.564    1.9874
14.523    2.0007
14.483    2.2382
14.442    2.3985
14.402    2.4306
14.362    2.5774
14.323    2.6559
14.283    2.5073
14.244    2.5549
14.205    2.7922
14.166    2.9650
14.128    3.1079
14.089    3.0480
14.051    3.1439
14.013    3.0872
13.975    2.9151
13.938    2.9674
13.900    3.1590
13.863    3.2763
13.826    3.3024
13.790    3.1803
13.753    2.9346
13.717    2.6702
13.680    2.5956
13.644    2.6944
13.608    2.8061
13.573    2.9006
13.537    2.8959
13.502    2.7399
13.467    2.6776
13.432    2.6192
13.398    2.7434
13.363    2.7346
13.329    2.5326
13.294    2.4607
13.260    2.7186
13.227    2.7028
13.193    2.6161
13.160    2.7966
13.126    2.9029
13.093    2.7857
13.060    2.7094
13.027    2.4968
12.995    2.3512
12.962    2.3736
12.930    2.4805
12.898    2.5302
12.866    2.4174
12.834    2.2605
12.802    2.2987
12.771    2.2573
12.739    2.2588
12.708    2.1978
12.677    2.1774
12.646    2.1505
12.615    2.0723
12.585    2.0680
12.554    1.9852
12.524    1.8864
12.494    1.9658
12.464    1.9393
12.434    1.7975
12.404    1.9321
12.374    2.0218
12.345    1.9828
12.316    2.0524
12.286    2.1990
12.257    2.4219
12.228    2.5350
12.200    2.4819
12.171    2.5115
12.143    2.6918
12.114    2.8331
12.086    2.7944
12.058    2.8279
12.030    2.9444
12.002    3.0242
11.974    3.1240
11.947    3.1851
11.919    3.1841
11.892    3.1613
11.865    3.1576
11.838    3.2181
11.811    3.3036
11.784    3.3397
11.757    3.3678
11.730    3.3857
11.704    3.4326
11.678    3.4032
11.651    3.4096
11.625    3.6403
11.599    3.7780
11.573    3.8424
11.547    3.8540
11.522    3.8250
11.496    3.7606
11.471    3.7357
11.445    3.9561
11.420    4.1075
11.395    4.0918
11.370    4.0823
11.345    4.1351
11.321    4.1551
11.296    4.1064
11.271    4.2980
11.247    4.4958
11.223    4.4302
11.198    4.4065
11.174    4.4852
11.150    4.5259
11.126    4.6574
11.102    4.8595
11.079    4.9579
11.055    5.0146
11.032    5.1677
11.008    5.1606
10.985    5.0299
10.962    5.0302
10.938    5.2946
10.915    5.5236
10.893    5.4907
10.870    5.4481
10.847    5.5148
10.824    5.6011
10.802    5.7909
10.779    5.9051
10.757    6.1288
10.735    6.2078
10.713    6.1501
10.690    6.2563
10.668    6.5383
10.647    6.7003
10.625    6.9078
10.603    7.0581
10.581    7.1961
10.560    7.4349
10.538    7.5626
10.517    7.5583
10.496    7.7301
10.474    8.1183
10.453    8.4616
10.432    8.6845
10.411    8.8397
10.390    9.0600
10.370    9.3625
10.349    9.6460
10.328    9.8925
10.308   10.2121
10.287   10.5369
10.267   10.8283
10.247   11.1512
10.227   11.4310
10.206   11.7836
10.186   12.1475
10.166   12.5248
10.146   12.8945
10.127   13.2474
10.107   13.5801
10.087   13.9970
10.068   14.3903
10.048   14.6994
10.029   15.0104
10.009   15.4590
 9.990   15.8808
 9.971   16.2151
 9.952   16.5695
 9.933   16.8638
 9.914   17.1431
 9.895   17.4387
 9.876   17.6002
 9.857   17.7036
 9.838   17.8886
 9.820   18.2089
 9.801   18.4269
 9.783   18.4246
 9.764   18.5559
 9.746   18.7049
 9.728   19.0270
 9.709   19.3865
 9.691   19.6064
 9.673   19.8282
 9.655   20.1462
 9.637   20.4759
 9.619   20.6262
 9.602   20.7853
 9.584   20.9177
 9.566   21.0039
 9.549   21.0597
 9.531   21.1301
 9.513   21.0595
 9.496   20.8538
 9.479   20.5676
 9.461   20.3808
 9.444   19.9791
 9.427   19.1063
 9.410   18.0904
