Name: Analcime NaAlSi_2O_6.H_2O
Type: Mineral
Class: Silicates
Subclass: Tectosilicates
Particle Size: 0-45um
Sample No.: TS-18A
Owner: JPL
Wavelength range: IR
Origin: 
Collected by JPL
Description: 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ts18aa.txt
15.385    1.6711
15.340    1.6390
15.294    2.0787
15.249    2.0238
15.205    1.6755
15.160    1.7996
15.116    2.1106
15.072    2.2903
15.028    2.1563
14.985    2.0697
14.942    2.1944
14.899    2.2671
14.856    2.2146
14.814    2.0966
14.772    2.0706
14.730    2.1118
14.688    2.1793
14.646    2.1125
14.605    2.1832
14.564    2.3387
14.523    2.2885
14.483    2.1973
14.442    1.9619
14.402    2.1111
14.362    2.2997
14.323    2.2715
14.283    2.3255
14.244    2.1245
14.205    2.0230
14.166    2.0757
14.128    2.0854
14.089    2.0981
14.051    2.2864
14.013    2.2317
13.975    2.1040
13.938    2.2077
13.900    2.1947
13.863    2.0878
13.826    2.0189
13.790    2.0788
13.753    2.1322
13.717    2.2413
13.680    2.2978
13.644    2.2428
13.608    2.0007
13.573    1.7892
13.537    1.7452
13.502    1.7627
13.467    1.8395
13.432    1.8391
13.398    1.8331
13.363    1.7062
13.329    1.5193
13.294    1.4829
13.260    1.5280
13.227    1.4996
13.193    1.5313
13.160    1.5512
13.126    1.5653
13.093    1.5492
13.060    1.4302
13.027    1.3931
12.995    1.2403
12.962    0.9745
12.930    0.8686
12.898    0.9644
12.866    1.0433
12.834    0.9823
12.802    1.0412
12.771    1.0289
12.739    1.0023
12.708    1.1364
12.677    1.3413
12.646    1.4411
12.615    1.6722
12.585    1.8761
12.554    1.8979
12.524    1.9447
12.494    2.1323
12.464    2.4322
12.434    2.8368
12.404    3.1618
12.374    3.5111
12.345    3.7493
12.316    3.9655
12.286    4.0838
12.257    4.2149
12.228    4.4676
12.200    4.7282
12.171    4.9631
12.143    5.2262
12.114    5.4926
12.086    5.7270
12.058    5.8487
12.030    6.0503
12.002    6.2681
11.974    6.4778
11.947    6.7044
11.919    6.9095
11.892    7.0507
11.865    7.2099
11.838    7.3020
11.811    7.4908
11.784    7.5619
11.757    7.6128
11.730    7.6619
11.704    7.6527
11.678    7.8152
11.651    8.0347
11.625    8.0673
11.599    8.0821
11.573    8.2097
11.547    8.2603
11.522    8.2599
11.496    8.3363
11.471    8.4457
11.445    8.5571
11.420    8.4911
11.395    8.4908
11.370    8.5556
11.345    8.5809
11.321    8.6195
11.296    8.6383
11.271    8.5999
11.247    8.5355
11.223    8.5180
11.198    8.5115
11.174    8.5354
11.150    8.5538
11.126    8.3772
11.102    8.2619
11.079    8.1881
11.055    8.1254
11.032    8.1965
11.008    8.0716
10.985    7.9547
10.962    7.8670
10.938    7.8907
10.915    7.8736
10.893    7.7432
10.870    7.6563
10.847    7.4539
10.824    7.3059
10.802    7.3231
10.779    7.3071
10.757    7.1664
10.735    6.9929
10.713    6.8883
10.690    6.7930
10.668    6.7848
10.647    6.6980
10.625    6.6062
10.603    6.5217
10.581    6.3059
10.560    6.1595
10.538    6.0444
10.517    6.0509
10.496    6.0788
10.474    6.0159
10.453    5.8343
10.432    5.7654
10.411    5.8074
10.390    5.8284
10.370    5.8291
10.349    5.6560
10.328    5.4880
10.308    5.4967
10.287    5.4910
10.267    5.5771
10.247    5.7164
10.227    5.7684
10.206    5.8213
10.186    5.8162
10.166    5.7086
10.146    5.7283
10.127    5.9049
10.107    6.0301
10.087    6.1291
10.068    6.1833
10.048    6.2398
10.029    6.3888
10.009    6.5471
 9.990    6.6461
 9.971    6.8294
 9.952    7.0134
 9.933    7.1377
 9.914    7.1820
 9.895    7.2977
 9.876    7.6165
 9.857    7.8094
 9.838    7.8449
 9.820    7.8992
 9.801    7.9502
 9.783    8.0203
 9.764    8.0924
 9.746    8.1381
 9.728    8.2411
 9.709    8.3347
 9.691    8.5252
 9.673    8.7913
 9.655    8.8736
 9.637    8.9509
 9.619    9.1418
 9.602    9.2472
 9.584    9.3028
 9.566    9.4699
 9.549    9.5247
 9.531    9.6214
 9.513    9.6700
 9.496    9.6976
 9.479    9.7583
 9.461    9.6474
 9.444    9.6549
 9.427    9.6790
 9.410    9.5520
 9.393    9.3712
