Name: Quartz SiO_2
Type: Mineral
Class: Silicates
Subclass: Tectosilicates
Particle Size: 45-125um
Sample No.: TS-1A
Owner: JPL
Wavelength range: IR
Origin: USA, Arkansas, Montgomery County, Mount Ida
Collected by Burminco
Description:  Rock crystal. 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ts01aa.txt
15.385    7.7317
15.340    7.4512
15.294    7.1268
15.249    7.2351
15.205    7.2283
15.160    6.9622
15.116    6.6518
15.072    6.3924
15.028    6.3732
14.985    6.5260
14.942    6.5946
14.899    6.3951
14.856    6.0714
14.814    5.9136
14.772    5.7684
14.730    5.4241
14.688    4.9379
14.646    4.7249
14.605    4.6091
14.564    4.4427
14.523    4.6045
14.483    4.8022
14.442    4.8146
14.402    4.7757
14.362    3.9947
14.323    3.1544
14.283    2.8930
14.244    3.0897
14.205    3.4661
14.166    3.7207
14.128    4.1236
14.089    4.6433
14.051    4.7541
14.013    4.8922
13.975    5.1119
13.938    5.2894
13.900    5.2901
13.863    5.4144
13.826    5.6643
13.790    5.7812
13.753    5.8996
13.717    6.1040
13.680    6.1617
13.644    6.0474
13.608    5.8691
13.573    5.9343
13.537    6.0324
13.502    5.8934
13.467    5.6857
13.432    5.7797
13.398    6.0295
13.363    6.0474
13.329    5.9503
13.294    6.0683
13.260    6.0786
13.227    6.0781
13.193    6.2107
13.160    6.2712
13.126    6.3092
13.093    6.4568
13.060    6.7893
13.027    7.0592
12.995    7.5030
12.962    8.3349
12.930    9.2387
12.898   10.1829
12.866   11.4076
12.834   12.4842
12.802   13.0380
12.771   12.8073
12.739   11.8268
12.708   10.4661
12.677    8.9844
12.646    8.0661
12.615    8.0952
12.585    8.9990
12.554   10.0903
12.524   11.0100
12.494   11.2778
12.464   10.7901
12.434    9.6150
12.404    7.5424
12.374    4.7587
12.345    2.3759
12.316    1.1428
12.286    0.9849
12.257    1.1245
12.228    1.3412
12.200    1.7048
12.171    1.8742
12.143    2.0111
12.114    2.2521
12.086    2.4879
12.058    2.7994
12.030    3.0221
12.002    3.2838
11.974    3.4796
11.947    3.5964
11.919    3.8530
11.892    4.0485
11.865    4.2030
11.838    4.3484
11.811    4.4885
11.784    4.5842
11.757    4.7777
11.730    5.0155
11.704    5.2658
11.678    5.4193
11.651    5.4910
11.625    5.5687
11.599    5.5517
11.573    5.6483
11.547    5.7658
11.522    5.6998
11.496    5.7697
11.471    5.9572
11.445    6.0476
11.420    6.1079
11.395    6.2055
11.370    6.1964
11.345    6.3242
11.321    6.4248
11.296    6.3528
11.271    6.4161
11.247    6.4838
11.223    6.4463
11.198    6.5610
11.174    6.6738
11.150    6.7407
11.126    6.7710
11.102    6.8358
11.079    6.9920
11.055    6.9448
11.032    6.9344
11.008    7.0079
10.985    7.1547
10.962    7.1486
10.938    7.1591
10.915    7.2281
10.893    7.1642
10.870    7.1314
10.847    7.3055
10.824    7.4055
10.802    7.3639
10.779    7.2706
10.757    7.3690
10.735    7.5276
10.713    7.4788
10.690    7.2695
10.668    7.2182
10.647    7.2836
