Name: Quartz SiO_2
Type: Mineral
Class: Silicates
Subclass: Tectosilicates
Particle Size: 45-125um
Sample No.: TS-1B
Owner: JPL
Wavelength range: IR
Origin: Brazil, Minas Gerais
Collected by Burminco
Description:  Smoky quartz. 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ts01ba.txt
15.385    7.1285
15.340    7.4886
15.294    7.4238
15.249    7.0364
15.205    7.0599
15.160    7.1895
15.116    7.0115
15.072    6.7820
15.028    6.5145
14.985    6.2558
14.942    6.1797
14.899    6.1093
14.856    6.1704
14.814    5.9262
14.772    5.4376
14.730    5.1956
14.688    5.2114
14.646    5.0587
14.605    4.8823
14.564    4.8664
14.523    4.5617
14.483    4.6062
14.442    4.8165
14.402    4.9020
14.362    4.4066
14.323    3.4207
14.283    2.8187
14.244    2.7859
14.205    3.1932
14.166    3.7445
14.128    4.1261
14.089    4.4471
14.051    4.4866
14.013    4.6261
13.975    4.9437
13.938    5.0714
13.900    5.1854
13.863    5.4975
13.826    5.7116
13.790    5.7896
13.753    5.9393
13.717    5.9469
13.680    5.7996
13.644    5.8214
13.608    5.9185
13.573    5.8925
13.537    5.7921
13.502    5.8728
13.467    5.8927
13.432    5.8417
13.398    5.8450
13.363    5.8829
13.329    5.9808
13.294    6.0134
13.260    6.0813
13.227    6.1945
13.193    6.1053
13.160    6.1504
13.126    6.4328
13.093    6.6783
13.060    6.9905
13.027    7.2337
12.995    7.5060
12.962    8.1638
12.930    9.1575
12.898   10.2479
12.866   11.5465
12.834   12.6598
12.802   13.1230
12.771   12.8570
12.739   11.9073
12.708   10.4453
12.677    8.9475
12.646    8.0712
12.615    8.1179
12.585    8.9923
12.554    9.9970
12.524   10.7796
12.494   11.1613
12.464   10.8953
12.434    9.9272
12.404    7.7860
12.374    4.8202
12.345    2.4762
12.316    1.3852
12.286    1.0893
12.257    0.9895
12.228    1.2721
12.200    1.5036
12.171    1.7413
12.143    2.0769
12.114    2.2113
12.086    2.4607
12.058    2.7231
12.030    2.9594
12.002    3.1605
11.974    3.2493
11.947    3.5217
11.919    3.7592
11.892    3.8927
11.865    4.0089
11.838    4.1276
11.811    4.3795
11.784    4.6498
11.757    4.7515
11.730    4.8998
11.704    4.9912
11.678    5.0186
11.651    4.9979
11.625    5.0519
11.599    5.3174
11.573    5.5214
11.547    5.5584
11.522    5.7429
11.496    5.9334
11.471    5.8923
11.445    5.7325
11.420    5.8612
11.395    6.0903
11.370    6.2336
11.345    6.3175
11.321    6.3494
11.296    6.2668
11.271    6.2478
11.247    6.3380
11.223    6.4418
11.198    6.3819
11.174    6.4008
11.150    6.4469
11.126    6.6636
11.102    6.7998
11.079    6.7825
11.055    6.8769
11.032    7.0137
11.008    7.0767
10.985    6.9958
10.962    6.9588
10.938    7.0117
10.915    7.1787
10.893    7.2411
10.870    7.1855
10.847    7.2069
10.824    7.2875
10.802    7.2805
10.779    7.1534
10.757    7.1347
10.735    7.1998
10.713    7.1842
10.690    7.1183
10.668    7.1736
10.647    7.1914
10.625    7.2142
