Name: Quartz SiO_2
Type: Mineral
Class: Silicates
Subclass: Tectosilicates
Particle Size: 45-125um
Sample No.: TS-1C
Owner: JPL
Wavelength range: IR
Origin: USA, South Dakota, Custer County, Custer
Collected by Ward's
Description:  Rose quartz. 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ts01ca.txt
15.385    6.7492
15.340    6.7658
15.294    6.6135
15.249    6.5332
15.205    6.6113
15.160    6.6788
15.116    6.4421
15.072    6.2805
15.028    6.2103
14.985    5.7400
14.942    5.6598
14.899    5.7578
14.856    5.4395
14.814    5.1598
14.772    5.1578
14.730    4.9099
14.688    4.7415
14.646    4.8125
14.605    4.6109
14.564    4.5011
14.523    4.4924
14.483    4.4574
14.442    4.5470
14.402    4.3326
14.362    3.7838
14.323    3.1586
14.283    2.7815
14.244    2.7961
14.205    3.2260
14.166    3.6433
14.128    3.6615
14.089    3.8160
14.051    4.1907
14.013    4.3974
13.975    4.5866
13.938    4.4829
13.900    4.4466
13.863    4.8433
13.826    5.0752
13.790    5.0953
13.753    5.2532
13.717    5.4156
13.680    5.2980
13.644    5.1026
13.608    5.0008
13.573    5.2332
13.537    5.3741
13.502    5.3720
13.467    5.4451
13.432    5.5438
13.398    5.6043
13.363    5.5349
13.329    5.5524
13.294    5.6838
13.260    5.6502
13.227    5.7686
13.193    6.0212
13.160    5.9956
13.126    5.9648
13.093    6.2742
13.060    6.6927
13.027    7.0291
12.995    7.3280
12.962    7.9513
12.930    8.7954
12.898    9.9993
12.866   11.1475
12.834   12.0709
12.802   12.6543
12.771   12.3813
12.739   11.3160
12.708    9.8740
12.677    8.4836
12.646    7.8432
12.615    8.0072
12.585    8.6060
12.554    9.4492
12.524   10.4661
12.494   10.9272
12.464   10.5596
12.434    9.2483
12.404    7.1340
12.374    4.4963
12.345    2.3056
12.316    1.1699
12.286    0.9186
12.257    1.0057
12.228    1.1409
12.200    1.3361
12.171    1.5787
12.143    1.9605
12.114    2.1898
12.086    2.2392
12.058    2.4403
12.030    2.7102
12.002    2.9011
11.974    3.0452
11.947    3.2635
11.919    3.4462
11.892    3.6484
11.865    3.7074
11.838    3.8215
11.811    4.0039
11.784    4.3141
11.757    4.4146
11.730    4.5139
11.704    4.7020
11.678    4.7242
11.651    4.7298
11.625    4.7461
11.599    4.8501
11.573    4.9672
11.547    5.0080
11.522    5.0692
11.496    5.1416
11.471    5.2672
11.445    5.3422
11.420    5.3964
11.395    5.5820
11.370    5.7045
11.345    5.7155
11.321    5.6882
11.296    5.7753
11.271    5.8591
11.247    5.8029
11.223    5.9020
11.198    5.8998
11.174    5.9131
11.150    6.0204
11.126    6.0952
11.102    6.1658
11.079    6.3038
11.055    6.5350
11.032    6.5024
11.008    6.3810
10.985    6.4903
10.962    6.5378
10.938    6.5758
10.915    6.5383
10.893    6.5477
10.870    6.7152
10.847    6.7104
10.824    6.6868
10.802    6.6250
10.779    6.6608
10.757    6.7660
10.735    6.7218
10.713    6.6372
10.690    6.5678
10.668    6.5535
10.647    6.5770
