Name: Quartz SiO_2
Type: Mineral
Class: Silicates
Subclass: Tectosilicates
Particle Size: 45-125um
Sample No.: TS-1E
Owner: JPL
Wavelength range: IR
Origin: 
Collected by JPL
Description:  Crysoprase 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ts01ea.txt
15.385    3.3546
15.340    3.6036
15.294    3.4610
15.249    3.0612
15.205    3.0826
15.160    3.4855
15.116    3.4865
15.072    3.1507
15.028    3.0258
14.985    3.0271
14.942    3.0346
14.899    2.9482
14.856    2.8043
14.814    2.7586
14.772    2.8747
14.730    2.7174
14.688    2.7014
14.646    2.9495
14.605    2.9074
14.564    2.7927
14.523    2.8845
14.483    3.1104
14.442    3.0715
14.402    2.9568
14.362    2.8226
14.323    2.4862
14.283    2.2666
14.244    2.1530
14.205    2.1317
14.166    2.3196
14.128    2.4504
14.089    2.4322
14.051    2.6334
14.013    2.7882
13.975    2.7428
13.938    2.8515
13.900    2.8903
13.863    2.9988
13.826    3.1602
13.790    3.3402
13.753    3.3926
13.717    3.3663
13.680    3.4264
13.644    3.5549
13.608    3.5072
13.573    3.5167
13.537    3.5186
13.502    3.5914
13.467    3.7979
13.432    3.9587
13.398    3.9293
13.363    3.8800
13.329    3.7822
13.294    3.7265
13.260    4.0451
13.227    4.2290
13.193    4.1148
13.160    4.1509
13.126    4.3405
13.093    4.4775
13.060    4.6112
13.027    5.0104
12.995    5.2446
12.962    5.5403
12.930    6.0818
12.898    6.8204
12.866    7.4420
12.834    7.8789
12.802    7.9100
12.771    7.5455
12.739    7.1329
12.708    6.5278
12.677    5.8287
12.646    5.5172
12.615    5.7129
12.585    6.1839
12.554    6.5494
12.524    6.8366
12.494    6.7038
12.464    6.3471
12.434    5.6395
12.404    4.1950
12.374    2.6245
12.345    1.4830
12.316    0.9156
12.286    0.8493
12.257    0.7565
12.228    0.8402
12.200    0.9276
12.171    1.0135
12.143    1.2333
12.114    1.5250
12.086    1.7565
12.058    1.7044
12.030    1.8157
12.002    2.1579
11.974    2.3182
11.947    2.2596
11.919    2.2820
11.892    2.4400
11.865    2.5519
11.838    2.7213
11.811    2.8136
11.784    2.9272
11.757    3.0197
11.730    2.9261
11.704    2.9492
11.678    3.0898
11.651    3.1167
11.625    3.2006
11.599    3.2818
11.573    3.2933
11.547    3.3502
11.522    3.5341
11.496    3.6013
11.471    3.5922
11.445    3.5278
11.420    3.5877
11.395    3.7452
11.370    3.7032
11.345    3.5964
11.321    3.5801
11.296    3.6814
11.271    3.7724
11.247    3.7780
11.223    3.7780
11.198    3.8911
11.174    3.9567
11.150    3.9565
11.126    3.9656
11.102    3.9877
11.079    4.0654
11.055    4.0031
11.032    3.9652
11.008    4.0687
10.985    4.0807
10.962    4.0068
10.938    4.0355
10.915    4.2705
10.893    4.3671
10.870    4.2710
10.847    4.2059
10.824    4.2923
10.802    4.2723
10.779    4.2358
10.757    4.3976
10.735    4.4986
10.713    4.4097
10.690    4.3515
10.668    4.5137
10.647    4.6284
10.625    4.6380
10.603    4.5209
