Name: Natrolite Na_2Al_2Si_3O_10.2H_2O
Type: Mineral
Class: Silicates
Subclass: Tectosilicates
Particle Size: 45-125um
Sample No.: TS-8A
Owner: JPL
Wavelength range: IR
Origin: India, Maharashtra, Poona
Collected by Ward's
Description: 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ts08aa.txt
15.385    2.6866
15.340    2.9688
15.294    3.0645
15.249    3.0460
15.205    2.6865
15.160    2.4061
15.116    2.4600
15.072    2.3317
15.028    2.1585
14.985    2.2246
14.942    2.1679
14.899    1.8950
14.856    1.8936
14.814    2.1543
14.772    2.2796
14.730    2.3008
14.688    2.1278
14.646    1.9047
14.605    1.9003
14.564    1.9162
14.523    1.8539
14.483    1.8402
14.442    1.6877
14.402    1.4738
14.362    1.3228
14.323    1.3698
14.283    1.4452
14.244    1.2016
14.205    0.9099
14.166    0.7888
14.128    0.8653
14.089    0.8419
14.051    0.6497
14.013    0.5977
13.975    0.8078
13.938    1.0361
13.900    0.9793
13.863    0.8412
13.826    0.7961
13.790    0.8606
13.753    0.9611
13.717    1.0636
13.680    0.9996
13.644    1.0042
13.608    1.1269
13.573    1.0791
13.537    1.1073
13.502    1.3202
13.467    1.4842
13.432    1.4346
13.398    1.6263
13.363    1.8832
13.329    1.9774
13.294    2.0196
13.260    1.9575
13.227    1.8879
13.193    2.0523
13.160    2.1446
13.126    2.0976
13.093    2.0969
13.060    2.1241
13.027    2.2780
12.995    2.6088
12.962    2.6471
12.930    2.6163
12.898    2.5927
12.866    2.6217
12.834    2.8378
12.802    2.8315
12.771    2.9169
12.739    3.0698
12.708    3.1171
12.677    3.1193
12.646    3.1462
12.615    3.2739
12.585    3.3541
12.554    3.3651
12.524    3.4632
12.494    3.5804
12.464    3.6226
12.434    3.7225
12.404    3.7771
12.374    3.8259
12.345    3.7547
12.316    3.8583
12.286    3.9751
12.257    3.9265
12.228    4.0455
12.200    4.1274
12.171    4.1224
12.143    4.1442
12.114    4.3027
12.086    4.4081
12.058    4.4111
12.030    4.5116
12.002    4.4189
11.974    4.4239
11.947    4.7090
11.919    4.8277
11.892    4.8108
11.865    4.8392
11.838    4.8816
11.811    4.9449
11.784    4.9688
11.757    4.9236
11.730    4.8834
11.704    4.8361
11.678    4.8245
11.651    4.8629
11.625    4.8068
11.599    4.7354
11.573    4.7289
11.547    4.7573
11.522    4.7793
11.496    4.7256
11.471    4.7975
11.445    5.0192
11.420    5.1280
11.395    5.1118
11.370    5.0800
11.345    5.1166
11.321    5.1558
11.296    5.2033
11.271    5.3033
11.247    5.3375
11.223    5.4034
11.198    5.2941
11.174    5.2545
11.150    5.3199
11.126    5.4017
11.102    5.4628
11.079    5.4534
11.055    5.5018
11.032    5.5655
11.008    5.7207
10.985    5.7039
10.962    5.7675
10.938    5.8432
10.915    5.8393
10.893    6.0009
10.870    6.1727
10.847    6.2489
10.824    6.3632
10.802    6.5080
10.779    6.7180
10.757    6.8674
10.735    7.1050
10.713    7.5068
10.690    7.7538
10.668    7.8884
10.647    8.1514
10.625    8.4689
10.603    8.8260
10.581    9.2529
10.560    9.6660
10.538   10.1845
10.517   10.7867
10.496   11.5856
10.474   12.4710
10.453   13.5851
10.432   14.8835
10.411   16.5464
10.390   18.4122
10.370   19.9343
10.349   20.5013
10.328   20.0189
10.308   19.4698
10.287   19.2517
10.267   18.9563
10.247   18.7118
10.227   18.9494
10.206   19.8692
10.186   21.1586
10.166   22.6415
10.146   24.2587
10.127   25.8496
10.107   27.0625
10.087   27.4809
10.068   26.9606
10.048   26.0235
10.029   25.7810
10.009   26.4990
 9.990   27.2216
 9.971   27.2877
 9.952   26.7316
 9.933   25.8466
 9.914   25.0581
 9.895   24.4678
 9.876   23.5495
 9.857   22.0008
 9.838   19.8528
 9.820   17.3405
 9.801   14.5540
 9.783   11.6205
 9.764    8.4778
 9.746    5.3251
 9.728    3.0155
 9.709    1.9221
 9.691    1.8251
 9.673    2.3713
 9.655    3.3947
 9.637    4.8085
 9.619    6.6791
 9.602    8.5452
 9.584   10.2169
 9.566   11.7145
 9.549   12.7291
 9.531   13.5484
 9.513   14.3087
 9.496   15.2098
 9.479   16.0533
 9.461   16.6462
 9.444   17.1812
 9.427   17.3806
