Name: Stilbite NaCa_2Al_5Si_3O_36.14H_2O
Type: Mineral
Class: Silicates
Subclass: Tectosilicates
Particle Size: 45-125um
Sample No.: TS-9A
Owner: JPL
Wavelength range: IR
Origin: India
Collected by Grieger's Inc.
Description: 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: ts09aa.txt
15.385    0.9836
15.340    1.3180
15.294    1.3596
15.249    0.8694
15.205    0.8982
15.160    1.1707
15.116    1.3485
15.072    1.2292
15.028    1.0629
14.985    1.0918
14.942    1.5054
14.899    1.7152
14.856    1.5034
14.814    1.3826
14.772    1.4737
14.730    1.4605
14.688    1.5435
14.646    1.5373
14.605    1.5030
14.564    1.5288
14.523    1.5314
14.483    1.6634
14.442    1.7403
14.402    1.7030
14.362    1.4138
14.323    1.4821
14.283    1.5411
14.244    1.5346
14.205    1.6529
14.166    1.8353
14.128    1.9011
14.089    1.9629
14.051    1.8407
14.013    1.5664
13.975    1.5052
13.938    1.7422
13.900    1.8838
13.863    1.7128
13.826    1.6582
13.790    1.6955
13.753    1.6131
13.717    1.6096
13.680    1.4791
13.644    1.3437
13.608    1.2916
13.573    1.3096
13.537    1.4347
13.502    1.6203
13.467    1.5220
13.432    1.4704
13.398    1.5904
13.363    1.5760
13.329    1.6857
13.294    1.8335
13.260    1.6159
13.227    1.5561
13.193    1.6402
13.160    1.7257
13.126    1.7444
13.093    1.6400
13.060    1.6302
13.027    1.8202
12.995    1.7861
12.962    1.6856
12.930    1.7608
12.898    1.8097
12.866    1.7272
12.834    1.6464
12.802    1.7380
12.771    1.6994
12.739    1.6664
12.708    1.6292
12.677    1.5353
12.646    1.6017
12.615    1.7414
12.585    1.6867
12.554    1.6521
12.524    1.7494
12.494    1.8143
12.464    1.8919
12.434    1.8238
12.404    1.6947
12.374    1.7395
12.345    1.8139
12.316    1.8374
12.286    1.9338
12.257    2.0869
12.228    2.0084
12.200    1.9581
12.171    2.1583
12.143    2.4360
12.114    2.5358
12.086    2.5532
12.058    2.5796
12.030    2.5601
12.002    2.5457
11.974    2.6595
11.947    2.8199
11.919    2.8540
11.892    2.7747
11.865    2.8324
11.838    2.8990
11.811    3.0152
11.784    3.0635
11.757    3.0797
11.730    3.0616
11.704    3.0786
11.678    3.2524
11.651    3.2542
11.625    3.2869
11.599    3.3111
11.573    3.3392
11.547    3.2965
11.522    3.3334
11.496    3.4495
11.471    3.5504
11.445    3.7056
11.420    3.7519
11.395    3.6689
11.370    3.6854
11.345    3.8342
11.321    3.8455
11.296    3.8397
11.271    3.8459
11.247    3.8321
11.223    3.8295
11.198    3.8788
11.174    3.9879
11.150    4.0738
11.126    4.0561
11.102    3.9985
11.079    4.0566
11.055    4.1225
11.032    4.1682
11.008    4.3376
10.985    4.3468
10.962    4.2976
10.938    4.3321
10.915    4.3757
10.893    4.4583
10.870    4.4762
10.847    4.5317
10.824    4.6290
10.802    4.7821
10.779    4.8943
10.757    4.9014
10.735    4.8744
10.713    4.9634
10.690    4.9864
10.668    4.9925
10.647    5.2061
10.625    5.3726
10.603    5.4167
10.581    5.4892
10.560    5.5306
10.538    5.6573
10.517    5.9176
10.496    6.0145
10.474    6.0586
10.453    6.2837
10.432    6.5329
10.411    6.6969
10.390    6.9247
10.370    7.2018
10.349    7.3529
10.328    7.5636
10.308    7.7531
10.287    7.8853
10.267    8.1646
10.247    8.4534
10.227    8.7953
10.206    9.1453
10.186    9.3577
10.166    9.6411
10.146    9.9802
10.127   10.2353
10.107   10.3803
10.087   10.6764
10.068   11.0195
10.048   11.2546
10.029   11.4964
10.009   11.6830
 9.990   11.8662
 9.971   12.1350
 9.952   12.4237
 9.933   12.6660
 9.914   13.0251
 9.895   13.3017
 9.876   13.5876
 9.857   13.8317
 9.838   14.1150
 9.820   14.4400
 9.801   14.7314
 9.783   15.0577
 9.764   15.2773
 9.746   15.6009
 9.728   15.9885
 9.709   16.2776
 9.691   16.5176
 9.673   16.7197
 9.655   16.9534
 9.637   17.1807
 9.619   17.4282
 9.602   17.7484
 9.584   18.0171
 9.566   18.2482
 9.549   18.3538
 9.531   18.4690
 9.513   18.8003
 9.496   19.0953
 9.479   19.1922
 9.461   19.2607
 9.444   19.4366
 9.427   19.6672
 9.410   19.7534
