Name: Tschermigite (NH_4)Al(SO_4)_2.12H_2O
Type: Mineral
Class: Sulfates
Subclass: 
Particle Size: 0-45um
Sample No.: SO-6A
Owner: JPL
Wavelength range: IR
Origin: USA, Nevada, Esmeralda County, Silver Peak
Collected by Burminco
Description: 





Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 15.3853
Last X Value: 2.00032
Number of X Values: 2256
Additional information: so06aa.txt
15.385    0.8536
15.340    0.7336
15.294    0.8649
15.249    1.0941
15.205    1.1596
15.160    1.1980
15.116    1.0188
15.072    1.0341
15.028    1.3243
14.985    1.3201
14.942    1.1002
14.899    1.1088
14.856    1.1930
14.814    1.1722
14.772    1.0744
14.730    0.9025
14.688    0.9301
14.646    1.1635
14.605    1.1908
14.564    1.0625
14.523    1.0546
14.483    0.9151
14.442    0.8588
14.402    1.1104
14.362    1.1568
14.323    1.0489
14.283    0.7914
14.244    0.8506
14.205    0.9368
14.166    0.9079
14.128    0.9082
14.089    0.8988
14.051    0.7158
14.013    0.7147
13.975    0.8806
13.938    0.8850
13.900    0.8878
13.863    0.9178
13.826    0.7791
13.790    0.7250
13.753    0.7898
13.717    0.8910
13.680    0.7733
13.644    0.7147
13.608    0.7435
13.573    0.7431
13.537    0.5474
13.502    0.5559
13.467    0.5760
13.432    0.5762
13.398    0.5676
13.363    0.6978
13.329    0.6647
13.294    0.7002
13.260    0.8839
13.227    0.8216
13.193    0.6864
13.160    0.7135
13.126    0.8435
13.093    0.9237
13.060    0.7421
13.027    0.6757
12.995    0.7325
12.962    0.7927
12.930    0.7497
12.898    0.8000
12.866    0.8436
12.834    0.7297
12.802    0.7335
12.771    0.8615
12.739    0.8471
12.708    0.9122
12.677    0.9886
12.646    1.0588
12.615    1.1638
12.585    1.0903
12.554    0.9834
12.524    0.8905
12.494    0.9766
12.464    1.2012
12.434    1.1530
12.404    1.0479
12.374    1.0347
12.345    1.1305
12.316    1.2272
12.286    1.2191
12.257    1.2667
12.228    1.2251
12.200    1.2404
12.171    1.2928
12.143    1.2048
12.114    1.1107
12.086    1.1664
12.058    1.3967
12.030    1.4170
12.002    1.3431
11.974    1.2600
11.947    1.3000
11.919    1.3939
11.892    1.4245
11.865    1.3088
11.838    1.1405
11.811    1.1406
11.784    1.3375
11.757    1.4752
11.730    1.3587
11.704    1.2447
11.678    1.2659
11.651    1.3115
11.625    1.2607
11.599    1.2814
11.573    1.3455
11.547    1.4202
11.522    1.4907
11.496    1.3857
11.471    1.2204
11.445    1.2410
11.420    1.2849
11.395    1.2557
11.370    1.1839
11.345    1.1760
11.321    1.2712
11.296    1.3066
11.271    1.2822
11.247    1.2703
11.223    1.0963
11.198    1.0640
11.174    1.0692
11.150    1.1431
11.126    1.2619
11.102    1.2058
11.079    1.1170
11.055    1.1441
11.032    1.2210
11.008    1.1829
10.985    1.1584
10.962    1.0844
10.938    1.0326
10.915    1.0255
10.893    1.0800
10.870    1.0544
10.847    1.0325
10.824    1.0502
10.802    1.0982
10.779    1.1055
10.757    1.0718
10.735    1.0851
10.713    1.0870
10.690    1.0849
10.668    1.0883
10.647    1.0382
10.625    1.0931
10.603    1.0142
10.581    0.9486
10.560    1.0440
10.538    1.0693
10.517    1.0381
10.496    1.1597
10.474    1.1611
10.453    1.1250
10.432    1.1049
10.411    1.0773
10.390    1.1063
10.370    1.1795
10.349    1.2304
10.328    1.2522
10.308    1.1913
10.287    1.2655
10.267    1.4017
10.247    1.3466
10.227    1.2448
10.206    1.2283
10.186    1.3532
10.166    1.3423
10.146    1.3427
10.127    1.5022
10.107    1.6000
10.087    1.5290
10.068    1.4979
10.048    1.6191
10.029    1.6539
10.009    1.6443
 9.990    1.6944
 9.971    1.6944
 9.952    1.7141
 9.933    1.7954
 9.914    1.8145
 9.895    1.8658
 9.876    1.9467
 9.857    1.9271
 9.838    1.8491
 9.820    1.8927
 9.801    1.9878
 9.783    1.8811
 9.764    1.8180
 9.746    1.8974
 9.728    1.9313
 9.709    2.0122
 9.691    2.0817
 9.673    2.0110
 9.655    1.9054
 9.637    1.8356
 9.619    1.8969
 9.602    1.9941
 9.584    2.0468
 9.566    2.1967
 9.549    2.1955
 9.531    1.9767
 9.513    2.0649
 9.496    2.2380
 9.479    2.2999
 9.461    2.2407
 9.444    2.2043
 9.427    2.2177
