Name: Obsidian
Type: Rock
Class: Igneous
Subclass:  Felsic 
Particle Size: Solid surface
Sample No.: Ward01.txt
Owner: JPL
Wavelength range:  IR 
Origin: Ward's Collection of American Rocks.  Sample locality - Lake County, Oregon.
Collected by:  Ward's Natural Science
Description: A jet black glass with conchoidal fracture.  Thin edge
sometimes show parallel flow bands.  Geologic age - Tertiary.
Geologic Name - Glass Buttes Series.



Measurement: Hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 15.3871
Last X Value: 1.9998
Number of X Values: 2257
Additional information: None
15.387    5.0977
15.342    5.0722
15.296    5.1259
15.251    5.5680
15.207    5.7771
15.162    5.6770
15.118    5.4024
15.074    5.3699
15.030    5.6731
14.987    5.6627
14.944    5.8046
14.901    5.9966
14.858    5.8405
14.816    5.7264
14.773    5.8062
14.731    5.8333
14.690    5.8765
14.648    6.0011
14.607    6.0914
14.566    6.1183
14.525    6.3783
14.485    6.4081
14.444    6.0166
14.404    5.8604
14.364    6.0989
14.325    6.2643
14.285    6.4636
14.246    6.5017
14.207    6.4500
14.168    6.2385
14.129    6.2479
14.091    6.3939
14.053    6.4676
14.015    6.5964
13.977    6.5318
13.939    6.4212
13.902    6.4389
13.865    6.4595
13.828    6.5896
13.791    6.6200
13.755    6.5438
13.718    6.6599
13.682    6.6763
13.646    6.3941
13.610    6.3953
13.575    6.5756
13.539    6.5625
13.504    6.6003
13.469    6.5829
13.434    6.5584
13.399    6.6443
13.365    6.4970
13.330    6.4325
13.296    6.5243
13.262    6.5650
13.228    6.6101
13.195    6.8688
13.161    6.9110
13.128    6.9001
13.095    6.9546
13.062    6.9492
13.029    6.9406
12.996    7.0435
12.964    7.1093
12.931    7.1740
12.899    7.0789
12.867    6.8937
12.835    6.8514
12.804    6.9014
12.772    6.9496
12.741    6.9620
12.710    6.9423
12.678    6.9771
12.648    6.8723
12.617    6.8074
12.586    6.6555
12.556    6.6837
12.525    6.6441
12.495    6.3885
12.465    6.2411
12.435    6.2247
12.405    6.1806
12.376    6.0702
12.346    5.9072
12.317    5.7888
12.288    5.8213
12.259    5.8883
12.230    5.8632
12.201    5.8300
12.172    5.7802
12.144    5.7329
12.116    5.6692
12.087    5.5521
12.059    5.4644
12.031    5.6011
12.003    5.8527
11.976    6.0571
11.948    5.8755
11.921    5.8108
11.893    5.9230
11.866    6.1242
11.839    6.3854
11.812    6.3680
11.785    6.3439
11.758    6.6019
11.732    6.8832
11.705    7.1513
11.679    7.2741
11.653    7.3195
11.627    7.4054
11.601    7.5705
11.575    7.6346
11.549    7.8549
11.523    8.1583
11.498    8.2156
11.472    8.2465
11.447    8.3856
11.422    8.4817
11.397    8.6698
11.372    8.8611
11.347    8.8853
11.322    8.9366
11.297    9.0791
11.273    9.2111
11.248    9.4063
11.224    9.6451
11.200    9.7117
11.176    9.6332
11.152    9.8844
11.128   10.2138
11.104   10.2446
11.080   10.2849
11.056   10.4264
11.033   10.5703
11.009   10.8499
10.986   11.0307
10.963   11.1839
10.940   11.2435
10.917   11.3233
10.894   11.5454
10.871   11.6595
10.848   11.7679
10.826   12.0583
10.803   12.2979
10.781   12.6002
10.758   12.8520
10.736   12.9817
10.714   13.0433
10.692   13.1474
10.670   13.4134
10.648   13.5857
10.626   13.7001
10.604   13.9271
10.583   14.1374
10.561   14.3452
10.540   14.7283
10.518   15.0474
10.497   15.0851
10.476   15.3659
10.455   15.7434
10.434   15.9771
10.413   16.1460
10.392   16.3735
10.371   16.7060
10.350   17.0205
10.330   17.2716
10.309   17.6349
10.289   17.9141
10.268   18.0336
10.248   18.2722
10.228   18.7042
10.208   18.9161
10.188   19.2703
10.168   19.6554
10.148   19.9352
10.128   20.1731
10.108   20.5618
10.089   20.9525
10.069   21.1556
10.049   21.4315
10.030   21.8725
10.011   22.1525
 9.991   22.5002
 9.972   22.8153
 9.953   23.1012
 9.934   23.4762
 9.915   23.7382
 9.896   24.0760
 9.877   24.5243
 9.858   24.8996
 9.840   25.1311
 9.821   25.3438
 9.802   25.6898
 9.784   26.1471
 9.765   26.5569
 9.747   26.8514
 9.729   27.1286
 9.711   27.3231
 9.693   27.6622
 9.674   28.0114
 9.656   28.4049
 9.638   28.7186
 9.620   29.0018
 9.603   29.3625
 9.585   29.8273
 9.567   30.2455
 9.550   30.6710
 9.532   31.1308
 9.515   31.3581
 9.497   31.7795
 9.480   32.2830
 9.463   32.6139
 9.445   32.9419
 9.428   33.2548
 9.411   33.6291
 9.394   34.0027
 9.377   34.4896
 9.360   34.7780
 9.343   35.1417
 9.326   35.6362
 9.310   36.1270
 9.293   36.5329
 9.276   36.8846
 9.260   37.1836
 9.243   37.5595
 9.227   37.8900
 9.210   37.9733
 9.194   38.0905
 9.178   38.2319
 9.162   38.1191
 9.145   38.0873
 9.129   37.9725
 9.113   37.6449
 9.097   37.2374
 9.081   36.8984
 9.066   36.3788
 9.050   35.7705
 9.034   35.0498
 9.018   34.3592
 9.002   33.7007
 8.987   32.9846
