Name: White kaolinitic sandstone
Type:  Rocks
Class: Sedimentary
Subclass: Arenaceous
Particle Size:  see additional information
Sample No.: fge1
Owner:  University of NSW
Wavelength range:  All
Origin: Nundooka Sandstone, Fowlers Gap, western New South Wales, Australia
Hewson(1998) PhD thesis 
Description: Fine to medium grained sandstone with kaolinitic matrix
with calcrete coating
Physiography: Forms hillsides and resistant bluffs above broad floodplains



Measurement:  Directional hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.983
Last X Value:  2.0795
Number of X Values:  2148
Additional information:  fge1a.txt
14.983    3.3243
14.940    2.6454
14.897    2.6707
14.854    2.9713
14.812    3.3704
14.770    3.8364
14.728    3.1746
14.686    2.2463
14.645    1.9122
14.603    2.5128
14.562    3.0647
14.521    2.7348
14.481    2.6394
14.441    3.1336
14.400    3.1812
14.361    2.5810
14.321    2.1282
14.281    2.1901
14.242    1.9621
14.203    2.0213
14.164    2.3394
14.126    2.3295
14.087    2.3772
14.049    2.6445
14.011    2.7340
13.973    2.7077
13.936    2.6246
13.899    2.6196
13.861    2.8732
13.824    2.9689
13.788    2.9443
13.751    2.9804
13.715    3.0173
13.679    3.0612
13.643    3.0803
13.607    3.0845
13.571    3.2227
13.536    3.3270
13.500    3.2872
13.465    3.3052
13.430    3.3080
13.396    3.2765
13.361    3.3032
13.327    3.4032
13.293    3.4964
13.259    3.5623
13.225    3.6356
13.191    3.7009
13.158    3.7405
13.124    3.8674
13.091    4.0599
13.058    4.1629
13.026    4.4019
12.993    4.7058
12.960    5.0229
12.928    5.3936
12.896    5.9006
12.864    6.3410
12.832    6.5979
12.800    6.6686
12.769    6.4521
12.737    5.9004
12.706    5.2267
12.675    4.7069
12.644    4.5297
12.614    4.6388
12.583    4.9180
12.552    5.2700
12.522    5.4790
12.492    5.4082
12.462    5.0911
12.432    4.6102
12.402    3.7185
12.373    2.6066
12.343    1.8390
12.314    1.4834
12.285    1.4043
12.256    1.4437
12.227    1.4841
12.198    1.6108
12.169    1.7943
12.141    1.8798
12.113    1.9505
12.084    2.0967
12.056    2.1600
12.028    2.2131
12.000    2.3134
11.973    2.4231
11.945    2.4610
11.918    2.5051
11.890    2.6266
11.863    2.6811
11.836    2.7122
11.809    2.7295
11.782    2.7394
11.755    2.8238
11.729    2.8795
11.702    2.9738
11.676    3.0508
11.650    3.0968
11.624    3.1137
11.598    3.1107
11.572    3.1512
11.546    3.2142
11.520    3.2401
11.495    3.2602
11.469    3.2761
11.444    3.2869
11.419    3.2968
11.394    3.3463
11.369    3.3872
11.344    3.4612
11.319    3.5208
11.294    3.5964
11.270    3.6317
11.245    3.6414
11.221    3.6649
11.197    3.7102
11.173    3.7393
11.149    3.7936
11.125    3.8766
11.101    3.9795
11.077    4.0372
11.054    4.1209
11.030    4.2070
11.007    4.2726
10.983    4.3558
10.960    4.3698
10.937    4.3655
10.914    4.3925
10.891    4.3240
10.868    4.2374
10.846    4.2139
10.823    4.1661
10.800    4.1422
10.778    4.1301
10.755    4.0997
10.733    4.0995
10.711    4.1290
10.689    4.1434
10.667    4.2058
10.645    4.2613
10.623    4.2753
10.602    4.2698
10.580    4.2661
10.558    4.2939
10.537    4.3133
10.516    4.3523
10.494    4.4379
10.473    4.4917
10.452    4.5209
10.431    4.6225
10.410    4.7389
10.389    4.8054
10.368    4.8615
10.348    4.9865
10.327    5.1212
10.306    5.1987
10.286    5.2155
10.266    5.3187
10.245    5.4723
10.225    5.6032
10.205    5.7186
10.185    5.8783
10.165    6.0612
10.145    6.1992
10.125    6.3057
10.106    6.4295
10.086    6.5804
10.066    6.7630
10.047    6.9717
10.027    7.2173
10.008    7.4737
 9.989    7.7857
 9.970    8.1226
 9.950    8.4377
 9.931    8.6503
 9.912    8.7511
 9.893    8.7984
 9.875    8.8164
 9.856    8.7966
 9.837    8.7825
 9.819    8.8612
 9.800    9.0208
 9.781    9.1708
 9.763    9.4651
 9.745    9.8667
 9.726   10.3610
 9.708   10.8280
 9.690   11.1970
 9.672   11.5540
 9.654   11.8370
 9.636   12.0350
 9.618   12.2010
 9.600   12.3940
 9.582   12.5970
 9.565   12.8530
 9.547   13.1520
 9.530   13.4590
 9.512   13.8270
 9.495   14.2320
 9.477   14.7190
 9.460   15.2830
 9.443   15.9750
 9.426   16.8710
 9.409   17.9080
 9.392   19.0360
 9.375   20.2660
 9.358   21.3790
 9.341   22.3790
 9.324   23.2620
 9.307   23.8690
 9.291   24.1940
 9.274   24.3370
 9.257   24.3370
 9.241   24.2780
 9.225   24.1990
 9.208   24.0890
 9.192   23.8950
 9.175   23.6910
 9.159   23.5050
 9.143   23.2610
 9.127   22.9830
 9.111   22.6950
 9.095   22.4090
 9.079   22.0030
 9.063   21.5820
 9.047   21.1950
 9.032   20.6990
 9.016   20.0950
 9.000   19.6060
 8.985   19.3850
 8.969   19.4570
 8.954   19.7560
 8.938   20.1250
 8.923   20.4590
 8.908   20.6540
 8.892   20.7700
 8.877   20.7950
 8.862   20.7840
 8.847   20.7160
 8.832   20.5630
 8.817   20.3960
 8.802   20.2150
 8.787   20.0590
