Name: Grey-green shale
Type:  Rocks
Class: Sedimentary
Subclass: Argillaceous
Particle Size:  see additional information
Sample No.: FGE6
Owner:  University of NSW
Wavelength range:  All
Origin: Fowlers Gap Shale, Fowlers Gap, western New South Wales, Australia
Hewson(1998) PhD thesis 
Description: Shale containing fine quartz in a matrix of chlorite/muscovite/biotite. Some desert varnish coating
Physiography: Weathered outcrop exposures with abundant scree in areas of low relief.




Measurement: Directional hemispherical reflectance 
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.983
Last X Value:  2.0795
Number of X Values:  2148
Additional information:  fge6ca.txt
14.983    3.0432
14.940    3.3451
14.897    3.7872
14.854    4.9665
14.812    5.3808
14.770    4.9333
14.728    4.0243
14.686    4.2011
14.645    4.2984
14.603    4.0325
14.562    4.2005
14.521    4.7553
14.481    5.1072
14.441    4.8350
14.400    4.7501
14.361    4.0544
14.321    3.4233
14.281    3.5941
14.242    3.8298
14.203    3.8260
14.164    3.8607
14.126    4.0301
14.087    4.2177
14.049    4.3805
14.011    4.3692
13.973    4.2820
13.936    4.3648
13.899    4.6564
13.861    4.5656
13.824    4.5494
13.788    4.6642
13.751    4.6209
13.715    4.6214
13.679    4.7986
13.643    4.9025
13.607    4.9022
13.571    4.9891
13.536    5.0093
13.500    5.0748
13.465    5.2069
13.430    5.2659
13.396    5.3075
13.361    5.3864
13.327    5.4249
13.293    5.3614
13.259    5.3605
13.225    5.4002
13.191    5.5098
13.158    5.5425
13.124    5.6585
13.091    5.8574
13.058    5.8979
13.026    5.9217
12.993    6.1432
12.960    6.4218
12.928    6.7892
12.896    7.1449
12.864    7.4442
12.832    7.6132
12.800    7.5393
12.769    7.2384
12.737    6.8376
12.706    6.4326
12.675    6.1770
12.644    6.1895
12.614    6.3268
12.583    6.5520
12.552    6.7303
12.522    6.7337
12.492    6.5734
12.462    6.1924
12.432    5.6711
12.402    4.9581
12.373    4.3126
12.343    3.9563
12.314    3.7814
12.285    3.7850
12.256    3.9038
12.227    3.9876
12.198    4.0774
12.169    4.2567
12.141    4.4041
12.113    4.4433
12.084    4.5218
12.056    4.6433
12.028    4.7439
12.000    4.7921
11.973    4.8760
11.945    4.9622
11.918    5.0810
11.890    5.1645
11.863    5.2543
11.836    5.3397
11.809    5.4077
11.782    5.4756
11.755    5.6217
11.729    5.7396
11.702    5.8041
11.676    5.9327
11.650    6.0909
11.624    6.1891
11.598    6.2751
11.572    6.3361
11.546    6.3900
11.520    6.5204
11.495    6.6479
11.469    6.7444
11.444    6.8463
11.419    6.8718
11.394    6.9032
11.369    6.9860
11.344    7.0482
11.319    7.1162
11.294    7.2120
11.270    7.2939
11.245    7.3639
11.221    7.4564
11.197    7.5562
11.173    7.6863
11.149    7.7957
11.125    7.9290
11.101    8.0856
11.077    8.2150
11.054    8.2792
11.030    8.3874
11.007    8.5174
10.983    8.6109
10.960    8.5801
10.937    8.4514
10.914    8.3216
10.891    8.2081
10.868    8.1651
10.846    8.1061
10.823    7.9786
10.800    7.9356
10.778    7.9423
10.755    7.9311
10.733    7.9626
10.711    8.0531
10.689    8.1545
10.667    8.1828
10.645    8.2215
10.623    8.3526
10.602    8.4747
10.580    8.5689
10.558    8.6925
10.537    8.8798
10.516    9.0447
10.494    9.1941
10.473    9.4280
10.452    9.6441
10.431    9.8696
10.410   10.1420
10.389   10.4120
10.368   10.6610
10.348   10.9450
10.327   11.2990
10.306   11.5790
10.286   11.8390
10.266   12.1580
10.245   12.4420
10.225   12.7490
10.205   12.9970
10.185   13.2370
10.165   13.5640
10.145   13.8820
10.125   14.1530
10.106   14.4660
10.086   14.8210
10.066   15.1810
10.047   15.6310
10.027   16.0970
10.008   16.5460
 9.989   16.9820
 9.970   17.4000
 9.950   17.8300
 9.931   18.1820
 9.912   18.3780
 9.893   18.4270
 9.875   18.4610
 9.856   18.5660
 9.837   18.6460
 9.819   18.8020
 9.800   19.0640
 9.781   19.4480
 9.763   19.9790
 9.745   20.6530
 9.726   21.4320
 9.708   22.1940
 9.690   22.8450
 9.672   23.3440
 9.654   23.7480
 9.636   24.1150
 9.618   24.3620
 9.600   24.4680
 9.582   24.6330
 9.565   24.7430
 9.547   24.8000
 9.530   24.8860
 9.512   24.9040
 9.495   24.9050
 9.477   25.0210
 9.460   25.1910
 9.443   25.4260
 9.426   25.7480
 9.409   26.1250
 9.392   26.5970
 9.375   27.0650
 9.358   27.4450
 9.341   27.7280
 9.324   27.9660
 9.307   28.1370
 9.291   28.2630
 9.274   28.3350
 9.257   28.2700
 9.241   28.2180
 9.225   28.1430
 9.208   28.0750
 9.192   27.9960
 9.175   27.8920
 9.159   27.7410
 9.143   27.5520
 9.127   27.3280
 9.111   27.1160
 9.095   26.8730
 9.079   26.4980
 9.063   26.1170
 9.047   25.7350
 9.032   25.3010
 9.016   24.8520
 9.000   24.4780
 8.985   24.3740
 8.969   24.5380
 8.954   24.8100
 8.938   25.0950
 8.923   25.3350
 8.908   25.5310
 8.892   25.6400
 8.877   25.6790
 8.862   25.6410
 8.847   25.5510
 8.832   25.4460
 8.817   25.3250
 8.802   25.1050
 8.787   24.8840
 8.772   24.6980
 8.757   24.4980
 8.742   24.2900
 8.727   24.0280
 8.713   23.6380
 8.698   23.1290
 8.684   22.4520
 8.669   21.4720
 8.655   20.1680
 8.640   18.8180
 8.626   18.2530
 8.612   18.9760
 8.597   20.3160
 8.583   21.4280
 8.569   22.0700
 8.555   22.4470
 8.541   22.7240
 8.527   22.8780
 8.513   22.9110
 8.499   22.8900
 8.485   22.9000
 8.471   22.8700
 8.457   22.7790
 8.443   22.7160
 8.430   22.6490
 8.416   22.5960
 8.402   22.5660
 8.389   22.4860
 8.375   22.4120
 8.361   22.4520
 8.348   22.4500
 8.335   22.4410
 8.321   22.5540
 8.308   22.6750
 8.295   22.7560
 8.281   22.8900
 8.268   23.0930
 8.255   23.2280
 8.242   23.3480
 8.229   23.4620
 8.216   23.4660
 8.203   23.3570
 8.190   23.1770
 8.177   22.8360
 8.164   22.2400
 8.151   21.4370
 8.138   20.4930
 8.126   19.4760
 8.113   18.3970
 8.100   17.3760
 8.088   16.4180
 8.075   15.5030
 8.062   14.6850
 8.050   13.9660
 8.037   13.2710
 8.025   12.6530
 8.013   12.1390
 8.000   11.6380
 7.988   11.1330
 7.976   10.6540
 7.963   10.1790
 7.951    9.7154
 7.939    9.2612
 7.927    8.7840
 7.915    8.3760
 7.903    8.0157
 7.891    7.6656
 7.879    7.3520
 7.867    7.0980
 7.855    6.8808
 7.843    6.6807
 7.831    6.4928
 7.819    6.3425
 7.808    6.2126
 7.796    6.1532
 7.784    6.1442
 7.772    6.1098
 7.761    6.0424
 7.749    5.9875
 7.737    5.9393
 7.726    5.9074
 7.715    5.8453
 7.703    5.7672
 7.692    5.7211
 7.680    5.7090
 7.669    5.6386
 7.657    5.5236
 7.646    5.4447
 7.635    5.3731
 7.624    5.2611
 7.613    5.1732
 7.601    5.1410
 7.590    5.1070
 7.579    5.0938
 7.568    5.0982
 7.557    5.0832
 7.546    5.0221
 7.535    4.9549
 7.524    4.9453
 7.513    4.9156
 7.502    4.8224
 7.492    4.7513
 7.481    4.7222
 7.470    4.6938
 7.459    4.6381
 7.449    4.5757
 7.438    4.5546
 7.427    4.5293
 7.417    4.5255
 7.406    4.5023
 7.395    4.4704
 7.385    4.4510
 7.374    4.4159
 7.364    4.3886
 7.353    4.4095
 7.343    4.3525
 7.333    4.2946
 7.322    4.2859
 7.312    4.2923
 7.302    4.2868
 7.291    4.2934
 7.281    4.2829
 7.271    4.2758
 7.261    4.3095
 7.251    4.3412
 7.240    4.3633
 7.230    4.3881
 7.220    4.3689
 7.210    4.3446
 7.200    4.3280
 7.190    4.2798
 7.180    4.2280
 7.170    4.2168
 7.160    4.1796
 7.151    4.1439
 7.141    4.0958
 7.131    4.0514
 7.121    4.0056
 7.111    3.9877
 7.102    3.9379
 7.092    3.8726
 7.082    3.8288
 7.072    3.7835
 7.063    3.7672
 7.053    3.7672
 7.044    3.7468
 7.034    3.6738
