Name: Red-orange sandy soil.
Type:  Soils
Class: Aridisol
Subclass: 
Particle Size:  see additional information
Sample No.: fgg009
Owner:  University of NSW
Wavelength range:  All
Origin: Fowlers Gap, western New South Wales, Australia
Hewson(1998) PhD thesis
Description: Parent material consists of aeolian silts/clays and sandstone debris.

Physiography: Alluvium along creek on footslopes of sandstone (Nundooka Sandstone) outcropping hills



Measurement: Directional hemispherical reflectance 
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0131
Last X Value:  2.00032
Number of X Values:  2223
Additional information:  fgg009a.txt
14.013    1.9533
13.975    2.2350
13.938    2.3407
13.900    2.3369
13.863    2.5003
13.826    2.5204
13.790    2.4595
13.753    2.5128
13.717    2.4612
13.680    2.3645
13.644    2.3081
13.608    2.4859
13.573    2.5794
13.537    2.5686
13.502    2.5164
13.467    2.5179
13.432    2.5656
13.398    2.4283
13.363    2.3009
13.329    2.4382
13.294    2.4472
13.260    2.3643
13.227    2.4641
13.193    2.5358
13.160    2.4446
13.126    2.4419
13.093    2.5682
13.060    2.6134
13.027    2.6434
12.995    2.7652
12.962    2.6948
12.930    2.6646
12.898    2.8134
12.866    3.0083
12.834    3.0632
12.802    2.9116
12.771    2.7590
12.739    2.5844
12.708    2.3674
12.677    2.3574
12.646    2.3832
12.615    2.4599
12.585    2.5146
12.554    2.5636
12.524    2.6294
12.494    2.5224
12.464    2.2891
12.434    2.0839
12.404    1.9228
12.374    1.8341
12.345    1.5996
12.316    1.5940
12.286    1.6955
12.257    1.6821
12.228    1.7901
12.200    1.9278
12.171    1.8286
12.143    1.8922
12.114    2.1558
12.086    2.2824
12.058    2.3744
12.030    2.5112
12.002    2.4853
11.974    2.6992
11.947    2.8934
11.919    3.0487
11.892    3.2190
11.865    3.1705
11.838    3.0496
11.811    3.0040
11.784    3.1325
11.757    3.3336
11.730    3.4529
11.704    3.5196
11.678    3.5614
11.651    3.4475
11.625    3.4125
11.599    3.4256
11.573    3.3290
11.547    3.4052
11.522    3.3228
11.496    3.3034
11.471    3.3264
11.445    3.2651
11.420    3.2762
11.395    3.2861
11.370    3.4599
11.345    3.5428
11.321    3.3747
11.296    3.3684
11.271    3.4336
11.247    3.4932
11.223    3.5693
11.198    3.5464
11.174    3.4505
11.150    3.5025
11.126    3.4501
11.102    3.4500
11.079    3.4640
11.055    3.3820
11.032    3.3895
11.008    3.3934
10.985    3.3165
10.962    3.1606
10.938    3.1123
10.915    3.1426
10.893    3.1185
10.870    3.0612
10.847    2.9676
10.824    2.9253
10.802    3.0282
10.779    3.1174
10.757    3.1273
10.735    3.0355
10.713    3.0394
10.690    3.0501
10.668    3.1787
10.647    3.3064
10.625    3.2960
10.603    3.2488
10.581    3.2022
10.560    3.2208
10.538    3.3043
10.517    3.2311
10.496    3.2038
10.474    3.3403
10.453    3.3616
10.432    3.4063
10.411    3.4730
10.390    3.5619
10.370    3.6122
10.349    3.5645
10.328    3.6022
10.308    3.7978
10.287    3.8474
10.267    3.8149
10.247    3.9316
10.227    4.0358
10.206    4.0734
10.186    4.1506
10.166    4.2715
10.146    4.4037
10.127    4.5731
10.107    4.5468
10.087    4.6075
10.068    4.8078
10.048    4.9277
10.029    5.1058
10.009    5.2709
 9.990    5.2577
 9.971    5.3695
 9.952    5.5361
 9.933    5.5761
 9.914    5.6351
 9.895    5.6032
 9.876    5.6735
 9.857    5.7284
 9.838    5.7228
 9.820    5.8329
 9.801    5.9185
 9.783    5.9280
 9.764    6.0574
 9.746    6.1902
 9.728    6.4856
 9.709    6.7587
 9.691    6.9250
 9.673    7.1500
 9.655    7.3092
 9.637    7.2632
 9.619    7.2531
 9.602    7.3632
 9.584    7.5850
 9.566    7.8597
 9.549    8.0162
 9.531    7.9605
 9.514    7.9874
 9.496    8.2930
 9.479    8.6227
 9.461    8.6634
 9.444    8.7143
 9.427    9.0356
 9.410    9.2627
 9.393    9.5406
 9.376    9.7874
 9.359    9.9498
 9.342   10.0767
 9.325   10.2256
 9.309   10.3290
 9.292   10.3906
 9.275   10.3665
 9.259   10.1997
 9.242    9.9883
 9.226    9.9821
 9.209    9.9691
 9.193    9.7606
 9.177    9.4736
 9.161    9.3564
 9.144    9.2917
 9.128    9.1748
 9.112    9.1116
 9.096    8.9732
 9.080    8.6961
 9.064    8.5140
 9.049    8.4224
 9.033    8.2323
 9.017    8.0657
 9.002    7.9745
 8.986    7.9961
 8.970    8.0741
 8.955    8.2598
 8.939    8.5058
 8.924    8.7439
 8.909    8.9394
 8.893    9.0159
 8.878    9.0501
 8.863    9.1092
 8.848    9.1971
 8.833    9.3218
 8.818    9.2645
 8.803    9.1671
 8.788    9.3127
 8.773    9.4030
 8.758    9.1942
 8.743    9.0997
 8.729    9.0992
 8.714    9.0620
 8.699    8.9615
 8.685    8.6315
 8.670    8.3399
 8.656    7.9558
 8.641    7.4802
 8.627    7.3590
 8.613    7.6078
 8.598    8.0599
 8.584    8.6981
 8.570    9.2610
 8.556    9.3718
 8.542    9.4120
 8.528    9.7055
 8.514    9.8656
 8.500    9.8653
 8.486    9.9305
 8.472   10.0806
 8.458   10.2411
 8.444   10.4867
 8.431   10.6397
 8.417   10.8175
 8.403   11.0399
 8.390   11.1659
 8.376   11.3749
 8.363   11.5915
 8.349   11.7707
 8.336   11.8061
 8.322   12.0618
 8.309   12.4617
 8.296   12.7100
 8.283   12.9140
 8.269   13.2082
 8.256   13.4519
 8.243   13.6889
 8.230   13.7704
 8.217   13.7317
 8.204   13.8005
 8.191   13.7466
 8.178   13.5590
 8.165   13.3317
 8.152   12.8819
 8.140   12.3275
 8.127   11.7882
 8.114   11.1081
 8.101   10.3819
 8.089    9.7197
 8.076    9.1042
 8.063    8.6414
 8.051    8.1879
 8.039    7.6837
 8.026    7.2420
 8.014    6.9823
 8.001    6.7318
 7.989    6.3772
 7.977    6.0558
 7.964    5.7504
 7.952    5.3698
 7.940    4.9889
 7.928    4.6886
 7.916    4.3826
 7.904    4.1409
 7.892    3.9425
 7.880    3.7713
 7.868    3.5556
 7.856    3.3160
 7.844    3.1808
 7.832    3.0928
 7.820    3.0107
 7.809    3.0412
 7.797    3.0361
 7.785    2.9537
 7.773    2.9332
 7.762    2.8640
 7.750    2.8011
 7.739    2.8025
 7.727    2.7613
 7.715    2.6832
 7.704    2.6188
 7.693    2.5884
 7.681    2.5286
 7.670    2.5125
 7.659    2.5050
 7.647    2.5164
 7.636    2.4481
 7.625    2.3541
 7.614    2.3527
 7.602    2.3724
 7.591    2.2810
 7.580    2.1759
 7.569    2.2542
 7.558    2.3884
 7.547    2.4059
 7.536    2.3459
 7.525    2.3250
 7.514    2.3907
 7.503    2.3725
 7.492    2.3829
 7.482    2.3815
 7.471    2.2942
 7.460    2.2473
 7.449    2.2925
 7.439    2.3703
 7.428    2.3657
 7.418    2.3699
 7.407    2.3588
 7.396    2.3665
 7.386    2.3855
 7.375    2.3912
 7.365    2.4433
 7.354    2.4622
 7.344    2.3864
 7.334    2.3197
 7.323    2.3613
 7.313    2.4840
 7.303    2.4813
 7.292    2.4372
 7.282    2.4693
 7.272    2.6528
 7.262    2.8056
 7.252    2.9347
 7.241    2.8682
 7.231    2.8268
 7.221    2.9164
 7.211    2.9162
 7.201    2.8896
 7.191    2.8977
 7.181    2.9569
 7.171    2.9898
 7.161    3.0224
 7.152    3.0871
 7.142    3.1055
 7.132    3.1403
 7.122    3.1483
 7.112    3.1730
 7.103    3.3514
 7.093    3.4389
 7.083    3.3718
 7.073    3.2513
 7.064    3.2638
 7.054    3.3613
 7.045    3.3641
 7.035    3.3525
 7.026    3.4156
 7.016    3.4044
 7.007    3.3855
 6.997    3.3917
 6.988    3.4478
 6.978    3.5440
 6.969    3.5937
 6.960    3.6305
 6.950    3.6995
 6.941    3.8152
 6.932    3.9138
 6.922    3.9734
 6.913    3.9733
 6.904    3.9507
 6.895    3.9845
 6.886    3.9921
 6.876    3.9899
 6.867    4.0115
 6.858    3.9912
 6.849    3.9945
 6.840    4.0506
 6.831    4.0776
 6.822    4.0762
 6.813    4.0783
 6.804    4.1015
 6.795    4.1265
 6.786    4.0707
 6.778    4.0241
 6.769    4.0329
 6.760    3.9607
 6.751    3.9368
 6.742    4.0227
 6.734    3.9815
 6.725    3.8946
 6.716    3.9048
 6.707    4.0020
 6.699    3.9318
 6.690    3.9623
 6.681    4.0877
 6.673    4.1182
 6.664    4.1808
 6.656    4.2630
 6.647    4.2210
 6.639    4.2301
 6.630    4.2064
 6.622    4.1435
 6.613    4.1509
 6.605    4.1001
 6.596    4.1137
 6.588    4.0924
 6.580    4.0384
 6.571    3.9798
 6.563    3.8526
 6.555    3.8468
 6.547    3.9904
 6.538    4.0677
 6.530    4.1230
 6.522    4.3004
 6.514    4.4695
 6.505    4.6075
 6.497    4.7418
 6.489    5.0194
 6.481    5.2487
 6.473    5.3224
 6.465    5.3432
 6.457    5.4026
 6.449    5.5085
 6.441    5.6141
 6.433    5.6884
 6.425    5.7155
 6.417    5.8023
 6.409    5.7599
 6.401    5.6352
 6.393    5.5244
 6.385    5.3895
 6.377    5.2692
 6.370    5.1605
 6.362    5.0370
 6.354    4.9098
 6.346    4.8582
 6.338    4.8230
 6.331    4.7138
 6.323    4.5344
 6.315    4.2726
 6.308    4.1533
 6.300    4.0592
 6.292    3.9227
 6.285    3.8325
 6.277    3.6128
 6.269    3.4663
 6.262    3.4350
 6.254    3.3163
 6.247    3.1913
 6.239    3.1603
 6.232    3.1073
 6.224    3.0315
 6.217    2.9923
 6.209    2.9421
 6.202    2.8517
 6.194    2.7533
 6.187    2.7932
 6.180    2.7729
 6.172    2.7218
 6.165    2.8112
 6.158    2.8667
 6.151    2.7917
 6.143    2.7645
 6.136    2.7973
 6.129    2.8061
 6.121    2.9315
 6.114    3.0267
 6.107    3.0134
 6.100    2.9868
 6.093    3.0113
 6.085    3.0579
 6.078    3.1406
 6.071    3.2532
 6.064    3.2199
 6.057    3.1509
 6.050    3.2193
 6.043    3.2561
 6.036    3.3438
 6.029    3.3415
 6.022    3.3624
 6.015    3.4652
 6.008    3.4577
 6.001    3.4441
 5.994    3.4716
 5.987    3.5184
 5.980    3.5206
 5.973    3.5726
 5.966    3.5603
 5.960    3.4931
 5.953    3.4706
 5.946    3.5297
 5.939    3.6427
 5.932    3.7432
 5.926    3.8293
 5.919    3.9166
 5.912    4.1147
 5.905    4.3178
 5.899    4.4954
 5.892    4.7454
 5.885    4.9539
 5.878    5.1506
 5.872    5.3427
 5.865    5.5608
 5.859    5.7746
 5.852    5.9332
 5.845    6.1187
 5.839    6.3877
 5.832    6.6442
 5.826    6.9084
 5.819    7.0843
 5.813    7.1962
 5.806    7.3551
 5.800    7.5634
 5.793    7.7217
 5.787    7.8773
 5.780    8.0738
 5.774    8.3429
 5.767    8.5867
 5.761    8.7076
 5.755    8.7803
 5.748    8.9047
 5.742    9.0822
 5.735    9.1956
 5.729    9.2951
 5.723    9.4405
 5.716    9.5639
 5.710    9.5966
 5.704    9.6639
 5.698    9.6579
 5.691    9.5117
 5.685    9.3903
 5.679    9.2760
 5.673    9.0095
 5.667    8.6892
 5.660    8.4452
 5.654    8.1503
 5.648    7.7885
 5.642    7.4089
 5.636    7.0890
 5.630    6.8923
 5.623    6.7595
 5.617    6.6255
 5.611    6.5305
 5.605    6.4372
 5.599    6.3585
 5.593    6.2465
 5.587    6.2301
 5.581    6.3019
 5.575    6.2891
 5.569    6.2631
 5.563    6.2956
 5.557    6.4495
 5.551    6.5932
 5.545    6.6778
 5.539    6.7687
 5.533    6.8652
 5.527    6.9886
 5.522    7.1777
 5.516    7.3330
 5.510    7.4980
 5.504    7.6592
 5.498    7.8023
 5.492    7.9896
 5.487    8.1573
 5.481    8.3177
 5.475    8.4584
 5.469    8.6208
 5.463    8.7477
 5.458    8.7738
 5.452    8.8636
 5.446    8.9253
 5.441    8.8052
 5.435    8.5522
 5.429    8.3491
 5.423    8.1473
 5.418    7.8748
 5.412    7.5270
 5.407    7.2009
 5.401    6.9167
 5.395    6.5600
 5.390    6.1980
 5.384    5.8585
 5.378    5.5609
 5.373    5.3121
 5.367    5.1802
 5.362    5.1503
 5.356    5.0987
 5.351    5.0457
 5.345    5.0330
 5.340    5.1286
 5.334    5.2291
 5.329    5.1993
 5.323    5.1901
 5.318    5.2377
 5.312    5.2623
 5.307    5.3380
