Name: Grey calcareous silty soil
Type:  Soils
Class: Aridisol
Subclass: 
Particle Size:  see additional information
Sample No.: fgg024
Owner:  University of NSW
Wavelength range:  All
Origin: Fowlers Gap, western New South Wales, Australia
Hewson(1998) PhD thesis 
Description: Parent material consists of phyllite, some calcrete deposits 

Physiography: Low relief valley. 



Measurement: Directional hemispherical reflectance 
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0131
Last X Value:  2.00032
Number of X Values:  2223
Additional information:  fgg024a.txt
14.013    2.0719
13.975    2.1353
13.938    2.1777
13.900    2.1709
13.863    2.2557
13.826    2.3370
13.790    2.3646
13.753    2.4822
13.717    2.3417
13.680    2.1002
13.644    2.0543
13.608    2.0465
13.573    2.1658
13.537    2.2083
13.502    2.2547
13.467    2.2551
13.432    2.2108
13.398    2.2098
13.363    2.1636
13.329    2.1954
13.294    2.3541
13.260    2.3883
13.227    2.4002
13.193    2.4668
13.160    2.4091
13.126    2.4455
13.093    2.5235
13.060    2.5082
13.027    2.4136
12.995    2.5873
12.962    2.6999
12.930    2.7764
12.898    2.8351
12.866    2.8032
12.834    2.7554
12.802    2.7479
12.771    2.8171
12.739    2.6528
12.708    2.3831
12.677    2.2385
12.646    2.3358
12.615    2.4827
12.585    2.5380
12.554    2.5983
12.524    2.5951
12.494    2.4883
12.464    2.3280
12.434    2.1594
12.404    1.9295
12.374    1.7894
12.345    1.7065
12.316    1.6146
12.286    1.4195
12.257    1.5960
12.228    1.8174
12.200    1.8372
12.171    1.9124
12.143    2.0601
12.114    2.0423
12.086    2.0508
12.058    2.1441
12.030    2.2373
12.002    2.3130
11.974    2.4156
11.947    2.4953
11.919    2.5357
11.892    2.6161
11.865    2.6618
11.838    2.7709
11.811    2.6979
11.784    2.6669
11.757    2.7663
11.730    2.8867
11.704    2.9831
11.678    3.0484
11.651    3.1938
11.625    3.2327
11.599    3.1503
11.573    3.0339
11.547    3.0638
11.522    3.1330
11.496    3.0820
11.471    2.9321
11.445    2.8971
11.420    3.0138
11.395    3.1008
11.370    3.2637
11.345    3.3031
11.321    3.2854
11.296    3.2761
11.271    3.2324
11.247    3.3052
11.223    3.3603
11.198    3.2652
11.174    3.2248
11.150    3.4073
11.126    3.4131
11.102    3.3184
11.079    3.3099
11.055    3.3594
11.032    3.4889
11.008    3.4467
10.985    3.3768
10.962    3.3480
10.938    3.2741
10.915    3.2699
10.893    3.3420
10.870    3.5260
10.847    3.5833
10.824    3.3820
10.802    3.2167
10.779    3.2153
10.757    3.3403
10.735    3.4011
10.713    3.4159
10.690    3.3974
10.668    3.3816
10.647    3.4331
10.625    3.4124
10.603    3.3669
10.581    3.4323
10.560    3.6234
10.538    3.7054
10.517    3.7273
10.496    3.7628
10.474    3.7923
10.453    3.9257
10.432    3.9818
10.411    3.9547
10.390    4.0063
10.370    4.0309
10.349    3.9983
10.328    4.0895
10.308    4.3038
10.287    4.4546
10.267    4.5511
10.247    4.6033
10.227    4.5803
10.206    4.7074
10.186    4.9212
10.166    4.9917
10.146    4.9769
10.127    5.1376
10.107    5.3166
10.087    5.3680
10.068    5.3937
10.048    5.3956
10.029    5.5175
10.009    5.7934
 9.990    6.0229
 9.971    6.0461
 9.952    6.0938
 9.933    6.3238
 9.914    6.4309
 9.895    6.3492
 9.876    6.3084
 9.857    6.4342
 9.838    6.5432
 9.820    6.5755
 9.801    6.5738
 9.783    6.6980
 9.764    6.9042
 9.746    7.1602
 9.728    7.3935
 9.709    7.6407
 9.691    7.8458
 9.673    8.0430
 9.655    8.2736
 9.637    8.3941
 9.619    8.4972
 9.602    8.5479
 9.584    8.5623
 9.566    8.7127
 9.549    8.7871
 9.531    8.8278
 9.514    8.9169
 9.496    9.1735
 9.479    9.3435
 9.461    9.4834
 9.444    9.6391
 9.427    9.7194
 9.410    9.8797
 9.393   10.0824
 9.376   10.2574
 9.359   10.5298
 9.342   10.6827
 9.325   10.7533
 9.309   10.6596
 9.292   10.4538
 9.275   10.4224
 9.259   10.5105
 9.242   10.5279
 9.226   10.4880
 9.209   10.4535
 9.193   10.3644
 9.177   10.1662
 9.161   10.0905
 9.144   10.0864
 9.128   10.0324
 9.112    9.8650
 9.096    9.7408
 9.080    9.6614
 9.064    9.5643
 9.049    9.5012
 9.033    9.2780
 9.017    9.0139
 9.002    8.8403
 8.986    8.9239
 8.970    9.1138
 8.955    9.1777
 8.939    9.1935
 8.924    9.3782
 8.909    9.6443
 8.893    9.7355
 8.878    9.6658
 8.863    9.7440
 8.848    9.7972
 8.833    9.7428
 8.818    9.7214
 8.803    9.7876
 8.788    9.9218
 8.773    9.8850
 8.758    9.7416
 8.743    9.6722
 8.729    9.6730
 8.714    9.5448
 8.699    9.3404
 8.685    9.1366
 8.670    8.7972
 8.656    8.3823
 8.641    7.8238
 8.627    7.6027
 8.613    7.9418
 8.598    8.5146
 8.584    9.0331
 8.570    9.3411
 8.556    9.5189
 8.542    9.7540
 8.528   10.0026
 8.514   10.1751
 8.500   10.1933
 8.486   10.2746
 8.472   10.3748
 8.458   10.4285
 8.444   10.6354
 8.431   10.7003
 8.417   10.7433
 8.403   10.8124
 8.390   10.8032
 8.376   10.8599
 8.363   10.9250
 8.349   11.0389
 8.336   11.2601
 8.322   11.4577
 8.309   11.5085
 8.296   11.6138
 8.283   11.8343
 8.269   12.0166
 8.256   12.2206
 8.243   12.3853
 8.230   12.3885
 8.217   12.4254
 8.204   12.5405
 8.191   12.4862
 8.178   12.3110
 8.165   12.0638
 8.152   11.6197
 8.140   11.0007
 8.127   10.5415
 8.114   10.0937
 8.101    9.6300
 8.089    9.2258
 8.076    8.7513
 8.063    8.2375
 8.051    7.8232
 8.039    7.4763
 8.026    7.1352
 8.014    6.8112
 8.001    6.4751
 7.989    6.2302
 7.977    5.9174
 7.964    5.6557
 7.952    5.4586
 7.940    5.2431
 7.928    4.9937
 7.916    4.7004
 7.904    4.4355
 7.892    4.2539
 7.880    4.1329
 7.868    3.9715
 7.856    3.8337
 7.844    3.7043
 7.832    3.6089
 7.820    3.5160
 7.809    3.4125
 7.797    3.4234
 7.785    3.4664
 7.773    3.4699
 7.762    3.5165
 7.750    3.4554
 7.739    3.3769
 7.727    3.3375
 7.715    3.2914
 7.704    3.2562
 7.693    3.2298
 7.681    3.1986
 7.670    3.2502
 7.659    3.2665
 7.647    3.1558
 7.636    3.0269
 7.625    3.0178
 7.614    3.1128
 7.602    3.1464
 7.591    3.1110
 7.580    3.1350
 7.569    3.1714
 7.558    3.1000
 7.547    3.0709
 7.536    3.0826
 7.525    2.9658
 7.514    2.9026
 7.503    2.9366
 7.492    2.9390
 7.482    2.9837
 7.471    2.9730
 7.460    2.9850
 7.449    3.0149
 7.439    2.9690
 7.428    2.9463
 7.418    3.0071
 7.407    3.0393
 7.396    2.9662
 7.386    2.9687
 7.375    3.0511
 7.365    3.0947
 7.354    3.0000
 7.344    2.9110
 7.334    2.9812
 7.323    3.0549
 7.313    2.9968
 7.303    2.9725
 7.292    3.0231
 7.282    3.0331
 7.272    3.0155
 7.262    3.0034
 7.252    3.0012
 7.241    3.0885
 7.231    3.1291
 7.221    3.1242
 7.211    3.0873
 7.201    3.0904
 7.191    3.0914
 7.181    3.0103
 7.171    3.0046
 7.161    3.0207
 7.152    2.9471
 7.142    2.9054
 7.132    2.8933
 7.122    2.8419
 7.112    2.9148
 7.103    3.0164
 7.093    2.9555
 7.083    2.9439
 7.073    2.9620
 7.064    2.9681
 7.054    2.9891
 7.045    3.0036
 7.035    3.0141
 7.026    2.9411
 7.016    2.9109
 7.007    2.9102
 6.997    2.9708
 6.988    2.9345
 6.978    2.8431
 6.969    2.8637
 6.960    2.9636
 6.950    3.0837
 6.941    3.0799
 6.932    3.0998
 6.922    3.1511
 6.913    3.2542
 6.904    3.3207
 6.895    3.2959
 6.886    3.2112
 6.876    3.2191
 6.867    3.3252
 6.858    3.4255
 6.849    3.4303
 6.840    3.4066
 6.831    3.3845
 6.822    3.3518
 6.813    3.4221
 6.804    3.5690
 6.795    3.5860
 6.786    3.5283
 6.778    3.5799
 6.769    3.5566
 6.760    3.4980
 6.751    3.4320
 6.742    3.3865
 6.734    3.3925
 6.725    3.4679
 6.716    3.5563
 6.707    3.4742
 6.699    3.4144
 6.690    3.4994
 6.681    3.5845
 6.673    3.6664
 6.664    3.7236
 6.656    3.7299
 6.647    3.7294
 6.639    3.7063
 6.630    3.7747
 6.622    3.7948
 6.613    3.7092
 6.605    3.6902
 6.596    3.6884
 6.588    3.7153
 6.580    3.7751
 6.571    3.7916
 6.563    3.7235
 6.555    3.6362
 6.547    3.6458
 6.538    3.7411
 6.530    3.8000
 6.522    3.8736
 6.514    4.0604
 6.505    4.2416
 6.497    4.4227
 6.489    4.6250
 6.481    4.8049
 6.473    4.9022
 6.465    4.8495
 6.457    4.7903
 6.449    4.8816
 6.441    5.0172
 6.433    5.1553
 6.425    5.1809
 6.417    5.0811
 6.409    5.0221
 6.401    4.9863
 6.393    4.9878
 6.385    4.9480
 6.377    4.7728
 6.370    4.6479
 6.362    4.6401
 6.354    4.5572
 6.346    4.3922
 6.338    4.2892
 6.331    4.0846
 6.323    3.9350
 6.315    3.8249
 6.308    3.7597
 6.300    3.6627
 6.292    3.4280
 6.285    3.2881
 6.277    3.2598
 6.269    3.2691
 6.262    3.2089
 6.254    3.0053
 6.247    2.9051
 6.239    2.8683
 6.232    2.8521
 6.224    2.8269
 6.217    2.7159
 6.209    2.6727
 6.202    2.6835
 6.194    2.6411
 6.187    2.5773
 6.180    2.5645
 6.172    2.6397
 6.165    2.6172
 6.158    2.5110
 6.151    2.4979
 6.143    2.5749
 6.136    2.7121
 6.129    2.6914
 6.121    2.7040
 6.114    2.8435
 6.107    2.8398
 6.100    2.8072
 6.093    2.8021
 6.085    2.7595
 6.078    2.7043
 6.071    2.7822
 6.064    2.8881
 6.057    2.9303
 6.050    3.0158
 6.043    3.0282
 6.036    3.0438
 6.029    3.0627
 6.022    3.0741
 6.015    3.0599
 6.008    3.0553
 6.001    3.1776
 5.994    3.2443
 5.987    3.2291
 5.980    3.2311
 5.973    3.2163
 5.966    3.2185
 5.960    3.2349
 5.953    3.1695
 5.946    3.0988
 5.939    3.2819
 5.932    3.4931
 5.926    3.5521
 5.919    3.6061
 5.912    3.7603
 5.905    3.8994
 5.899    4.0709
 5.892    4.2640
 5.885    4.4501
 5.878    4.5857
 5.872    4.6941
 5.865    4.9865
 5.859    5.2121
 5.852    5.2921
 5.845    5.3958
 5.839    5.5920
 5.832    5.8393
 5.826    6.0397
 5.819    6.2417
 5.813    6.4684
 5.806    6.5842
 5.800    6.6848
 5.793    6.8306
 5.787    6.9626
 5.780    7.0280
 5.774    7.0820
 5.767    7.2521
 5.761    7.3909
 5.755    7.4841
 5.748    7.5842
 5.742    7.7121
 5.735    7.8973
 5.729    7.9672
 5.723    8.0285
 5.716    8.1026
 5.710    8.1712
 5.704    8.1568
 5.698    8.1376
 5.691    8.0839
 5.685    8.0735
 5.679    7.9684
 5.673    7.8111
 5.667    7.6190
 5.660    7.4037
 5.654    7.1460
 5.648    6.8418
 5.642    6.5596
 5.636    6.3090
 5.630    6.1642
 5.623    6.1055
 5.617    6.0107
 5.611    5.8926
 5.605    5.8145
 5.599    5.7263
 5.593    5.6725
 5.587    5.6758
 5.581    5.6240
 5.575    5.6020
 5.569    5.5809
 5.563    5.6320
 5.557    5.7446
 5.551    5.7801
 5.545    5.8634
 5.539    6.0104
 5.533    6.1592
 5.527    6.3096
 5.522    6.4418
 5.516    6.5721
 5.510    6.6978
 5.504    6.8970
 5.498    7.0401
 5.492    7.2270
 5.487    7.4660
 5.481    7.5677
 5.475    7.6440
 5.469    7.8130
 5.463    7.8886
 5.458    7.9292
 5.452    8.0097
 5.446    8.0500
 5.441    8.0603
 5.435    7.9356
 5.429    7.7399
 5.423    7.5683
 5.418    7.3090
 5.412    7.0126
 5.407    6.7422
 5.401    6.4508
 5.395    6.1568
 5.390    5.8723
 5.384    5.5424
 5.378    5.3819
 5.373    5.2732
 5.367    5.0784
 5.362    4.9854
 5.356    4.9273
 5.351    4.8611
 5.345    4.8431
 5.340    4.9124
 5.334    4.9756
 5.329    4.9938
 5.323    5.0026
 5.318    5.0859
 5.312    5.2207
 5.307    5.2615
 5.301    5.2176
 5.296    5.3186
 5.291    5.4862
