Name: Fluvial deposit
Type:  Soils
Class: Entisol
Subclass: 
Particle Size:  see additional information
Sample No.: fgg003
Owner:  University of NSW
Wavelength range:  All
Origin: Fowlers Gap, western New South Wales, Australia
Hewson(1998) PhD thesis
Description: Parent material consists of phyllite and shale grits with some quartz-rich sands deposited as alluvium

Physiography: Floodplain outwash along ephemeral watercourse.



Measurement: Directional hemispherical reflectance 
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0131
Last X Value:  2.00032
Number of X Values:  2223
Additional information:  fgg003a.txt
14.013    1.8277
13.975    2.0248
13.938    2.1761
13.900    2.1578
13.863    2.1372
13.826    2.1173
13.790    2.1098
13.753    2.1715
13.717    2.1191
13.680    2.0072
13.644    1.9567
13.608    1.9720
13.573    2.1786
13.537    2.1829
13.502    1.9707
13.467    1.9618
13.432    2.0031
13.398    2.0312
13.363    2.2206
13.329    2.4327
13.294    2.3481
13.260    2.1315
13.227    2.2113
13.193    2.0686
13.160    1.9481
13.126    2.0758
13.093    2.0842
13.060    2.2172
13.027    2.1390
12.995    2.2402
12.962    2.4421
12.930    2.4877
12.898    2.3527
12.866    2.3912
12.834    2.4049
12.802    2.3443
12.771    2.2364
12.739    2.2647
12.708    2.2282
12.677    2.0295
12.646    1.9149
12.615    1.9002
12.585    2.0024
12.554    2.0799
12.524    2.0975
12.494    2.1522
12.464    2.0692
12.434    1.9388
12.404    1.7011
12.374    1.5246
12.345    1.3687
12.316    1.3047
12.286    1.3453
12.257    1.4749
12.228    1.6297
12.200    1.7205
12.171    1.7612
12.143    1.8455
12.114    1.9424
12.086    1.9898
12.058    2.0599
12.030    2.2489
12.002    2.3818
11.974    2.3696
11.947    2.5277
11.919    2.5735
11.892    2.6610
11.865    2.6666
11.838    2.6261
11.811    2.6620
11.784    2.7439
11.757    2.8355
11.730    2.9348
11.704    3.0046
11.678    3.0419
11.651    2.9737
11.625    2.8874
11.599    3.0643
11.573    3.1545
11.547    3.0608
11.522    3.0476
11.496    3.0293
11.471    2.9166
11.445    2.7619
11.420    2.6145
11.395    2.7502
11.370    2.9002
11.345    2.7129
11.321    2.6484
11.296    2.8999
11.271    2.9906
11.247    2.8443
11.223    2.8366
11.198    2.8935
11.174    2.9953
11.150    2.9887
11.126    2.9324
11.102    2.9479
11.079    2.9522
11.055    2.9881
11.032    2.9009
11.008    2.7529
10.985    2.6565
10.962    2.5845
10.938    2.5715
10.915    2.6670
10.893    2.6821
10.870    2.6491
10.847    2.5483
10.824    2.5387
10.802    2.6267
10.779    2.6567
10.757    2.6065
10.735    2.5816
10.713    2.5614
10.690    2.6454
10.668    2.7484
10.647    2.6518
10.625    2.6335
10.603    2.7906
10.581    2.9043
10.560    2.9090
10.538    3.0504
10.517    3.1036
10.496    2.9737
10.474    3.1025
10.453    3.2268
10.432    3.1595
10.411    3.0754
10.390    3.1583
10.370    3.2792
10.349    3.2948
10.328    3.1726
10.308    3.2989
10.287    3.4346
10.267    3.4704
10.247    3.5028
10.227    3.5271
10.206    3.6181
10.186    3.7809
10.166    3.7866
10.146    3.7531
10.127    3.7867
10.107    3.8958
10.087    4.0893
10.068    4.2091
10.048    4.3300
10.029    4.3543
10.009    4.3993
 9.990    4.5775
 9.971    4.6761
 9.952    4.7055
 9.933    4.7850
 9.914    4.8340
 9.895    4.7880
 9.876    4.8763
 9.857    5.0243
 9.838    5.0725
 9.820    5.0157
 9.801    5.1143
 9.783    5.3153
 9.764    5.4202
 9.746    5.4806
 9.728    5.6821
 9.709    5.9244
 9.691    6.0821
 9.673    6.1501
 9.655    6.1739
 9.637    6.4734
 9.619    6.6517
 9.602    6.6486
 9.584    6.6510
 9.566    6.7469
 9.549    7.0140
 9.531    7.1029
 9.514    7.0645
 9.496    7.2910
 9.479    7.4073
 9.461    7.3760
 9.444    7.3433
 9.427    7.4071
 9.410    7.5792
 9.393    7.8477
